Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd
Matthew Slater*,NWE,28,WR,12,0,,,0,,,2.0,10.0,0,10.0,5.0,10
Kerry Taylor,2TM,24,WR,10,4,,,0,,,2.0,60.0,0,43.0,30.0,289
Markus Wheaton,PIT,22,WR,12,1,,,0,,,2.0,37.0,0,25.0,18.5,101
Daniel Adongo,IND,24,LB,2,0,,,0,,,1.0,0.0,0,0.0,0.0,0
Patrick Bailey,TEN,28,LB,13,0,,,0,,,1.0,0.0,0,0.0,0.0,0
Chris Banjo,GNB,23,DB,16,1,,,0,,,1.0,12.0,0,12.0,12.0,12
Joe Banyard,MIN,25,RB,3,0,,,0,,,1.0,6.0,0,6.0,6.0,17
Tim Barnes,STL,25,C,16,4,,,0,,,1.0,0.0,0,0.0,0.0,0
Jackie Battle,TEN,30,RB,16,0,,,0,,,1.0,26.0,0,26.0,26.0,204
Joique Bell,DET,27,RB,16,4,,,0,,,1.0,4.0,0,4.0,4.0,1201
Kahlil Bell,GNB,27,RB,3,0,,,0,,,1.0,22.0,0,22.0,22.0,22
Nick Bellore,NYJ,24,LB,16,0,,,0,,,1.0,0.0,0,0.0,0.0,0
Chase Blackburn,CAR,30,RLB,13,7,,,0,,,1.0,0.0,0,0.0,0.0,0
Tommy Bohanon,NYJ,23,RB,16,8,,,0,,,1.0,15.0,0,15.0,15.0,146
James Casey,PHI,29,TE,15,1,,,0,,,1.0,10.0,0,10.0,10.0,41
Tashard Choice,2TM,29,RB,15,0,,,0,,,1.0,28.0,0,28.0,28.0,213
Tyler Clutts,2TM,29,RB,8,0,,,0,,,1.0,12.0,0,12.0,12.0,16
Derrick Coleman,SEA,23,RB,12,3,,,0,,,1.0,0.0,0,0.0,0.0,65
Riley Cooper,PHI,26,WR,16,15,,,0,,,1.0,-4.0,0,-4.0,-4.0,849
Jared Crick,HOU,24,DE,16,1,,,0,,,1.0,0.0,0,0.0,0.0,0
Kellen Davis,SEA,28,TE,15,4,,,0,,,1.0,0.0,0,0.0,0.0,32
Troy Davis,NYJ,22,LB,4,0,,,0,,,1.0,7.0,0,7.0,7.0,7
Dorin Dickerson,DET,25,TE,5,0,,,0,,,1.0,18.0,0,18.0,18.0,52
Ed Dickson,BAL,26,TE,16,14,,,0,,,1.0,0.0,0,0.0,0.0,273
Patrick DiMarco,ATL,24,RB,14,7,,,0,,,1.0,21.0,0,21.0,21.0,70
Lance Dunbar,DAL,23,RB,9,0,,,0,,,1.0,28.0,0,28.0,28.0,237
Andre Ellington,ARI,24,RB,15,1,,,0,,,1.0,21.0,0,21.0,21.0,1044
Rhett Ellison,MIN,25,RB,11,6,,,0,,,1.0,7.0,0,7.0,7.0,68
Zach Ertz,PHI,23,TE,16,3,,,0,,,1.0,0.0,0,0.0,0.0,469
Gavin Escobar,DAL,22,TE,16,1,,,0,,,1.0,0.0,0,0.0,0.0,134
Justin Forsett,JAX,28,RB,9,0,,,0,,,1.0,21.0,0,21.0,21.0,134
Dylan Gandy,DET,31,G,15,0,,,0,,,1.0,5.0,0,5.0,5.0,5
Adam Gettis,WAS,25,G,13,0,,,0,,,1.0,5.0,0,5.0,5.0,5
T.J. Graham,BUF,24,WR,16,6,,,0,,,1.0,19.0,0,19.0,19.0,394
Alex Green,NYJ,25,RB,13,0,,,0,,,1.0,22.0,0,22.0,22.0,65
Percy Harvin,SEA,25,WR,1,0,,,0,,,1.0,58.0,0,58.0,58.0,75
Dan Herron,IND,24,RB,6,0,,,0,,,1.0,13.0,0,13.0,13.0,103
Cameron Heyward,PIT,24,LDE,16,13,,,0,,,1.0,11.0,0,11.0,11.0,19
Michael Hill,2TM,24,RB,8,0,,,0,,,1.0,19.0,0,19.0,19.0,65
Malik Jackson,DEN,23,LDE,16,5,,,0,,,1.0,6.0,0,6.0,6.0,6
A.J. Jefferson,MIN,25,DB,10,0,,,0,,,1.0,21.0,0,21.0,21.0,22
Markus Kuhn,NYG,27,DT,5,0,,,0,,,1.0,13.0,0,13.0,13.0,13
Spencer Larsen,TAM,29,FB,13,1,,,0,,,1.0,17.0,0,17.0,17.0,17
Vonta Leach,BAL,32,RB,16,7,,,0,,,1.0,0.0,0,0.0,0.0,70
Erik Lorig,TAM,27,RB,15,9,,,0,,,1.0,6.0,0,6.0,6.0,53
Danieal Manning,HOU,31,SS,6,6,,,0,,,1.0,18.0,0,18.0,18.0,18
Brandon Marshall*,CHI,29,WR,16,16,,,0,,,1.0,-8.0,0,-8.0,-8.0,1287
Doug Martin,TAM,24,RB,6,6,,,0,,,1.0,40.0,0,40.0,40.0,562
Leon McFadden,CLE,23,DB,16,2,,,0,,,1.0,5.0,0,5.0,5.0,5
Marvin Mitchell,MIN,29,RLB,16,10,,,0,,,1.0,6.0,0,6.0,6.0,6
Damontre Moore,NYG,21,DE,15,0,,,0,,,1.0,12.0,0,12.0,12.0,12
Brandon Mosley,NYG,25,T,13,1,,,0,,,1.0,0.0,0,0.0,0.0,0
Kevin Ogletree,2TM,26,WR,16,2,,,0,,,1.0,25.0,0,25.0,25.0,294
Jamize Olawale,OAK,24,FB,16,1,,,0,,,1.0,6.0,0,6.0,6.0,75
Michael Palmer,PIT,25,TE,16,0,,,0,,,1.0,5.0,0,5.0,5.0,13
Quinton Patton,SFO,23,WR,6,0,,,0,,,1.0,7.0,0,7.0,7.0,67
Chris Polk,PHI,24,RB,15,0,,,0,,,1.0,8.0,0,8.0,8.0,167
Joseph Randle,DAL,22,RB,13,2,,,0,,,1.0,7.0,0,7.0,7.0,225
Theo Riddick,DET,22,RB,14,0,,,0,,,1.0,12.0,0,12.0,12.0,63
Mychal Rivera,OAK,23,TE,16,3,,,0,,,1.0,3.0,0,3.0,3.0,410
Michael Robinson,SEA,30,FB,9,3,,,0,,,1.0,4.0,0,4.0,4.0,31
Antrel Rolle*,NYG,31,SS,16,16,,,0,,,1.0,4.0,0,4.0,4.0,37
Jay Ross,BUF,26,DT,5,0,,,0,,,1.0,7.0,0,7.0,7.0,7
Andre Smith,2TM,25,TE,5,0,,,0,,,1.0,10.0,0,10.0,10.0,10
Jason Snelling,ATL,30,RB,14,1,,,0,,,1.0,23.0,0,23.0,23.0,403
Austin Spitler,MIA,27,LB,12,0,,,0,,,1.0,0.0,0,0.0,0.0,0
LaRod Stephens-Howling,PIT,26,RB,1,0,,,0,,,1.0,25.0,0,25.0,25.0,55
Jake Stoneburner,GNB,24,TE,9,0,,,0,,,1.0,0.0,0,0.0,0.0,0
Will Ta'ufo'ou,JAX,27,RB,16,7,,,0,,,1.0,5.0,0,5.0,5.0,46
Jacob Tamme,DEN,28,TE,16,1,,,0,,,1.0,0.0,0,0.0,0.0,184
Pierre Thomas,NOR,29,RB,16,9,,,0,,,1.0,12.0,0,12.0,12.0,1074
Mitch Unrein,DEN,26,DE,16,1,,,0,,,1.0,8.0,0,8.0,8.0,8
Joe Webb,MIN,27,WR,16,1,,,0,,,1.0,9.0,0,9.0,9.0,42
Kerwynn Williams,2TM,22,RB,2,0,,,0,,,1.0,28.0,0,28.0,28.0,28
Luke Willson,SEA,23,TE,16,7,,,0,,,1.0,15.0,0,15.0,15.0,287
Cierre Wood,2TM,22,RB,5,0,,,0,,,1.0,20.0,0,20.0,20.0,29
Robert Woods,BUF,21,WR,14,14,,,0,,,1.0,9.0,0,9.0,9.0,612
Jarius Wright,MIN,24,WR,16,3,,,0,,,1.0,9.0,0,9.0,9.0,443
