Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Matthew Mulligan,28.0,NWE,15.0,4.0,3.0,2.0,16.0,8.0,1.0,1.0,66.7,15.0,0.1,1.1,66.7,5.3,0.0,
Danny Noble,24.0,JAX,8.0,1.0,3.0,2.0,63.0,31.5,1.0,1.0,33.3,62.0,0.3,7.9,66.7,21.0,0.0,
Michael Robinson,30.0,SEA,9.0,3.0,3.0,2.0,27.0,13.5,0.0,1.0,66.7,21.0,0.2,3.0,66.7,9.0,0.0,
Bernard Scott,29.0,BAL,2.0,0.0,2.0,2.0,10.0,5.0,0.0,0.0,0.0,8.0,1.0,5.0,100.0,5.0,0.0,
Visanthe Shiancoe,33.0,TEN,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,100.0,1.0,0.0,
Antone Smith,28.0,ATL,15.0,0.0,3.0,2.0,10.0,5.0,0.0,0.0,0.0,6.0,0.1,0.7,66.7,3.3,0.0,
Brad Smith,30.0,PHI,6.0,0.0,2.0,2.0,27.0,13.5,0.0,2.0,100.0,14.0,0.3,4.5,100.0,13.5,1.0,
LaRod Stephens-Howling,26.0,PIT,1.0,0.0,3.0,2.0,11.0,5.5,0.0,0.0,0.0,7.0,2.0,11.0,66.7,3.7,0.0,
Craig Stevens,29.0,TEN,15.0,14.0,6.0,2.0,5.0,2.5,0.0,0.0,0.0,6.0,0.1,0.3,33.3,0.8,0.0,
Jeremy Stewart,24.0,OAK,13.0,0.0,2.0,2.0,6.0,3.0,0.0,0.0,0.0,5.0,0.2,0.5,100.0,3.0,0.0,
Lamaar Thomas,23.0,JAX,2.0,0.0,3.0,2.0,31.0,15.5,0.0,2.0,66.7,18.0,1.0,15.5,66.7,10.3,0.0,
Brian Tyms,24.0,CLE,7.0,0.0,5.0,2.0,12.0,6.0,0.0,2.0,40.0,6.0,0.3,1.7,40.0,2.4,0.0,
David Wilson,22.0,NYG,5.0,4.0,6.0,2.0,8.0,4.0,0.0,0.0,16.7,6.0,0.4,1.6,33.3,1.3,2.0,
Marquess Wilson,21.0,CHI,10.0,1.0,3.0,2.0,13.0,6.5,0.0,1.0,33.3,10.0,0.2,1.3,66.7,4.3,0.0,
Dwayne Allen,23.0,IND,1.0,1.0,2.0,1.0,20.0,20.0,1.0,1.0,50.0,20.0,1.0,20.0,50.0,10.0,0.0,
Vick Ballard,23.0,IND,1.0,1.0,2.0,1.0,-5.0,-5.0,0.0,0.0,0.0,-5.0,1.0,-5.0,50.0,-2.5,0.0,
Joe Banyard,25.0,MIN,3.0,0.0,1.0,1.0,11.0,11.0,0.0,1.0,100.0,11.0,0.3,3.7,100.0,11.0,0.0,
Richie Brockel,27.0,CAR,16.0,0.0,1.0,1.0,12.0,12.0,0.0,1.0,100.0,12.0,0.1,0.8,100.0,12.0,1.0,
Orson Charles,22.0,CIN,13.0,0.0,2.0,1.0,8.0,8.0,0.0,0.0,0.0,8.0,0.1,0.6,50.0,4.0,0.0,
Chimdi Chekwa,25.0,OAK,15.0,1.0,1.0,1.0,22.0,22.0,0.0,1.0,100.0,22.0,0.1,1.5,100.0,22.0,0.0,
Tyler Clutts,29.0,2TM,8.0,0.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,0.1,0.5,50.0,2.0,1.0,
Kevin Cone,25.0,ATL,16.0,0.0,1.0,1.0,12.0,12.0,0.0,1.0,100.0,12.0,0.1,0.8,100.0,12.0,0.0,
Justice Cunningham,22.0,IND,1.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,4.0,100.0,4.0,0.0,
Armanti Edwards,25.0,2TM,6.0,0.0,5.0,1.0,10.0,10.0,0.0,0.0,0.0,10.0,0.2,1.7,20.0,2.0,0.0,
Ryan Fitzpatrick,31.0,TEN,11.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.1,0.0,100.0,0.0,9.0,
Richard Gordon,26.0,KAN,2.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,0.5,1.5,100.0,3.0,0.0,
Ray Graham,23.0,HOU,1.0,0.0,3.0,1.0,12.0,12.0,0.0,1.0,33.3,12.0,1.0,12.0,33.3,4.0,0.0,
Tori Gurley,26.0,CLE,3.0,0.0,3.0,1.0,15.0,15.0,0.0,1.0,33.3,15.0,0.3,5.0,33.3,5.0,0.0,
