Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
Matt Grootegoed,23,DET,LB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,2.0,2.0,0.0,0,
Jermaine Hardy,23,CAR,DB,3,0,0,0,0,0,0.0,1,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
Daven Holly,23,CHI,DB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,0.0,2.0,0.0,0,
Von Hutchins,24,IND,DB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.0,4.0,2.0,0.0,0,
Eric Johnson,29,ARI,LB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
Adrian Mayes,25,ARI,DB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
Matt McChesney,24,NYJ,DT,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,1.0,0,
Sean McHugh,23,DET,FB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,2.0,1.0,0.0,0,
Chris McKenzie,23,HOU,DB,3,0,0,0,0,0,2.0,0,0,0,0,0,1.0,4.0,4.0,0.0,1.0,0,
Zach Norton,24,BAL,DB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
Evan Oglesby,24,BAL,DB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
Dimitri Patterson,22,WAS,DB,3,0,1,20,0,20,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
Marcus Randall,23,TEN,DB,3,0,0,0,0,0,0.0,0,0,1,0,0,0.0,2.0,2.0,0.0,0.0,0,
Aaron Rodgers,22,GNB,QB,3,0,0,0,0,0,0.0,0,2,0,0,0,0.0,,,,,0,
Nick Rogers,26,MIA,LB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0,
Chad Scott,31,NWE,DB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,5.0,0.0,0.0,0,
Garnell Wilds,24,CAR,DB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,4.0,0.0,0.0,0,
George Wilson,24,BUF,WR,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
Manuel Wright,21,MIA,DT,3,0,0,0,0,0,1.0,0,0,0,0,0,1.0,4.0,2.0,2.0,1.0,0,
Fernando Bryant,28,DET,DB,2,2,0,0,0,0,1.0,1,0,0,0,0,0.0,9.0,8.0,1.0,1.0,0,
Donovin Darius,30,JAX,DB,2,2,0,0,0,0,0.0,0,0,0,0,0,0.0,6.0,5.0,1.0,0.0,0,
Arturo Freeman,29,NWE,DB,2,1,0,0,0,0,0.0,0,0,0,0,0,0.0,7.0,5.0,2.0,0.0,0,
Matt Mauck,26,TEN,QB,2,1,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0,
Justin Sandy,23,TEN,DB,2,1,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0,
Matt Cassel,23,NWE,QB,2,0,0,0,0,0,0.0,0,2,1,-1,0,0.0,0.0,0.0,0.0,0.0,0,
Adimchinobe Echemandu,25,MIN,RB,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0,
Liam Ezekiel,23,BUF,LB,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
Jay Fiedler,34,NYJ,QB,2,0,0,0,0,0,0.0,0,1,1,-5,0,0.0,0.0,0.0,0.0,0.0,0,
Keyaron Fox,23,KAN,LB,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,1.0,0,
Paul Grasmanis,31,PHI,DT,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
Anttaj Hawthorne,24,OAK,DT,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,2.0,2.0,0.0,0,
T.J. Hollowell,24,NYJ,LB,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
Thomas Johnson,24,DAL,DT,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,1.0,1.0,0.0,0,
Jamal Jones,24,GNB,WR,2,0,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0,
Alfred Malone,23,HOU,DE,2,0,0,0,0,0,1.0,0,0,0,0,0,1.0,10.0,6.0,4.0,3.0,0,
Scott McGarrahan,31,SDG,DB,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0,
Jim Nelson,30,BAL,LB,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
Joe Odom,26,CHI,LB,2,0,0,0,0,0,0.0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0,
Dan Orlovsky,22,DET,QB,2,0,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
Monsanto Pope,27,DEN,DT,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
Philip Rivers,24,SDG,QB,2,0,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
