Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Brandon McManus,DEN,25,K,16,0,,,9.0,9.0,10.0,10.0,9.0,7.0,6.0,3.0,34.0,29.0,55.0,85.3%,33.0,32.0,97.0%,79.0,4836.0,51.0,64.6%,61.2
Jason Myers,JAX,25,K,16,0,,,7.0,7.0,4.0,3.0,11.0,10.0,12.0,7.0,34.0,27.0,56.0,79.4%,32.0,29.0,90.6%,76.0,4673.0,60.0,78.9%,61.5
Stephen Gostkowski,NWE,32,K,16,0,,,9.0,9.0,9.0,6.0,10.0,9.0,4.0,3.0,32.0,27.0,53.0,84.4%,49.0,46.0,93.9%,93.0,5924.0,52.0,55.9%,63.7
Dan Bailey,DAL,28,K,16,0,,,9.0,9.0,8.0,8.0,9.0,7.0,6.0,3.0,32.0,27.0,56.0,84.4%,46.0,46.0,100.0%,91.0,5827.0,57.0,62.6%,64.0
Josh Lambo,SDG,26,K,16,0,,,7.0,7.0,14.0,13.0,8.0,6.0,3.0,,32.0,26.0,47.0,81.3%,46.0,42.0,91.3%,91.0,5694.0,67.0,73.6%,62.6
Adam Vinatieri,IND,44,K,16,0,,,3.0,3.0,7.0,7.0,12.0,10.0,9.0,7.0,31.0,27.0,54.0,87.1%,44.0,44.0,100.0%,,,,,
Roberto Aguayo,TAM,22,K,16,0,,,5.0,5.0,15.0,13.0,10.0,4.0,1.0,,31.0,22.0,43.0,71.0%,34.0,32.0,94.1%,79.0,4993.0,52.0,65.8%,63.2
Nick Folk,NYJ,32,K,16,0,,,13.0,12.0,11.0,10.0,3.0,3.0,4.0,2.0,31.0,27.0,51.0,87.1%,26.0,24.0,92.3%,70.0,4425.0,39.0,55.7%,63.2
Mason Crosby,GNB,32,K,16,0,1.0,1.0,6.0,6.0,14.0,12.0,7.0,6.0,2.0,1.0,30.0,26.0,53.0,86.7%,47.0,44.0,93.6%,89.0,5608.0,46.0,51.7%,63.0
Mike Nugent,CIN,34,K,13,0,,,9.0,9.0,10.0,9.0,7.0,5.0,3.0,,29.0,23.0,47.0,79.3%,29.0,23.0,79.3%,63.0,3970.0,28.0,44.4%,63.0
Chandler Catanzaro,ARI,25,K,16,0,1.0,1.0,6.0,5.0,7.0,6.0,8.0,6.0,6.0,3.0,28.0,21.0,60.0,75.0%,47.0,43.0,91.5%,83.0,5220.0,52.0,62.7%,62.9
Dan Carpenter,BUF,31,K,16,0,1.0,1.0,8.0,8.0,5.0,5.0,9.0,4.0,2.0,1.0,25.0,19.0,54.0,76.0%,45.0,40.0,88.9%,69.0,4154.0,28.0,40.6%,60.2
Chris Boswell,PIT,25,K,15,0,,,2.0,2.0,9.0,8.0,12.0,11.0,2.0,,25.0,21.0,49.0,84.0%,36.0,36.0,100.0%,80.0,4953.0,49.0,61.3%,61.9
Cody Parkey,CLE,24,K,14,0,,,6.0,6.0,6.0,6.0,12.0,7.0,1.0,1.0,25.0,20.0,51.0,80.0%,21.0,20.0,95.2%,57.0,3475.0,34.0,59.6%,61.0
Ryan Succop,TEN,30,K,16,0,1.0,1.0,5.0,5.0,5.0,5.0,8.0,8.0,5.0,3.0,24.0,22.0,53.0,91.7%,41.0,39.0,95.1%,82.0,5086.0,58.0,70.7%,62.0
Connor Barth,CHI,30,K,16,0,,,8.0,7.0,8.0,7.0,4.0,3.0,3.0,1.0,23.0,18.0,54.0,78.3%,32.0,31.0,96.9%,64.0,3973.0,26.0,40.6%,62.1
Greg Zuerlein,LAR,29,K,16,0,,,5.0,5.0,9.0,9.0,4.0,3.0,4.0,2.0,22.0,19.0,54.0,86.4%,23.0,23.0,100.0%,59.0,3794.0,36.0,61.0%,64.3
Andrew Franks,MIA,23,K,16,0,,,10.0,8.0,6.0,6.0,3.0,1.0,2.0,1.0,21.0,16.0,55.0,76.2%,42.0,41.0,97.6%,74.0,4768.0,43.0,58.1%,64.4
Phil Dawson,SFO,41,K,16,0,,,4.0,4.0,6.0,6.0,9.0,7.0,2.0,1.0,21.0,18.0,53.0,85.7%,34.0,33.0,97.1%,41.0,2304.0,4.0,9.8%,56.2
Blair Walsh,MIN,26,K,9,0,1.0,1.0,1.0,1.0,6.0,5.0,6.0,4.0,2.0,1.0,16.0,12.0,50.0,75.0%,19.0,15.0,78.9%,41.0,2569.0,19.0,46.3%,62.7
Kai Forbath,MIN,29,K,7,0,,,5.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,15.0,15.0,51.0,100.0%,14.0,11.0,78.6%,38.0,2363.0,19.0,50.0%,62.2
Josh Brown,NYG,37,K,5,0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,,12.0,11.0,48.0,91.7%,9.0,9.0,100.0%,24.0,1452.0,15.0,62.5%,60.5
Robbie Gould,NYG,34,K,10,0,,,3.0,3.0,3.0,3.0,4.0,4.0,,,10.0,10.0,47.0,100.0%,23.0,20.0,87.0%,43.0,2671.0,19.0,44.2%,62.1
Randy Bullock,3TM,27,K,5,0,,,4.0,4.0,2.0,2.0,3.0,2.0,,,9.0,8.0,44.0,88.9%,10.0,9.0,90.0%,23.0,1450.0,14.0,60.9%,63.0
Patrick Murray,CLE,25,K,2,0,,,,,1.0,1.0,,,1.0,,2.0,1.0,35.0,50.0%,4.0,3.0,75.0%,7.0,463.0,4.0,57.1%,66.1
Matthew Bosher,ATL,29,P,15,0,,,,,,,,,,,,,,,,,,105.0,6781.0,65.0,61.9%,64.6
Pat McAfee*,IND,29,P,16,0,,,,,,,,,,,,,,,,,,89.0,5697.0,49.0,55.1%,64.0
Sam Martin,DET,26,P,16,0,,,,,,,,,,,,,,,,,,78.0,4819.0,52.0,66.7%,61.8
Bradley Pinion,SFO,22,P,16,0,,,,,,,,,,,,,,,,,,31.0,1955.0,20.0,64.5%,63.1
Matt Wile,2TM,24,P,4,0,,,,,,,,,,,,,,,,,,7.0,455.0,7.0,100.0%,65.0
Bryan Anger,TAM,28,P,16,0,,,,,,,,,,,,,,,,,,2.0,97.0,,,48.5
Britton Colquitt,CLE,31,P,16,0,,,,,,,,,,,,,,,,,,2.0,125.0,,,62.5
Riley Dixon,DEN,23,P,16,0,,,,,,,,,,,,,,,,,,2.0,100.0,,,50.0
Brian Peters,HOU,28,LB,12,0,,,,,,,,,,,,,,,,,,2.0,123.0,,,61.5
Kevin Huber,CIN,31,P,16,0,,,,,,,,,,,,,,,,,,1.0,64.0,,,64.0
Drew Kaser,SDG,23,P,16,0,,,,,,,,,,,,,,,,,,1.0,60.0,,,60.0
Brett Kern,TEN,30,P,16,0,,,,,,,,,,,,,,,,,,1.0,59.0,,,59.0
Sam Koch,BAL,34,P,16,0,,,,,,,,,,,,,,,,,,1.0,65.0,,,65.0
Andy Lee,CAR,34,P,9,0,,,,,,,,,,,,,,,,,,1.0,71.0,,,71.0
Brad Nortman,JAX,27,P,16,0,,,,,,,,,,,,,,,,,,1.0,54.0,,,54.0
Pat O'Donnell,CHI,25,P,16,0,,,,,,,,,,,,,,,,,,1.0,51.0,,,51.0
Jon Ryan,SEA,35,P,16,0,,,,,,,,,,,,,,,,,,1.0,65.0,,,65.0
Colton Schmidt,BUF,26,P,16,0,,,,,,,,,,,,,,,,,,1.0,45.0,,,45.0
Brad Wing,NYG,25,P,16,0,,,,,,,,,,,,,,,,,,1.0,67.0,,,67.0
