Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Chris Weinke,33,CAR,QB,3,0,,7,13,53.8,64,1,7.7,0,0.0,4,46.2,18,4.9,6.46,9.1,21.3,93.1,0,0,0.00,4.92,6.46,1,1,
Dan Orlovsky,22,DET,QB,2,0,,7,17,41.2,63,0,0.0,0,0.0,5,33.3,20,3.7,3.71,9.0,31.5,51.8,1,3,5.56,3.33,3.33,0,0,
Jeff Blake,35,CHI,QB,2,0,,8,9,88.9,55,1,11.1,0,0.0,4,66.7,17,6.1,8.33,6.9,27.5,129.2,0,0,0.00,6.11,8.33,0,0,
LaDainian Tomlinson,26,SDG,RB,16,16,,3,4,75.0,47,3,75.0,0,0.0,3,75.0,26,11.8,26.75,15.7,2.9,153.1,0,0,0.00,11.75,26.75,0,0,"PB,AP-2"
Doug Flutie,43,NWE,QB,5,0,,5,10,50.0,29,0,0.0,0,0.0,3,27.3,13,2.9,2.90,5.8,5.8,56.2,1,13,9.09,1.45,1.45,0,0,
Arnaz Battle,25,SFO,WR,10,8,,2,2,100.0,27,0,0.0,0,0.0,1,50.0,24,13.5,13.50,13.5,2.7,118.7,0,0,0.00,13.50,13.50,0,0,
Craig Hentrich,34,TEN,P,16,0,,1,2,50.0,26,0,0.0,0,0.0,1,50.0,26,13.0,13.00,26.0,1.6,95.8,0,0,0.00,13.00,13.00,0,0,
Brad Maynard,31,CHI,P,16,0,,1,2,50.0,18,0,0.0,0,0.0,1,50.0,18,9.0,9.00,18.0,1.1,81.2,0,0,0.00,9.00,9.00,0,0,
Kliff Kingsbury,26,NYJ,QB,1,0,,1,2,50.0,17,0,0.0,0,0.0,0,,17,8.5,8.50,17.0,17.0,79.2,0,0,0.00,8.50,8.50,0,0,
Clinton Portis,24,WAS,RB,16,16,,1,2,50.0,17,1,50.0,0,0.0,1,50.0,17,8.5,18.50,17.0,1.1,118.7,0,0,0.00,8.50,18.50,0,0,
Tony Fisher,26,GNB,RB,14,4,,1,1,100.0,14,0,0.0,0,0.0,1,100.0,14,14.0,14.00,14.0,1.0,118.7,0,0,0.00,14.00,14.00,0,0,
Matt Jones,22,JAX,WR,16,1,,2,3,66.7,12,0,0.0,0,0.0,0,66.7,6,4.0,4.00,6.0,0.8,74.3,0,0,0.00,4.00,4.00,0,0,
Bradlee Van Pelt,25,DEN,QB,3,0,,2,8,25.0,7,0,0.0,0,0.0,0,,5,0.9,0.88,3.5,2.3,39.6,0,0,0.00,0.88,0.88,0,0,
B.J. Sander,25,GNB,P,14,0,,1,1,100.0,4,0,0.0,0,0.0,0,,4,4.0,4.00,4.0,0.3,83.3,0,0,0.00,4.00,4.00,0,0,
Roscoe Parrish,23,BUF,WR,10,1,,1,1,100.0,3,0,0.0,0,0.0,0,,3,3.0,3.00,3.0,0.3,79.2,0,0,0.00,3.00,3.00,0,0,
