Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,Fmb,FR,Yds,FRTD,Sk,Comb,Sfty,Awards
Chuck Muncie,27,NOR,RB,4,3,0,0,0,0,1,0,0,0,0.0,,0,
Chuck Muncie,27,SDG,FB,11,5,0,0,0,0,10,0,0,0,0.0,,0,
Tom Beasley,26,PIT,DT,15,4,0,0,0,0,0,0,0,0,1.0,,0,
Charles DeJurnett,28,SDG,DE,15,4,0,0,0,0,0,1,0,0,5.5,,0,
Rick Walker,25,WAS,TE,15,4,0,0,0,0,1,2,0,0,0.0,,0,
Lenvil Elliott,29,SFO,RB,15,3,0,0,0,0,5,3,0,0,0.0,,0,
Mike Fanning,27,RAM,DT,15,3,0,0,0,0,0,1,0,0,10.0,,0,
Don Goode,29,CLE,LB,15,3,0,0,0,0,0,0,0,0,1.0,,0,
Maurice Harvey,24,DEN,DB,15,3,1,18,0,18,0,0,0,0,0.0,,0,
Dave Stalls,25,TAM,DE,15,3,0,0,0,0,0,0,0,0,3.0,,0,
Gary Davis,26,TAM,RB,15,2,0,0,0,0,1,0,0,0,0.0,,0,
Len Walterscheid,26,CHI,DB,15,2,4,84,1,36,0,1,0,0,1.0,,0,
Rickey Watts,23,CHI,WR,15,2,0,0,0,0,1,0,0,0,0.0,,0,
Arthur Whittington,25,OAK,RB,15,2,0,0,0,0,3,3,-9,0,0.0,,0,
Rob Carpenter,25,HOU,RB,15,1,0,0,0,0,4,1,0,0,0.0,,0,
Ron Cassidy,23,GNB,WR,15,1,0,0,0,0,1,0,0,0,0.0,,0,
Rickey Claitt,23,WAS,RB,15,1,0,0,0,0,3,1,0,0,0.0,,0,
Oliver Davis,26,CLE,DB,15,1,1,70,0,70,0,0,0,0,0.0,,0,
Buddy Hardeman,26,WAS,RB,15,1,0,0,0,0,2,1,0,0,0.0,,0,
Bruce Harper,25,NYJ,RB,15,1,0,0,0,0,2,3,0,0,0.0,,0,
Terry Jones,24,GNB,NT,15,1,0,0,0,0,0,1,0,0,2.0,,0,
Mark Lee,22,GNB,DB,15,1,0,0,0,0,1,0,0,0,0.0,,0,
Bob Rush,25,SDG,C,15,1,0,0,0,0,2,0,-35,0,0.0,,0,
Carl Barisich,29,MIA,NT,15,0,0,0,0,0,1,1,0,0,0.0,,0,
Billy Campfield,24,PHI,RB,15,0,0,0,0,0,4,1,0,0,0.0,,0,
Alvin Garrett,24,NYG,RB,15,0,0,0,0,0,5,3,0,0,0.0,,0,
Carter Hartwig,24,HOU,DB,15,0,1,0,0,0,0,0,0,0,0.0,,0,
Steve Heimkreiter,23,BAL,LB,15,0,0,0,0,0,0,1,2,0,0.0,,0,
Bruce Huther,26,DAL,LB,15,0,0,0,0,0,0,1,0,0,0.0,,0,
Chris Keating,23,BUF,LB,15,0,0,0,0,0,0,1,0,0,0.0,,0,
Kit Lathrop,24,GNB,DE,15,0,0,0,0,0,0,1,0,0,0.0,,0,
Paul McDonald,22,CLE,QB,15,0,0,0,0,0,2,0,-9,0,0.0,,0,
Fred Nixon,22,GNB,WR,15,0,0,0,0,0,1,0,0,0,0.0,,0,
Booker Russell,24,SDG,RB,15,0,0,0,0,0,1,1,0,0,0.0,,0,
Calvin Sweeney,25,PIT,WR,15,0,0,0,0,0,1,0,0,0,0.0,,0,
Cliff Thrift,24,SDG,LB,15,0,1,0,0,0,0,1,0,0,1.0,,0,
Matt Blair,30,MIN,LLB,14,14,3,0,0,0,0,1,0,0,1.0,,0,"PB,AP-1"
Greg Buttle,26,NYJ,LLB,14,14,1,15,0,15,0,1,0,0,0.0,,0,
Glenn Cameron,27,CIN,RILB,14,14,3,43,0,27,0,1,0,0,1.0,,0,
Tom Hicks,28,CHI,MLB,14,14,1,8,0,8,0,0,0,0,1.0,,0,
Robert Jackson,26,CLE,LILB,14,14,2,15,0,9,0,0,0,0,3.0,,0,
Steve Neils,29,STL,LOLB,14,14,0,0,0,0,0,1,0,0,6.5,,0,
Pat Thomas,26,RAM,LCB,14,14,3,14,0,14,0,1,6,0,0.0,,0,"PB,AP-1"
Pat Tilley,27,STL,WR,14,14,0,0,0,0,0,1,0,0,0.0,,0,PB
Mike Williams,27,SDG,RCB,14,14,1,0,0,0,0,0,0,0,0.0,,0,
Steve Fuller,23,KAN,QB,14,13,0,0,0,0,16,7,-43,0,0.0,,0,
Jacob Green,23,SEA,LDE,14,13,0,0,0,0,0,0,0,0,6.0,,0,AP DRoY-6
Bill Gregory,31,SEA,RDE,14,13,0,0,0,0,0,1,0,0,3.5,,0,
Jim Jensen,27,DEN,FB,14,13,0,0,0,0,1,0,0,0,0.0,,0,
Reggie Kinlaw,23,OAK,NT,14,13,0,0,0,0,0,0,0,0,2.0,,0,
Jack Lambert,28,PIT,MLB,14,13,2,1,0,1,0,0,0,0,0.0,,0,"PB,AP-1"
Clay Matthews,24,CLE,ROLB,14,13,1,6,0,6,0,1,0,0,5.0,83,0,
Ray Preston,26,SDG,LLB,14,13,0,0,0,0,0,1,0,0,2.0,,0,
Sanders Shiver,26,BAL,LLB,14,13,1,34,1,34,0,0,0,0,0.0,,0,
Reggie Williams,26,CIN,ROLB,14,13,2,8,0,8,1,1,0,0,2.0,,1,
Ron Yankowski,34,STL,RDE,14,13,0,0,0,0,0,1,0,0,5.0,,0,
Don Bass,24,CIN,WR,14,12,0,0,0,0,0,1,0,0,0.0,,0,
Ricky Bell,25,TAM,FB,14,12,0,0,0,0,3,0,0,0,0.0,,0,
Elvin Bethea,34,HOU,RDE,14,12,0,0,0,0,0,1,0,0,2.0,,0,
Bobby Bryant,36,MIN,RCB,14,12,3,10,0,7,0,0,0,0,0.0,,0,
Robin Cole,25,PIT,RLB,14,12,1,34,0,34,0,1,14,0,1.0,,0,
Willie Harper,30,SFO,LLB/LOLB,14,12,0,0,0,0,0,1,0,0,1.5,,0,
Fred Dean,28,SDG,RDE,14,11,0,0,0,0,0,1,0,0,10.5,,0,"PB,AP-1"
Terry Hermeling,34,WAS,LT,14,11,0,0,0,0,0,1,0,0,0.0,,0,
Ken Schroy,28,NYJ,SS,14,10,8,91,1,82,0,2,0,0,0.0,,0,
Theo Bell,27,PIT,WR,14,9,0,0,0,0,1,0,0,0,0.0,,0,
Randy McClanahan,26,OAK,RILB,14,8,1,7,0,7,0,0,0,0,0.0,,0,
Ray Rhodes,30,SFO,LCB,14,7,1,25,0,25,0,1,0,0,0.0,,0,
Matt Robinson,25,DEN,QB,14,7,0,0,0,0,6,1,-7,0,0.0,,0,
Charles White,22,CLE,RB,14,7,0,0,0,0,1,1,0,0,0.0,,0,
Johnny Davis,24,TAM,RB,14,6,0,0,0,0,1,0,0,0,0.0,,0,
James Owens,25,SFO,WR,14,6,0,0,0,0,3,3,0,0,0.0,,0,
Wilson Faumuina,26,ATL,NT,14,5,0,0,0,0,0,0,0,0,3.5,,0,
Larry Heater,22,NYG,RB,14,5,0,0,0,0,1,0,0,0,0.0,,0,
Horace Belton,25,KAN,RB,14,4,0,0,0,0,3,1,0,0,0.0,,0,
Terry Tautolo,26,SFO,LB,14,4,1,0,0,0,0,2,6,0,1.0,,0,
Jack Thompson,24,CIN,QB,14,4,0,0,0,0,5,3,-1,0,0.0,,0,
Woody Bennett,25,2TM,RB,14,3,0,0,0,0,2,2,0,0,0.0,,0,
Woody Bennett,25,NYJ,RB,10,0,0,0,0,0,1,1,0,0,0.0,,0,
Woody Bennett,25,MIA,RB,4,3,0,0,0,0,1,1,0,0,0.0,,0,
Dirt Winston,25,PIT,LB,14,3,0,0,0,0,0,4,0,0,0.0,,0,
Jeff Moore,24,SEA,RB,14,2,0,0,0,0,4,2,0,0,0.0,,0,
Edgar Fields,26,ATL,NT,14,1,0,0,0,0,0,0,0,0,1.0,,0,
Perry Harrington,22,PHI,RB,14,1,0,0,0,0,1,0,0,0,0.0,,0,
Kevin House,23,TAM,WR,14,1,0,0,0,0,1,0,0,0,0.0,,0,
Lawrence McCutcheon,30,2TM,RB,14,1,0,0,0,0,4,2,0,0,0.0,,0,
Lawrence McCutcheon,30,DEN,RB,6,0,0,0,0,0,1,0,0,0,0.0,,0,
Lawrence McCutcheon,30,SEA,RB,8,1,0,0,0,0,3,2,0,0,0.0,,0,
Dan Nugent,27,WAS,G,14,1,0,0,0,0,0,1,0,0,0.0,,0,
Earnest Rhone,27,MIA,LB,14,1,3,33,0,12,0,0,0,0,1.0,,0,
Perry Smith,29,DEN,DB,14,1,2,3,0,3,0,0,0,0,0.0,,0,
Ronnie Coleman,29,HOU,RB,14,0,0,0,0,0,1,0,0,0,0.0,,0,
Horace Ivory,26,NWE,RB,14,0,0,0,0,0,3,0,0,0,0.0,,0,
Ken Kremer,23,KAN,DE,14,0,0,0,0,0,0,1,0,0,4.0,,0,
Don Latimer,25,DEN,NT,14,0,1,15,1,15,0,0,0,0,1.0,,0,
John Mohring,24,CLE,LB,14,0,0,0,0,0,0,1,0,0,1.0,,0,
Cleo Montgomery,24,CIN,WR,14,0,0,0,0,0,3,2,0,0,0.0,,0,
Rick Razzano,25,CIN,LB,14,0,0,0,0,0,0,2,0,0,0.0,,0,
Cedric Brown,26,TAM,FS,13,13,1,0,0,0,0,0,80,1,0.0,,0,
Joe Fields,27,NYJ,C,13,13,0,0,0,0,0,1,0,0,0.0,,0,
Cleveland Franklin,25,BAL,FB,13,13,0,0,0,0,2,0,0,0,0.0,,0,
Tom Glassic,26,DEN,LG,13,13,0,0,0,0,0,1,0,0,0.0,,0,
Franco Harris,30,PIT,FB,13,13,0,0,0,0,7,4,0,0,0.0,,0,PB
Don McNeal,22,MIA,LCB,13,13,5,17,0,15,0,1,0,0,0.0,,0,AP DRoY-5
Phil Simms,25,NYG,QB,13,13,0,0,0,0,6,2,-5,0,0.0,,0,
J.T. Taylor,24,NOR,LT,13,13,0,0,0,0,0,1,0,0,0.0,,0,
Ken Anderson,31,CIN,QB,13,12,0,0,0,0,1,2,0,0,0.0,,0,
Amos Fowler,24,DET,C,13,12,0,0,0,0,0,1,0,0,0.0,,0,
Mike Haynes,27,NWE,RCB,13,12,1,31,0,31,2,3,6,0,1.0,,0,"PB,AP-2"
Tim Kearney,30,STL,RILB,13,12,1,22,0,22,0,0,0,0,1.5,,0,
Don Warren,24,WAS,TE,13,12,0,0,0,0,1,0,0,0,0.0,,0,
Mike Woods,26,BAL,RLB,13,12,1,13,0,13,0,0,0,0,2.0,,0,
Jim Plunkett,33,OAK,QB,13,11,0,0,0,0,9,2,-2,0,0.0,,0,
Lynn Swann,28,PIT,WR,13,11,0,0,0,0,0,1,0,0,0.0,,0,
David Woodley,22,MIA,QB,13,11,0,0,0,0,3,0,0,0,0.0,,0,AP ORoY-3
Mike Dennis,22,NYG,RCB,13,10,5,68,0,28,0,0,0,0,0.0,,0,
Vince Evans,25,CHI,QB,13,10,0,0,0,0,4,0,-3,0,0.0,,0,
Elvis Peacock,24,RAM,RB,13,9,0,0,0,0,1,0,0,0,0.0,,0,
Clarence Williams,25,SDG,RB,13,9,0,0,0,0,3,0,0,0,0.0,,0,
Scott Hilton,26,SFO,MLB/RILB,13,8,0,0,0,0,0,1,0,0,0.0,,0,
George Andrews,25,RAM,RLB,13,7,0,0,0,0,0,1,0,0,0.0,,0,
Henry Childs,29,NOR,TE,13,7,0,0,0,0,1,1,0,0,0.0,,0,
Richard Bishop,30,NWE,LDE,13,5,0,0,0,0,0,1,0,0,5.5,,0,
James Hadnot,23,KAN,RB,13,5,0,0,0,0,4,1,0,0,0.0,,0,
Ken Houston,36,WAS,SS,13,5,0,0,0,0,0,0,0,0,2.0,,0,
Autry Beamon,27,CLE,DB,13,0,0,0,0,0,0,1,0,0,0.0,,0,
Ken Callicutt,25,DET,RB,13,0,0,0,0,0,5,2,0,0,0.0,,0,
Eddie Cole,24,DET,LB,13,0,0,0,0,0,0,1,0,0,0.0,,1,
Judson Flint,23,CLE,DB,13,0,0,0,0,0,0,1,4,0,1.0,,0,
Terdell Middleton,25,GNB,RB,13,0,0,0,0,0,1,1,0,0,0.0,,0,
Bruce Thornton,22,DAL,DE,13,0,0,0,0,0,0,0,0,0,3.0,,0,
Steve Grogan,27,NWE,QB,12,12,0,0,0,0,4,1,-10,0,0.0,,0,
Wilbert Montgomery,26,PHI,RB,12,12,0,0,0,0,3,1,0,0,0.0,,0,
Jack Rudnay,33,KAN,C,12,12,0,0,0,0,0,2,0,0,0.0,,0,
Pete Shaw,26,SDG,SS,12,12,4,50,0,25,0,0,0,0,0.0,,0,
Eric Williams,25,STL,LILB,12,12,2,31,0,20,0,0,0,0,1.5,,0,
John Banaszak,30,PIT,RDE,12,11,0,0,0,0,0,0,0,0,2.5,,0,
Ed O'Neil,28,GNB,LILB,12,11,0,0,0,0,0,2,26,0,0.0,,0,
Neal Olkewicz,23,WAS,MLB,12,11,0,0,0,0,0,1,0,0,0.0,,0,
Whitney Paul,27,KAN,ROLB,12,10,1,0,0,0,0,2,32,1,0.5,,0,
Dave Preston,25,DEN,RB,12,10,0,0,0,0,3,1,-8,0,0.0,,0,
John Skorupan,29,NYG,ROLB,12,10,0,0,0,0,0,2,0,0,2.0,,0,
Jim Smith,25,PIT,WR,12,10,0,0,0,0,1,1,0,0,0.0,,0,
Ted Vincent,24,SFO,RDT,12,10,0,0,0,0,0,0,0,0,3.0,,0,
Craig Morton,37,DEN,QB,12,9,0,0,0,0,4,3,-7,0,0.0,,0,
Fred Dean,25,WAS,LT,12,8,0,0,0,0,0,1,0,0,0.0,,0,
Ken Greene,24,STL,SS,12,8,4,41,0,26,0,1,0,0,1.0,,0,
Pete Johnson,26,CIN,FB,12,8,0,0,0,0,2,1,0,0,0.0,,0,
Gary Woolford,26,NYG,FS,12,8,2,0,0,0,0,1,0,0,0.0,,0,
Brooks Williams,26,NOR,TE,12,6,0,0,0,0,1,0,0,0,0.0,,0,
Tim Collier,26,STL,LCB,12,5,2,22,0,22,0,0,0,0,0.0,,0,
Sidney Thornton,26,PIT,RB,12,5,0,0,0,0,5,1,0,0,0.0,,0,
Perry Brooks,26,WAS,RDT,12,4,0,0,0,0,0,0,0,0,3.0,,0,
Cleveland Green,23,MIA,T,12,3,0,0,0,0,0,1,0,0,0.0,,0,
Duriel Harris,26,MIA,WR,12,3,0,0,0,0,1,0,0,0,0.0,,0,
Don Reese,29,NOR,DE,12,3,0,0,0,0,0,1,34,1,2.0,,0,
Wilbur Young,31,SDG,DE,12,3,0,0,0,0,0,1,0,0,2.0,,0,
Dennis Johnson,22,MIN,TE,12,2,0,0,0,0,0,1,0,0,0.0,,0,
Deacon Turner,25,CIN,RB,12,1,0,0,0,0,1,0,0,0,0.0,,0,
Al Dixon,26,KAN,TE,12,0,0,0,0,0,1,0,0,0,0.0,,0,
Ike Forte,26,WAS,RB,12,0,0,0,0,0,1,0,0,0,0.0,,0,
Ricky Jones,25,BAL,LB,12,0,0,0,0,0,0,2,0,0,1.0,,0,
Bruce Radford,25,TAM,DE,12,0,0,0,0,0,0,1,0,0,0.0,,0,
Keith Wright,24,CLE,WR,12,0,0,0,0,0,2,0,0,0,0.0,,0,
Kerry Justin,25,SEA,LCB,11,11,1,0,0,0,0,0,0,0,0.0,,0,
Bill Simpson,29,BUF,FS,11,11,4,36,0,14,0,1,0,0,0.0,,1,
Billy Taylor,24,NYG,RB,11,10,0,0,0,0,4,1,0,0,0.0,,0,
Steve DeBerg,26,SFO,QB,11,9,0,0,0,0,4,0,-6,0,0.0,,0,
Benny Barnes,29,DAL,LCB,11,6,1,30,0,30,0,0,0,0,0.0,,0,
Frank Marion,29,NYG,LILB,11,6,1,7,0,7,0,1,0,0,1.0,,0,
Danny Pittman,22,NYG,WR,11,6,0,0,0,0,1,0,0,0,0.0,,0,
Mike Zele,24,ATL,NT,11,3,0,0,0,0,0,1,0,0,2.5,,0,
Curtis Greer,23,STL,DE,11,2,0,0,0,0,0,0,0,0,6.5,,0,
Stan Holloway,23,NOR,LB,11,2,0,0,0,0,1,0,0,0,0.0,,0,
Jim Kovach,24,NOR,LB,11,2,1,0,0,0,0,0,0,0,1.0,,0,
Tim Moresco,26,NYJ,DB,11,2,0,0,0,0,0,0,0,0,1.0,,0,
Jesse Thompson,24,DET,WR,11,2,0,0,0,0,1,0,0,0,0.0,,0,
Lyle Blackwood,29,BAL,DB,11,1,1,0,0,0,0,0,0,0,0.0,,0,
Doug Martin,23,MIN,DE,11,1,0,0,0,0,0,0,0,0,5.0,,0,
Dave Becker,23,CHI,DB,11,0,0,0,0,0,0,1,0,0,0.0,,0,
Mark Bell,23,STL,WR,11,0,0,0,0,0,1,0,0,0,0.0,,0,
Allan Clark,23,NWE,RB,11,0,0,0,0,0,0,1,15,1,0.0,,0,
Jessie Green,26,SEA,WR,11,0,0,0,0,0,1,1,0,0,0.0,,0,
John Lee,27,SDG,DE,11,0,0,0,0,0,0,0,0,0,1.0,,0,
Larry McGrew,23,NWE,LB,11,0,0,0,0,0,0,0,0,0,1.0,,0,
Dick Jauron,30,CIN,FS,10,10,1,11,0,11,0,1,0,0,0.0,,0,
Aaron Kyle,26,DEN,RCB,10,9,0,0,0,0,0,2,15,0,0.0,,0,
John Cappelletti,28,SDG,FB,10,8,0,0,0,0,1,0,0,0,0.0,,0,
Bud Hebert,24,NYG,FS,10,6,1,0,0,0,0,1,0,0,0.0,,0,
Don Woods,29,SFO,RB,10,5,0,0,0,0,2,2,0,0,0.0,,0,
Leon Perry,23,NYG,FB,10,4,0,0,0,0,3,1,0,0,0.0,,0,
Ben Apuna,23,NYG,LB,10,3,0,0,0,0,0,1,0,0,0.0,,0,
Jon Keyworth,30,DEN,RB,10,3,0,0,0,0,2,0,-9,0,0.0,,0,
John Arnold,25,DET,WR,10,0,0,0,0,0,1,0,0,0,0.0,,0,
Sylvester Hicks,25,KAN,DE,10,0,0,0,0,0,0,0,0,0,1.0,,0,
Myron Lapka,24,NYG,DE,10,0,0,0,0,0,0,0,0,0,1.5,,0,
Zion McKinney,22,WAS,WR,10,0,0,0,0,0,0,1,0,0,0.0,,0,
Ralph Perretta,27,2TM,C,10,0,0,0,0,0,1,1,-8,0,0.0,,0,
Ralph Perretta,27,NYG,C,5,0,0,0,0,0,0,1,0,0,0.0,,0,
Ralph Perretta,27,SDG,C,5,0,0,0,0,0,1,0,-8,0,0.0,,0,
Mike St. Clair,27,CIN,DE,10,0,0,0,0,0,0,0,0,0,5.0,,0,
Hal Stringert,28,SDG,DB,10,0,1,0,0,0,0,2,26,0,0.0,,0,
John Anderson,24,GNB,LOLB,9,9,0,0,0,0,0,1,0,0,0.5,,0,
Bob Brudzinski,25,RAM,RLB,9,8,0,0,0,0,0,0,0,0,1.0,,0,
Bob Nelson,27,OAK,RILB,9,8,1,0,0,0,0,0,0,0,2.5,,0,
Otis Armstrong,30,DEN,RB,9,6,0,0,0,0,1,1,0,0,0.0,,0,
Steve Atkins,24,GNB,RB,9,3,0,0,0,0,1,1,0,0,0.0,,0,
Terry Dion,23,SEA,DE,9,2,0,0,0,0,0,0,0,0,2.0,,0,
Al Hunter,25,SEA,RB,9,0,0,0,0,0,1,0,0,0,0.0,,0,
Derrel Luce,28,DET,LB,9,0,0,0,0,0,0,1,0,0,0.0,,0,
Ricky Patton,26,SFO,RB,9,0,0,0,0,0,1,1,0,0,0.0,,0,
Lou Piccone,31,BUF,WR,9,0,0,0,0,0,1,1,0,0,0.0,,0,
Joe Pisarcik,28,PHI,QB,9,0,0,0,0,0,1,0,0,0,0.0,,0,
John Woodcock,26,DET,LDT,8,8,0,0,0,0,0,1,0,0,3.5,,0,
Harry Carson,27,NYG,RILB,8,7,0,0,0,0,0,1,0,0,0.0,,0,
Terry Jackson,25,NYG,LCB,8,7,1,5,0,5,0,3,11,0,0.0,,0,
Joe McLaughlin,23,NYG,RILB,8,6,0,0,0,0,1,0,0,0,0.0,,0,
Terry Robiskie,26,MIA,FB,8,5,0,0,0,0,2,1,0,0,0.0,,0,
Cornell Webster,26,SEA,LCB,8,5,1,0,0,0,1,1,0,0,0.0,,0,
Luther Bradley,25,DET,DB,8,4,1,0,0,0,0,0,0,0,0.0,,0,
Bernard Jackson,30,2TM,DB,8,4,1,11,0,11,1,1,0,0,0.0,,0,
Bernard Jackson,30,DEN,DB,4,4,1,11,0,11,0,0,0,0,0.0,,0,
Bernard Jackson,30,SDG,DB,4,0,0,0,0,0,1,1,0,0,0.0,,0,
Paul Darby,24,NYJ,WR,8,0,0,0,0,0,1,1,0,0,0.0,,0,
Doug McDougald,23,NWE,DE,8,0,0,0,0,0,0,0,0,0,0.5,,0,
Cliff Odom,22,CLE,LB,8,0,0,0,0,0,0,0,0,0,1.0,,0,
Reggie Smith,24,ATL,WR,8,0,0,0,0,0,3,1,0,0,0.0,,0,
Mike Phipps,33,CHI,QB,7,6,0,0,0,0,6,0,0,0,0.0,,0,
Jeff Nixon,24,BUF,FS,7,5,5,81,1,50,0,1,0,0,0.0,,0,
Tim Foley,32,MIA,DB,7,4,0,0,0,0,0,1,0,0,0.0,,0,
Dave Pear,27,OAK,NT,7,3,0,0,0,0,0,0,0,0,0.5,,0,
Fred Anderson,26,SEA,DE,7,1,0,0,0,0,0,1,0,0,0.0,,0,
Eddie Hill,23,RAM,RB,7,1,0,0,0,0,2,0,0,0,0.0,,0,
Mike Kruczek,27,WAS,QB,7,1,0,0,0,0,3,0,-2,0,0.0,,0,
Vickey Ray Anderson,24,GNB,RB,7,0,0,0,0,0,1,0,0,0,0.0,,0,
Larry Brinson,26,SEA,RB,7,0,0,0,0,0,1,1,0,0,0.0,,0,
Ken Brown,26,GNB,C,7,0,0,0,0,0,1,0,-37,0,0.0,,0,
Brian Cabral,24,GNB,LB,7,0,0,0,0,0,0,0,0,0,1.0,,0,
Thomas Henderson,27,HOU,LB,7,0,1,3,0,3,0,0,0,0,1.0,,0,
Wally Henry,26,PHI,WR,7,0,0,0,0,0,1,0,0,0,0.0,,0,
Kenny Lewis,23,NYJ,RB,7,0,0,0,0,0,0,1,0,0,0.0,,0,
Larry Mucker,26,TAM,WR,7,0,0,0,0,0,0,1,0,0,0.0,,0,
George Small,24,NYG,NT,7,0,0,0,0,0,0,1,0,0,0.0,,0,
Jerry Wilkinson,24,CLE,DE,7,0,0,0,0,0,0,0,0,0,1.0,,0,
Charlie Getty,28,KAN,RT,6,6,0,0,0,0,0,1,0,0,0.0,,0,
Greg Roberts,24,TAM,RG,6,6,0,0,0,0,0,1,0,0,0.0,,0,
Johnny Perkins,27,NYG,WR,6,5,0,0,0,0,1,1,0,0,0.0,,0,
Paul Rudzinski,24,GNB,LB,6,2,1,14,0,14,0,0,0,0,0.0,,0,
Cliff Stoudt,25,PIT,QB,6,1,0,0,0,0,1,1,-2,0,0.0,,0,
Marvin Cobb,27,PIT,DB,6,0,0,0,0,0,1,1,0,0,0.0,,0,
Clark Gaines,26,NYJ,RB,5,5,0,0,0,0,2,0,0,0,0.0,,0,
Dan Pastorini,31,OAK,QB,5,5,0,0,0,0,3,0,0,0,0.0,,0,
Bob Griese,35,MIA,QB,5,3,0,0,0,0,1,0,0,0,0.0,,0,
Conway Hayman,31,HOU,T,5,3,0,0,0,0,0,1,1,0,0.0,,0,
Gary Anderson,25,WAS,G,5,1,0,0,0,0,0,2,0,0,0.0,,0,
Mike Loyd,24,STL,QB,5,1,0,0,0,0,1,0,0,0,0.0,,0,
Gerard Williams,28,SFO,DB,5,1,1,28,0,28,0,1,0,0,0.0,,0,
Preston Brown,22,NWE,WR,5,0,0,0,0,0,1,0,0,0,0.0,,0,
Bubba Garcia,23,KAN,WR,5,0,0,0,0,0,1,0,0,0,0.0,,0,
Steve Henry,23,NYG,DB,5,0,1,0,0,0,0,0,0,0,0.0,,0,
Linden King,25,SDG,LB,5,0,0,0,0,0,0,0,0,0,1.0,,0,
Rod Kush,24,BUF,DB,5,0,0,0,0,0,0,5,0,0,0.0,,0,
Keith Moody,27,OAK,DB,5,0,0,0,0,0,1,0,0,0,0.0,,0,
Bobby Scott,31,NOR,QB,5,0,0,0,0,0,1,0,0,0,0.0,,0,
Shafer Suggs,27,NYJ,DB,4,4,0,0,0,0,0,1,1,0,0.0,,0,
Wendell Tyler,25,RAM,RB,4,4,0,0,0,0,1,0,0,0,0.0,,0,
Pat Haden,27,RAM,QB,4,1,0,0,0,0,1,0,0,0,0.0,,0,
Steve Parker,24,NOR,DE,4,1,0,0,0,0,0,0,0,0,1.0,,0,
Terry Anderson,25,SFO,WR,4,0,0,0,0,0,2,0,0,0,0.0,,0,
Earl Gant,23,KAN,RB,4,0,0,0,0,0,3,0,0,0,0.0,,0,
Mike McCoy,32,DET,DT,4,0,0,0,0,0,0,1,0,0,1.0,,0,
Dwaine Board,24,SFO,DE,3,3,0,0,0,0,0,0,0,0,2.0,,0,
Mike Hunt,24,GNB,LB,3,3,0,0,0,0,0,0,0,0,1.0,,0,
Bill Kenney,25,KAN,QB,3,3,0,0,0,0,1,0,-6,0,0.0,,0,
Sherman Smith,26,SEA,RB,3,2,0,0,0,0,0,1,0,0,0.0,,0,
Mike Strachan,27,NOR,RB,3,2,0,0,0,0,2,1,0,0,0.0,,0,
Eddie Hicks,25,NYG,RB,3,1,0,0,0,0,2,1,0,0,0.0,,0,
Kevin Turner,22,NYG,LB,3,1,0,0,0,0,0,1,0,0,0.0,,0,
Gerald Carter,23,NYJ,WR,3,0,0,0,0,0,1,0,0,0,0.0,,0,
Ben Garry,24,BAL,RB,3,0,0,0,0,0,1,1,0,0,0.0,,0,
Prentice McCray,29,NWE,DB,3,0,0,0,0,0,0,1,0,0,0.0,,0,
Guido Merkens,25,HOU,FS,3,0,0,0,0,0,0,1,0,0,0.0,,0,
Mike Bell,23,KAN,DE,2,2,0,0,0,0,0,0,0,0,1.5,,0,
Randy Crowder,28,TAM,NT,2,2,0,0,0,0,0,0,0,0,2.0,,0,
Lawrence Johnson,23,CLE,DB,2,2,1,3,0,3,0,1,0,0,0.0,,0,
Vaughn Lusby,24,CHI,DB,2,0,0,0,0,0,1,0,0,0,0.0,,0,
David Whitehurst,25,GNB,QB,2,0,0,0,0,0,1,0,0,0,0.0,,0,
Tom Clements,27,KAN,QB,1,0,0,0,0,0,2,1,-7,0,0.0,,0,
