Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,Fmb,FR,Yds,FRTD,Sk,Comb,Sfty,Awards
Lester Hayes,25,OAK,LCB,16,16,13,273,1,62,0,2,0,0,1.0,,0,"PB,AP-1,AP DPoY-1"
Mike Hegman,27,DAL,LLB,16,16,2,2,0,2,0,1,0,1,3.0,,0,
Ted Hendricks,33,OAK,LOLB,16,16,3,10,0,5,0,4,4,0,8.5,,1,"PB,AP-1,AP DPoY-2"
Dwight Hicks,24,SFO,FS,16,16,4,73,0,44,0,2,0,0,0.5,,0,
David Hill,26,DET,TE,16,16,0,0,0,0,1,0,0,0,0.0,,0,
Randy Holloway,25,MIN,RDE,16,16,0,0,0,0,0,1,0,0,4.0,,1,
Bob Horn,26,SDG,MLB,16,16,0,0,0,0,0,2,0,0,0.0,,0,
Tom Howard,26,KAN,LOLB,16,16,0,0,0,0,0,3,18,1,3.0,,0,
Ken Huff,27,BAL,RG,16,16,0,0,0,0,0,1,0,0,0.0,,0,
James Hunter,26,DET,RCB,16,16,6,20,0,13,0,0,0,0,2.0,,0,
Eddie Lee Ivery,23,GNB,RB,16,16,0,0,0,0,3,2,0,0,0.0,,0,
Tom Jackson,29,DEN,ROLB,16,16,0,0,0,0,0,0,0,0,5.5,,0,
Ron Jaworski,29,PHI,QB,16,16,0,0,0,0,6,4,0,0,0.0,,0,"PB,AP MVP-3"
Alfred Jenkins,28,ATL,WR,16,16,0,0,0,0,0,1,0,0,0.0,,0,PB
Gary Jeter,25,NYG,RDE,16,16,0,0,0,0,0,3,7,0,10.0,,0,
Cecil Johnson,25,TAM,ROLB,16,16,0,0,0,0,0,0,0,0,3.0,,0,
Charlie Johnson,28,PHI,NT,16,16,3,9,0,9,0,0,0,0,0.0,,0,"PB,AP-1"
Gary Johnson,28,SDG,RDT,16,16,0,0,0,0,0,3,0,0,17.5,,0,"PB,AP-1"
Johnnie Johnson,24,RAM,SS,16,16,3,102,1,99,0,5,16,0,1.0,,0,
Kenny Johnson,22,ATL,RCB,16,16,4,49,0,33,2,4,7,0,1.0,,0,
Ron Johnson,24,PIT,LCB,16,16,1,19,0,19,0,0,0,0,0.0,,0,
Charlie Joiner,33,SDG,WR,16,16,0,0,0,0,3,0,0,0,0.0,,0,"PB,AP-1"
Ken Jones,28,BUF,LT,16,16,0,0,0,0,0,1,0,0,0.0,,0,
Too Tall Jones,29,DAL,LDE,16,16,0,0,0,0,0,3,0,0,8.0,,0,
Curtis Jordan,26,TAM,LCB,16,16,0,0,0,0,0,1,0,0,0.0,,0,
Mike Kenn,24,ATL,LT,16,16,0,0,0,0,0,3,0,0,0.0,,0,"PB,AP-1"
Kurt Knoff,26,MIN,FS,16,16,3,87,1,67,0,0,0,0,0.0,,0,
Bob Kuechenberg,33,MIA,LG,16,16,0,0,0,0,0,1,0,0,0.0,,0,
Steve Largent,26,SEA,WR,16,16,0,0,0,0,1,2,0,0,0.0,,0,
Joe Lavender,31,WAS,RCB,16,16,6,96,1,51,0,0,0,0,0.0,,0,PB
Henry Lawrence,29,OAK,RT,16,16,0,0,0,0,0,2,0,0,0.0,,0,
Rolland Lawrence,29,ATL,LCB,16,16,3,37,0,37,2,4,0,0,0.0,,0,
Jim LeClair,30,CIN,LILB,16,16,0,0,0,0,0,1,0,0,0.0,,0,
Frank LeMaster,28,PHI,RILB,16,16,1,7,0,7,0,0,0,0,1.0,,0,
D.D. Lewis,35,DAL,RLB,16,16,0,0,0,0,0,3,0,0,1.0,,0,
Randy Logan,29,PHI,SS,16,16,1,16,0,16,0,0,0,0,0.0,,0,AP-2
Karl Lorch,30,WAS,LDE,16,16,0,0,0,0,0,1,0,0,7.5,,0,
Woodrow Lowe,26,SDG,RLB,16,16,3,72,1,28,0,1,0,0,1.0,,0,
Steve Luke,27,GNB,SS,16,16,1,9,0,9,0,0,0,0,2.0,,0,
Marty Lyons,23,NYJ,RDT,16,16,0,0,0,0,0,0,0,0,4.5,,0,
Don Macek,26,SDG,C,16,16,0,0,0,0,2,1,-23,0,0.0,,0,
Archie Manning,31,NOR,QB,16,16,0,0,0,0,6,2,-3,0,0.0,,0,
Doug Marsh,22,STL,TE,16,16,0,0,0,0,1,0,0,0,0.0,,0,
George Martin,27,NYG,LDE,16,16,0,0,0,0,0,1,0,0,8.0,,0,
Harvey Martin,30,DAL,RDE,16,16,0,0,0,0,0,0,0,0,12.0,,0,
Mickey Marvin,25,OAK,RG,16,16,0,0,0,0,0,1,0,0,0.0,,0,
Reggie Mathis,24,NOR,RLB,16,16,1,15,0,15,0,0,0,0,0.0,,0,
John Matuszak,30,OAK,LDE,16,16,0,0,0,0,0,0,0,0,8.0,,0,
Larry McCarren,29,GNB,C,16,16,0,0,0,0,1,1,-28,0,0.0,,0,
Mike McCoy,27,GNB,RCB,16,16,1,0,0,0,1,0,0,0,0.0,,0,
Reggie McKenzie,30,BUF,LG,16,16,0,0,0,0,1,1,30,0,0.0,,0,
Ted McKnight,26,KAN,FB,16,16,0,0,0,0,5,4,0,0,0.0,,0,
Fred McNeill,28,MIN,RLB,16,16,0,0,0,0,0,3,0,0,3.0,,0,
Jeff Merrow,27,ATL,RDE,16,16,0,0,0,0,0,0,0,0,8.0,,0,
Matt Millen,22,OAK,LILB,16,16,2,17,0,9,0,0,0,0,2.0,,0,AP DRoY-4
Nat Moore,29,MIA,WR,16,16,0,0,0,0,1,1,0,0,0.0,,0,
Stanley Morgan,25,NWE,WR,16,16,0,0,0,0,0,1,3,0,0.0,,0,"PB,AP-2"
Mark Murphy,25,WAS,FS,16,16,6,58,0,28,1,1,0,0,0.0,,0,
Rob Nairne,26,DEN,LOLB,16,16,1,2,0,2,0,2,0,0,0.0,,0,
Shane Nelson,25,BUF,RILB,16,16,0,0,0,0,0,2,0,0,1.0,,0,
Steve Nelson,29,NWE,LILB,16,16,3,37,0,33,0,1,0,0,0.0,,0,"PB,AP DPoY-5"
Ed Newman,29,MIA,RG,16,16,0,0,0,0,0,2,0,0,0.0,,0,
Ozzie Newsome,24,CLE,TE,16,16,0,0,0,0,2,0,0,0,0.0,,0,
Herb Orvis,34,BAL,RDT,16,16,0,0,0,0,0,3,0,0,6.0,,0,
Jim Osborne,31,CHI,LDT,16,16,0,0,0,0,0,2,0,0,8.0,,0,
Burgess Owens,29,OAK,FS,16,16,3,59,1,58,0,0,0,0,0.0,,0,
Alan Page,35,CHI,RDT,16,16,1,0,0,0,0,2,0,1,9.5,,1,
Walter Payton,27,CHI,RB,16,16,0,0,0,0,5,3,0,0,0.0,,0,"PB,AP-1"
Rod Perry,27,RAM,RCB,16,16,5,115,1,83,0,0,0,0,0.0,,0,PB
Vernon Perry,27,HOU,SS,16,16,5,85,0,42,0,0,0,0,0.0,,0,
Bob Pollard,32,STL,LDE,16,16,0,0,0,0,0,1,0,0,4.0,,0,
Tom Pridemore,24,ATL,FS,16,16,2,2,0,2,0,2,0,0,0.0,,0,
Mike Pruitt,26,CLE,FB,16,16,0,0,0,0,9,3,0,0,0.0,,0,PB
Dave Pureifory,31,DET,LDE,16,16,0,0,0,0,0,0,0,0,6.5,,0,
Fred Quillan,24,SFO,C,16,16,0,0,0,0,1,0,-42,0,0.0,,0,
Tom Rafferty,26,DAL,RG,16,16,0,0,0,0,0,1,6,0,0.0,,0,
Ahmad Rashad,31,MIN,WR,16,16,0,0,0,0,0,1,0,0,0.0,,0,PB
Darrol Ray,22,NYJ,FS,16,16,6,132,1,71,1,1,75,1,0.0,,0,
Archie Reese,24,SFO,LDT/NT,16,16,0,0,0,0,0,2,0,0,4.5,,0,
Mike Reinfeldt,27,HOU,FS,16,16,4,36,0,23,0,0,0,0,0.0,,0,
Jack Reynolds,33,RAM,MLB,16,16,1,20,0,20,0,2,0,0,0.0,,0,PB
Al Richardson,23,ATL,LOLB,16,16,7,139,0,52,0,3,0,1,3.0,,0,"AP DPoY-5,AP DRoY-1"
Ken Riley,33,CIN,RCB,16,16,3,9,0,9,0,1,0,0,0.0,,0,
Isiah Robertson,31,BUF,ROLB,16,16,2,39,0,39,0,1,0,0,1.5,,0,
Jerry Robinson,24,PHI,ROLB,16,16,2,13,0,13,1,4,59,1,2.5,,0,AP-2
Charles Romes,26,BUF,RCB,16,16,2,41,0,30,0,0,0,0,0.0,,0,
