Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
Israel Abanikanda,NYJ,21,RB,6,0,,,0,,,2,31,0,19,15.5,144
Andrew Beck,HOU,27,FB,15,12,,,0,,,2,94,1,85,47.0,152
Chase Brown,CIN,23,RB,12,0,,,0,,,2,44,0,27,22.0,379
Chris Evans,CIN,26,RB,8,0,,,0,,,2,45,0,27,22.5,56
D'Shawn Jamison,CAR,24,CB,15,1,,,0,,,2,40,0,22,20.0,40
Hunter Luepke,DAL,23,RB,17,0,,,0,,,2,15,0,15,7.5,52
Jordan Mason,SFO,24,RB,17,0,,,0,,,2,40,0,28,20.0,277
Devon Allen,PHI,29,WR,2,0,,,0,,,1,17,0,17,17.0,17
Andre Baccellia,ARI,26,WR,5,0,,,0,,,1,22,0,22,22.0,22
John Bates,WAS,26,TE,17,4,,,0,,,1,10,0,10,10.0,161
Lawrence Cager,NYG,26,TE,11,0,,,0,,,1,0,0,0,0.0,36
Dallis Flowers,IND,26,CB,4,4,,,0,,,1,19,0,19,19.0,19
Leonard Fournette,BUF,28,RB,2,0,,,0,,,1,17,0,17,17.0,57
Kenneth Gainwell,PHI,24,RB,16,2,,,0,,,1,19,0,19,19.0,566
Damien Harris,BUF,26,RB,6,0,,,0,,,1,41,0,41,41.0,151
Kevin Harris,NWE,23,RB,4,0,,,0,,,1,20,0,20,20.0,143
Malik Heath,GNB,23,WR,13,1,,,0,,,1,1,0,1,1.0,126
Taysom Hill,NOR,33,TE/QB,16,7,,,0,,,1,18,0,18,18.0,710
Mohamed Ibrahim,DET,25,RB,1,0,,,0,,,1,22,0,22,22.0,22
Andy Isabella,BUF,27,WR,2,0,,,0,,,1,25,0,25,25.0,25
Roschon Johnson,CHI,22,RB,15,0,,,0,,,1,0,0,0,0.0,561
Kyle Juszczyk*+,SFO,32,FB,17,16,,,0,,,1,18,0,18,18.0,143
Joshua Kelley,LAC,26,RB,17,3,,,0,,,1,16,0,16,16.0,453
Cole Kmet,CHI,24,TE,17,17,,,0,,,1,0,0,0,0.0,721
Zonovan Knight,DET,22,RB,2,0,,,0,,,1,22,0,22,22.0,43
Chris Manhertz,DEN,31,TE,16,4,,,0,,,1,1,0,1,1.0,17
Jerick McKinnon,KAN,31,RB,12,0,,,0,,,1,20,0,20,20.0,272
Colby Parkinson,SEA,24,TE,17,1,,,0,,,1,16,0,16,16.0,263
George Pickens,PIT,22,WR,17,16,,,0,,,1,7,0,7,7.0,1165
Ronnie Rivers,LAR,24,RB,9,1,,,0,,,1,16,0,16,16.0,167
Demarcus Robinson,LAR,29,WR,16,4,,,0,,,1,20,0,20,20.0,414
Keith Smith,ATL,31,FB,13,6,,,0,,,1,10,0,10,10.0,44
Daniel Thomas,JAX,25,S,15,0,,,0,,,1,21,0,21,21.0,21
Quez Watkins,PHI,25,WR,9,5,,,0,,,1,11,0,11,11.0,153
Olamide Zaccheaus,PHI,26,WR,17,1,,,0,,,1,7,0,7,7.0,171
