Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Bradie James,29,DAL,LILB,16,16,1,11,0,11,3,2,0,2,0,0,0.0,118,81,37,4.0,2.0,0,
Quentin Jammer,31,SDG,LCB,16,16,2,5,0,5,11,1,0,0,0,0,0.0,45,42,3,0.0,0.0,0,
Mike Jenkins,25,DAL,RCB,16,16,1,-4,0,-4,9,1,0,0,0,0,0.0,55,51,4,0.0,0.0,0,
Greg Jennings,27,GNB,WR,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,PB
Charles Johnson,24,CAR,LDE,16,16,0,0,0,0,1,0,0,0,0,0,11.5,62,51,11,14.0,22.0,0,
Chris Johnson,25,TEN,RB,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0.0,0.0,0,PB
Derrick Johnson,28,KAN,RILB,16,16,1,15,1,15,16,3,0,1,0,0,1.0,122,96,26,8.0,1.0,0,
Jarret Johnson,29,BAL,ROLB,16,16,0,0,0,0,2,2,0,0,0,0,1.5,73,43,30,5.0,5.0,0,
Dhani Jones,32,CIN,MLB,16,16,0,0,0,0,2,1,0,0,0,0,1.0,125,86,39,3.0,1.0,0,
Sean Jones,28,TAM,SS,16,16,1,45,0,31,2,0,0,1,0,0,1.0,74,55,19,3.0,2.0,0,
Tommy Kelly,30,OAK,RDT,16,16,0,0,0,0,1,1,0,0,0,0,7.0,58,38,20,8.0,16.0,0,
Chris Kelsay,31,BUF,LOLB,16,16,0,0,0,0,3,1,0,0,0,0,3.5,72,46,26,5.0,9.0,0,
Jeff King,27,CAR,TE,16,16,0,0,0,0,0,0,0,2,0,0,0.0,2,2,0,0.0,0.0,0,
Terrance Knighton,24,JAX,RDT,16,16,1,-3,0,-3,4,0,0,0,0,0,4.0,34,24,10,5.0,10.0,0,
Johnny Knox,24,CHI,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
Olin Kreutz,33,CHI,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Derek Landri,27,CAR,RDT,16,16,0,0,0,0,1,0,0,1,0,0,3.0,43,30,13,10.0,4.0,0,
Dawan Landry,28,BAL,SS,16,16,0,23,1,23,4,1,0,1,0,0,1.0,111,86,25,2.0,4.0,0,
Kendall Langford,24,MIA,LDE,16,16,0,0,0,0,4,2,0,0,0,0,3.0,47,33,14,6.0,7.0,0,
James Laurinaitis,24,STL,MLB,16,16,1,4,0,4,5,0,0,1,0,0,3.0,114,98,16,13.0,7.0,0,
Manny Lawson,26,SFO,LOLB,16,16,1,0,0,0,6,2,0,1,5,0,2.5,59,48,11,4.0,10.0,0,
Paris Lenon,33,ARI,LILB,16,16,2,12,0,10,6,1,0,0,0,0,2.0,125,94,31,12.0,3.0,0,
Marcedes Lewis,26,JAX,TE,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,PB
Ray Lewis,35,BAL,RILB,16,16,2,26,1,24,4,2,0,3,1,0,2.0,139,102,37,4.0,4.0,0,"PB,AP-2"
Curtis Lofton,24,ATL,MLB,16,16,1,2,0,2,3,3,0,0,0,0,2.0,118,93,25,4.0,3.0,0,
Chris Long,25,STL,LDE,16,16,0,0,0,0,2,3,0,1,0,0,8.5,29,27,2,8.0,20.0,0,
Jake Long,25,MIA,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-1"
Jeremy Maclin,22,PHI,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
Danieal Manning,28,CHI,SS,16,16,1,0,0,0,7,0,0,0,0,0,0.0,72,59,13,0.0,0.0,0,
Eli Manning,29,NYG,QB,16,16,0,0,0,0,0,0,7,2,-4,0,0.0,0,0,0,0.0,0.0,0,
Peyton Manning,34,IND,QB,16,16,0,0,0,0,0,0,3,1,-2,0,0.0,0,0,0,,,0,PB
Richard Marshall,26,CAR,RCB,16,16,3,91,0,66,7,1,0,1,0,0,1.0,88,74,14,3.0,3.0,0,
Rashean Mathis,30,JAX,RCB,16,16,1,24,0,24,6,1,0,0,0,0,0.0,57,46,11,1.0,0.0,0,
Robert Mathis,29,IND,LDE,16,16,0,0,0,0,1,1,0,1,1,0,11.0,60,44,16,10.0,19.0,0,PB
Jerod Mayo,24,NWE,LILB,16,16,0,0,0,0,5,1,0,3,-2,0,2.0,174,113,61,5.0,5.0,0,"PB,AP-1"
Todd McClure,33,ATL,C,16,16,0,0,0,0,0,0,1,0,-4,0,0.0,0,0,0,0.0,0.0,0,
Devin McCourty,23,NWE,LCB,16,16,7,110,0,50,17,2,0,0,0,0,1.0,82,69,13,3.0,1.0,0,"PB,AP-2,AP DRoY-2"
Bryant McFadden,29,PIT,LCB,16,16,2,-3,0,0,10,2,0,0,0,0,2.0,81,74,7,1.0,2.0,0,
Rashard Mendenhall,23,PIT,RB,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,
Roy Miller,23,TAM,RDT,16,16,0,0,0,0,0,0,0,0,0,0,1.0,47,32,15,1.0,1.0,0,
Lawyer Milloy,37,SEA,SS,16,16,0,0,0,0,3,2,0,0,0,0,4.0,87,60,27,6.0,5.0,0,
Fili Moala,25,IND,LDT,16,16,0,0,0,0,1,0,0,1,1,1,0.0,26,20,6,4.0,3.0,0,
Brandon Moore,30,NYJ,RG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0,
Kirk Morrison,28,JAX,MLB,16,16,0,0,0,0,1,0,0,0,0,0,0.0,89,64,25,4.0,2.0,0,
Santana Moss,31,WAS,WR,16,16,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0.0,0.0,0,
Terence Newman,32,DAL,LCB,16,16,5,16,0,30,9,0,0,1,1,0,0.0,79,77,2,2.0,0.0,0,
Michael Oher,24,BAL,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,,,0,
Amobi Okoye,23,HOU,RDT,16,16,0,0,0,0,0,0,0,1,0,0,3.0,44,27,17,7.0,12.0,0,
Carson Palmer,31,CIN,QB,16,16,0,0,0,0,0,0,7,3,-5,0,0.0,0,0,0,0.0,0.0,0,
Domata Peko,26,CIN,LDT,16,16,0,0,0,0,1,0,0,0,0,0,0.5,42,24,18,4.0,4.0,0,
