Player,Age,Team,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb,Awards
Gerald Carter,26,TAM,16,9,48,694,14.5,2,56,3.0,43.4,3,
Roger Craig,23,SFO,16,13,48,427,8.9,4,23,3.0,26.7,6,
Bruce Harper,28,NYJ,9,2,48,413,8.6,2,33,5.3,45.9,1,
Theotis Brown,26,2TM,15,9,47,418,8.9,2,53,3.1,27.9,4,
Theotis Brown,26,SEA,3,0,0,0,,0,,0.0,0.0,1,
Theotis Brown,26,KAN,12,9,47,418,8.9,2,53,3.9,34.8,3,
Kevin House,26,TAM,16,16,47,769,16.4,5,74,2.9,48.1,0,
Art Monk,26,WAS,12,11,47,746,15.9,5,43,3.9,62.2,0,
Drew Pearson,32,DAL,14,13,47,545,11.6,5,32,3.4,38.9,1,
Joe Washington,30,WAS,15,1,47,454,9.7,6,67,3.1,30.3,2,
Doug Cosbie,27,DAL,16,16,46,588,12.8,6,61,2.9,36.8,0,PB
James Jones,22,DET,14,14,46,467,10.2,1,46,3.3,33.4,4,
Tony Galbreath,29,MIN,13,7,45,348,7.7,2,23,3.5,26.8,4,
John Mistler,25,NYG,16,8,45,422,9.4,0,24,2.8,26.4,1,
Pat Tilley,30,STL,16,16,44,690,15.7,5,71,2.8,43.1,1,
Lam Jones,25,NYJ,14,6,43,734,17.1,4,50,3.1,52.4,2,
Isaac Curtis,33,CIN,16,16,42,571,13.6,2,80,2.6,35.7,1,
Steve Kreider,25,CIN,16,2,42,554,13.2,1,54,2.6,34.6,0,
Emery Moorehead,29,CHI,16,15,42,597,14.2,3,36,2.6,37.3,0,
Chuck Muncie,30,SDG,15,12,42,396,9.4,1,27,2.8,26.4,8,
Dan Ross,26,CIN,16,15,42,483,11.5,3,30,2.6,30.2,0,
Billy Sims,28,DET,13,12,42,419,10.0,0,54,3.2,32.2,6,
Curt Warner,22,SEA,16,16,42,325,7.7,1,28,2.6,20.3,6,"PB,AP-2,AP OPoY-6,AP ORoY-3"
Hoby Brenner,24,NOR,16,16,41,574,14.0,3,38,2.6,35.9,0,
Ted Brown,26,MIN,10,8,41,357,8.7,1,25,4.1,35.7,2,
Eugene Goodlow,25,NOR,16,7,41,487,11.9,2,26,2.6,30.4,0,
Butch Johnson,29,DAL,16,5,41,561,13.7,3,46,2.6,35.1,0,
Leonard Thompson,31,DET,13,12,41,752,18.3,3,80,3.2,57.8,2,
Jeff Chadwick,23,DET,16,4,40,617,15.4,4,45,2.5,38.6,0,
Tony Dorsett,29,DAL,16,16,40,287,7.2,1,24,2.5,17.9,5,"PB,AP-2"
George Farmer,25,RAM,16,16,40,556,13.9,5,46,2.5,34.8,0,
Willie Gault,23,CHI,16,13,40,836,20.9,8,87,2.5,52.3,1,
Rick Upchurch,31,DEN,12,11,40,639,16.0,2,40,3.3,53.3,0,
Cliff Branch,35,RAI,12,12,39,696,17.8,5,99,3.3,58.0,0,
Nat Moore,32,MIA,16,15,39,558,14.3,6,66,2.4,34.9,1,
Calvin Sweeney,28,PIT,16,16,39,577,14.8,5,42,2.4,36.1,0,
Harold Carmichael,34,PHI,15,11,38,515,13.6,3,35,2.5,34.3,0,
Alfred Jenkins,31,ATL,10,10,38,487,12.8,1,26,3.8,48.7,0,
Anthony Hancock,23,KAN,16,7,37,584,15.8,1,50,2.3,36.5,2,
Dave Logan,29,CLE,16,13,37,627,16.9,2,34,2.3,39.2,1,
Jerry Butler,26,BUF,9,9,36,385,10.7,3,25,4.0,42.8,1,
Tony Hunter,23,BUF,13,3,36,402,11.2,3,40,2.8,30.9,1,
Bobby Jones,28,CLE,15,11,36,507,14.1,4,32,2.4,33.8,0,
Frank Lewis,36,BUF,11,11,36,486,13.5,3,27,3.3,44.2,0,
Charle Young,32,SEA,16,16,36,529,14.7,2,47,2.3,33.1,1,
Malcolm Barnwell,25,RAI,16,16,35,513,14.7,1,41,2.2,32.1,0,
Bennie Cunningham,29,PIT,16,16,35,442,12.6,3,29,2.2,27.6,4,
Mike Guman,25,RAM,16,13,34,347,10.2,4,60,2.1,21.7,0,
Franco Harris,33,PIT,16,16,34,278,8.2,2,29,2.1,17.4,10,
Paul Johns,25,SEA,11,9,34,486,14.3,4,30,3.1,44.2,1,
Booker Moore,24,BUF,15,11,34,199,5.9,1,21,2.3,13.3,1,
Wendell Tyler,28,SFO,14,14,34,285,8.4,2,26,2.4,20.4,7,
Preston Dennard,28,RAM,14,13,33,465,14.1,5,61,2.4,33.2,0,
Scott Dierking,28,NYJ,16,1,33,275,8.3,0,19,2.1,17.2,0,
Russ Francis,30,SFO,16,16,33,357,10.8,4,25,2.1,22.3,2,
Eric Sievers,26,SDG,16,8,33,452,13.7,3,28,2.1,28.3,0,
Charles Alexander,26,CIN,14,14,32,187,5.8,0,14,2.3,13.4,1,
Jerome Barkum,33,NYJ,15,13,32,385,12.0,1,34,2.1,25.7,2,
Mel Carver,24,TAM,16,9,32,262,8.2,1,20,2.0,16.4,6,
Chris Dressel,22,HOU,16,14,32,316,9.9,4,35,2.0,19.8,0,
Billy Jackson,24,KAN,16,14,32,243,7.6,0,29,2.0,15.2,3,
Doug Marsh,25,STL,16,16,32,421,13.2,8,38,2.0,26.3,1,
Bob Bruer,30,MIN,16,9,31,315,10.2,2,26,1.9,19.7,0,
Freddie Solomon,30,SFO,13,11,31,662,21.4,4,77,2.4,50.9,1,
Byron Franklin,25,BUF,15,5,30,452,15.1,4,43,2.0,30.1,0,
Bernard Henry,23,BAL,15,7,30,416,13.9,4,40,2.0,27.7,0,
Stephone Paige,22,KAN,16,0,30,528,17.6,6,43,1.9,33.0,1,
Mike Pruitt,29,CLE,15,14,30,157,5.2,2,21,2.0,10.5,4,
Mike Wilson,25,SFO,15,3,30,433,14.4,0,49,2.0,28.9,1,
Harry Holt,26,CLE,15,11,29,420,14.5,3,48,1.9,28.0,1,
Mark Nichols,24,DET,16,12,29,437,15.1,1,46,1.8,27.3,2,
Joe Rose,26,MIA,16,0,29,345,11.9,3,37,1.8,21.6,0,
Willie Scott,24,KAN,16,16,29,247,8.5,6,22,1.8,15.4,0,
Dwight Walker,24,CLE,16,0,29,273,9.4,1,35,1.8,17.1,1,
Sammy White,29,MIN,11,10,29,412,14.2,4,43,2.6,37.5,0,
David Hill,29,RAM,16,3,28,280,10.0,2,34,1.8,17.5,1,
Tracy Porter,24,BAL,16,7,28,384,13.7,0,38,1.8,24.0,0,
Ken Thomas,23,KAN,14,0,28,236,8.4,1,25,2.0,16.9,2,
Butch Woolfolk,23,NYG,16,16,28,368,13.1,0,44,1.8,23.0,8,
Tony Collins,24,NWE,16,16,27,257,9.5,0,20,1.7,16.1,10,PB
Nick Giaquinto,28,WAS,16,0,27,372,13.8,0,35,1.7,23.3,0,
Walter Abercrombie,24,PIT,15,13,26,391,15.0,3,51,1.7,26.1,2,
Rob Carpenter,28,NYG,10,10,26,258,9.9,2,38,2.6,25.8,2,
Ulysses Norris,26,DET,15,15,26,291,11.2,7,41,1.7,19.4,0,
Mickey Shuler,27,NYJ,16,6,26,272,10.5,1,28,1.6,17.0,0,
Theo Bell,30,TAM,16,4,25,410,16.4,2,52,1.6,25.6,0,
Matt Bouza,24,BAL,11,11,25,385,15.4,0,26,2.3,35.0,1,
Mark Brammer,25,BUF,12,12,25,215,8.6,2,21,2.1,17.9,0,
James Brooks,25,SDG,15,6,25,215,8.6,0,36,1.7,14.3,8,
Alvin Garrett,27,WAS,15,6,25,332,13.3,1,84,1.7,22.1,0,
Jimmie Giles,29,TAM,11,9,25,349,14.0,1,80,2.3,31.7,1,
Boyce Green,23,CLE,13,2,25,167,6.7,1,33,1.9,12.8,4,
Floyd Hodge,24,ATL,12,6,25,280,11.2,4,76,2.1,23.3,0,
Tim Sherwin,25,BAL,15,14,25,358,14.3,0,30,1.7,23.9,0,
Curtis Dickey,27,BAL,16,16,24,483,20.1,3,72,1.5,30.2,9,
Dan Doornink,27,SEA,16,0,24,328,13.7,2,47,1.5,20.5,1,
Dan Johnson,23,MIA,16,16,24,189,7.9,4,33,1.5,11.8,1,
Randy McMillan,25,BAL,16,16,24,195,8.1,1,27,1.5,12.2,5,
Derrick Ramsey,27,NWE,14,7,24,335,14.0,6,39,1.7,23.9,0,
Lindsay Scott,23,NOR,16,7,24,274,11.4,0,35,1.5,17.1,1,
Michael Haddix,22,PHI,14,8,23,254,11.0,0,34,1.6,18.1,4,
Pete Holohan,24,SDG,16,3,23,272,11.8,2,35,1.4,17.0,0,
Mike Renfro,28,HOU,9,7,23,316,13.7,2,38,2.6,35.1,1,
Bill Ring,27,SFO,16,5,23,182,7.9,0,24,1.4,11.4,1,
Robert Weathers,23,NWE,15,4,23,212,9.2,0,19,1.5,14.1,4,
Sammy Winder,24,DEN,14,13,23,150,6.5,0,17,1.6,10.7,7,
Bruce Hardy,27,MIA,15,8,22,202,9.2,0,25,1.5,13.5,0,
Terry LeCount,27,MIN,11,10,21,318,15.1,2,49,1.9,28.9,1,
Ken Margerum,25,CHI,15,9,21,336,16.0,2,60,1.4,22.4,1,
Sam McCullum,31,MIN,11,6,21,314,15.0,2,49,1.9,28.5,0,
Freeman McNeil,24,NYJ,9,9,21,172,8.2,3,21,2.3,19.1,4,
Zeke Mowatt,22,NYG,16,14,21,280,13.3,1,46,1.3,17.5,0,
Rickey Young,30,MIN,16,4,21,193,9.2,0,48,1.3,12.1,0,
Willis Adams,27,CLE,16,5,20,374,18.7,2,59,1.3,23.4,1,
Bobby Duckworth,25,SDG,16,2,20,422,21.1,5,59,1.3,26.4,0,
Ron Egloff,28,DEN,16,10,20,205,10.3,2,32,1.3,12.8,0,
Frank Hawkins,24,RAI,16,2,20,150,7.5,2,28,1.3,9.4,2,
Cedric Jones,23,NWE,15,12,20,323,16.2,1,30,1.3,21.5,1,
Dennis McKinnon,22,CHI,16,4,20,326,16.3,4,49,1.3,20.4,2,
Nathan Poole,27,DEN,16,10,20,184,9.2,0,23,1.3,11.5,1,
Don Warren,27,WAS,13,13,20,225,11.3,2,33,1.5,17.3,0,
Byron Williams,23,NYG,5,0,20,346,17.3,1,43,4.0,69.2,1,
Wayne Wilson,26,NOR,14,8,20,178,8.9,2,24,1.4,12.7,6,
Dave Casper,31,2TM,13,10,20,251,12.6,0,34,1.5,19.3,0,
Dave Casper,31,HOU,3,2,7,79,11.3,0,17,2.3,26.3,0,
Dave Casper,31,MIN,10,8,13,172,13.2,0,34,1.3,17.2,0,
Earl Campbell,28,HOU,14,14,19,216,11.4,0,66,1.4,15.4,4,PB
Dwayne Crutchfield,24,2TM,13,8,19,133,7.0,0,15,1.5,10.2,2,
Dwayne Crutchfield,24,NYJ,11,8,19,133,7.0,0,15,1.7,12.1,2,
Dwayne Crutchfield,24,HOU,2,0,0,0,,0,,0.0,0.0,0,
Kenny Duckett,24,NOR,14,1,19,283,14.9,2,48,1.4,20.2,1,
Gregg Garrity,23,PIT,15,3,19,279,14.7,1,38,1.3,18.6,1,
Greg Hawthorne,27,PIT,10,4,19,300,15.8,0,52,1.9,30.0,0,
Jeff Moore,27,SFO,15,0,19,206,10.8,0,34,1.3,13.7,0,
Clarence Weathers,21,NWE,16,0,19,379,19.9,3,58,1.2,23.7,2,
Jerry Bell,24,TAM,16,6,18,200,11.1,1,33,1.1,12.5,2,
Jessie Clark,23,GNB,16,0,18,279,15.5,1,75,1.1,17.4,2,
Doug Donley,24,DAL,11,1,18,370,20.6,2,47,1.6,33.6,0,
Phil Epps,25,GNB,16,0,18,313,17.4,0,45,1.1,19.6,2,
Vyto Kab,24,PHI,14,14,18,195,10.8,1,25,1.3,13.9,0,
Timmy Newsome,25,DAL,16,0,18,250,13.9,4,52,1.1,15.6,0,
Rodney Tate,24,CIN,12,8,18,142,7.9,0,25,1.5,11.8,3,
Derrick Gaffney,28,NYJ,16,10,17,243,14.3,0,35,1.1,15.2,0,
Hokie Gajan,24,NOR,16,12,17,130,7.6,0,26,1.1,8.1,3,
Renaldo Nehemiah,24,SFO,16,1,17,236,13.9,1,27,1.1,14.8,1,
Dave Preston,28,DEN,14,3,17,137,8.1,1,25,1.2,9.8,0,
Eason Ramson,27,SFO,16,4,17,125,7.4,1,16,1.1,7.8,2,
Gerald Riggs,23,ATL,14,0,17,149,8.8,0,25,1.2,10.6,7,
Malcolm Scott,22,NYG,16,1,17,206,12.1,0,24,1.1,12.9,0,
Stephen Starring,22,NWE,15,3,17,389,22.9,2,76,1.1,25.9,1,
Perry Tuttle,24,BUF,9,3,17,261,15.4,3,38,1.9,29.0,1,
Rick Walker,28,WAS,16,16,17,168,9.9,2,29,1.1,10.5,0,
Michael Williams,22,PHI,15,9,17,142,8.4,0,29,1.1,9.5,1,
Steve Bryant,24,HOU,16,6,16,211,13.2,0,26,1.0,13.2,0,
Henry Ellard,22,RAM,12,0,16,268,16.8,0,44,1.3,22.3,2,
Eddie Lee Ivery,26,GNB,8,8,16,139,8.7,1,17,2.0,17.4,1,
Mike McCloskey,22,HOU,16,7,16,137,8.6,1,20,1.0,8.6,0,
Mike Meade,23,GNB,16,6,16,110,6.9,2,31,1.0,6.9,2,
Junior Miller,26,ATL,15,6,16,125,7.8,0,19,1.1,8.3,1,
Frank Pollard,26,PIT,16,3,16,127,7.9,0,17,1.0,7.9,5,
Adger Armstrong,26,TAM,11,5,15,173,11.5,2,41,1.4,15.7,0,
Earl Cooper,26,SFO,16,0,15,207,13.8,3,73,0.9,12.9,1,
Duriel Harris,29,MIA,12,3,15,260,17.3,1,64,1.3,21.7,0,
Pete Johnson,29,CIN,11,8,15,129,8.6,0,18,1.4,11.7,2,
Steve Jordan,22,MIN,13,2,15,212,14.1,2,28,1.2,16.3,0,
James Owens,28,TAM,12,5,15,81,5.4,1,11,1.3,6.8,0,
Floyd Eddings,25,NYG,9,6,14,231,16.5,0,33,1.6,25.7,0,
Mike Holston,25,HOU,16,0,14,205,14.6,0,43,0.9,12.8,0,
Kenny King,26,RAI,15,15,14,149,10.6,1,34,0.9,9.9,1,
Wayne Morris,29,STL,15,11,14,55,3.9,0,11,0.9,3.7,2,
Mike Mosley,25,BUF,7,2,14,180,12.9,3,35,2.0,25.7,1,
Gerald Willhite,24,DEN,8,0,14,153,10.9,1,26,1.8,19.1,0,
Dokie Williams,23,RAI,16,0,14,259,18.5,3,50,0.9,16.2,2,
Ed Beckman,28,KAN,15,7,13,130,10.0,0,20,0.9,8.7,1,
Ricky Feacher,29,CLE,9,5,13,217,16.7,3,42,1.4,24.1,1,
Alfred Jackson,28,ATL,4,4,13,220,16.9,3,54,3.3,55.0,0,
Calvin Muhammad,25,RAI,15,4,13,252,19.4,2,45,0.9,16.8,2,
Tom Mullady,26,NYG,16,4,13,184,14.2,1,35,0.8,11.5,0,
James Wright,27,DEN,6,6,13,134,10.3,0,23,2.2,22.3,2,
Walt Arnold,25,HOU,13,0,12,137,11.4,1,37,0.9,10.5,0,
Donnie Craft,24,HOU,15,2,12,99,8.3,0,14,0.8,6.6,0,
Billy Joe DuPree,33,DAL,16,6,12,142,11.8,1,28,0.8,8.9,0,
Otis Grant,22,RAM,16,3,12,221,18.4,1,57,0.8,13.8,1,
Greg LaFleur,25,STL,16,5,12,99,8.3,0,21,0.8,6.2,3,
Leo Lewis,27,MIN,14,4,12,127,10.6,0,18,0.9,9.1,0,
Rick Parros,25,DEN,6,5,12,126,10.5,2,33,2.0,21.0,3,
Bo Robinson,27,ATL,12,9,12,100,8.3,0,15,1.0,8.3,1,
George Rogers,25,NOR,13,12,12,69,5.8,0,22,0.9,5.3,8,
Jay Saldi,29,CHI,13,5,12,119,9.9,0,16,0.9,9.2,0,
Zach Thomas,23,DEN,16,0,12,182,15.2,0,44,0.8,11.4,4,
Byron Walker,23,SEA,16,2,12,248,20.7,2,50,0.8,15.5,0,
Herkie Walls,22,HOU,16,3,12,276,23.0,1,48,0.8,17.3,0,
Stanley Wilson,22,CIN,10,2,12,107,8.9,1,19,1.2,10.7,4,
Julius Dawkins,22,BUF,11,2,11,123,11.2,1,28,1.0,11.2,0,
Gordon Jones,26,RAM,11,0,11,172,15.6,0,46,1.0,15.6,0,
Gary Lewis,25,GNB,16,2,11,204,18.5,1,49,0.7,12.8,0,
Mike Shumann,28,STL,16,0,11,154,14.0,0,33,0.7,9.6,0,
Mike Augustyniak,27,NYJ,8,2,10,71,7.1,1,17,1.3,8.9,0,
Buster Barnett,25,BUF,15,1,10,94,9.4,0,14,0.7,6.3,0,
Ray Butler,27,BAL,11,7,10,207,20.7,3,60,0.9,18.8,0,
Wayne Capers,22,PIT,11,4,10,185,18.5,1,36,0.9,16.8,0,
Melvin Hoover,24,PHI,11,0,10,221,22.1,0,68,0.9,20.1,3,
Harlan Huckleby,26,GNB,16,2,10,87,8.7,0,14,0.6,5.4,4,
David Hughes,24,SEA,16,6,10,100,10.0,1,33,0.6,6.3,2,
Rob Rubick,23,DET,16,1,10,81,8.1,1,15,0.6,5.1,0,
Clint Sampson,22,DEN,16,2,10,200,20.0,3,49,0.6,12.5,0,
Mosi Tatupu,28,NWE,16,1,10,97,9.7,1,17,0.6,6.1,1,
Jewerl Thomas,26,KAN,10,1,10,51,5.1,0,9,1.0,5.1,4,
Mark van Eeghen,31,NWE,15,11,10,102,10.2,0,23,0.7,6.8,1,
Arthur Cox,22,ATL,16,9,9,83,9.2,1,19,0.6,5.2,1,
Lin Dawson,24,NWE,13,10,9,84,9.3,1,14,0.7,6.5,0,
Clint Didier,24,WAS,16,2,9,153,17.0,4,40,0.6,9.6,1,
Stan Edwards,23,HOU,14,1,9,79,8.8,1,20,0.6,5.6,0,
Horace King,30,DET,16,1,9,76,8.4,0,14,0.6,4.8,0,
Wilbert Montgomery,29,PHI,5,1,9,53,5.9,0,13,1.8,10.6,1,
Jim Obradovich,30,TAM,16,5,9,71,7.9,1,19,0.6,4.4,1,
Danny Pittman,25,2TM,12,0,9,175,19.4,1,40,0.8,14.6,0,
Danny Pittman,25,NYG,8,0,7,154,22.0,1,40,0.9,19.3,0,
Danny Pittman,25,STL,4,0,2,21,10.5,0,11,0.5,5.3,0,
Dexter Bussey,31,DET,15,3,8,49,6.1,1,14,0.5,3.3,1,
Pat Dunsmore,24,CHI,16,1,8,102,12.8,0,24,0.5,6.4,0,
M.L. Harris,29,CIN,12,1,8,66,8.3,2,14,0.7,5.5,0,
Harold Jackson,37,SEA,15,6,8,126,15.8,1,29,0.5,8.4,1,
Roosevelt Leaks,30,BUF,12,4,8,74,9.3,0,12,0.7,6.2,0,
David Overstreet,25,MIA,14,0,8,55,6.9,2,20,0.6,3.9,2,
John Stallworth,31,PIT,4,4,8,100,12.5,0,20,2.0,25.0,0,
Marion Barber Jr.,24,NYJ,14,5,7,48,6.9,1,12,0.5,3.4,0,
Pete Metzelaars,23,SEA,16,7,7,72,10.3,1,17,0.4,4.5,0,
Mike Miller,24,NYG,13,0,7,170,24.3,0,54,0.5,13.1,0,
Stump Mitchell,24,STL,15,1,7,54,7.7,0,17,0.5,3.6,5,
Jesse Myles,23,DEN,16,0,7,119,17.0,1,33,0.4,7.4,0,
J.T. Smith,28,KAN,9,1,7,85,12.1,0,18,0.8,9.4,0,
John Tice,23,NOR,16,1,7,33,4.7,1,12,0.4,2.1,0,
David Verser,25,CIN,13,0,7,82,11.7,0,22,0.5,6.3,0,
Tyrone Young,23,NOR,16,0,7,85,12.1,3,32,0.4,5.3,0,
Woody Bennett,28,MIA,16,2,6,35,5.8,0,9,0.4,2.2,1,
Mark Clayton,22,MIA,14,0,6,114,19.0,1,39,0.4,8.1,3,
Mike Jones,23,MIN,16,0,6,95,15.8,0,47,0.4,5.9,0,
Kenny Lewis,26,NYJ,7,0,6,62,10.3,0,23,0.9,8.9,0,
Randy Love,27,STL,16,1,6,58,9.7,1,16,0.4,3.6,4,
Alvin Moore,24,BAL,15,0,6,38,6.3,0,16,0.4,2.5,0,
Victor Oatis,24,BAL,9,0,6,93,15.5,0,25,0.7,10.3,0,
Sherman Smith,29,SDG,13,2,6,51,8.5,0,21,0.5,3.9,2,
Andre Tyler,24,TAM,14,0,6,77,12.8,0,21,0.4,5.5,1,
Tony Woodruff,25,PHI,6,1,6,70,11.7,2,29,1.0,11.7,1,
Ben Young,23,ATL,11,6,6,74,12.3,1,19,0.5,6.7,0,
Brian Baschnagel,29,CHI,16,4,5,70,14.0,0,24,0.3,4.4,1,
Pat Beach,24,BAL,16,2,5,56,11.2,1,16,0.3,3.5,0,
Rocky Belk,23,CLE,10,0,5,141,28.2,2,64,0.5,14.1,0,
Johnny Davis,27,CLE,16,3,5,20,4.0,0,10,0.3,1.3,0,
Johnny Hector,23,NYJ,10,1,5,61,12.2,1,22,0.5,6.1,2,
Earnest Jackson,24,SDG,12,0,5,42,8.4,0,10,0.4,3.5,1,
John Riggins,34,WAS,15,15,5,29,5.8,0,14,0.3,1.9,5,"AP-1,AP MVP-4,AP OPoY-4"
Freddie Scott,31,DET,15,0,5,71,14.2,1,25,0.3,4.7,1,
Al Dixon,29,PHI,10,1,4,54,13.5,0,22,0.4,5.4,0,
Dino Hall,28,CLE,16,0,4,33,8.3,0,18,0.3,2.1,0,
Larry Moriarty,25,HOU,16,8,4,32,8.0,0,12,0.3,2.0,1,
Riley Odoms,33,DEN,2,0,4,62,15.5,0,21,2.0,31.0,0,
Barry Redden,23,RAM,15,0,4,30,7.5,0,9,0.3,2.0,2,
Vince Thompson,26,DET,10,2,4,16,4.0,0,8,0.4,1.6,1,
Newton Williams,24,BAL,16,0,4,46,11.5,0,19,0.3,2.9,0,
Cullen Bryant,32,SEA,10,3,3,8,2.7,0,3,0.3,0.8,0,
Lynn Cain,28,ATL,16,0,3,24,8.0,0,11,0.2,1.5,1,
Willard Harrell,31,STL,14,0,3,25,8.3,0,13,0.2,1.8,1,
Allama Matthews,22,ATL,16,1,3,37,12.3,0,23,0.2,2.3,0,
Mardye McDole,24,MIN,15,1,3,29,9.7,0,10,0.2,1.9,1,
Lawrence Ricks,22,KAN,12,0,3,5,1.7,0,7,0.3,0.4,1,
Robb Riddick,26,BUF,16,0,3,43,14.3,0,24,0.2,2.7,7,
John Sawyer,30,DEN,7,4,3,42,14.0,0,17,0.4,6.0,1,
Paul Skansi,22,PIT,15,0,3,39,13.0,0,21,0.2,2.6,5,
John Tuggle,22,NYG,16,5,3,50,16.7,0,27,0.2,3.1,0,
Glen Young,23,PHI,16,0,3,125,41.7,1,71,0.2,7.8,2,
Don Hasselbeck,28,2TM,15,0,3,24,8.0,2,13,0.2,1.6,0,
Don Hasselbeck,28,NWE,1,0,1,7,7.0,0,7,1.0,7.0,0,
Don Hasselbeck,28,RAI,14,0,2,17,8.5,2,13,0.1,1.2,0,
Cliff Austin,23,NOR,11,0,2,25,12.5,0,18,0.2,2.3,0,
Leon Bright,28,NYG,7,0,2,33,16.5,0,19,0.3,4.7,2,
Roger Carr,31,SDG,4,0,2,36,18.0,0,23,0.5,9.0,0,
Major Everett,23,PHI,16,0,2,18,9.0,0,11,0.1,1.1,0,
Dennis Gentry,24,CHI,15,0,2,8,4.0,0,6,0.1,0.5,1,
James Hadnot,26,KAN,5,0,2,18,9.0,0,16,0.4,3.6,0,
Larry Hardy,27,NOR,6,1,2,29,14.5,0,22,0.3,4.8,0,
Rodney Holman,23,CIN,16,0,2,15,7.5,0,10,0.1,0.9,0,
Rick Kane,29,DET,14,0,2,15,7.5,0,9,0.1,1.1,0,
Larry Kinnebrew,24,CIN,16,0,2,4,2.0,0,2,0.1,0.3,3,
Eric Lane,24,SEA,16,0,2,9,4.5,0,7,0.1,0.6,2,
Mike Martin,23,CIN,10,0,2,22,11.0,0,12,0.2,2.2,2,
Rich Mauti,29,NOR,16,1,2,30,15.0,0,23,0.1,1.9,0,
Carl Monroe,23,SFO,5,0,2,61,30.5,0,50,0.4,12.2,0,
Cleo Montgomery,27,RAI,14,0,2,29,14.5,0,15,0.1,2.1,1,
Joe Morris,23,NYG,15,0,2,1,0.5,1,6,0.1,0.1,2,
John Rodgers,23,PIT,15,1,2,36,18.0,0,25,0.1,2.4,0,
Lawrence Sampleton,24,PHI,7,2,2,28,14.0,0,19,0.3,4.0,0,
