Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Russell Erxleben,23,NOR,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Tony Galbreath,26,NOR,RB,16,4,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Charley Hannah,25,TAM,RT,16,16,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Buddy Hardeman,26,WAS,RB,15,1,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
John James,31,ATL,P,16,0,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Dave Jennings,28,NYG,P,16,0,,0,0,,0,0,,0,,,,,,0.0,,1,13,100.00,-13.00,-13.00,0,0,"PB,AP-1"
Steve Kreider,22,CIN,WR,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Dave Krieg,22,SEA,QB,1,0,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,1,6,33.33,-2.00,-2.00,0,0,
Wilbert Montgomery,26,PHI,RB,12,12,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Nat Moore,29,MIA,WR,16,16,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Tony Nathan,24,MIA,RB,16,6,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Bob Parsons,30,CHI,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Walter Payton,27,CHI,RB,16,16,,0,3,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,"PB,AP-1"
Joe Senser,24,MIN,TE,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Freddie Solomon,27,SFO,WR,16,13,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Mike Thomas,27,SDG,RB,10,5,,0,2,0.0,0,0,0.0,1,50.0,,0.0,-22.50,,0.0,0.0,0,0,0.00,0.00,-22.50,0,0,
Herman Weaver,32,SEA,P,16,0,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Roger Wehrli,33,STL,RCB,16,16,,0,0,,0,0,,0,,,,,,0.0,,1,11,100.00,-11.00,-11.00,0,0,
Delvin Williams,29,MIA,RB,15,10,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Ray Williams,22,DET,RB,6,1,,0,0,,0,0,,0,,,,,,0.0,,1,8,100.00,-8.00,-8.00,0,0,
League Average,,,,,,,,,56.2,,,4.4,,4.6,,7.0,5.83,12.5,78.4,73.7,,,7.00,5.96,4.87,,,
