Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Todd Heap,29.0,BAL,16.0,16.0,75.0,53.0,593.0,11.2,6.0,33.0,57.3,31.0,3.3,37.1,70.7,7.9,1.0,
Maurice Jones-Drew,24.0,JAX,16.0,16.0,71.0,53.0,374.0,7.1,1.0,16.0,46.5,19.0,3.3,23.4,74.6,5.3,2.0,PB
Muhsin Muhammad,36.0,CAR,14.0,13.0,89.0,53.0,581.0,11.0,1.0,32.0,53.9,27.0,3.8,41.5,59.6,6.5,0.0,
Kevin Walter,28.0,HOU,14.0,14.0,70.0,53.0,611.0,11.5,2.0,33.0,70.0,41.0,3.8,43.6,75.7,8.7,0.0,
Frank Gore,26.0,SFO,14.0,14.0,75.0,52.0,406.0,7.8,3.0,14.0,45.3,48.0,3.7,29.0,69.3,5.4,4.0,PB
Josh Morgan,24.0,SFO,16.0,15.0,80.0,52.0,527.0,10.1,3.0,18.0,38.8,61.0,3.3,32.9,65.0,6.6,0.0,
Joseph Addai,26.0,IND,15.0,15.0,63.0,51.0,336.0,6.6,3.0,18.0,46.0,25.0,3.4,22.4,81.0,5.3,1.0,
Andre Caldwell,24.0,CIN,16.0,3.0,80.0,51.0,432.0,8.5,3.0,29.0,52.5,24.0,3.2,27.0,63.8,5.4,4.0,
John Carlson,25.0,SEA,16.0,16.0,83.0,51.0,574.0,11.3,7.0,27.0,47.0,42.0,3.2,35.9,61.4,6.9,0.0,
Devery Henderson,27.0,NOR,16.0,11.0,83.0,51.0,804.0,15.8,2.0,33.0,53.0,75.0,3.2,50.3,61.4,9.7,0.0,
Torry Holt,33.0,JAX,15.0,12.0,103.0,51.0,722.0,14.2,0.0,35.0,45.6,63.0,3.4,48.1,49.5,7.0,1.0,
Steven Jackson,26.0,STL,15.0,15.0,75.0,51.0,322.0,6.3,0.0,16.0,34.7,38.0,3.4,21.5,68.0,4.3,2.0,"PB,AP-2"
Greg Camarillo,27.0,MIA,16.0,16.0,72.0,50.0,552.0,11.0,0.0,28.0,62.5,29.0,3.1,34.5,69.4,7.7,0.0,
