Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Tarvaris Jackson,24,MIN,QB,12,12,8-4-0,171,294,58.2,1911,9,3.1,12,4.1,95,44.4,71,6.5,5.28,11.2,159.3,70.8,50.6,19,70,6.07,5.88,4.73,1,2,
Brian Griese,32,CHI,QB,7,6,3-3-0,161,262,61.5,1803,10,3.8,12,4.6,84,44.0,81,6.9,5.58,11.2,257.6,75.6,45.2,15,114,5.42,6.10,4.87,2,2,
Cleo Lemon,28,MIA,QB,9,7,1-6-0,173,309,56.0,1773,6,1.9,6,1.9,87,39.8,64,5.7,5.25,10.2,197.0,71.0,45.5,25,166,7.49,4.81,4.36,1,1,
Chad Pennington,31,NYJ,QB,9,8,1-7-0,179,260,68.8,1765,10,3.8,9,3.5,89,46.9,57,6.8,6.00,9.9,196.1,86.1,45.4,26,178,9.09,5.55,4.83,0,0,
Kyle Boller,26,BAL,QB,12,8,2-6-0,168,275,61.1,1743,9,3.3,10,3.6,89,41.5,53,6.3,5.36,10.4,145.3,75.2,47.4,24,159,8.03,5.30,4.39,0,1,
Sage Rosenfels,29,HOU,QB,9,5,4-1-0,154,240,64.2,1684,15,6.3,12,5.0,93,54.5,53,7.0,6.02,10.9,187.1,84.8,75.6,6,48,2.44,6.65,5.67,0,0,
Trent Edwards,24,BUF,QB,10,9,5-4-0,151,269,56.1,1630,7,2.6,8,3.0,82,41.6,70,6.1,5.24,10.8,163.0,70.4,36.3,12,105,4.27,5.43,4.64,1,2,
Kellen Clemens,24,NYJ,QB,10,8,3-5-0,130,250,52.0,1529,5,2.0,10,4.0,82,37.5,56,6.1,4.72,11.8,152.9,60.9,31.5,27,138,9.75,5.02,3.76,1,2,
Rex Grossman,27,CHI,QB,8,7,2-5-0,122,225,54.2,1411,4,1.8,7,3.1,67,38.0,59,6.3,5.23,11.6,176.4,66.4,27.8,25,198,10.00,4.85,3.91,2,2,
Daunte Culpepper,30,OAK,QB,7,6,2-4-0,108,186,58.1,1331,5,2.7,5,2.7,60,40.1,59,7.2,6.48,12.3,190.1,78.0,49.4,21,130,10.14,5.80,5.20,1,1,
Brodie Croyle,24,KAN,QB,9,6,0-6-0,127,224,56.7,1227,6,2.7,6,2.7,58,41.9,35,5.5,4.81,9.7,136.3,69.9,35.2,17,101,7.05,4.67,4.05,0,0,
J.P. Losman,26,BUF,QB,8,7,2-5-0,111,175,63.4,1204,4,2.3,6,3.4,57,44.4,85,6.9,5.79,10.8,150.5,76.9,33.1,14,103,7.41,5.83,4.82,2,3,
Trent Dilfer,35,SFO,QB,7,6,1-5-0,113,219,51.6,1166,7,3.2,12,5.5,61,36.2,57,5.3,3.50,10.3,166.6,55.1,20.4,27,182,10.98,4.00,2.37,1,0,
Josh McCown,28,OAK,QB,9,9,2-7-0,111,190,58.4,1151,10,5.3,11,5.8,56,42.6,46,6.1,4.51,10.4,127.9,69.4,29.7,14,92,6.86,5.19,3.75,0,0,
Steve McNair,34,BAL,QB,6,6,2-4-0,133,205,64.9,1113,2,1.0,4,2.0,58,47.2,30,5.4,4.75,8.4,185.5,73.9,33.2,11,85,5.09,4.76,4.11,0,0,
Chris Redman,30,ATL,QB,7,4,1-3-0,89,149,59.7,1079,10,6.7,5,3.4,48,44.3,74,7.2,7.07,12.1,154.1,90.4,46.2,9,51,5.70,6.51,6.35,1,1,
Gus Frerotte,36,STL,QB,8,3,1-2-0,94,167,56.3,1014,7,4.2,12,7.2,55,42.7,38,6.1,3.68,10.8,126.8,58.3,32.6,11,59,6.18,5.37,3.12,0,0,
Luke McCown,26,TAM,QB,5,3,1-2-0,94,139,67.6,1009,5,3.6,3,2.2,44,44.2,60,7.3,7.01,10.7,201.8,91.7,50.7,15,104,9.74,5.88,5.65,1,1,
Trent Green,37,MIA,QB,5,5,0-5-0,85,141,60.3,987,5,3.5,7,5.0,50,44.6,43,7.0,5.48,11.6,197.4,72.6,44.7,7,53,4.73,6.31,4.86,0,0,
Quinn Gray,28,JAX,QB,8,4,2-2-0,80,144,55.6,986,10,6.9,5,3.5,53,44.8,80,6.8,6.67,12.3,123.3,85.6,73.6,10,68,6.49,5.96,5.80,1,1,
Vinny Testaverde,44,CAR,QB,7,6,2-4-0,94,172,54.7,952,5,2.9,6,3.5,47,38.1,65,5.5,4.55,10.1,136.0,65.8,31.0,9,46,4.97,5.01,4.07,1,1,
Alex Smith,23,SFO,QB,7,7,2-5-0,94,193,48.7,914,2,1.0,4,2.1,48,30.0,45,4.7,4.01,9.7,130.6,57.2,18.2,17,121,8.10,3.78,3.11,2,2,
Todd Collins,36,WAS,QB,4,3,3-0-0,67,105,63.8,888,5,4.8,0,0.0,42,44.6,54,8.5,9.41,13.3,222.0,106.4,71.1,7,47,6.25,7.51,8.40,0,0,
Matt Moore,23,CAR,QB,9,3,2-1-0,63,111,56.8,730,3,2.7,5,4.5,37,43.6,57,6.6,5.09,11.6,81.1,67.0,49.9,6,40,5.13,5.90,4.49,0,1,
A.J. Feeley,30,PHI,QB,3,2,0-2-0,59,103,57.3,681,5,4.9,8,7.8,34,45.3,47,6.6,4.09,11.5,227.0,61.2,52.9,3,10,2.83,6.33,3.88,0,0,
Matt Leinart,24,ARI,QB,5,5,3-2-0,60,112,53.6,647,2,1.8,4,3.6,33,43.1,40,5.8,4.53,10.8,129.4,61.9,34.6,4,23,3.45,5.38,4.17,1,1,
David Carr,28,CAR,QB,6,4,1-3-0,73,136,53.7,635,3,2.2,5,3.7,32,34.2,38,4.7,3.46,8.7,105.8,58.3,20.0,13,74,8.72,3.77,2.66,1,1,
Jake Delhomme,32,CAR,QB,3,3,2-1-0,55,86,64.0,624,8,9.3,1,1.2,27,48.4,74,7.3,8.59,11.3,208.0,111.8,55.8,5,46,5.49,6.35,7.62,0,0,
John Beck,26,MIA,QB,5,4,0-4-0,60,107,56.1,559,1,0.9,3,2.8,23,42.7,22,5.2,4.15,9.3,111.8,62.0,13.3,10,69,8.55,4.19,3.21,0,0,
Kerry Collins,35,TEN,QB,6,1,1-0-0,50,82,61.0,531,0,0.0,0,0.0,30,49.4,46,6.5,6.48,10.6,88.5,79.9,52.3,5,42,5.75,5.62,5.62,1,2,
Kelly Holcomb,34,MIN,QB,3,3,0-3-0,42,83,50.6,515,2,2.4,1,1.2,24,36.8,40,6.2,6.14,12.3,171.7,73.1,30.5,12,87,12.63,4.51,4.45,0,0,
Shaun Hill,27,SFO,QB,3,2,2-0-0,54,79,68.4,501,5,6.3,1,1.3,26,57.6,26,6.3,7.04,9.3,167.0,101.3,58.9,6,31,7.06,5.53,6.18,0,0,
Kyle Orton,25,CHI,QB,3,3,2-1-0,43,80,53.8,478,3,3.8,2,2.5,20,41.5,55,6.0,5.60,11.1,159.3,73.9,28.2,2,12,2.44,5.68,5.32,0,0,
Troy Smith,23,BAL,QB,4,2,1-1-0,40,76,52.6,452,2,2.6,0,0.0,24,36.3,79,5.9,6.47,11.3,113.0,79.5,56.1,4,29,5.00,5.29,5.79,0,0,
Brooks Bollinger,28,MIN,QB,5,1,0-1-0,33,50,66.0,391,1,2.0,1,2.0,18,45.6,50,7.8,7.32,11.8,78.2,88.0,41.5,7,36,12.28,6.23,5.79,1,1,
JaMarcus Russell,22,OAK,QB,4,1,0-1-0,36,66,54.5,373,2,3.0,4,6.1,17,36.1,32,5.7,3.53,10.4,93.3,55.9,19.8,6,40,8.33,4.63,2.68,0,0,
Byron Leftwich,27,ATL,QB,3,2,0-2-0,32,58,55.2,279,1,1.7,2,3.4,13,35.9,23,4.8,3.60,8.7,93.0,59.5,6.6,6,37,9.38,3.78,2.69,0,0,
Patrick Ramsey,28,DEN,QB,2,0,,29,48,60.4,262,1,2.1,1,2.1,12,49.0,21,5.5,4.94,9.0,131.0,73.4,59.9,3,13,5.88,4.88,4.39,0,0,
Charlie Batch,33,PIT,QB,7,1,0-1-0,17,36,47.2,232,2,5.6,3,8.3,10,41.7,59,6.4,3.81,13.6,33.1,52.1,58.2,0,0,0.00,6.44,3.81,0,0,
Aaron Rodgers,24,GNB,QB,2,0,,20,28,71.4,218,1,3.6,0,0.0,9,45.2,43,7.8,8.50,10.9,109.0,106.0,78.8,3,24,9.68,6.26,6.90,0,0,
Seneca Wallace,27,SEA,QB,10,0,,19,28,67.9,215,2,7.1,1,3.6,7,45.2,45,7.7,7.50,11.3,21.5,99.6,19.5,3,13,9.68,6.52,6.35,0,0,
Tim Rattay,30,ARI,QB,4,0,,15,27,55.6,164,3,11.1,3,11.1,9,44.4,42,6.1,3.30,10.9,41.0,71.1,65.8,0,0,0.00,6.07,3.30,0,0,
Brock Berlin,26,STL,QB,1,1,0-1-0,17,28,60.7,153,0,0.0,1,3.6,8,35.7,23,5.5,3.86,9.0,153.0,60.6,3.0,0,0,0.00,5.46,3.86,0,0,
J.T. O'Sullivan,28,DET,QB,4,0,,13,26,50.0,148,1,3.8,2,7.7,7,34.5,42,5.7,3.00,11.4,37.0,48.2,4.2,3,18,10.34,4.48,2.07,0,0,
Jim Sorgi,27,IND,QB,4,0,,18,36,50.0,132,1,2.8,0,0.0,7,36.8,12,3.7,4.22,7.3,33.0,68.3,19.3,2,15,5.26,3.08,3.61,0,0,
Bruce Gradkowski,24,TAM,QB,4,0,,13,24,54.2,130,0,0.0,1,4.2,5,38.5,20,5.4,3.54,10.0,32.5,52.4,37.3,2,14,7.69,4.46,2.73,0,0,
Chris Weinke,35,SFO,QB,2,1,0-1-0,13,22,59.1,104,1,4.5,0,0.0,5,25.9,21,4.7,5.64,8.0,52.0,86.2,2.7,5,31,18.52,2.70,3.44,0,0,
Sidney Rice,21,MIN,WR,13,4,,2,2,100.0,94,0,0.0,0,0.0,1,100.0,79,47.0,47.00,47.0,7.2,118.7,100.0,0,0,0.00,47.00,47.00,0,0,
Craig Nall,28,GNB,QB,1,0,,7,15,46.7,88,1,6.7,0,0.0,4,31.3,32,5.9,7.20,12.6,88.0,87.6,29.2,1,10,6.25,4.88,6.13,0,0,
Brad Johnson,39,DAL,QB,16,0,,7,11,63.6,79,0,0.0,0,0.0,2,25.0,35,7.2,7.18,11.3,4.9,85.0,34.1,1,9,8.33,5.83,5.83,0,0,
Brady Quinn,23,CLE,QB,1,0,,3,8,37.5,45,0,0.0,0,0.0,3,37.5,18,5.6,5.63,15.0,45.0,56.8,59.0,0,0,0.00,5.63,5.63,0,0,
Tyler Thigpen,23,KAN,QB,1,0,,2,6,33.3,41,0,0.0,1,16.7,2,28.6,22,6.8,-0.67,20.5,41.0,18.7,0.4,1,9,14.29,4.57,-1.86,0,0,
Matt Cassel,25,NWE,QB,6,0,,4,7,57.1,38,0,0.0,1,14.3,2,57.1,21,5.4,-1.00,9.5,6.3,32.7,99.1,0,0,0.00,5.43,-1.00,0,0,
Andrew Walter,25,OAK,QB,1,0,,5,8,62.5,38,0,0.0,0,0.0,2,37.5,19,4.8,4.75,7.6,38.0,74.0,80.7,0,0,0.00,4.75,4.75,0,0,
Leon Washington,25,NYJ,RB,16,4,,1,1,100.0,36,0,0.0,0,0.0,1,100.0,36,36.0,36.00,36.0,2.3,118.7,100.0,0,0,0.00,36.00,36.00,0,0,
Charlie Frye,26,CLE,QB,1,1,0-1-0,4,10,40.0,34,0,0.0,1,10.0,2,26.7,15,3.4,-1.10,8.5,34.0,10.0,0.5,5,31,33.33,0.20,-2.80,0,0,
Daniel Sepulveda,23,PIT,P,16,0,,1,1,100.0,32,0,0.0,0,0.0,1,100.0,32,32.0,32.00,32.0,2.0,118.7,100.0,0,0,0.00,32.00,32.00,0,0,
Jared Lorenzen,26,NYG,QB,2,0,,4,8,50.0,28,0,0.0,0,0.0,1,33.3,9,3.5,3.50,7.0,14.0,58.3,9.0,1,5,11.11,2.56,2.56,0,0,
Chris Kluwe,26,MIN,P,16,0,,1,1,100.0,27,0,0.0,0,0.0,1,100.0,27,27.0,27.00,27.0,1.7,118.7,100.0,0,0,0.00,27.00,27.00,0,0,
Antwaan Randle El,28,WAS,WR,15,13,,1,2,50.0,19,0,0.0,0,0.0,1,50.0,19,9.5,9.50,19.0,1.3,83.3,67.1,0,0,0.00,9.50,9.50,0,0,
LaDainian Tomlinson,28,SDG,RB,16,16,,1,1,100.0,17,1,100.0,0,0.0,1,100.0,17,17.0,37.00,17.0,1.1,158.3,100.0,0,0,0.00,17.00,37.00,0,0,"PB,AP-1"
Matt Gutierrez,23,NWE,QB,5,0,,1,1,100.0,15,0,0.0,0,0.0,1,100.0,15,15.0,15.00,15.0,3.0,118.7,99.9,0,0,0.00,15.00,15.00,0,0,
Clinton Portis,26,WAS,RB,16,16,,1,1,100.0,15,1,100.0,0,0.0,1,50.0,15,15.0,35.00,15.0,0.9,158.3,100.0,1,2,50.00,6.50,16.50,0,0,
Anthony Wright,31,NYG,QB,3,0,,1,7,14.3,12,0,0.0,0,0.0,1,14.3,12,1.7,1.71,12.0,4.0,39.6,3.7,0,0,0.00,1.71,1.71,0,0,
Adrian Peterson,28,CHI,RB,16,5,,1,1,100.0,9,1,100.0,0,0.0,1,100.0,9,9.0,29.00,9.0,0.6,143.7,100.0,0,0,0.00,9.00,29.00,0,0,
Marshawn Lynch,21,BUF,RB,13,13,,1,1,100.0,8,1,100.0,0,0.0,1,100.0,8,8.0,28.00,8.0,0.6,139.6,92.5,0,0,0.00,8.00,28.00,0,0,
Billy Volek,31,SDG,QB,5,0,,3,10,30.0,6,0,0.0,1,10.0,0,,4,0.6,-3.90,2.0,1.2,0.0,0.0,2,7,16.67,-0.08,-3.83,0,0,
Steven Jackson,24,STL,RB,12,12,,1,1,100.0,2,1,100.0,0,0.0,1,100.0,2,2.0,22.00,2.0,0.2,118.7,100.0,0,0,0.00,2.00,22.00,0,0,
Marty Booker,31,MIA,WR,15,15,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,25.7,0,0,0.00,0.00,0.00,0,0,
Mark Clayton,25,BAL,WR,16,12,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,4.4,0,0,0.00,0.00,0.00,0,0,
Ronald Curry,28,OAK,WR,16,13,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.6,0,0,0.00,0.00,0.00,0,0,
Robbie Gould,25,CHI,K,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.0,0,0,0.00,0.00,0.00,0,0,
Devin Hester,25,CHI,PR,16,0,,0,0,,0,0,,0,,0,,,,,,0.0,,0.0,1,15,100.00,-15.00,-15.00,0,0,"PB,AP-1"
Larry Johnson,28,KAN,RB,8,8,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,7.6,0,0,0.00,0.00,0.00,0,0,
Eddie Kennison,34,KAN,WR,8,8,,0,0,,0,0,,0,,0,,,,,,0.0,,3.4,1,0,100.00,0.00,0.00,0,0,
Kevin Kolb,23,PHI,QB,1,0,,0,0,,0,0,,0,,0,,,,,,0.0,,0.2,2,13,100.00,-6.50,-6.50,0,0,
Greg Lewis,27,PHI,WR,15,1,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,1.3,0,0,0.00,0.00,0.00,0,0,
Brandon Marshall,23,DEN,WR,16,16,,0,0,,0,0,,0,,0,,,,,,0.0,,0.3,2,9,100.00,-4.50,-4.50,0,0,
Mewelde Moore,25,MIN,RB,12,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,10.0,0,0,0.00,0.00,0.00,0,0,
Willie Parker,27,PIT,RB,15,15,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,1.1,0,0,0.00,0.00,0.00,0,0,PB
Brad Smith,24,NYJ,WR,16,9,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.0,0,0,0.00,0.00,0.00,0,0,
Chester Taylor,28,MIN,RB,14,8,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,1.4,0,0,0.00,0.00,0.00,0,0,
League Average,,,,,,,,,61.2,,,4.2,,3.1,,45.8,,6.9,6.29,11.2,117.6,82.6,,,,6.07,6.05,5.52,,,
