Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Sfty,Awards
Ken Kennard,28,HOU,LDE,9,9,0,0,0,0,,0,0,0,0,3.0,,0,
Steve Kenney,27,PHI,LG,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Gordon King,26,NYG,RT,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Kenny King,25,RAI,FB,9,9,0,0,0,0,,1,0,0,0,0.0,,0,
Tommy Kramer,27,MIN,QB,9,9,0,0,0,0,,3,1,-21,0,0.0,,0,
Ken Kremer,25,KAN,NT,9,9,0,0,0,0,,0,0,0,0,1.0,,0,
Fulton Kuykendall,29,ATL,LILB,9,9,2,22,0,22,,0,0,0,0,0.0,,0,
Aaron Kyle,28,DEN,RCB,9,9,3,26,0,14,,0,1,0,0,0.0,,0,
Ken Lanier,23,DEN,RT,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Henry Lawrence,31,RAI,RT,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Roosevelt Leaks,29,BUF,FB,9,9,0,0,0,0,,2,0,0,0,0.0,,0,
Frank LeMaster,30,PHI,RILB,9,9,0,0,0,0,,0,1,18,0,2.0,,0,
David Logan,26,TAM,NT,9,9,0,0,0,0,,0,0,0,0,4.8,,0,
Neil Lomax,23,STL,QB,9,9,0,0,0,0,,8,1,-1,0,0.0,,0,
Ronnie Lott,23,SFO,LCB,9,9,2,95,1,83,1,0,0,0,0,0.0,68,0,PB
Don Macek,28,SDG,C,9,9,0,0,0,0,,1,0,0,0,0.0,,0,
Dexter Manley,23,WAS,RDE,9,9,1,-2,0,-2,,0,3,3,0,6.5,,0,
Ken Margerum,24,CHI,WR,9,9,0,0,0,0,,1,0,0,0,0.0,,0,
Doug Martin,25,MIN,LDE,9,9,1,0,0,0,,0,0,0,0,11.5,,0,
Harvey Martin,32,DAL,RDE,9,9,0,0,0,0,,0,0,0,0,8.0,,0,"AP-2,AP DPoY-9"
Rod Martin,28,RAI,ROLB,9,9,3,60,1,39,,0,0,0,0,1.0,,0,
Mike McCoy,29,GNB,RCB,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Randy McMillan,24,BAL,FB,9,9,0,0,0,0,,1,1,0,0,0.0,,0,
Don McNeal,24,MIA,LCB,9,9,4,42,1,23,,0,0,0,0,0.0,,0,
Freeman McNeil,23,NYJ,RB,9,9,0,0,0,0,,7,0,0,0,0.0,,0,"PB,AP-1"
Lance Mehl,24,NYJ,RLB,9,9,2,38,0,38,,0,1,0,0,0.0,,0,
Mat Mendenhall,25,WAS,LDE,9,9,0,0,0,0,,0,0,0,0,1.0,,0,
Matt Millen,24,RAI,LILB,9,9,3,77,0,60,,0,2,0,0,2.5,,0,
Junior Miller,25,ATL,TE,9,9,0,0,0,0,,1,1,0,0,0.0,,0,
Rich Milot,25,WAS,RLB,9,9,0,0,0,0,,0,0,0,0,3.0,,0,
Art Monk,25,WAS,WR,9,9,0,0,0,0,,3,0,0,0,0.0,,0,
Joe Montana,26,SFO,QB,9,9,0,0,0,0,,4,2,-2,0,0.0,,0,
Derland Moore,31,NOR,NT,9,9,0,0,0,0,,0,1,0,0,4.0,,0,
Tom Mullady,25,NYG,TE,9,9,0,0,0,0,,1,0,0,0,0.0,,0,
Mark Mullaney,29,MIN,RDE,9,9,0,0,0,0,,0,0,0,0,5.0,,0,
Chuck Muncie,29,SDG,RB,9,9,0,0,0,0,,4,1,0,0,0.0,,0,PB
Mark Murphy,27,WAS,FS,9,9,2,0,0,0,,0,0,0,0,1.0,,0,
Rob Nairne,28,NOR,ROLB,9,9,1,1,0,1,,0,0,0,0,1.0,,0,
Neal Olkewicz,25,WAS,MLB,9,9,0,0,0,0,,0,3,0,0,3.0,,0,
Jim Osborne,33,CHI,LDT,9,9,0,0,0,0,,0,0,0,0,4.5,,1,
Mike Pagel,22,BAL,QB,9,9,0,0,0,0,,9,3,-4,0,0.0,,0,
Rick Parros,24,DEN,FB,9,9,0,0,0,0,,3,0,0,0,0.0,,0,
Walter Payton,29,CHI,RB,9,9,0,0,0,0,,3,1,0,0,0.0,,0,
Benny Perrin,23,STL,FS,9,9,1,35,0,35,,0,0,0,0,0.0,,0,
Rod Perry,29,RAM,RCB,9,9,3,57,0,33,,0,2,41,0,0.0,,0,
Tony Peters,29,WAS,SS,9,9,1,14,0,14,,0,1,0,0,0.0,,0,PB
Kurt Petersen,25,DAL,RG,9,9,0,0,0,0,,0,2,0,0,0.0,,0,
Jim Plunkett,35,RAI,QB,9,9,0,0,0,0,,4,1,-7,0,0.0,,0,
Johnnie Poe,23,NOR,RCB,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Robert Pratt,31,SEA,RG,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Tom Pridemore,26,ATL,FS,9,9,1,28,0,28,,0,2,0,0,0.0,,0,
Mike Pruitt,28,CLE,FB,9,9,0,0,0,0,,4,2,0,0,0.0,,0,
Dave Pureifory,33,DET,LDE,9,9,0,0,0,0,,1,1,6,0,7.0,,0,
Tom Rafferty,28,DAL,C,9,9,0,0,0,0,,0,2,0,0,0.0,,0,
Darrol Ray,24,NYJ,FS,9,9,3,91,0,44,,1,1,0,0,0.0,,0,
Beasley Reece,28,NYG,FS,9,9,1,0,0,0,,0,2,13,0,0.0,,0,
Mike Reinfeldt,29,HOU,FS,9,9,0,0,0,0,,0,2,7,1,0.0,,0,
Jack Reynolds,35,SFO,LILB,9,9,1,0,0,0,,0,0,0,0,0.0,,0,
Earnest Rhone,29,MIA,RILB,9,9,1,4,0,4,,0,0,0,0,1.0,,0,
Ken Riley,35,CIN,RCB,9,9,5,88,1,56,,0,0,0,0,0.0,,0,
Isiah Robertson,33,BUF,ROLB,9,9,1,0,0,0,,0,1,0,0,0.0,,0,
