Player,Age,Team,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb,Awards
Rob Carpenter,25,HOU,15,1,43,346,8.0,0,25,2.9,23.1,4,
Isaac Curtis,30,CIN,15,14,43,610,14.2,3,67,2.9,40.7,0,
Drew Pearson,29,DAL,16,15,43,568,13.2,6,30,2.7,35.5,0,
Paul Coffman,24,GNB,16,16,42,496,11.8,3,25,2.6,31.0,0,
Joe Senser,24,MIN,16,0,42,447,10.6,7,58,2.6,27.9,0,
Russ Francis,27,NWE,15,15,41,664,16.2,8,39,2.7,44.3,0,
Paul Hofer,28,SFO,6,6,41,467,11.4,2,28,6.8,77.8,0,
Mel Gray,32,STL,16,16,40,709,17.7,3,69,2.5,44.3,0,
Frank Lewis,33,BUF,15,13,40,648,16.2,6,31,2.7,43.2,0,
Aundra Thompson,27,GNB,15,15,40,609,15.2,2,55,2.7,40.6,2,
Dexter Bussey,28,DET,16,16,39,364,9.3,0,30,2.4,22.8,2,
David Hill,26,DET,16,16,39,424,10.9,1,29,2.4,26.5,1,
Riley Odoms,30,DEN,15,15,39,590,15.1,6,30,2.6,39.3,0,
Ricky Bell,25,TAM,14,12,38,292,7.7,1,22,2.7,20.9,3,
Ted McKnight,26,KAN,16,16,38,320,8.4,0,26,2.4,20.0,5,
Haven Moses,34,DEN,15,14,38,674,17.7,4,33,2.5,44.9,1,
Billy Waddy,26,RAM,15,15,38,670,17.6,5,44,2.5,44.7,1,
Ike Harris,28,NOR,16,16,37,692,18.7,6,44,2.3,43.3,0,
Jim Smith,25,PIT,12,10,37,711,19.2,9,45,3.1,59.3,1,
Charles Alexander,23,CIN,16,16,36,192,5.3,0,23,2.3,12.0,2,
Ottis Anderson,23,STL,16,16,36,308,8.6,0,35,2.3,19.3,5,"PB,AP-2"
Preston Dennard,25,RAM,16,16,36,596,16.6,6,44,2.3,37.3,0,
Clark Gaines,26,NYJ,5,5,36,310,8.6,3,16,7.2,62.0,2,
John Sawyer,27,SEA,16,16,36,410,11.4,0,32,2.3,25.6,1,
James Scott,28,CHI,15,12,36,696,19.3,3,64,2.4,46.4,0,
Harold Jackson,34,NWE,16,15,35,737,21.1,5,40,2.2,46.1,0,
Dave Preston,25,DEN,12,10,35,309,8.8,0,36,2.9,25.8,3,
Mike Renfro,25,HOU,16,16,35,459,13.1,1,42,2.2,28.7,0,
Ray Butler,24,BAL,16,16,34,574,16.9,2,42,2.1,35.9,0,
Henry Childs,29,NOR,13,7,34,463,13.6,6,30,2.6,35.6,1,
Tony Dorsett,26,DAL,15,15,34,263,7.7,0,27,2.3,17.5,8,
Don McCauley,31,BAL,16,0,34,313,9.2,4,19,2.1,19.6,1,
Jimmie Giles,26,TAM,16,15,33,602,18.2,4,51,2.1,37.6,2,PB
Duriel Harris,26,MIA,12,3,33,583,17.7,2,54,2.8,48.6,1,
Billy Taylor,24,NYG,11,10,33,253,7.7,0,42,3.0,23.0,4,
Don Bass,24,CIN,14,12,32,409,12.8,6,55,2.3,29.2,0,
Dan Doornink,24,SEA,15,14,31,237,7.6,2,16,2.1,15.8,2,
Billy Johnson,28,HOU,16,7,31,343,11.1,2,57,1.9,21.4,1,
Don Warren,24,WAS,13,12,31,323,10.4,0,35,2.4,24.8,1,
Delvin Williams,29,MIA,15,10,31,207,6.7,0,19,2.1,13.8,5,
Wayne Wilson,23,NOR,15,7,31,241,7.8,1,42,2.1,16.1,3,
Chuck Muncie,27,2TM,15,8,31,259,8.4,0,19,2.1,17.3,11,
Chuck Muncie,27,NOR,4,3,7,25,3.6,0,8,1.8,6.3,1,
Chuck Muncie,27,SDG,11,5,24,234,9.8,0,19,2.2,21.3,10,
Franco Harris,30,PIT,13,13,30,196,6.5,2,31,2.3,15.1,7,PB
Keith Krepfle,28,PHI,13,11,30,450,15.0,4,27,2.3,34.6,0,
Tim Wilson,26,HOU,16,16,30,170,5.7,1,13,1.9,10.6,2,
Theo Bell,27,PIT,14,9,29,748,25.8,2,72,2.1,53.4,1,
Billy Joe DuPree,30,DAL,16,16,29,312,10.8,7,39,1.8,19.5,1,
Jack Holmes,27,NOR,16,7,29,226,7.8,1,16,1.8,14.1,0,
Mike Thomas,27,SDG,10,5,29,218,7.5,0,27,2.9,21.8,0,
Mark van Eeghen,28,OAK,16,16,29,259,8.9,0,37,1.8,16.2,3,
Charle Young,29,SFO,16,15,29,325,11.2,2,41,1.8,20.3,0,
Brian Baschnagel,26,CHI,16,15,28,396,14.1,2,37,1.8,24.8,0,
Raymond Chester,32,OAK,16,10,28,366,13.1,4,47,1.8,22.9,1,
Archie Griffin,26,CIN,15,7,28,196,7.0,0,19,1.9,13.1,1,
Tom Mullady,23,NYG,16,3,28,391,14.0,2,42,1.8,24.4,0,
Curtis Brown,26,BUF,16,16,27,137,5.1,0,20,1.7,8.6,4,
Don Calhoun,28,NWE,16,16,27,129,4.8,0,12,1.7,8.1,2,
Rich Caster,32,HOU,16,0,27,341,12.6,3,68,1.7,21.3,1,
Lenvil Elliott,29,SFO,15,3,27,285,10.6,1,45,1.8,19.0,5,
Calvin Hill,33,CLE,15,0,27,383,14.2,6,50,1.8,25.5,0,
Wilbur Jackson,29,WAS,16,14,27,279,10.3,1,27,1.7,17.4,10,
Jimmy Rogers,25,NOR,16,9,27,267,9.9,2,43,1.7,16.7,6,
Mark Brammer,22,BUF,16,5,26,283,10.9,4,36,1.6,17.7,0,
Billy Campfield,24,PHI,15,0,26,275,10.6,2,50,1.7,18.3,4,
Jim Jodat,26,SEA,16,13,26,190,7.3,1,14,1.6,11.9,3,
Brooks Williams,26,NOR,12,6,26,351,13.5,2,56,2.2,29.3,1,
Clarence Williams,25,SDG,13,9,26,230,8.8,1,26,2.0,17.7,3,
Curtis Dickey,24,BAL,15,5,25,204,8.2,2,32,1.7,13.6,3,
Lam Jones,22,NYJ,16,13,25,482,19.3,3,55,1.6,30.1,1,
Jeff Moore,24,SEA,14,2,25,231,9.2,0,34,1.8,16.5,4,
Elvis Peacock,24,RAM,13,9,25,213,8.5,2,59,1.9,16.4,1,
Danny Pittman,22,NYG,11,6,25,308,12.3,0,22,2.3,28.0,1,
Jay Saldi,26,DAL,16,3,25,311,12.4,1,43,1.6,19.4,0,
Lynn Cain,25,ATL,16,16,24,223,9.3,1,30,1.5,13.9,6,
Derrick Gaffney,25,NYJ,13,5,24,397,16.5,2,36,1.8,30.5,0,
Nick Giaquinto,25,MIA,16,0,24,192,8.0,1,25,1.5,12.0,0,
Bobby Hammond,28,WAS,15,1,24,203,8.5,1,38,1.6,13.5,0,
Kevin House,23,TAM,14,1,24,531,22.1,5,61,1.7,37.9,1,
Andy Johnson,28,NWE,16,0,24,259,10.8,3,22,1.5,16.2,0,
Randy Grossman,28,PIT,15,15,23,293,12.7,0,35,1.5,19.5,0,
Isaac Hagins,26,TAM,16,14,23,364,15.8,2,48,1.4,22.8,0,
Victor Hicks,23,RAM,16,14,23,318,13.8,3,32,1.4,19.9,0,
Roland Hooks,27,BUF,16,0,23,179,7.8,0,26,1.4,11.2,3,
Vagas Ferguson,23,NWE,16,16,22,173,7.9,0,18,1.4,10.8,3,
Alfred Jackson,25,ATL,16,0,22,403,18.3,7,54,1.4,25.2,0,
Kenny King,23,OAK,15,13,22,145,6.6,0,18,1.5,9.7,6,PB
Doug Marsh,22,STL,16,16,22,269,12.2,4,29,1.4,16.8,1,
Willie Miller,33,RAM,16,1,22,358,16.3,8,45,1.4,22.4,1,
Mickey Shuler,24,NYJ,16,9,22,226,10.3,2,26,1.4,14.1,1,
Ricky Thompson,26,WAS,16,15,22,313,14.2,5,54,1.4,19.6,0,
Rickey Watts,23,CHI,15,2,22,444,20.2,2,89,1.5,29.6,1,
Dave Williams,26,CHI,16,3,22,132,6.0,0,18,1.4,8.3,2,
Mike Friede,23,2TM,11,4,22,371,16.9,0,48,2.0,33.7,0,
Mike Friede,23,DET,4,0,1,21,21.0,0,21,0.3,5.3,0,
Mike Friede,23,NYG,7,4,21,350,16.7,0,48,3.0,50.0,0,
Rocky Bleier,34,PIT,16,6,21,174,8.3,1,17,1.3,10.9,0,
Theotis Brown,23,STL,16,0,21,290,13.8,1,63,1.3,18.1,2,
Pete Johnson,26,CIN,12,8,21,172,8.2,1,28,1.8,14.3,2,
Eason Ramson,24,SFO,16,3,21,179,8.5,2,22,1.3,11.2,0,
Gary Shirk,30,NYG,16,14,21,211,10.0,1,21,1.3,13.2,2,
Kevin Long,25,NYJ,15,7,20,137,6.9,0,16,1.3,9.1,3,
Tom Newton,26,NYJ,16,4,20,144,7.2,0,18,1.3,9.0,0,
Preston Pearson,35,DAL,11,0,20,213,10.7,2,20,1.8,19.4,0,
Don Woods,29,2TM,12,5,20,171,8.6,0,23,1.7,14.3,2,
Don Woods,29,SDG,2,0,0,0,,0,,0.0,0.0,0,
Don Woods,29,SFO,10,5,20,171,8.6,0,23,2.0,17.1,2,
Scott Dierking,25,NYJ,16,13,19,138,7.3,1,22,1.2,8.6,3,
Bruce Hardy,24,MIA,16,12,19,159,8.4,2,19,1.2,9.9,1,
Drew Hill,24,RAM,16,0,19,416,21.9,2,74,1.2,26.0,2,
Butch Johnson,26,DAL,16,1,19,263,13.8,4,29,1.2,16.4,0,
Horace King,27,DET,16,0,19,184,9.7,1,29,1.2,11.5,1,
Bo Matthews,29,NYG,15,7,19,86,4.5,0,12,1.3,5.7,2,
Leonard Thompson,28,DET,16,12,19,511,26.9,3,79,1.2,31.9,1,
Arthur Whittington,25,OAK,15,2,19,205,10.8,0,55,1.3,13.7,3,
Bennie Cunningham,26,PIT,15,1,18,232,12.9,2,35,1.2,15.5,0,
Robin Earl,25,CHI,16,13,18,223,12.4,3,28,1.1,13.9,0,
Rob Lytle,26,DEN,16,0,18,177,9.8,0,37,1.1,11.1,1,
Reese McCall,24,BAL,16,15,18,322,17.9,5,47,1.1,20.1,1,
Pat McInally,27,CIN,16,6,18,269,14.9,2,59,1.1,16.8,2,
John Spagnola,23,PHI,16,5,18,193,10.7,3,20,1.1,12.1,2,
Wesley Walker,25,NYJ,10,7,18,376,20.9,1,47,1.8,37.6,0,
Louie Giammona,27,PHI,16,4,17,178,10.5,1,30,1.1,11.1,5,
Steve Kreider,22,CIN,16,0,17,272,16.0,0,30,1.1,17.0,1,
Charles White,22,CLE,14,7,17,153,9.0,1,31,1.2,10.9,1,
Ronnie Coleman,29,HOU,14,0,16,168,10.5,0,27,1.1,12.0,1,
Buddy Hardeman,26,WAS,15,1,16,178,11.1,0,46,1.1,11.9,2,
Steve Raible,26,SEA,16,0,16,232,14.5,0,40,1.0,14.5,0,
Dave Stief,24,STL,16,2,16,165,10.3,0,23,1.0,10.3,0,
Ike Forte,26,WAS,12,0,15,174,11.6,1,28,1.3,14.5,1,
James Hadnot,23,KAN,13,5,15,97,6.5,0,18,1.2,7.5,4,
Leroy Harris,26,PHI,15,15,15,207,13.8,1,51,1.0,13.8,2,
Jon Keyworth,30,DEN,10,3,15,87,5.8,0,22,1.5,8.7,2,
Wayne Morris,26,STL,16,16,15,110,7.3,1,24,0.9,6.9,0,
Ron Springs,24,DAL,15,6,15,212,14.1,1,58,1.0,14.1,1,
Sidney Thornton,26,PIT,12,5,15,131,8.7,1,29,1.3,10.9,5,
Bob Tucker,35,MIN,16,13,15,173,11.5,1,25,0.9,10.8,1,
Randy Burke,25,BAL,10,0,14,185,13.2,3,19,1.4,18.5,0,
Chuck Foreman,30,NWE,16,0,14,99,7.1,0,18,0.9,6.2,0,
Cleveland Franklin,25,BAL,13,13,14,112,8.0,0,16,1.1,8.6,2,
Mike Guman,22,RAM,16,0,14,131,9.4,0,41,0.9,8.2,4,
Bobby Jones,25,NYJ,15,5,14,193,13.8,0,25,0.9,12.9,0,
John McDaniel,29,WAS,10,6,14,154,11.0,0,18,1.4,15.4,0,
Johnny Perkins,27,NYG,6,5,14,193,13.8,3,58,2.3,32.2,1,
Jerome Barkum,30,NYJ,16,11,13,244,18.8,1,28,0.8,15.3,0,
John Cappelletti,28,SDG,10,8,13,112,8.6,0,12,1.3,11.2,1,
Larry Hardy,24,NOR,16,3,13,197,15.2,0,44,0.8,12.3,0,
Terry LeCount,24,MIN,16,0,13,168,12.9,0,21,0.8,10.5,0,
Terdell Middleton,25,GNB,13,0,13,59,4.5,0,17,1.0,4.5,1,
Terry Robiskie,26,MIA,8,5,13,60,4.6,0,15,1.6,7.5,2,
Joe Rose,23,MIA,16,0,13,149,11.5,0,50,0.8,9.3,0,
Tony Davis,27,TAM,15,2,12,115,9.6,1,18,0.8,7.7,0,
Bob Fisher,22,CHI,16,2,12,203,16.9,2,56,0.8,12.7,0,
Reuben Gant,28,BUF,16,11,12,181,15.1,1,48,0.8,11.3,0,
Greg Hawthorne,24,PIT,15,6,12,158,13.2,0,33,0.8,10.5,6,
Horace Ivory,26,NWE,14,0,12,95,7.9,0,19,0.9,6.8,3,
Calvin Sweeney,25,PIT,15,0,12,282,23.5,1,34,0.8,18.8,1,
Deacon Turner,25,CIN,12,1,12,73,6.1,1,15,1.0,6.1,1,
Earl Campbell,25,HOU,15,15,11,47,4.3,0,10,0.7,3.1,4,"PB,AP-1,AP MVP-2,AP OPoY-1"
Jimmy Cefalo,24,MIA,16,4,11,199,18.1,1,52,0.7,12.4,0,
Greg McCrary,28,SDG,16,10,11,106,9.6,2,28,0.7,6.6,0,
Jim Obradovich,27,TAM,16,1,11,152,13.8,0,24,0.7,9.5,1,
Jesse Thompson,24,DET,11,2,11,137,12.5,0,19,1.0,12.5,1,
Ricky Feacher,26,CLE,16,0,10,244,24.4,4,55,0.6,15.3,0,
M.L. Harris,26,CIN,12,0,10,137,13.7,0,26,0.8,11.4,0,
Larry Heater,22,NYG,14,5,10,139,13.9,0,43,0.7,9.9,1,
Robert Miller,27,MIN,16,0,10,19,1.9,0,13,0.6,1.2,0,
Jeff Moore,23,RAM,14,0,10,168,16.8,1,37,0.7,12.0,0,
Rick Walker,25,WAS,15,4,10,88,8.8,1,15,0.7,5.9,1,
Ray Williams,22,DET,6,1,10,146,14.6,1,22,1.7,24.3,0,
Gary Davis,26,TAM,15,2,9,79,8.8,0,15,0.6,5.3,1,
Earl Gant,23,KAN,4,0,9,68,7.6,0,33,2.3,17.0,3,
Willard Harrell,28,STL,16,0,9,52,5.8,0,14,0.6,3.3,3,
James Owens,25,SFO,14,6,9,133,14.8,0,29,0.6,9.5,3,
Rodney Parker,27,PHI,8,0,9,148,16.4,1,30,1.1,18.5,0,
Mike Siani,30,BAL,10,1,9,174,19.3,1,38,0.9,17.4,0,
Marvin Sims,23,BAL,16,3,9,64,7.1,0,13,0.6,4.0,0,
John Stallworth,28,PIT,3,2,9,197,21.9,1,50,3.0,65.7,0,
Lawrence McCutcheon,30,2TM,14,1,9,76,8.4,1,17,0.6,5.4,4,
Lawrence McCutcheon,30,DEN,6,0,1,12,12.0,0,12,0.2,2.0,1,
Lawrence McCutcheon,30,SEA,8,1,8,64,8.0,1,17,1.0,8.0,3,
Willis Adams,24,CLE,16,0,8,165,20.6,0,39,0.5,10.3,0,
Mark Bell,23,STL,11,0,8,123,15.4,0,34,0.7,11.2,1,
Kenny Harrison,27,WAS,9,0,8,66,8.3,0,12,0.9,7.3,0,
Don Hasselbeck,25,NWE,16,2,8,130,16.3,4,35,0.5,8.1,0,
Roosevelt Leaks,27,BUF,16,0,8,57,7.1,1,18,0.5,3.6,1,
Robert Newhouse,30,DAL,16,10,8,75,9.4,0,18,0.5,4.7,3,
Leon Perry,23,NYG,10,4,8,84,10.5,1,25,0.8,8.4,3,
Tony Samuels,26,KAN,4,4,8,110,13.8,2,34,2.0,27.5,0,
Otis Armstrong,30,DEN,9,6,7,23,3.3,0,8,0.8,2.6,1,
Steve Atkins,24,GNB,9,3,7,47,6.7,1,16,0.8,5.2,1,
Al Dixon,26,KAN,12,0,7,115,16.4,1,32,0.6,9.6,1,
Roland Harper,27,CHI,12,12,7,31,4.4,0,16,0.6,2.6,0,
Derrick Jensen,24,OAK,16,1,7,87,12.4,0,32,0.4,5.4,1,
Ronnie Lee,24,MIA,16,13,7,83,11.9,2,41,0.4,5.2,0,
Lou Piccone,31,BUF,9,0,7,82,11.7,0,16,0.8,9.1,1,
Matt Suhey,22,CHI,16,1,7,60,8.6,0,21,0.4,3.8,1,
Morris Bradshaw,28,OAK,16,0,6,132,22.0,1,45,0.4,8.3,0,
Ron Egloff,25,DEN,16,4,6,85,14.2,0,24,0.4,5.3,0,
Scott Fitzkee,23,PHI,7,0,6,169,28.2,2,49,0.9,24.1,0,
Sherman Smith,26,SEA,3,2,6,72,12.0,1,19,2.0,24.0,0,
Steve Watson,23,DEN,16,1,6,146,24.3,0,52,0.4,9.1,0,
Walt Arnold,22,RAM,16,0,5,75,15.0,1,33,0.3,4.7,0,
Horace Belton,25,KAN,14,4,5,94,18.8,0,55,0.4,6.7,3,
Carlos Carson,22,KAN,16,1,5,68,13.6,0,32,0.3,4.3,1,
Ron Cassidy,23,GNB,15,1,5,109,21.8,0,43,0.3,7.3,1,
Alvin Garrett,24,NYG,15,0,5,69,13.8,1,32,0.3,4.6,5,
Mike Hogan,26,2TM,13,4,5,46,9.2,0,12,0.4,3.5,0,
Mike Hogan,26,NYG,6,4,5,46,9.2,0,12,0.8,7.7,0,
Mike Hogan,26,PHI,7,0,0,0,,0,,0.0,0.0,0,
Steve Howell,24,MIA,16,8,5,38,7.6,0,13,0.3,2.4,3,
James Jones,22,DAL,16,0,5,39,7.8,0,16,0.3,2.4,5,
Rick Kane,26,DET,16,0,5,26,5.2,0,9,0.3,1.6,3,
Arnold Morgado,28,KAN,11,0,5,27,5.4,1,10,0.5,2.5,0,
Derrick Ramsey,24,OAK,16,0,5,117,23.4,0,58,0.3,7.3,0,
John Skibinski,25,CHI,16,0,5,18,3.6,0,8,0.3,1.1,0,
Mike Strachan,27,NOR,3,2,5,60,12.0,0,23,1.7,20.0,2,
Jewerl Thomas,23,RAM,16,2,5,30,6.0,0,11,0.3,1.9,1,
Bill Larson,27,2TM,11,0,5,44,8.8,1,21,0.5,4.0,0,
Bill Larson,27,DEN,2,0,1,7,7.0,0,7,0.5,3.5,0,
Bill Larson,27,GNB,9,0,4,37,9.3,1,21,0.4,4.1,0,
Elmer Bailey,23,MIA,14,0,4,105,26.3,0,39,0.3,7.5,0,
Ken Burrough,32,HOU,2,0,4,91,22.8,0,54,2.0,45.5,0,
Johnny Davis,24,TAM,14,6,4,17,4.3,0,9,0.3,1.2,1,
Jessie Green,26,SEA,11,0,4,47,11.8,0,19,0.4,4.3,1,
Jeff Groth,23,HOU,16,0,4,47,11.8,0,18,0.3,2.9,2,
Kris Haines,23,CHI,16,1,4,83,20.8,0,35,0.3,5.2,0,
Wally Henry,26,PHI,7,0,4,68,17.0,0,22,0.6,9.7,1,
Eddie Hill,23,RAM,7,1,4,29,7.3,0,11,0.6,4.1,2,
Ron Jessie,32,BUF,16,3,4,56,14.0,1,20,0.3,3.5,0,
Timmy Newsome,22,DAL,16,1,4,43,10.8,0,16,0.3,2.7,0,
Fred Nixon,22,GNB,15,0,4,78,19.5,0,32,0.3,5.2,1,
Carlos Pennywell,24,NWE,11,0,4,31,7.8,1,16,0.4,2.8,0,
Mike Shumann,25,TAM,6,0,4,75,18.8,1,25,0.7,12.5,0,
Ron Smith,24,SDG,15,0,4,48,12.0,0,24,0.3,3.2,0,
Mosi Tatupu,25,NWE,16,0,4,27,6.8,0,11,0.3,1.7,0,
Don Westbrook,27,NWE,14,0,4,60,15.0,0,21,0.3,4.3,0,
Woody Bennett,25,2TM,14,3,3,26,8.7,1,19,0.2,1.9,2,
Woody Bennett,25,NYJ,10,0,0,0,,0,,0.0,0.0,1,
Woody Bennett,25,MIA,4,3,3,26,8.7,1,19,0.8,6.5,1,
Rickey Claitt,23,WAS,15,1,3,34,11.3,1,26,0.2,2.3,3,
Jim Corbett,25,CIN,4,0,3,28,9.3,0,12,0.8,7.0,0,
Paul Darby,24,NYJ,8,0,3,48,16.0,1,20,0.4,6.0,1,
Duke Fergerson,26,BUF,9,0,3,41,13.7,0,19,0.3,4.6,0,
Phil Francis,23,SFO,5,1,3,23,7.7,0,15,0.6,4.6,0,
Bubba Garcia,23,KAN,5,0,3,27,9.0,1,10,0.6,5.4,1,
Perry Harrington,22,PHI,14,1,3,24,8.0,0,17,0.2,1.7,1,
Harlan Huckleby,23,GNB,16,0,3,11,3.7,0,8,0.2,0.7,0,
Al Hunter,25,SEA,9,0,3,40,13.3,0,18,0.3,4.4,1,
Ira Matthews,23,OAK,16,0,3,33,11.0,0,20,0.2,2.1,7,
James Mayberry,23,ATL,16,0,3,1,0.3,0,6,0.2,0.1,0,
Terry Miller,24,BUF,15,0,3,25,8.3,0,15,0.2,1.7,0,
Terry Nelson,29,RAM,4,2,3,22,7.3,0,12,0.8,5.5,0,
McDonald Oden,22,CLE,16,0,3,18,6.0,0,8,0.2,1.1,0,
Stan Rome,24,KAN,10,0,3,58,19.3,0,33,0.3,5.8,0,
Keith Wright,24,CLE,12,0,3,62,20.7,3,39,0.3,5.2,2,
Vickey Ray Anderson,24,GNB,7,0,2,2,1.0,0,2,0.3,0.3,1,
Mike Cobb,25,CHI,4,3,2,16,8.0,0,9,0.5,4.0,0,
Chris Combs,22,STL,16,0,2,52,26.0,1,38,0.1,3.3,0,
Doug Cosbie,24,DAL,16,0,2,11,5.5,1,6,0.1,0.7,0,
Brian DeRoo,24,BAL,16,0,2,34,17.0,0,18,0.1,2.1,0,
Scott Laidlaw,27,NYG,7,1,2,16,8.0,0,10,0.3,2.3,0,
Jeff Lee,25,STL,4,0,2,19,9.5,0,12,0.5,4.8,0,
Mike Levenseller,24,CIN,8,0,2,30,15.0,0,22,0.3,3.8,0,
Cleo Miller,28,CLE,16,0,2,8,4.0,0,7,0.1,0.5,2,
Lydell Mitchell,31,RAM,2,0,2,21,10.5,0,13,1.0,10.5,0,
Larry Mucker,26,TAM,7,0,2,37,18.5,0,19,0.3,5.3,0,
Doug Paschal,22,MIN,16,0,2,18,9.0,0,11,0.1,1.1,0,
Nathan Poole,24,CIN,16,0,2,-4,-2.0,0,3,0.1,-0.3,1,
Tim Smith,23,HOU,16,0,2,21,10.5,0,13,0.1,1.3,1,
Wendell Tyler,25,RAM,4,4,2,8,4.0,0,5,0.5,2.0,1,
Mike Williams,23,KAN,16,11,2,9,4.5,1,6,0.1,0.6,0,
