Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Sfty,Awards
Joe Fields,28,NYJ,C,16,16,0,0,0,0,,1,0,-15,0,0.0,,0,"PB,AP-2"
Dan Fouts,30,SDG,QB,16,16,0,0,0,0,,9,2,-22,0,0.0,,0,"PB,AP MVP-6,AP OPoY-5"
Amos Fowler,25,DET,C,16,16,0,0,0,0,,0,2,-10,0,0.0,,0,
Tim Fox,28,NWE,FS,16,16,3,20,0,20,,0,0,0,0,0.0,,0,
Wallace Francis,30,ATL,WR,16,16,0,0,0,0,,1,2,0,0,0.0,,0,
Mark Gastineau,25,NYJ,LDE,16,16,0,0,0,0,,0,2,0,0,20.0,,0,"PB,AP-2,AP DPoY-3"
Jon Giesler,25,MIA,LT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Tom Glassic,27,DEN,LG,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Bob Glazebrook,25,ATL,SS,16,16,2,21,0,18,,0,1,22,0,2.0,,0,
Don Goode,30,CLE,LOLB,16,16,1,1,0,1,,0,0,0,0,3.5,,0,
Larry Gordon,27,MIA,ROLB,16,16,0,0,0,0,,0,1,0,0,1.0,,1,
Randy Gradishar,29,DEN,RILB,16,16,4,38,0,16,,0,0,0,0,1.0,,0,"PB,AP-2"
Will Grant,27,BUF,C,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Gary Green,26,KAN,LCB,16,16,5,37,0,16,,0,1,0,0,0.0,,0,PB
Hugh Green,22,TAM,ROLB,16,16,2,56,0,50,,0,1,0,0,3.0,,0,AP DRoY-3
Jacob Green,24,SEA,LDE,16,16,0,0,0,0,,0,1,0,0,12.0,,0,
Elois Grooms,28,NOR,RDE,16,16,0,0,0,0,,0,1,20,0,4.0,,0,
Carl Hairston,29,PHI,RDE,16,16,0,0,0,0,,0,1,0,0,8.5,,0,
Dan Hampton,24,CHI,LDE,16,16,0,0,0,0,,0,0,0,0,9.0,,0,
John Hannah,30,NWE,LG,16,16,0,0,0,0,,0,2,0,0,0.0,,0,"PB,AP-1"
Tom Hannon,26,MIN,SS,16,16,4,28,0,28,,0,1,31,0,0.0,,1,
Larry Hardy,25,NOR,TE,16,16,0,0,0,0,,2,2,0,0,0.0,,0,
Willie Harper,31,SFO,LOLB,16,16,0,0,0,0,,0,1,0,0,1.0,,0,
Bo Harris,28,CIN,LOLB,16,16,2,92,0,49,,0,0,0,0,2.0,,0,
Eric Harris,26,KAN,RCB,16,16,7,109,0,43,,0,2,20,0,0.0,,0,
Franco Harris,31,PIT,FB,16,16,0,0,0,0,,6,0,0,0,0.0,,0,
John Harris,25,SEA,FS,16,16,10,155,2,42,,1,3,0,0,0.0,,0,
Leotis Harris,26,GNB,RG,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Maurice Harvey,25,GNB,FS,16,16,6,217,0,53,,1,3,0,0,0.0,,0,
Jim Haslett,26,BUF,LILB,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Lester Hayes,26,OAK,LCB,16,16,3,0,0,0,,0,0,0,0,0.0,,0,PB
Mark Haynes,23,NYG,LCB,16,16,1,9,0,9,,0,1,0,0,0.0,,0,AP-2
Reuben Henderson,23,CHI,RCB,16,16,4,84,0,39,,0,1,0,0,0.0,,0,
Ted Hendricks,34,OAK,LOLB,16,16,0,0,0,0,,0,1,0,0,2.5,,0,PB
Matt Herkenhoff,30,KAN,LT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Dwight Hicks,25,SFO,FS,16,16,9,239,1,72,,1,4,80,1,0.0,,0,"PB,AP-2"
Kevin House,24,TAM,WR,16,16,0,0,0,0,,2,0,0,0,0.0,,0,
Michael Jackson,24,SEA,LLB,16,16,2,51,0,33,,0,2,0,0,1.0,,0,
Rickey Jackson,23,NOR,LOLB,16,16,0,0,0,0,2,0,1,0,0,8.0,125,0,
Terry Jackson,26,NYG,RCB,16,16,3,57,1,32,,0,1,0,0,0.0,,0,
Tom Jackson,30,DEN,ROLB,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Ron Jaworski,30,PHI,QB,16,16,0,0,0,0,,3,3,-2,0,0.0,,0,
Alfred Jenkins,29,ATL,WR,16,16,0,0,0,0,,3,0,0,0,0.0,,0,"PB,AP-1"
Cecil Johnson,26,TAM,LILB,16,16,5,84,0,36,,1,0,0,0,1.0,,0,
Charlie Johnson,29,PHI,NT,16,16,1,0,0,0,,0,2,0,0,0.0,,0,"PB,AP-1"
Gary Johnson,29,SDG,RDT,16,16,1,41,1,36,,0,1,0,0,10.0,,0,"PB,AP-1"
Johnnie Johnson,25,RAM,SS,16,16,0,0,0,0,,0,5,5,0,4.0,,0,
Kenny Johnson,23,ATL,RCB,16,16,3,35,0,23,,1,2,55,2,0.0,,0,
Pete Johnson,27,CIN,FB,16,16,0,0,0,0,,4,1,0,0,0.0,,0,PB
Charlie Joiner,34,SDG,WR,16,16,0,0,0,0,,2,0,0,0,0.0,,0,
Cody Jones,30,RAM,RDE,16,16,0,0,0,0,,0,1,0,0,5.5,,0,
Rulon Jones,23,DEN,RDE,16,16,0,0,0,0,,0,1,0,0,9.5,,0,
Terry Jones,25,GNB,NT,16,16,0,0,0,0,,0,2,0,0,0.0,,0,
Too Tall Jones,30,DAL,LDE,16,16,0,0,0,0,,0,3,0,0,9.5,,0,"PB,AP-2,AP DPoY-8"
Brian Kelley,30,NYG,LILB,16,16,2,43,0,27,,0,2,0,0,0.0,,0,
Mike Kenn,25,ATL,LT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,"PB,AP-2"
Ken Kennard,27,HOU,NT,16,16,0,0,0,0,,0,1,0,0,3.5,,0,
Gordon King,25,NYG,RT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Linden King,26,SDG,LLB,16,16,1,28,0,28,,0,0,0,0,4.0,,0,
Joe Klecko,28,NYJ,RDE,16,16,0,0,0,0,,0,2,0,0,20.5,,0,"PB,AP-1,AP DPoY-2"
Kurt Knoff,27,MIN,FS,16,16,3,24,0,20,,0,1,0,0,0.0,,0,
Fulton Kuykendall,28,ATL,LILB,16,16,1,20,1,20,,0,1,0,0,0.0,,0,
Aaron Kyle,27,DEN,RCB,16,16,2,40,0,40,,0,4,1,0,0.0,,0,
Eric Laakso,25,MIA,RT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Jack Lambert,29,PIT,MLB,16,16,6,76,0,31,,0,2,38,0,2.0,,0,"PB,AP-1,AP DPoY-7"
Steve Largent,27,SEA,WR,16,16,0,0,0,0,,2,0,0,0,0.0,,0,PB
Joe Lavender,32,WAS,RCB,16,16,4,52,0,30,,0,0,0,0,0.0,,0,
Henry Lawrence,30,OAK,RT,16,16,0,0,0,0,,0,2,0,0,0.0,,0,
Mark Lee,23,GNB,LCB,16,16,6,50,0,25,,0,1,0,0,0.0,,0,
Frank LeMaster,29,PHI,RILB,16,16,2,28,0,22,,0,2,47,1,1.0,,0,PB
D.D. Lewis,36,DAL,RLB,16,16,1,0,0,0,,1,0,-2,0,1.0,,0,
Frank Lewis,34,BUF,WR,16,16,0,0,0,0,,1,1,0,0,0.0,,0,PB
James Lofton,25,GNB,WR,16,16,0,0,0,0,,0,1,0,0,0.0,,0,"PB,AP-1"
David Logan,25,TAM,NT,16,16,0,0,0,0,,0,1,21,1,5.5,,0,
Randy Logan,30,PHI,SS,16,16,2,-1,0,0,,0,1,0,0,0.0,,0,
Ronnie Lott,22,SFO,LCB,16,16,7,117,3,41,,1,2,0,0,0.0,89,0,"PB,AP-1,AP MVP-6,AP DPoY-6,AP DRoY-2"
Woodrow Lowe,27,SDG,RLB,16,16,3,0,0,0,,0,0,0,0,1.0,,0,
Harvey Martin,31,DAL,RDE,16,16,0,0,0,0,,0,1,0,0,8.5,,1,
Rod Martin,27,OAK,ROLB,16,16,1,7,0,7,,0,3,0,0,10.0,,0,
Mickey Marvin,26,OAK,RG,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Clay Matthews,25,CLE,ROLB,16,16,2,14,0,8,,0,2,16,0,5.0,128,0,
John Matuszak,31,OAK,LDE,16,16,0,0,0,0,,0,1,0,0,2.0,,0,
Larry McCarren,30,GNB,C,16,16,0,0,0,0,,1,0,0,0,0.0,,0,
Randy McClanahan,27,OAK,RILB,16,16,0,0,0,0,,0,3,0,0,3.0,,0,
Mike McCoy,28,GNB,RCB,16,16,2,20,0,16,,1,1,0,0,0.0,,0,
Randy McMillan,23,BAL,FB,16,16,0,0,0,0,,1,0,0,0,0.0,,0,
Fred McNeill,29,MIN,ROLB,16,16,2,26,0,14,,0,1,11,0,3.0,,0,
Matt Millen,23,OAK,LILB,16,16,0,0,0,0,,0,1,0,0,4.0,,0,
Joe Montana,25,SFO,QB,16,16,0,0,0,0,,2,0,0,0,0.0,,0,"PB,AP-2,AP MVP-2,AP OPoY-3"
Max Montoya,25,CIN,RG,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Derland Moore,30,NOR,LDE,16,16,0,0,0,0,,0,1,0,0,1.0,,0,
Guy Morriss,30,PHI,C,16,16,0,0,0,0,,2,0,-8,0,0.0,,0,
Mark Murphy,26,WAS,FS,16,16,7,68,0,29,,0,3,0,0,0.0,,0,
Dan Neal,32,CHI,C,16,16,0,0,0,0,,2,0,-4,0,0.0,,0,
Bill Neill,22,NYG,NT,16,16,0,0,0,0,,0,1,0,0,5.5,,0,
Ray Oldham,30,DET,SS,16,16,1,10,0,10,,0,0,0,0,0.0,,0,
Jim Osborne,32,CHI,LDT,16,16,0,0,0,0,,0,2,7,0,4.0,,0,
Burgess Owens,30,OAK,FS,16,16,2,30,1,30,,0,2,22,0,0.0,,0,
Alan Page,36,CHI,RDT,16,16,0,0,0,0,,0,1,0,0,9.0,,0,
Rick Parros,23,DEN,FB,16,16,0,0,0,0,,6,1,0,0,0.0,,0,
Walter Payton,28,CHI,RB,16,16,0,0,0,0,,9,3,0,0,0.0,,0,
Rod Perry,28,RAM,RCB,16,16,3,18,0,10,,0,0,0,0,0.0,,0,
Vernon Perry,28,HOU,SS,16,16,2,46,0,34,,0,1,0,0,0.0,,0,
Tony Peters,28,WAS,SS,16,16,3,0,0,0,,0,1,0,0,0.0,,0,
Tom Pridemore,25,ATL,FS,16,16,7,221,1,101,,0,3,24,0,0.0,,0,
Mike Pruitt,27,CLE,FB,16,16,0,0,0,0,,5,2,0,0,0.0,,0,
Fred Quillan,25,SFO,C,16,16,0,0,0,0,,1,0,0,0,0.0,,0,
Darrol Ray,23,NYJ,FS,16,16,7,227,2,64,,1,2,4,0,1.0,,0,
Glen Redd,23,NOR,LILB,16,16,1,7,0,7,,0,0,0,0,1.0,,0,
Beasley Reece,27,NYG,FS,16,16,4,84,0,32,,1,5,7,1,0.0,,0,
Archie Reese,25,SFO,NT,16,16,0,0,0,0,,0,0,0,0,0.5,,0,
Mike Reinfeldt,28,HOU,FS,16,16,2,18,0,16,,0,2,0,0,1.0,,0,
Jack Reynolds,34,SFO,RILB,16,16,1,0,0,0,,0,0,0,0,0.0,,0,
Earnest Rhone,28,MIA,RILB,16,16,3,35,0,16,,0,1,0,0,6.0,,0,
Al Richardson,24,ATL,LOLB,16,16,1,9,0,9,,0,0,0,0,9.5,,0,
Ken Riley,34,CIN,RCB,16,16,5,6,0,6,,0,1,0,0,0.0,,0,
Isiah Robertson,32,BUF,ROLB,16,16,2,15,0,15,,0,0,0,0,2.5,,0,
Johnny Robinson,22,OAK,NT,16,16,0,0,0,0,,0,1,0,0,4.0,,1,
George Rogers,23,NOR,RB,16,16,0,0,0,0,,13,1,0,0,0.0,,0,"PB,AP-1,AP MVP-6,AP OPoY-4,AP ORoY-1"
Charles Romes,27,BUF,RCB,16,16,4,113,0,35,,1,2,11,0,0.0,,0,
Dan Ross,24,CIN,TE,16,16,0,0,0,0,,3,1,3,0,0.0,,0,
Jack Rudnay,34,KAN,C,16,16,0,0,0,0,,1,0,-28,0,0.0,,0,
Abdul Salaam,28,NYJ,LDT,16,16,0,0,0,0,,0,1,0,0,7.0,,0,
Lucius Sanford,25,BUF,LOLB,16,16,0,0,0,0,,0,1,0,0,2.0,,0,
Rich Saul,33,RAM,C,16,16,0,0,0,0,,0,1,0,0,0.0,,0,PB
Terry Schmidt,29,CHI,LCB,16,16,2,4,0,4,,0,1,0,0,0.0,,0,
Ken Schroy,29,NYJ,SS,16,16,2,58,0,39,,0,0,0,0,2.0,,0,
Clarence Scott,32,CLE,SS,16,16,4,46,0,26,,0,3,0,0,1.0,,0,
Joe Senser,25,MIN,TE,16,16,0,0,0,0,,3,2,0,0,0.0,,0,PB
Rod Shoate,28,NWE,ROLB,16,16,1,0,0,0,,1,2,7,0,2.0,,0,
Jeff Siemon,31,MIN,LILB,16,16,0,0,0,0,,1,1,-3,0,0.0,,0,
Bill Simpson,30,BUF,FS,16,16,4,42,0,42,,0,1,0,0,1.0,,0,
Brian Sipe,32,CLE,QB,16,16,0,0,0,0,,10,4,-39,0,0.0,,0,
Gerald Small,25,MIA,RCB,16,16,0,0,0,0,,0,2,0,0,0.0,,0,
Fred Smerlas,24,BUF,NT,16,16,0,0,0,0,,0,1,17,0,2.0,,0,PB
Don Smith,24,ATL,NT,16,16,0,0,0,0,,0,3,2,0,7.5,,0,
Wayne Smith,24,DET,LCB,16,16,0,0,0,0,,0,1,4,0,1.0,,0,
Gary Spani,25,KAN,RILB,16,16,0,0,0,0,,0,2,91,1,1.0,,0,
John Stallworth,29,PIT,WR,16,16,0,0,0,0,,4,0,0,0,0.0,,0,
Scott Studwell,27,MIN,RILB,16,16,0,0,0,0,,0,3,0,0,1.0,,0,
Bob Swenson,28,DEN,LOLB,16,16,3,53,0,32,,0,3,0,0,3.0,,0,"PB,AP-1"
Lawrence Taylor,22,NYG,ROLB,16,16,1,1,0,1,,1,1,4,0,9.5,,0,"PB,AP-1,AP DPoY-1,AP DRoY-1"
Willie Teal,24,MIN,RCB,16,16,4,23,0,15,,0,0,0,0,1.0,,0,
Joe Theismann,32,WAS,QB,16,16,0,0,0,0,,7,1,0,0,0.0,,0,
R.C. Thielemann,26,ATL,RG,16,16,0,0,0,0,,0,2,0,0,0.0,,0,PB
J.T. Thomas,30,PIT,FS,16,16,4,18,0,16,,0,1,0,0,0.0,,0,
Bill Thompson,35,DEN,SS,16,16,4,14,0,14,,0,2,0,0,1.0,,0,PB
Leonard Thompson,29,DET,WR,16,16,0,0,0,0,,1,1,0,0,0.0,,0,
Dennis Thurman,25,DAL,RCB,16,16,9,187,0,96,,0,1,0,0,0.0,,0,
Pat Tilley,28,STL,WR,16,16,0,0,0,0,,1,0,0,0,0.0,,0,
Richard Todd,28,NYJ,QB,16,16,0,0,0,0,,5,2,0,0,0.0,,0,
Manu Tuiasosopo,24,SEA,RDE/RDT,16,16,0,0,0,0,,0,3,0,0,6.0,,0,
Jeff Van Note,35,ATL,C,16,16,0,0,0,0,,1,1,-20,0,0.0,,0,PB
Ted Washington,33,HOU,LOLB,16,16,1,19,0,19,,0,0,0,0,2.0,,0,
Charlie Waters,33,DAL,SS,16,16,3,21,0,21,,0,1,0,0,3.0,,0,
James White,28,MIN,NT,16,16,0,0,0,0,,0,2,0,0,4.0,,0,
Randy White,28,DAL,RDT,16,16,0,0,0,0,,0,0,0,0,8.5,,0,"PB,AP-1,AP DPoY-3"
Sammy White,27,MIN,WR,16,16,0,0,0,0,,1,0,0,0,0.0,,0,
Sherman White,33,BUF,RDE,16,16,0,0,0,0,,0,1,0,0,8.0,,0,
Stan White,32,DET,RLB,16,16,4,37,0,16,,0,1,0,0,1.0,,0,
James Wilder,23,TAM,FB,16,16,0,0,0,0,,3,1,0,0,0.0,,0,
Doug Wilkerson,34,SDG,LG,16,16,0,0,0,0,,0,1,0,0,0.0,,0,PB
Ben Williams,27,BUF,LDE,16,16,1,0,0,0,,0,1,0,0,10.0,,1,
Doug Williams,26,TAM,QB,16,16,0,0,0,0,,9,3,-31,0,0.0,,0,
Reggie Williams,27,CIN,ROLB,16,16,4,33,0,14,,0,3,0,0,11.0,,0,
Carlton Williamson,23,SFO,SS,16,16,4,44,0,28,,0,2,3,0,0.0,,0,
J.C. Wilson,25,HOU,LCB,16,16,1,1,0,1,,1,0,0,0,0.0,,0,
Rich Wingo,25,GNB,LILB,16,16,1,38,0,38,,0,0,0,0,2.0,,0,
Kellen Winslow,24,SDG,TE,16,16,0,0,0,0,,2,2,0,0,0.0,,0,"PB,AP-1,AP MVP-6,AP OPoY-8"
Richard Wood,28,TAM,RILB,16,16,0,0,0,0,,0,0,0,0,1.0,,0,
Eric Wright,22,SFO,RCB,16,16,3,26,0,26,,0,2,0,0,0.0,,0,
Jeff Yeates,30,ATL,LDE,16,16,0,0,0,0,,0,1,0,0,4.0,,0,
Jack Youngblood,31,RAM,LDE,16,16,0,0,0,0,,0,0,0,0,11.5,,0,
Jim Youngblood,31,RAM,LLB,16,16,1,20,0,20,,0,0,0,0,3.0,,0,
Cedric Brown,27,TAM,FS,16,15,9,215,2,81,,1,1,0,0,0.0,,0,
Dexter Bussey,29,DET,FB,16,15,0,0,0,0,,3,0,0,0,0.0,,0,
Gary Dunn,28,PIT,RDT,16,15,0,0,0,0,,0,1,1,0,8.0,,0,
James Hadnot,24,KAN,FB,16,15,0,0,0,0,,4,1,0,0,0.0,,0,
Harold Jackson,35,NWE,WR,16,15,0,0,0,0,,1,0,0,0,0.0,,0,
Tom Myers,31,NOR,FS,16,15,2,70,0,54,,1,1,0,0,0.0,,0,
Herb Orvis,35,BAL,LDT,16,15,0,0,0,0,,0,2,0,0,2.0,,0,
Ricky Patton,27,SFO,RB,16,15,0,0,0,0,,3,0,0,0,0.0,,0,
Drew Pearson,30,DAL,WR,16,15,0,0,0,0,,4,0,0,0,0.0,,0,
Tom Rafferty,27,DAL,C,16,15,0,0,0,0,,2,1,-30,0,0.0,,0,
Ahmad Rashad,32,MIN,WR,16,15,0,0,0,0,,1,1,0,0,0.0,,0,PB
John Schuhmacher,26,HOU,LG,16,15,0,0,0,0,,0,1,0,0,0.0,,0,
J.T. Smith,26,KAN,WR,16,15,0,0,0,0,,2,1,19,0,0.0,,0,
Greg Stemrick,30,HOU,RCB,16,15,3,94,0,38,,0,0,0,0,0.0,,0,
Norris Thomas,27,TAM,LCB,16,15,0,0,0,0,,0,2,5,0,0.0,,0,
Danny White,29,DAL,QB,16,15,0,0,0,0,,14,8,-34,0,0.0,,0,
Brian Baschnagel,27,CHI,WR,16,14,0,0,0,0,,2,2,0,0,0.0,,0,
Lloyd Burruss,24,KAN,SS,16,14,4,75,1,46,,1,1,4,0,0.0,,0,
Bill Currier,26,NYG,SS,16,14,3,2,0,2,,0,1,0,0,1.0,,0,
Vern Den Herder,33,MIA,RDE,16,14,0,0,0,0,,0,0,0,0,1.0,,0,
William Gay,26,DET,LDT,16,14,0,0,0,0,,0,1,0,0,7.0,,0,
Daryl Hunt,25,HOU,RILB,16,14,0,0,0,0,,0,0,0,0,1.5,,0,
Leroy Jones,31,SDG,LDE,16,14,1,6,0,6,,0,1,5,0,7.0,,0,
Sam McCullum,29,SEA,WR,16,14,0,0,0,0,,1,0,0,0,0.0,,0,
Odis McKinney,24,OAK,SS,16,14,3,38,0,34,,0,1,0,0,5.0,,0,
Johnny Perkins,28,NYG,WR,16,14,0,0,0,0,,2,0,0,0,0.0,,0,
Kurt Petersen,24,DAL,RG,16,14,0,0,0,0,,0,2,3,0,0.0,,0,
Dave Preston,26,DEN,RB,16,14,0,0,0,0,,4,0,0,0,0.0,,0,
Rick Sanford,24,NWE,SS,16,14,3,28,0,21,,0,3,2,0,0.0,,0,
Gary Shirk,31,NYG,TE,16,14,0,0,0,0,,1,0,0,0,0.0,,0,
