Player,Age,Team,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards
Mike Garrett,24,BAL,16,0,2,4,0,3,2.0,0.3,0.1,0,
Jeff Groth,24,NOR,15,13,2,27,0,28,13.5,1.8,0.1,0,
Kevin House,24,TAM,16,16,2,9,0,8,4.5,0.6,0.1,2,
Alfred Jackson,26,ATL,16,0,2,5,0,5,2.5,0.3,0.1,0,
Harold Jackson,35,NWE,16,15,2,-14,0,-5,-7.0,-0.9,0.1,1,
John Jefferson,25,GNB,13,13,2,22,0,15,11.0,1.7,0.2,0,
Andy Johnson,29,NWE,16,0,2,1,0,5,0.5,0.1,0.1,1,
Lam Jones,23,NYJ,15,3,2,0,0,,0.0,0.0,0.1,2,
Jeff Kemp,22,RAM,1,0,2,9,0,7,4.5,9.0,2.0,0,
Archie Manning,32,NOR,12,11,2,28,0,15,14.0,2.3,0.2,3,
Paul McDonald,23,CLE,12,0,2,0,0,,0.0,0.0,0.2,4,
Guido Merkens,26,NOR,16,11,2,-1,0,2,-0.5,-0.1,0.1,1,
Terry Miller,25,SEA,1,0,2,4,0,2,2.0,4.0,2.0,0,
Stanley Morgan,26,NWE,13,13,2,21,0,11,10.5,1.6,0.2,2,
Tom Myers,31,NOR,16,15,2,-3,0,6,-1.5,-0.2,0.1,1,
Ozzie Newsome,25,CLE,16,16,2,20,0,14,10.0,1.3,0.1,0,"PB,AP-2"
Johnny Perkins,28,NYG,16,14,2,-1,0,10,-0.5,-0.1,0.1,2,
Charlie Smith,31,PHI,16,14,2,5,0,5,2.5,0.3,0.1,2,
Scott Stauch,22,NOR,10,0,2,6,0,5,3.0,0.6,0.2,1,
David Verser,23,CIN,16,0,2,11,0,9,5.5,0.7,0.1,2,
Steve Watson,24,DEN,16,13,2,6,0,6,3.0,0.4,0.1,0,"PB,AP-2"
Sammy White,27,MIN,16,16,2,-1,0,1,-0.5,-0.1,0.1,1,
Dave Williams,27,CHI,8,0,2,19,0,15,9.5,2.4,0.3,0,
Mike Williams,24,KAN,3,0,2,0,0,,0.0,0.0,0.7,0,
Kim Anderson,24,BAL,14,5,1,0,0,,0.0,0.0,0.1,2,
Brian Baschnagel,27,CHI,16,14,1,10,0,10,10.0,0.6,0.1,2,
Don Bass,25,CIN,6,0,1,9,0,9,9.0,1.5,0.2,0,
Theo Bell,28,TAM,16,9,1,7,0,7,7.0,0.4,0.1,1,
Guy Benjamin,26,SFO,4,0,1,1,0,1,1.0,0.3,0.3,0,
Carl Birdsong,22,STL,16,0,1,-2,0,-2,-2.0,-0.1,0.1,0,
Tom Blanchard,33,TAM,3,0,1,0,0,,0.0,0.0,0.3,1,
Jerry Butler,24,BUF,16,16,1,1,0,1,1.0,0.1,0.1,2,
Harold Carmichael,32,PHI,16,16,1,1,0,1,1.0,0.1,0.1,3,
Carlos Carson,23,KAN,5,1,1,-1,0,-1,-1.0,-0.2,0.2,1,
Rich Caster,33,2TM,7,1,1,-3,0,-3,-3.0,-0.4,0.1,2,
Rich Caster,33,NOR,4,0,1,-3,0,-3,-3.0,-0.8,0.3,2,
Rich Caster,33,WAS,3,1,0,0,0,,,0.0,0.0,0,
Henry Childs,30,RAM,7,7,1,0,0,,0.0,0.0,0.1,1,
Craig Colquitt,27,PIT,16,0,1,8,0,8,8.0,0.5,0.1,0,
Mike Connell,25,WAS,16,0,1,0,0,,0.0,0.0,0.1,2,
Nolan Cromwell,26,RAM,16,16,1,17,0,17,17.0,1.1,0.1,0,"PB,AP-1"
Tony Daykin,26,ATL,16,0,1,2,0,2,2.0,0.1,0.1,0,
Al Dixon,27,KAN,16,13,1,-5,0,-5,-5.0,-0.3,0.1,0,
Billy Joe DuPree,31,DAL,16,15,1,12,0,12,12.0,0.8,0.1,0,
Ricky Feacher,27,CLE,16,7,1,-1,0,-1,-1.0,-0.1,0.1,0,
Wallace Francis,30,ATL,16,16,1,8,1,8,8.0,0.5,0.1,1,
