Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Kyle Orton,27,DEN,QB,16,15,8-7-0,336,541,62.1,3802,21,3.9,12,2.2,175,42.6,87,7.0,6.81,11.3,237.6,86.8,56.9,29,159,5.09,6.39,6.18,3,3,
Kurt Warner,38,ARI,QB,15,15,10-5-0,339,513,66.1,3753,26,5.1,14,2.7,192,50.5,45,7.3,7.10,11.1,250.2,93.2,66.2,24,172,4.47,6.67,6.46,1,2,
Jay Cutler,26,CHI,QB,16,16,7-9-0,336,555,60.5,3666,27,4.9,26,4.7,169,41.7,71,6.6,5.47,10.9,229.1,76.8,49.9,35,204,5.93,5.87,4.80,2,4,
Jason Campbell,28,WAS,QB,16,16,4-12-0,327,507,64.5,3618,20,3.9,15,3.0,187,45.8,84,7.1,6.59,11.1,226.1,86.4,55.2,43,285,7.82,6.06,5.56,1,1,
Joe Flacco,24,BAL,QB,16,16,9-7-0,315,499,63.1,3613,21,4.2,12,2.4,184,46.4,72,7.2,7.00,11.5,225.8,88.9,58.5,36,218,6.73,6.35,6.12,1,2,
David Garrard,31,JAX,QB,16,16,7-9-0,314,516,60.9,3597,15,2.9,10,1.9,169,43.9,63,7.0,6.68,11.5,224.8,83.5,54.4,42,236,7.53,6.02,5.75,3,4,PB
Donovan McNabb,33,PHI,QB,14,14,10-4-0,267,443,60.3,3553,22,5.0,10,2.3,141,41.4,60,8.0,8.00,13.3,253.8,92.9,58.2,35,264,7.32,6.88,6.86,2,3,PB
Carson Palmer,30,CIN,QB,16,16,10-6-0,282,466,60.5,3094,21,4.5,13,2.8,159,46.3,73,6.6,6.29,11.0,193.4,83.6,58.6,26,213,5.28,5.86,5.52,3,5,
Matt Hasselbeck,34,SEA,QB,14,14,5-9-0,293,488,60.0,3029,17,3.5,17,3.5,148,41.3,53,6.2,5.34,10.3,216.4,75.1,34.0,32,209,6.15,5.42,4.61,0,1,
Matt Cassel,27,KAN,QB,15,15,4-11-0,271,493,55.0,2924,16,3.2,16,3.2,129,35.9,61,5.9,5.12,10.8,194.9,69.9,29.7,42,243,7.85,5.01,4.26,1,2,
Matt Ryan,24,ATL,QB,14,14,9-5-0,263,451,58.3,2916,22,4.9,14,3.1,153,44.0,90,6.5,6.04,11.1,208.3,80.9,67.7,19,92,4.04,6.01,5.60,1,3,
Chad Henne,24,MIA,QB,14,13,7-6-0,274,451,60.8,2878,12,2.7,14,3.1,156,45.9,67,6.4,5.52,10.5,205.6,75.2,53.1,26,176,5.45,5.66,4.85,3,3,
Mark Sanchez,23,NYJ,QB,15,15,8-7-0,196,364,53.8,2444,12,3.3,20,5.5,122,39.5,65,6.7,4.90,12.5,162.9,63.0,32.8,26,195,6.67,5.77,4.07,0,0,
Alex Smith,25,SFO,QB,11,10,5-5-0,225,372,60.5,2350,18,4.8,12,3.2,100,38.3,73,6.3,5.83,10.4,213.6,81.5,41.8,22,134,5.58,5.62,5.17,0,0,
Matthew Stafford,21,DET,QB,10,10,2-8-0,201,377,53.3,2267,13,3.4,20,5.3,111,39.4,75,6.0,4.32,11.3,226.7,61.0,37.1,24,169,5.99,5.23,3.64,1,1,
Jake Delhomme,34,CAR,QB,11,11,4-7-0,178,321,55.5,2015,8,2.5,18,5.6,101,43.0,52,6.3,4.25,11.3,183.2,59.4,37.3,23,187,6.69,5.31,3.42,1,2,
Vince Young,26,TEN,QB,12,10,8-2-0,152,259,58.7,1879,10,3.9,7,2.7,91,44.4,66,7.3,6.81,12.4,156.6,82.8,69.6,9,36,3.36,6.88,6.45,3,6,"PB,AP CPoY-3"
Josh Freeman,21,TAM,QB,10,9,3-6-0,158,290,54.5,1855,10,3.4,18,6.2,90,41.0,42,6.4,4.29,11.7,185.5,59.8,37.0,20,102,6.45,5.65,3.69,2,2,
Marc Bulger,32,STL,QB,9,8,1-7-0,140,247,56.7,1469,5,2.0,6,2.4,77,42.9,50,5.9,5.26,10.5,163.2,70.7,30.7,14,85,5.36,5.30,4.65,0,1,
Ryan Fitzpatrick,27,BUF,QB,10,8,4-4-0,127,227,55.9,1422,9,4.0,10,4.4,65,35.1,98,6.3,5.07,11.2,142.2,69.7,35.2,21,127,8.47,5.22,4.13,1,2,
Brady Quinn,25,CLE,QB,10,9,2-7-0,136,256,53.1,1339,8,3.1,7,2.7,72,34.9,59,5.2,4.63,9.8,133.9,67.2,41.7,19,104,6.91,4.49,3.93,0,1,
JaMarcus Russell,24,OAK,QB,12,9,2-7-0,120,246,48.8,1287,3,1.2,11,4.5,58,28.3,86,5.2,3.46,10.7,107.3,50.0,20.7,33,207,11.83,3.87,2.31,2,2,
Kerry Collins,37,TEN,QB,7,6,0-6-0,119,216,55.1,1225,6,2.8,8,3.7,63,41.4,69,5.7,4.56,10.3,175.0,65.5,37.6,6,37,2.70,5.35,4.27,0,0,
Trent Edwards,26,BUF,QB,8,7,2-5-0,110,183,60.1,1169,6,3.3,7,3.8,54,35.4,46,6.4,5.32,10.6,146.1,73.8,29.1,23,139,11.17,5.00,4.05,0,0,
Matt Moore,25,CAR,QB,7,5,4-1-0,85,138,61.6,1053,8,5.8,2,1.4,52,45.6,66,7.6,8.14,12.4,150.4,98.5,64.6,9,78,6.12,6.63,7.11,1,1,
Bruce Gradkowski,26,OAK,QB,7,4,2-2-0,82,150,54.7,1007,6,4.0,3,2.0,44,41.6,75,6.7,6.61,12.3,143.9,80.6,58.3,11,71,6.83,5.81,5.72,2,2,
Daunte Culpepper,32,DET,QB,8,5,0-5-0,89,157,56.7,945,3,1.9,6,3.8,44,42.1,38,6.0,4.68,10.6,118.1,64.8,35.9,14,107,8.19,4.90,3.67,0,0,
Shaun Hill,29,SFO,QB,6,6,3-3-0,87,155,56.1,943,5,3.2,2,1.3,33,31.8,61,6.1,6.15,10.8,157.2,79.6,35.9,18,107,10.40,4.83,4.89,1,1,
Kyle Boller,28,STL,QB,7,4,0-4-0,98,176,55.7,899,3,1.7,6,3.4,42,35.8,35,5.1,3.91,9.2,128.4,61.2,23.2,17,117,8.81,4.05,2.96,0,0,
Derek Anderson,26,CLE,QB,8,7,3-4-0,81,182,44.5,888,3,1.6,10,5.5,44,31.6,43,4.9,2.74,11.0,111.0,42.1,22.4,11,75,5.70,4.21,2.19,0,1,
Chris Redman,32,ATL,QB,6,2,0-2-0,69,119,58.0,781,4,3.4,3,2.5,41,43.3,50,6.6,6.10,11.3,130.2,78.4,64.6,8,34,6.30,5.88,5.45,1,1,
Kevin Kolb,25,PHI,QB,5,2,1-1-0,62,96,64.6,741,4,4.2,3,3.1,31,50.5,71,7.7,7.15,12.0,148.2,88.9,62.2,3,27,3.03,7.21,6.66,0,0,
Seneca Wallace,29,SEA,QB,13,2,0-2-0,78,120,65.0,700,3,2.5,2,1.7,36,45.7,39,5.8,5.58,9.0,53.8,81.9,44.7,9,59,6.98,4.97,4.74,0,0,
Josh Johnson,23,TAM,QB,6,4,0-4-0,63,125,50.4,685,4,3.2,8,6.4,31,37.5,35,5.5,3.24,10.9,114.2,50.9,37.6,11,59,8.09,4.60,2.54,0,0,
Byron Leftwich,29,TAM,QB,3,3,0-3-0,58,107,54.2,594,4,3.7,3,2.8,27,34.9,47,5.6,5.04,10.2,198.0,71.2,61.0,2,0,1.83,5.45,4.94,0,0,
Charlie Frye,28,OAK,QB,3,3,1-2-0,53,87,60.9,581,1,1.1,4,4.6,28,43.5,33,6.7,4.84,11.0,193.7,65.3,43.5,5,40,5.43,5.88,4.14,0,0,
Keith Null,24,STL,QB,4,4,0-4-0,73,119,61.3,566,3,2.5,9,7.6,30,39.4,25,4.8,1.86,7.8,141.5,49.9,16.9,13,82,9.85,3.67,1.05,0,0,
Matt Leinart,26,ARI,QB,8,1,0-1-0,51,77,66.2,435,0,0.0,3,3.9,22,43.0,28,5.6,3.90,8.5,54.4,64.6,45.9,2,12,2.53,5.35,3.65,0,0,
Chad Pennington,33,MIA,QB,3,3,0-3-0,51,74,68.9,413,1,1.4,2,2.7,27,45.0,21,5.6,4.64,8.1,137.7,76.0,40.5,6,32,7.50,4.76,3.89,0,0,
Drew Stanton,25,DET,QB,3,1,0-1-0,26,51,51.0,259,0,0.0,6,11.8,12,33.9,30,5.1,-0.22,10.0,86.3,26.1,12.4,5,27,8.93,4.14,-0.68,0,0,
Billy Volek,33,SDG,QB,4,0,,20,31,64.5,231,1,3.2,1,3.2,13,50.0,50,7.5,6.65,11.6,57.8,84.2,77.9,1,1,3.13,7.19,6.41,1,1,
Brodie Croyle,26,KAN,QB,3,1,0-1-0,23,40,57.5,230,2,5.0,0,0.0,10,34.9,50,5.8,6.75,10.0,76.7,90.6,74.8,3,18,6.98,4.93,5.86,0,0,
David Carr,30,NYG,QB,6,0,,21,33,63.6,225,1,3.0,0,0.0,11,48.6,37,6.8,7.42,10.7,37.5,93.6,70.7,2,11,5.71,6.11,6.69,0,0,
Tarvaris Jackson,26,MIN,QB,8,0,,14,21,66.7,201,1,4.8,0,0.0,9,47.6,34,9.6,10.52,14.4,25.1,113.4,68.8,0,0,0.00,9.57,10.52,0,0,
Brian Brohm,24,BUF,QB,2,1,0-1-0,17,29,58.6,146,0,0.0,2,6.9,8,48.4,15,5.0,1.93,8.6,73.0,43.2,11.8,2,8,6.45,4.45,1.55,0,0,
Dennis Dixon,24,PIT,QB,1,1,0-1-0,12,26,46.2,145,1,3.8,1,3.8,6,30.8,33,5.6,4.62,12.1,145.0,60.6,41.9,0,0,0.00,5.58,4.62,0,0,
Todd Collins,38,WAS,QB,3,0,,12,23,52.2,144,0,0.0,0,0.0,4,20.0,46,6.3,6.26,12.0,48.0,71.6,6.8,2,11,8.00,5.32,5.32,0,0,
Brian Hoyer,24,NWE,QB,5,0,,19,27,70.4,142,0,0.0,0,0.0,8,37.9,17,5.3,5.26,7.5,28.4,82.6,48.6,2,18,6.90,4.28,4.28,0,0,
Kellen Clemens,26,NYJ,QB,10,1,1-0-0,13,26,50.0,125,0,0.0,0,0.0,7,26.7,26,4.8,4.81,9.6,12.5,63.8,10.6,4,21,13.33,3.47,3.47,0,0,
Mark Brunell,39,NOR,QB,16,1,0-1-0,15,30,50.0,102,0,0.0,1,3.3,5,30.0,18,3.4,1.90,6.8,6.4,44.0,9.5,0,0,0.00,3.40,1.90,0,0,
Michael Vick,29,PHI,QB,12,1,,6,13,46.2,86,1,7.7,0,0.0,3,23.1,43,6.6,8.15,14.3,7.2,93.7,52.9,0,0,0.00,6.62,8.15,0,0,
Curtis Painter,24,IND,QB,2,0,,8,28,28.6,83,0,0.0,2,7.1,3,22.6,22,3.0,-0.25,10.4,41.5,9.8,0.6,3,16,9.68,2.16,-0.74,0,0,
Tyler Thigpen,25,MIA,QB,1,0,,4,8,50.0,83,1,12.5,2,25.0,3,50.0,34,10.4,1.63,20.8,83.0,87.0,,0,0,0.00,10.38,1.63,0,0,
Matt Flynn,24,GNB,QB,15,0,,7,12,58.3,58,0,0.0,1,8.3,5,38.5,17,4.8,1.08,8.3,3.9,36.1,30.7,1,6,7.69,4.00,0.54,0,0,
Jon Ryan,28,SEA,P,16,0,,1,1,100.0,42,0,0.0,0,0.0,1,100.0,42,42.0,42.00,42.0,2.6,118.7,100.0,0,0,0.00,42.00,42.00,0,0,
J.T. O'Sullivan,30,CIN,QB,3,0,,4,11,36.4,40,0,0.0,0,0.0,1,14.3,16,3.6,3.64,10.0,13.3,47.5,2.3,3,31,21.43,0.64,0.64,0,0,
Josh Brown,30,STL,K,16,0,,1,1,100.0,36,1,100.0,0,0.0,1,100.0,36,36.0,56.00,36.0,2.3,158.3,100.0,0,0,0.00,36.00,56.00,0,0,
Hunter Smith,32,WAS,P,13,0,,1,2,50.0,35,1,50.0,1,50.0,1,50.0,35,17.5,5.00,35.0,2.7,95.8,100.0,0,0,0.00,17.50,5.00,0,0,
Rex Grossman,29,HOU,QB,1,0,,3,9,33.3,33,0,0.0,1,11.1,1,33.3,21,3.7,-1.33,11.0,33.0,5.6,10.1,0,0,0.00,3.67,-1.33,0,0,
Fred Jackson,28,BUF,RB,16,11,,1,1,100.0,27,1,100.0,0,0.0,1,100.0,27,27.0,47.00,27.0,1.7,158.3,63.8,0,0,0.00,27.00,47.00,0,0,
Brad Smith,26,NYJ,WR,13,2,,1,1,100.0,27,0,0.0,0,0.0,1,100.0,27,27.0,27.00,27.0,2.1,118.7,100.0,0,0,0.00,27.00,27.00,0,0,
Mark Bradley,27,KAN,WR,13,6,,1,1,100.0,26,0,0.0,0,0.0,1,100.0,26,26.0,26.00,26.0,2.0,118.7,100.0,0,0,0.00,26.00,26.00,0,0,
Brian Moorman,33,BUF,P,16,0,,1,1,100.0,25,1,100.0,0,0.0,1,100.0,25,25.0,45.00,25.0,1.6,158.3,100.0,0,0,0.00,25.00,45.00,0,0,
Troy Smith,25,BAL,QB,4,0,,5,9,55.6,24,0,0.0,1,11.1,1,33.3,9,2.7,-2.33,4.8,6.0,21.3,40.0,0,0,0.00,2.67,-2.33,0,0,
Chris Simms,29,DEN,QB,3,1,0-1-0,5,17,29.4,23,0,0.0,1,5.9,1,9.1,7,1.4,-1.29,4.6,7.7,15.1,1.5,5,39,22.73,-0.73,-2.77,0,0,
Joseph Addai,26,IND,RB,15,15,,1,1,100.0,22,1,100.0,0,0.0,1,100.0,22,22.0,42.00,22.0,1.5,158.3,100.0,0,0,0.00,22.00,42.00,0,0,
Ronnie Brown,28,MIA,RB,9,9,,2,6,33.3,22,1,16.7,0,0.0,2,28.6,21,3.7,7.00,11.0,2.4,84.7,84.9,1,9,14.29,1.86,4.71,0,0,
Legedu Naanee,26,SDG,WR,15,1,,1,1,100.0,21,0,0.0,0,0.0,1,100.0,21,21.0,21.00,21.0,1.4,118.7,98.4,0,0,0.00,21.00,21.00,0,0,
Josh Cribbs,26,CLE,WR,16,12,,1,4,25.0,18,0,0.0,1,25.0,1,25.0,18,4.5,-6.75,18.0,1.1,6.2,,0,0,0.00,4.50,-6.75,0,0,"PB,AP-1"
Charlie Batch,35,PIT,QB,1,0,,1,2,50.0,17,0,0.0,0,0.0,1,50.0,17,8.5,8.50,17.0,17.0,79.2,97.8,0,0,0.00,8.50,8.50,0,0,
Brian St. Pierre,30,ARI,QB,1,0,,2,4,50.0,12,1,25.0,1,25.0,2,50.0,9,3.0,-3.25,6.0,12.0,56.2,5.0,0,0,0.00,3.00,-3.25,0,0,
Caleb Hanie,24,CHI,QB,2,0,,3,7,42.9,11,0,0.0,1,14.3,0,,5,1.6,-4.86,3.7,5.5,10.7,75.4,0,0,0.00,1.57,-4.86,0,0,
Phil Dawson,34,CLE,K,11,0,,1,1,100.0,10,0,0.0,0,0.0,1,100.0,10,10.0,10.00,10.0,0.9,108.3,100.0,0,0,0.00,10.00,10.00,0,0,
Mewelde Moore,27,PIT,RB,16,0,,1,1,100.0,6,1,100.0,0,0.0,1,100.0,6,6.0,26.00,6.0,0.4,131.2,100.0,0,0,0.00,6.00,26.00,0,0,
Matt Gutierrez,25,KAN,QB,1,0,,1,1,100.0,3,0,0.0,0,0.0,0,,3,3.0,3.00,3.0,3.0,79.2,92.4,0,0,0.00,3.00,3.00,0,0,
Josh McCown,30,CAR,QB,1,0,,1,6,16.7,2,0,0.0,0,0.0,0,,2,0.3,0.33,2.0,2.0,39.6,2.4,1,6,14.29,-0.57,-0.57,0,0,
Luke McCown,28,JAX,QB,3,0,,1,3,33.3,2,0,0.0,0,0.0,0,,2,0.7,0.67,2.0,0.7,42.4,3.7,2,7,40.00,-1.00,-1.00,0,0,
Chris Brown,28,HOU,RB,14,4,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Michael Bush,25,OAK,RB,16,7,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.2,0,0,0.00,0.00,0.00,0,0,
Tim Castille,25,KAN,RB,7,0,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Mark Clayton,27,BAL,WR,14,12,,1,1,100.0,0,0,0.0,0,0.0,0,,,0.0,0.00,0.0,0.0,79.2,23.5,0,0,0.00,0.00,0.00,0,0,
Michael Clayton,27,TAM,WR,13,11,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,11.0,0,0,0.00,0.00,0.00,0,0,
Braylon Edwards,26,NYJ,WR,12,11,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,,0,0,0.00,0.00,0.00,0,0,
Santonio Holmes,25,PIT,WR,16,16,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Chris Johnson,24,TEN,RB,16,16,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.3,0,0,0.00,0.00,0.00,0,0,"PB,AP-1,AP OPoY-1"
Dirk Johnson,34,TAM,P,11,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.0,0,0,0.00,0.00,0.00,0,0,
J.P. Losman,28,OAK,QB,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,3.9,0,0,0.00,0.00,0.00,0,0,
Brad Maynard,35,CHI,P,16,0,,1,1,100.0,0,0,0.0,0,0.0,0,,,0.0,0.00,0.0,0.0,79.2,0.4,0,0,0.00,0.00,0.00,0,0,
Clinton Portis,28,WAS,RB,8,8,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.0,0,0,0.00,0.00,0.00,0,0,
Antwaan Randle El,30,WAS,WR,16,3,,0,0,,0,0,,0,,0,,,,,,0.0,,0.0,1,11,100.00,-11.00,-11.00,0,0,
Ray Rice,22,BAL,RB,16,15,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.1,0,0,0.00,0.00,0.00,0,0,"PB,AP-2"
Sidney Rice,23,MIN,WR,16,14,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,3.4,0,0,0.00,0.00,0.00,0,0,PB
Micheal Spurlock,26,SFO,WR,4,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,,0,0,0.00,0.00,0.00,0,0,
LaDainian Tomlinson,30,SDG,RB,14,14,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,37.9,0,0,0.00,0.00,0.00,0,0,
Reggie Wayne,31,IND,WR,16,16,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,"PB,AP-2"
Steve Weatherford,27,NYJ,P,16,0,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,5.1,0,0,0.00,0.00,-45.00,0,0,
Brian Westbrook,30,PHI,RB,8,7,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,66.6,0,0,0.00,0.00,0.00,0,0,
Pat White,23,MIA,WR,13,0,,0,5,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,12.7,1,9,16.67,-1.50,-1.50,0,0,
Ricky Williams,32,MIA,RB,16,7,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,12.4,0,0,0.00,0.00,-45.00,0,0,
League Average,,,,,,,,,60.9,,,4.2,,3.1,,44.3,,7.0,6.43,11.5,104.9,83.0,,,,6.07,6.17,5.65,,,
