Player,Age,Team,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Adrian Peterson,36,SEA,1,1,11,16,1,2,36.4,7,1.5,16.0,11.0,1,
Baker Mayfield,26,CLE,14,14,37,134,1,12,48.6,14,3.6,9.6,2.6,6,
Larry Rountree,22,LAC,12,0,36,87,1,5,33.3,13,2.4,7.3,3.0,0,
Benny Snell Jr.,23,PIT,17,0,36,98,0,3,30.6,9,2.7,5.8,2.1,0,
Ke'Shawn Vaughn,24,TAM,12,1,36,180,2,9,50.0,55,5.0,15.0,3.0,0,
Ty'Son Williams,25,BAL,13,3,35,185,1,7,45.7,35,5.3,14.2,2.7,1,
Eno Benjamin,22,ARI,9,0,34,118,1,4,41.2,21,3.5,13.1,3.8,0,
Malcolm Brown,28,MIA,7,3,33,125,1,6,51.5,24,3.8,17.9,4.7,0,
Corey Clement,27,DAL,17,0,33,140,0,7,42.4,38,4.2,8.2,1.9,0,
DeeJay Dallas,23,SEA,17,0,33,138,2,10,57.6,15,4.2,8.1,1.9,1,
Joshua Kelley,24,LAC,10,0,33,102,0,5,30.3,14,3.1,10.2,3.3,1,
Aaron Rodgers,38,GNB,16,16,33,101,3,10,36.4,18,3.1,6.3,2.1,3,"PB,AP-1,AP MVP-1,AP OPoY-4"
Matthew Stafford,33,LAR,17,17,32,43,0,8,31.3,12,1.3,2.5,1.9,5,
Jameis Winston,27,NOR,7,7,32,166,1,17,56.3,20,5.2,23.7,4.6,2,
Teddy Bridgewater,29,DEN,14,14,30,106,2,16,60.0,13,3.5,7.6,2.1,1,
Kirk Cousins,33,MIN,16,16,29,115,1,8,48.3,29,4.0,7.2,1.8,12,PB
Zach Wilson,22,NYJ,13,13,29,185,4,10,44.8,52,6.4,14.2,2.2,5,
Tom Brady,44,TAM,17,17,28,81,2,14,53.6,13,2.9,4.8,1.6,4,"PB,AP-2,AP MVP-2,AP OPoY-3"
Wayne Gallman,27,ATL,6,0,28,104,0,5,35.7,17,3.7,17.3,4.7,0,
Marlon Mack,25,IND,6,0,28,101,0,6,32.1,22,3.6,16.8,4.7,0,
Matt Breida,26,BUF,9,0,26,125,1,5,65.4,28,4.8,13.9,2.9,1,
Austin Walter,25,NYJ,4,0,26,101,1,5,42.3,14,3.9,25.3,6.5,0,
Elijhaa Penny,28,NYG,17,3,24,99,1,9,50.0,12,4.1,5.8,1.4,0,
Patrick Taylor,23,GNB,9,0,23,89,1,5,60.9,12,3.9,9.9,2.6,0,
Colt McCoy,35,ARI,8,3,22,37,0,6,31.8,11,1.7,4.6,2.8,4,
Travis Homer,23,SEA,14,0,21,177,1,7,57.1,73,8.4,12.6,1.5,0,
Qadree Ollison,25,ATL,8,0,21,105,1,7,52.4,19,5.0,13.1,2.6,1,
Ben Roethlisberger,39,PIT,16,16,20,5,1,3,20.0,8,0.3,0.3,1.3,11,
Jacoby Brissett,29,MIA,11,5,19,70,1,9,63.2,19,3.7,6.4,1.7,6,
J.J. Taylor,23,NWE,5,0,19,37,2,3,21.1,15,1.9,7.4,3.8,1,
Tyrod Taylor,32,HOU,6,6,19,151,3,6,52.6,30,7.9,25.2,3.2,3,
