Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Nate Kaeding,SDG,23,K,16,0,1,1,3,3,9,9,11,8,,,24,21,49,87.5%,49,49,100.0%,81,4981,3,3.7%,61.5
Jason Hanson,DET,35,K,15,0,1,1,9,9,3,3,7,4,4,2,24,19,52,79.2%,27,27,100.0%,57,3452,5,8.8%,60.6
David Akers,PHI,31,K,12,0,,,3,3,8,7,9,5,2,1,22,16,50,72.7%,23,23,100.0%,34,2130,3,8.8%,62.6
Jose Cortez,4TM,30,K,14,0,,,6,5,5,4,6,3,,,17,12,45,70.6%,19,18,94.7%,42,2692,8,19.0%,64.1
John Hall,WAS,31,K,10,0,1,1,3,3,3,3,6,5,1,,14,12,45,85.7%,27,27,100.0%,51,3059,1,2.0%,60.0
Nick Novak,2TM,24,K,10,0,1,1,1,1,7,5,1,1,,,10,8,40,80.0%,15,15,100.0%,30,1695,,,56.5
Todd France,2TM,25,K,4,0,,,4,4,1,1,4,2,,,9,7,44,77.8%,6,6,100.0%,19,1158,,,60.9
Billy Cundiff,DAL,25,K,6,0,1,1,1,1,5,2,,,1,1,8,5,56,62.5%,14,14,100.0%,26,1643,1,3.8%,63.2
Shaun Suisham,DAL,24,K,3,0,,,3,3,,,1,,,,4,3,22,75.0%,8,8,100.0%,14,825,,,58.9
Doug Brien,CHI,35,K,3,0,,,,,2,,2,1,,,4,1,48,25.0%,7,7,100.0%,11,695,1,9.1%,63.2
Michael Koenen,ATL,23,P,16,0,,,,,,,,,2,1,2,1,58,50.0%,,,,77,4841,14,18.2%,62.9
Aaron Elling,BAL,27,K,9,0,,,,,,,,,1,,1,,,0.0%,,,,5,265,,,53.0
Dave Rayner,IND,23,K,14,0,,,,,,,,,1,,1,,,0.0%,,,,4,246,,,61.5
Mark Simoneau,PHI,28,LB,16,0,,,,,,,,,,,,,,,2,1,50.0%,,,,,
Remy Hamilton,DET,31,K,1,0,,,,,,,,,,,,,,,1,,0.0%,2,132,,,66.0
Doug Flutie,NWE,43,QB,5,0,,,,,,,,,,,,,,,1,1,100.0%,,,,,
Todd Sauerbrun,DEN,32,P,16,0,,,,,,,,,,,,,,,,,,79,5142,14,17.7%,65.1
Mitch Berger,NOR,33,P,16,0,,,,,,,,,,,,,,,,,,52,3363,4,7.7%,64.7
Mike Scifres,SDG,25,P,16,0,,,,,,,,,,,,,,,,,,7,373,1,14.3%,53.3
Mike Bartrum*,PHI,35,LS,16,0,,,,,,,,,,,,,,,,,,6,252,,,42.0
Jason Baker,CAR,27,P,16,0,,,,,,,,,,,,,,,,,,5,293,,,58.6
Nick Harris,DET,27,P,16,0,,,,,,,,,,,,,,,,,,3,158,,,52.7
Shane Lechler,OAK,29,P,16,0,,,,,,,,,,,,,,,,,,3,205,,,68.3
Derrick Frost,WAS,25,P,14,0,,,,,,,,,,,,,,,,,,2,122,,,61.0
Craig Hentrich,TEN,34,P,16,0,,,,,,,,,,,,,,,,,,1,27,,,27.0
Donnie Jones,MIA,25,P,16,0,,,,,,,,,,,,,,,,,,1,55,,,55.0
Chris Kluwe,MIN,24,P,15,0,,,,,,,,,,,,,,,,,,1,48,,,48.0
Josh Miller,NWE,35,P,16,0,,,,,,,,,,,,,,,,,,1,58,,,58.0
Brian Moorman*+,BUF,29,P,16,0,,,,,,,,,,,,,,,,,,1,58,,,58.0
Scott Player,ARI,36,P,16,0,,,,,,,,,,,,,,,,,,1,65,,,65.0
Dunta Robinson,HOU,23,RCB/LCB,16,16,,,,,,,,,,,,,,,,,,1,58,,,58.0
Dave Zastudil,BAL,27,P,16,0,,,,,,,,,,,,,,,,,,1,16,,,16.0
