Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd
Jairus Byrd,NOR,30,FS,16,15,1.0,2.0,0,2.0,2.0,,,0,,,37
Patrick Chung,NWE,29,SS,16,16,1.0,7.0,0,7.0,7.0,,,0,,,11
Brandin Cooks,NOR,23,WR,16,12,1.0,2.0,0,2.0,2.0,,,0,,,1205
Quinton Dunbar,WAS,24,DB,14,2,1.0,0.0,0,0.0,0.0,,,0,,,31
Marwin Evans,GNB,23,DB,16,0,1.0,0.0,0,0.0,0.0,,,0,,,0
De'Vante Harris,NOR,23,DB,10,0,1.0,0.0,0,0.0,0.0,,,0,,,1
Dontae Johnson,SFO,25,DB,15,0,1.0,25.0,0,25.0,25.0,,,0,,,25
Chandler Jones,ARI,26,LOLB,16,16,1.0,0.0,0,0.0,0.0,,,0,,,0
Damarious Randall,GNB,24,LCB,10,9,1.0,2.0,0,2.0,2.0,,,0,,,93
Darryl Roberts,NYJ,26,DB,12,2,1.0,0.0,0,0.0,0.0,,,0,,,0
Richard Sherman*,SEA,28,LCB,16,16,1.0,6.0,0,6.0,6.0,,,0,,,57
Buster Skrine,NYJ,27,LCB,14,14,1.0,0.0,0,0.0,0.0,,,0,,,51
Aqib Talib*+,DEN,30,LCB,13,13,1.0,1.0,0,1.0,1.0,,,0,,,87
Tramon Williams,CLE,33,LCB,12,7,1.0,0.0,0,0.0,0.0,,,0,,,0
Deonte Thompson,CHI,27,WR,16,6,,,0,,,35.0,804.0,0,64.0,23.0,1053
Benny Cunningham,LAR,26,RB,11,0,,,0,,,22.0,599.0,0,61.0,27.2,791
JaCorey Shepherd,SFO,23,DB,11,0,,,0,,,21.0,456.0,0,41.0,21.7,456
Ty Montgomery,GNB,23,RB,15,6,,,0,,,18.0,366.0,0,40.0,20.3,1171
Chris Thompson,WAS,26,RB,16,0,,,0,,,17.0,360.0,0,28.0,21.2,1065
Jordan Todman,IND,26,RB,16,0,,,0,,,16.0,478.0,1,99.0,29.9,537
De'Anthony Thomas,KAN,23,RB,12,0,,,0,,,15.0,338.0,0,41.0,22.5,402
Kenyan Drake,MIA,22,RB,16,1,,,0,,,13.0,397.0,1,96.0,30.5,622
Corey Grant,JAX,25,RB,11,1,,,0,,,13.0,268.0,0,32.0,20.6,467
Josh Huff,2TM,25,WR,10,2,,,0,,,13.0,324.0,1,98.0,24.9,452
Fitzgerald Toussaint,PIT,26,RB,16,0,,,0,,,13.0,278.0,0,33.0,21.4,369
Fozzy Whittaker,CAR,27,RB,16,0,,,0,,,12.0,275.0,0,47.0,22.9,766
Travaris Cadet,NOR,27,RB,15,1,,,0,,,10.0,144.0,0,25.0,14.4,444
