Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Stephon Gilmore,29,NWE,RCB,16,16,6,126,2,64,20,0,0,1,0,0,0.0,53,44,9,0,0,0,"PB,AP-1,AP DPoY-1"
Mark Glowinski,27,IND,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Davon Godchaux,25,MIA,NT,16,16,0,0,0,0,1,0,0,0,0,0,2.0,75,33,42,4,7,0,
Jared Goff,25,LAR,QB,16,16,0,0,0,0,0,0,10,0,-19,0,0.0,0,0,0,0,0,0,
Markus Golden,28,NYG,LOLB,16,16,0,0,0,0,0,0,0,1,42,1,10.0,72,37,35,13,27,0,
Kenny Golladay,26,DET,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,PB
Brandon Graham,31,PHI,RDE,16,16,0,0,0,0,0,1,0,2,4,0,8.5,50,35,15,15,17,0,
Lawrence Guy,29,NWE,LDE,16,16,1,5,0,5,1,0,0,2,0,0,3.0,61,35,26,5,5,0,
Joe Haden,30,PIT,LCB,16,16,5,20,0,16,17,1,0,1,3,0,0.0,65,59,6,3,0,0,PB
Johnathan Hankins,27,OAK,RDT,16,16,0,0,0,0,1,0,0,0,0,0,1.5,50,28,22,7,6,0,
Chris Harris Jr.,30,DEN,LCB,16,16,1,11,0,11,6,1,0,0,0,0,0.0,56,44,12,1,0,0,
Shelby Harris,28,DEN,LDE,16,16,0,0,0,0,9,1,0,0,0,0,6.0,49,28,21,8,6,0,
Casey Hayward,30,LAC,RCB,16,16,2,37,0,37,8,0,0,0,0,0,0.0,32,28,4,0,0,0,
Cameron Heyward,30,PIT,DT,16,16,0,0,0,0,6,1,0,1,0,0,9.0,83,51,32,11,23,0,"PB,AP-1"
Jordan Hicks,27,ARI,RILB,16,16,3,64,0,48,6,2,0,1,0,0,1.5,150,93,57,11,7,0,
Trey Hopkins,27,CIN,C,16,16,0,0,0,0,0,0,2,0,-8,0,0.0,0,0,0,0,0,0,
Justin Houston,30,IND,LDE,16,16,0,0,0,0,0,2,0,3,0,0,11.0,44,33,11,13,18,1,
Jerry Hughes,31,BUF,RDE,16,16,0,0,0,0,3,0,0,1,11,0,4.5,23,14,9,6,9,0,
Danielle Hunter,25,MIN,LDE,16,16,0,0,0,0,0,3,0,1,4,0,14.5,70,52,18,15,22,0,"PB,AP DPoY-5"
Micah Hyde,28,BUF,FS,16,16,1,0,0,0,2,2,0,0,0,0,0.0,72,50,22,1,1,0,
Germain Ifedi,25,SEA,RT,16,16,0,0,0,0,0,0,1,2,-1,0,0.0,0,0,0,0,0,0,
Eddie Jackson,26,CHI,FS,16,16,2,18,0,14,5,1,0,1,3,0,1.0,60,51,9,5,0,0,PB
Grady Jarrett,26,ATL,LDT,16,16,0,0,0,0,0,2,0,0,0,0,7.5,69,38,31,12,16,0,"PB,AP-2"
Malcolm Jenkins,32,PHI,FS,16,16,0,0,0,0,8,4,0,1,0,0,2.5,81,63,18,6,9,0,
Rayshawn Jenkins,25,LAC,SS,16,16,3,10,0,8,4,0,0,0,0,0,0.0,54,34,20,2,0,0,
Ryan Jensen,28,TAM,C,16,16,0,0,0,0,0,0,0,4,0,0,0.0,0,0,0,0,0,0,
Aaron Jones,25,GNB,RB,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,
Chandler Jones,29,ARI,LOLB,16,16,0,0,0,0,5,8,0,3,0,0,19.0,53,42,11,11,26,0,"PB,AP-1,AP DPoY-2"
DaQuan Jones,28,TEN,NT,16,16,0,0,0,0,3,0,0,0,0,0,1.0,42,21,21,0,2,0,
Deion Jones,25,ATL,MLB/RLB,16,16,1,27,1,27,5,0,0,1,5,0,0.0,110,68,42,8,4,0,
Cameron Jordan,30,NOR,LDE,16,16,0,0,0,0,3,0,0,1,0,0,15.5,53,37,16,15,25,0,"PB,AP-2"
Matt Judon,27,BAL,ROLB,16,16,0,0,0,0,0,4,0,0,0,0,9.5,54,43,11,14,33,0,PB
Jason Kelce,32,PHI,C,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-1"
Travis Kelce,30,KAN,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-2"
Luke Kuechly,28,CAR,RILB,16,16,2,26,0,25,12,0,0,0,0,0,0.0,144,81,63,4,5,1,"PB,AP-2"
Harold Landry,23,TEN,ROLB,16,16,1,0,0,0,1,1,0,2,0,0,9.0,68,43,25,12,14,0,
DeMarcus Lawrence,27,DAL,LDE,16,16,0,0,0,0,2,2,0,2,0,0,5.0,45,30,15,10,16,0,
Dexter Lawrence,22,NYG,RDE,16,16,0,0,0,0,1,1,0,0,0,0,2.5,38,24,14,3,9,0,
Brandon Linder,27,JAX,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Phillip Lindsay,25,DEN,RB,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Cory Littleton,26,LAR,RILB,16,16,2,32,0,26,9,2,0,4,16,0,3.5,134,78,56,6,5,0,
Tyler Lockett,27,SEA,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Star Lotulelei,30,BUF,RDT,16,16,1,0,0,0,1,0,0,0,0,0,2.0,19,12,7,3,3,0,
Dean Lowry,25,GNB,LDE,16,16,1,7,0,7,3,0,0,1,0,0,0.0,47,23,24,2,2,0,
Khalil Mack,28,CHI,LOLB,16,16,0,0,0,0,4,5,0,1,0,0,8.5,47,40,7,8,14,0,PB
Nick Martin,26,HOU,C,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Blake Martinez,25,GNB,LILB,16,16,1,22,0,22,2,1,0,0,0,0,3.0,155,97,58,5,3,0,
Tyrann Mathieu,27,KAN,SS,16,16,4,70,0,35,12,0,0,0,0,0,2.0,75,63,12,3,2,0,AP-1
Marcus Maye,26,NYJ,FS,16,16,1,0,0,0,7,0,0,0,0,0,0.0,65,50,15,1,0,0,
Baker Mayfield,24,CLE,QB,16,16,0,0,0,0,0,0,6,4,-20,0,0.0,0,0,0,0,0,0,
Christian McCaffrey,23,CAR,RB,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP OPoY-3"
Devin McCourty,32,NWE,FS,16,16,5,49,0,24,7,2,0,1,0,0,0.0,58,46,12,0,0,0,
Gerald McCoy,31,CAR,LDE,16,16,0,0,0,0,2,0,0,0,0,0,5.0,37,15,22,7,13,0,
Kaleb McGary,24,ATL,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Connor McGovern,26,DEN,C,16,16,0,0,0,0,0,0,1,0,-5,0,0.0,0,0,0,0,0,0,
Steve McLendon,33,NYJ,LDT,16,16,0,0,0,0,0,0,0,1,0,0,2.5,36,21,15,10,7,0,
Rodney McLeod,29,PHI,SS,16,16,2,30,0,23,6,2,0,0,0,0,1.0,76,46,30,0,1,0,
Whitney Mercilus,29,HOU,LOLB,16,16,2,88,0,86,2,4,0,1,2,0,7.5,48,33,15,9,16,0,
Kolton Miller,24,OAK,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Byron Murphy,21,ARI,LCB,16,16,1,0,0,0,10,0,0,0,0,0,0.0,78,66,12,3,0,0,
Trent Murphy,29,BUF,LDE,16,16,1,0,0,0,3,2,0,2,8,0,5.0,36,24,12,9,9,0,
Kyler Murray,22,ARI,QB,16,16,0,0,0,0,0,0,5,3,-15,0,0.0,0,0,0,0,0,0,AP ORoY-1
Derrick Nnadi,23,KAN,RDT/LDT,16,16,1,0,0,0,1,1,0,0,0,0,1.0,48,18,30,3,1,0,
Isaiah Oliver,23,ATL,LCB,16,16,0,0,0,0,11,1,0,0,0,0,0.0,62,50,12,0,1,0,
Corey Peters,31,ARI,NT,16,16,0,0,0,0,0,0,0,0,0,0,2.5,38,19,19,6,6,0,
Jordan Poyer,28,BUF,SS,16,16,2,0,0,0,3,3,0,4,31,0,1.0,107,71,36,4,1,0,
Dak Prescott,26,DAL,QB,16,16,0,0,0,0,0,0,6,2,-5,0,0.0,0,0,0,0,0,0,
Eric Reid,28,CAR,SS,16,16,0,0,0,0,6,1,0,2,0,0,4.0,130,97,33,7,5,0,
Austin Reiter,28,KAN,C,16,16,0,0,0,0,0,0,1,0,-2,0,0.0,0,0,0,0,0,0,
Philip Rivers,38,LAC,QB,16,16,0,0,0,0,0,0,8,0,-25,0,0.0,0,0,0,0,0,0,
Aaron Rodgers,36,GNB,QB,16,16,0,0,0,0,0,0,4,0,-5,0,0.0,0,0,0,0,0,0,PB
Logan Ryan,28,TEN,LCB,16,16,4,16,0,16,18,4,0,0,0,0,4.5,113,73,40,4,8,0,
Rodger Saffold,31,TEN,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Joe Schobert,26,CLE,MLB,16,16,4,24,0,20,9,2,0,1,21,0,2.0,133,89,44,7,4,0,
Michael Schofield,29,LAC,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Isaac Seumalo,26,PHI,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Justin Simmons,26,DEN,FS,16,16,4,30,0,17,15,0,1,0,0,0,0.0,93,65,28,2,0,0,AP-2
Jaylon Smith,24,DAL,MLB,16,16,1,0,0,0,9,2,0,1,6,0,2.5,142,83,59,6,3,0,PB
Preston Smith,27,GNB,LOLB,16,16,1,5,0,5,4,1,0,0,0,0,12.0,56,36,20,11,23,0,
Za'Darius Smith,27,GNB,ROLB,16,16,0,0,0,0,0,1,0,0,0,0,13.5,55,41,14,17,37,0,PB
Nate Solder,31,NYG,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Quinton Spain,28,BUF,LG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
Ndamukong Suh,32,TAM,LDE,16,16,0,0,0,0,4,0,0,4,43,2,2.5,41,22,19,7,14,0,
Montez Sweat,23,WAS,LOLB,16,16,0,0,0,0,2,2,0,0,0,0,7.0,50,31,19,8,13,0,
Juan Thornhill,24,KAN,FS,16,16,3,46,1,46,5,0,0,0,0,0,0.0,58,42,16,0,0,0,
Joe Thuney,27,NWE,LG,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,AP-2
Dalvin Tomlinson,25,NYG,NT,16,16,0,0,0,0,0,1,0,0,0,0,3.5,49,23,26,7,9,0,
C.J. Uzomah,26,CIN,TE,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
Kenny Vaccaro,28,TEN,SS,16,16,1,2,0,2,5,0,0,0,0,0,1.0,84,51,33,3,6,0,
Vita Vea,24,TAM,NT,16,16,0,0,0,0,3,0,0,0,0,0,2.5,35,19,16,4,12,0,
Nick Vigil,26,CIN,LLB,16,16,1,34,0,34,5,1,0,2,13,0,1.0,111,60,51,3,4,0,
Alejandro Villanueva,31,PIT,LT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
Bobby Wagner,29,SEA,MLB,16,16,1,6,0,6,6,1,0,1,5,0,3.0,159,86,73,7,4,0,"PB,AP-1"
Anthony Walker,24,IND,MLB,16,16,1,0,0,0,2,1,0,0,0,0,2.5,124,84,40,6,3,0,
Levi Wallace,24,BUF,LCB/RCB,16,16,2,2,0,2,9,0,0,0,0,0,0.0,76,66,10,4,0,0,
Darren Waller,27,OAK,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,AP CPoY-3
Charvarius Ward,23,KAN,RCB,16,16,2,10,0,10,10,1,0,0,0,0,0.0,74,56,18,0,0,0,
Fred Warner,23,SFO,MLB,16,16,1,46,1,46,9,3,0,0,0,0,3.0,118,89,29,7,5,0,
T.J. Watt,25,PIT,LOLB,16,16,2,7,0,7,8,8,0,4,0,0,14.5,55,35,20,14,36,0,"PB,AP-1,AP DPoY-3"
Eric Weddle,34,LAR,FS,16,16,0,0,0,0,4,0,0,0,0,0,0.0,108,69,39,1,1,0,
Carson Wentz,27,PHI,QB,16,16,0,0,0,0,0,0,16,9,-26,0,0.0,0,0,0,0,0,0,AP CPoY-5
Tahir Whitehead,29,OAK,LLB,16,16,0,0,0,0,1,0,0,0,0,0,0.0,108,79,29,6,1,0,
Damien Wilson,26,KAN,MLB,16,16,0,0,0,0,1,1,0,0,0,0,1.5,81,52,29,3,4,0,
Jarrod Wilson,25,JAX,FS,16,16,2,4,0,4,4,1,0,0,0,0,0.0,79,57,22,6,2,0,
Russell Wilson,31,SEA,QB,16,16,0,0,0,0,0,0,8,2,-11,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP OPoY-4"
Jameis Winston,25,TAM,QB,16,16,0,0,0,0,0,0,12,3,-14,0,0.0,0,0,0,0,0,0,
Jason Witten,37,DAL,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
K.J. Wright,30,SEA,RLB,16,16,3,10,0,11,11,0,0,0,0,0,0.0,132,67,65,5,1,0,
Deandre Baker,22,NYG,LCB,16,15,0,0,0,0,8,0,0,0,0,0,0.0,61,48,13,2,0,0,
Jerome Baker,23,MIA,ROLB/RILB,16,15,1,34,0,34,4,2,0,0,0,0,1.5,126,76,50,3,5,0,
Vic Beasley,27,ATL,RDE,16,15,0,0,0,0,2,2,0,0,0,0,8.0,42,28,14,8,12,0,
Odell Beckham Jr.,27,CLE,WR,16,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Tyler Boyd,25,CIN,WR,16,15,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
Bashaud Breeland,27,KAN,LCB,16,15,2,4,0,4,8,0,0,2,114,1,0.0,48,37,11,1,1,0,
Devin Bush Jr.,21,PIT,LILB/RILB,16,15,2,6,0,6,4,1,0,4,20,1,1.0,109,72,37,9,2,0,AP DRoY-3
De'Vondre Campbell,26,ATL,LLB,16,15,2,-5,0,0,5,3,0,1,0,0,2.0,129,75,54,6,2,0,
Robbie Chosen,26,NYJ,WR,16,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Jamie Collins,30,NWE,LLB,16,15,3,85,1,69,7,3,0,1,0,0,7.0,81,58,23,10,10,0,
Cody Ford,23,BUF,RT,16,15,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
Cole Holcomb,23,WAS,LILB,16,15,0,0,0,0,1,3,0,0,0,0,1.0,105,74,31,6,2,0,
Marlon Humphrey,23,BAL,LCB,16,15,3,14,0,14,14,2,0,3,91,2,0.0,65,53,12,4,1,0,"PB,AP-1"
Matthew Ioannidis,25,WAS,RDE,16,15,0,0,0,0,1,0,0,0,0,0,8.5,64,42,22,11,16,0,
Abry Jones,28,JAX,LDT,16,15,0,0,0,0,0,0,0,1,0,0,2.0,31,15,16,1,3,0,
Sebastian Joseph-Day,24,LAR,NT,16,15,0,0,0,0,1,0,0,0,0,0,2.0,44,25,19,5,5,0,
Devon Kennard,28,DET,LLB,16,15,0,0,0,0,0,1,0,2,13,1,7.0,58,45,13,9,15,0,
D.K. Metcalf,22,SEA,WR,16,15,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,
Joe Mixon,23,CIN,RB,16,15,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Sheldon Richardson,29,CLE,RDT,16,15,0,0,0,0,4,3,0,0,0,0,3.0,62,43,19,4,6,0,
Eric Rowe,27,MIA,SS,16,15,1,35,1,35,8,1,0,0,0,0,0.0,81,54,27,1,0,0,
Curtis Samuel,23,CAR,WR,16,15,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Michael Thomas,26,NOR,WR,16,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP OPoY-1"
Shawn Williams,28,CIN,SS,16,15,1,12,0,12,3,0,0,0,0,0,1.0,114,80,34,5,3,0,
Geno Atkins,31,CIN,DT,16,14,0,0,0,0,0,0,0,0,0,0,4.5,47,18,29,4,10,0,PB
Andrew Billings,24,CIN,NT,16,14,0,0,0,0,0,0,0,0,0,0,1.0,35,18,17,4,4,0,
Nick Bosa,22,SFO,LDE,16,14,1,46,0,46,2,1,0,2,6,0,9.0,47,32,15,16,25,0,"PB,AP DRoY-1"
Minkah Fitzpatrick,23,2TM,DB,16,16,5,130,1,96,9,2,0,3,79,1,0.0,69,44,25,1,1,0,"PB,AP-1"
Minkah Fitzpatrick,23,MIA,DB,2,2,0,0,0,0,0,1,0,1,0,0,0.0,12,8,4,0,0,0,
Minkah Fitzpatrick,23,PIT,FS,14,14,5,130,1,96,9,1,0,2,79,1,0.0,57,36,21,1,1,0,
Dante Fowler,25,LAR,LOLB,16,14,0,0,0,0,6,2,0,1,26,1,11.5,58,40,18,16,16,0,
Erik Harris,29,OAK,FS/SS,16,14,3,145,2,59,8,0,0,0,0,0,0.0,74,64,10,1,0,0,
Tre Herndon,23,JAX,LCB,16,14,3,0,0,0,13,0,0,0,0,0,0.0,55,42,13,1,0,0,
Carlos Hyde,29,HOU,RB,16,14,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,
Damontae Kazee,26,ATL,FS,16,14,3,53,0,22,3,1,0,0,0,0,0.0,74,46,28,2,0,0,
Cooper Kupp,26,LAR,WR,16,14,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,AP CPoY-5
Sony Michel,24,NWE,RB,16,14,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
Max Scharping,23,HOU,LG,16,14,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Danny Shelton,26,NWE,LDT,16,14,0,0,0,0,0,1,0,0,0,0,3.0,61,30,31,2,6,0,
Durham Smythe,24,MIA,TE,16,14,0,0,0,0,0,0,0,0,0,0,0.0,7,6,1,0,0,0,
Courtland Sutton,24,DEN,WR,16,14,0,0,0,0,0,0,2,1,2,0,0.0,0,0,0,0,0,0,PB
Christian Wilkins,24,MIA,RDE,16,14,0,0,0,0,2,0,1,1,0,0,2.0,56,30,26,3,4,0,
Mack Wilson,21,CLE,RLB,16,14,1,21,0,21,7,1,0,0,0,0,1.0,82,57,25,4,2,0,
Julian Edelman,33,NWE,WR,16,13,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,
Javon Hargrave,26,PIT,NT,16,13,0,0,0,0,0,1,0,0,0,0,4.0,60,35,25,7,6,0,
Sean Lee,33,DAL,LLB,16,13,1,25,0,25,4,0,0,0,0,0,1.0,86,55,31,4,1,0,
David Mayo,26,NYG,RILB,16,13,0,0,0,0,2,0,0,1,0,0,2.0,82,52,30,5,2,0,
Zach Pascal,25,IND,WR,16,13,0,0,0,0,0,0,0,1,0,0,0.0,5,5,0,1,0,1,
Jeremy Sprinkle,25,WAS,TE,16,13,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,
Grover Stewart,26,IND,LDT,16,13,0,0,0,0,1,0,0,0,0,0,3.0,30,14,16,5,5,0,
Tavon Wilson,29,DET,SS,16,13,0,0,0,0,5,0,0,2,14,0,1.0,98,69,29,3,2,0,
Chuck Clark,24,BAL,FS,16,12,1,12,0,12,9,2,0,0,0,0,1.0,73,45,28,2,3,0,
Jamison Crowder,26,NYJ,WR,16,12,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Tyeler Davison,27,ATL,RDT,16,12,0,0,0,0,0,0,0,1,0,0,1.0,55,26,29,4,2,0,
Nathan Gerry,24,PHI,RLB,16,12,2,51,1,51,5,0,0,1,0,0,2.5,78,52,26,4,5,0,
P.J. Hall,24,OAK,LDT,16,12,0,0,0,0,0,0,0,0,0,0,1.5,26,18,8,5,3,0,
Diontae Johnson,23,PIT,WR,16,12,0,0,0,0,0,0,5,0,0,0,0.0,0,0,0,0,0,0,AP-2
John Simon,29,NWE,RDE,16,12,1,6,0,6,4,1,0,0,0,0,4.0,44,28,16,3,7,0,
Daryl Williams,27,CAR,LG/LT,16,12,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
A.J. Brown,22,TEN,WR,16,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,AP ORoY-3
Tarik Cohen,24,CHI,RB,16,11,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,
Justin Coleman,26,DET,RCB,16,11,1,55,0,55,13,3,0,1,0,0,0.0,54,47,7,0,1,0,
Noah Fant,22,DEN,TE,16,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Dre Greenlaw,22,SFO,RLB,16,11,1,47,0,47,2,0,0,0,0,0,1.0,92,64,28,3,2,0,
Josh Hill,29,NOR,TE,16,11,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Miles Sanders,22,PHI,RB,16,11,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,AP ORoY-4
Kendall Sheffield,23,ATL,DB,16,11,0,0,0,0,3,1,0,0,0,0,0.0,46,33,13,0,0,0,
