Player,Age,Team,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards
Ron Springs,26,DAL,9,9,59,243,2,46,4.1,27.0,6.6,3,
Zachary Dixon,26,BAL,9,3,58,249,1,32,4.3,27.7,6.4,2,
Perry Harrington,24,PHI,9,8,56,231,1,37,4.1,25.7,6.2,2,
Lynn Cain,27,ATL,9,9,54,173,1,8,3.2,19.2,6.0,2,
Theotis Brown,25,SEA,9,0,53,141,2,17,2.7,15.7,5.9,3,
Mike Augustyniak,26,NYJ,9,7,50,178,4,16,3.6,19.8,5.6,2,
Dexter Bussey,30,DET,9,6,48,136,0,10,2.8,15.1,5.3,2,
Bill Ring,26,SFO,8,3,48,183,1,11,3.8,22.9,6.0,1,
James Hadnot,25,KAN,9,2,46,172,0,25,3.7,19.1,5.1,1,
Del Rodgers,22,GNB,9,0,46,175,1,13,3.8,19.4,5.1,2,
Dan Doornink,26,SEA,8,5,45,178,0,46,4.0,22.3,5.6,2,
Darrin Nelson,23,MIN,7,4,44,136,0,18,3.1,19.4,6.3,2,
Joe Washington,29,WAS,7,1,44,190,1,40,4.3,27.1,6.3,2,
Cleveland Franklin,27,BAL,9,0,43,152,0,18,3.5,16.9,4.8,2,
Curtis Brown,28,BUF,9,3,41,187,0,19,4.6,20.8,4.6,1,
Tony Galbreath,28,MIN,8,3,39,116,1,12,3.0,14.5,4.9,1,
Stump Mitchell,23,STL,9,1,39,189,1,32,4.8,21.0,4.3,3,
Scott Dierking,27,NYJ,9,0,38,130,1,11,3.4,14.4,4.2,2,
Clarence Harmon,27,WAS,9,0,38,168,1,20,4.4,18.7,4.2,0,
David Woodley,24,MIA,9,9,36,207,2,29,5.8,23.0,4.0,2,
Doug Williams,27,TAM,9,9,35,158,2,14,4.5,17.6,3.9,9,
Joe Theismann,33,WAS,9,9,31,150,0,16,4.8,16.7,3.4,4,"PB,AP MVP-4"
David Hughes,23,SEA,9,3,30,106,0,13,3.5,11.8,3.3,0,
Joe Montana,26,SFO,9,9,30,118,1,21,3.9,13.1,3.3,4,
Mosi Tatupu,27,NWE,9,0,30,168,0,26,5.6,18.7,3.3,0,
Neil Lomax,23,STL,9,9,28,119,1,19,4.3,13.2,3.1,8,
Frank Hawkins,23,RAI,9,0,27,54,2,11,2.0,6.0,3.0,1,
Ken Anderson,33,CIN,9,9,25,85,4,12,3.4,9.4,2.8,1,PB
Earl Cooper,25,SFO,9,5,24,77,0,9,3.2,8.6,2.7,1,
Russell Davis,26,PIT,7,0,24,72,0,9,3.0,10.3,3.4,0,
Jim McMahon,23,CHI,8,7,24,105,1,11,4.4,13.1,3.0,1,
Robert Weathers,22,NWE,6,2,24,83,1,18,3.5,13.8,4.0,1,
Gary Danielson,31,DET,8,5,23,92,0,16,4.0,11.5,2.9,6,
John Cappelletti,30,SDG,9,6,22,82,0,17,3.7,9.1,2.4,1,
Cliff Chatman,23,NYG,6,3,22,80,2,13,3.6,13.3,3.7,0,
Dwayne Crutchfield,23,NYJ,6,0,22,78,1,8,3.5,13.0,3.7,1,
Walter Abercrombie,23,PIT,6,0,21,100,2,34,4.8,16.7,3.5,0,
Tommy Kramer,27,MIN,9,9,21,77,3,18,3.7,8.6,2.3,3,
Bruce Harper,27,NYJ,9,0,20,125,0,40,6.3,13.9,2.2,1,
Vince Williams,23,SFO,2,0,20,68,0,12,3.4,34.0,10.0,0,
Scott Brunner,25,NYG,9,9,19,27,1,10,1.4,3.0,2.1,5,
Hokie Gajan,23,NOR,9,4,19,77,0,12,4.1,8.6,2.1,0,
Mike Pagel,22,BAL,9,9,19,82,1,32,4.3,9.1,2.1,9,
Dave Preston,27,DEN,8,5,19,81,0,13,4.3,10.1,2.4,3,
Bo Robinson,26,ATL,9,0,19,108,0,16,5.7,12.0,2.1,0,
Tommy Vigorito,23,MIA,9,1,19,99,1,33,5.2,11.0,2.1,2,
Donnie Craft,23,HOU,9,2,18,42,3,10,2.3,4.7,2.0,0,
Horace King,29,DET,9,1,18,67,0,25,3.7,7.4,2.0,0,
Leroy Harris,28,PHI,7,1,17,39,2,14,2.3,5.6,2.4,2,
Willie McClendon,25,CHI,9,0,17,47,0,13,2.8,5.2,1.9,0,
Danny White,30,DAL,9,9,17,91,0,21,5.4,10.1,1.9,10,"PB,AP-2,AP MVP-5,AP OPoY-4"
Joe Ferguson,32,BUF,9,9,16,46,1,13,2.9,5.1,1.8,5,
Cleo Miller,30,CLE,5,0,16,61,0,17,3.8,12.2,3.2,1,
Booker Moore,23,BUF,5,0,16,38,0,9,2.4,7.6,3.2,2,
Jewerl Thomas,25,RAM,8,0,16,80,0,11,5.0,10.0,2.0,0,
Rickey Young,29,MIN,9,1,16,49,1,11,3.1,5.4,1.8,0,
Stan Edwards,22,HOU,7,4,15,58,0,8,3.9,8.3,2.1,0,
Greg Hawthorne,26,PIT,9,1,15,68,0,11,4.5,7.6,1.7,0,
Joe Morris,22,NYG,5,0,15,48,1,7,3.2,9.6,3.0,1,
Timmy Newsome,24,DAL,9,0,15,98,1,25,6.5,10.9,1.7,1,
Jim Plunkett,35,RAI,9,9,15,6,0,10,0.4,0.7,1.7,4,
Jim Zorn,29,SEA,9,7,15,113,1,35,7.5,12.6,1.7,5,
Mike Meade,22,GNB,2,1,14,42,0,19,3.0,21.0,7.0,0,
Robert Newhouse,32,DAL,9,0,14,79,1,27,5.6,8.8,1.6,0,
Steve Bartkowski,30,ATL,9,9,13,4,1,10,0.3,0.4,1.4,7,
Lynn Dickey,33,GNB,9,9,13,19,0,11,1.5,2.1,1.4,5,
Eddie Hill,25,MIA,9,0,13,51,0,13,3.9,5.7,1.4,2,
Horace Ivory,28,SEA,6,0,13,51,1,27,3.9,8.5,2.2,0,
Bill Kenney,27,KAN,7,6,13,40,0,12,3.1,5.7,1.9,3,
Archie Manning,33,HOU,6,5,13,85,0,24,6.5,14.2,2.2,5,
Brian Sipe,33,CLE,6,6,13,44,0,12,3.4,7.3,2.2,1,
Richard Todd,29,NYJ,9,9,13,-5,1,7,-0.4,-0.6,1.4,4,
Archie Griffin,28,CIN,9,0,12,39,1,10,3.3,4.3,1.3,0,
Louie Giammona,29,PHI,9,0,11,29,1,8,2.6,3.2,1.2,1,
Bert Jones,31,RAM,4,4,11,73,0,17,6.6,18.3,2.8,0,
Cliff Stoudt,27,PIT,6,0,11,28,0,8,2.5,4.7,1.8,1,
Otis Wonsley,25,WAS,9,0,11,36,0,7,3.3,4.0,1.2,0,
Curtis Bledsoe,25,KAN,3,0,10,20,0,5,2.0,6.7,3.3,2,
Steve Fuller,25,KAN,9,3,10,56,0,12,5.6,6.2,1.1,3,
Eric Hipple,25,DET,9,4,10,57,0,20,5.7,6.3,1.1,1,
Ron Jaworski,31,PHI,9,9,10,9,0,6,0.9,1.0,1.1,9,
Toussaint Tyler,23,NOR,2,0,10,21,0,11,2.1,10.5,5.0,0,
Woody Bennett,27,MIA,1,0,9,15,0,5,1.7,15.0,9.0,0,
Sam Cunningham,32,NWE,6,2,9,21,0,4,2.3,3.5,1.5,0,
Dan Fouts,31,SDG,9,9,9,8,1,9,0.9,0.9,1.0,2,"PB,AP-1,AP MVP-2,AP OPoY-1"
Steve Grogan,29,NWE,6,6,9,42,1,19,4.7,7.0,1.5,2,
Jim Jensen,29,GNB,8,0,9,28,0,10,3.1,3.5,1.1,1,
Guido Merkens,27,NOR,9,1,9,30,0,19,3.3,3.3,1.0,1,
Gifford Nielsen,28,HOU,9,4,9,37,0,9,4.1,4.1,1.0,4,
Adger Armstrong,25,HOU,6,3,8,15,0,5,1.9,2.5,1.3,0,
Marion Barber Jr.,23,NYJ,6,0,8,24,0,9,3.0,4.0,1.3,0,
Terry Bradshaw,34,PIT,9,9,8,10,0,6,1.3,1.1,0.9,5,
Steve DeBerg,28,DEN,9,5,8,27,1,6,3.4,3.0,0.9,4,
Rich Diana,22,MIA,9,0,8,31,0,7,3.9,3.4,0.9,1,
Barry Redden,22,RAM,9,0,8,24,0,7,3.0,2.7,0.9,2,
Rick Kane,28,DET,6,0,7,17,0,6,2.4,2.8,1.2,0,
Paul McDonald,24,CLE,9,3,7,-13,0,10,-1.9,-1.4,0.8,3,
Art Monk,25,WAS,9,9,7,21,0,14,3.0,2.3,0.8,3,
George Peoples,22,DAL,8,0,7,22,0,7,3.1,2.8,0.9,0,
Nathan Poole,26,DEN,9,0,7,36,0,20,5.1,4.0,0.8,0,
Arthur Whittington,27,BUF,2,0,7,15,0,4,2.1,7.5,3.5,2,
Roy Green,25,STL,9,9,6,8,0,13,1.3,0.9,0.7,1,
Dave Krieg,24,SEA,3,2,6,-3,0,4,-0.5,-1.0,2.0,5,
Sidney Thornton,28,PIT,4,0,6,33,1,13,5.5,8.3,1.5,0,
Chester Willis,24,RAI,8,0,6,15,0,5,2.5,1.9,0.8,2,
Wes Chandler,26,SDG,8,8,5,32,0,21,6.4,4.0,0.6,0,"PB,AP-1,AP OPoY-4"
Walt Easley,25,SFO,1,0,5,11,0,5,2.2,11.0,5.0,0,
Roland Hooks,29,BUF,6,0,5,23,0,9,4.6,3.8,0.8,0,
Amos Lawrence,24,SFO,8,1,5,7,0,4,1.4,0.9,0.6,1,
Calvin Thomas,22,CHI,6,0,5,4,0,3,0.8,0.7,0.8,1,
Johnny Davis,26,CLE,2,0,4,3,1,2,0.8,1.5,2.0,0,
Vince Ferragamo,28,RAM,7,5,4,3,1,2,0.8,0.4,0.6,1,
Dennis Gentry,23,CHI,9,0,4,21,0,9,5.3,2.3,0.4,4,
Willard Harrell,30,STL,7,0,4,14,0,8,3.5,2.0,0.6,0,
Harlan Huckleby,25,GNB,9,0,4,19,0,7,4.8,2.1,0.4,0,
Wilbur Jackson,31,WAS,1,0,4,6,0,2,1.5,6.0,4.0,0,
James Lofton,26,GNB,9,9,4,101,1,83,25.3,11.2,0.4,0,"PB,AP-2"
Greg Pruitt,31,RAI,9,0,4,22,0,13,5.5,2.4,0.4,5,
Ray Strong,26,ATL,9,0,4,9,0,4,2.3,1.0,0.4,0,
Billy Taylor,26,RAI,1,0,4,3,0,2,0.8,3.0,4.0,0,
Del Thompson,24,KAN,6,0,4,7,0,4,1.8,1.2,0.7,0,
Ray Butler,26,BAL,9,9,3,10,0,10,3.3,1.1,0.3,0,
Isaac Curtis,32,CIN,9,9,3,15,0,8,5.0,1.7,0.3,1,
Roland Harper,29,CHI,8,0,3,7,0,8,2.3,0.9,0.4,0,
Larry Heater,24,NYG,9,0,3,13,0,8,4.3,1.4,0.3,1,
Mark Herrmann,23,DEN,2,1,3,7,1,6,2.3,3.5,1.5,1,
Gary Hogeboom,24,DAL,4,0,3,0,0,,0.0,0.0,0.8,2,
Jim Jodat,28,SDG,7,0,3,7,0,3,2.3,1.0,0.4,0,
Henry Marshall,28,KAN,9,9,3,25,0,16,8.3,2.8,0.3,0,
Leon Perry,25,NYG,2,1,3,14,0,15,4.7,7.0,1.5,1,
Turk Schonert,25,CIN,2,0,3,-8,0,-2,-2.7,-4.0,1.5,1,
Ken Stabler,37,NOR,8,8,3,-4,0,,-1.3,-0.5,0.4,4,
Don Strock,32,MIA,9,0,3,-9,0,,-3.0,-1.0,0.3,1,
Gary Allen,22,HOU,7,0,2,2,0,9,1.0,0.3,0.3,1,
Malcolm Barnwell,24,RAI,9,9,2,18,0,14,9.0,2.0,0.2,0,
Ricky Bell,27,SDG,4,0,2,6,0,4,3.0,1.5,0.5,0,
Cliff Branch,34,RAI,9,9,2,10,0,7,5.0,1.1,0.2,0,
Dave Casper,30,HOU,9,9,2,9,0,8,4.5,1.0,0.2,1,
Matt Cavanaugh,26,NWE,7,3,2,3,0,3,1.5,0.4,0.3,1,
Steve Cox,24,CLE,9,0,2,-11,0,,-5.5,-1.2,0.2,0,
Floyd Eddings,24,NYG,4,1,2,12,0,16,6.0,3.0,0.5,0,
Vince Evans,27,CHI,4,0,2,0,0,,0.0,0.0,0.5,1,
Ray Guy,33,RAI,9,0,2,-3,0,7,-1.5,-0.3,0.2,0,
Dino Hall,27,CLE,9,0,2,14,0,13,7.0,1.6,0.2,0,
M.L. Harris,28,CIN,9,0,2,-3,0,5,-1.5,-0.3,0.2,0,
Floyd Hodge,23,ATL,9,0,2,11,0,11,5.5,1.2,0.2,0,
Jack Holmes,29,NOR,5,0,2,8,0,5,4.0,1.6,0.4,0,
John Jefferson,26,GNB,8,8,2,16,0,11,8.0,2.0,0.3,0,PB
Matt Kofler,23,BUF,4,0,2,21,0,12,10.5,5.3,0.5,0,
Rob Lytle,28,DEN,9,0,2,2,0,2,1.0,0.2,0.2,0,
Emery Moorehead,28,CHI,9,9,2,3,0,6,1.5,0.3,0.2,0,
Stanley Morgan,27,NWE,9,9,2,3,0,3,1.5,0.3,0.2,0,
Michael Morton,22,TAM,9,0,2,3,0,2,1.5,0.3,0.2,1,
Jarvis Redwine,25,MIN,7,0,2,2,0,2,1.0,0.3,0.3,1,
Ray Stachowicz,23,GNB,9,0,2,0,0,,0.0,0.0,0.2,1,
Rodney Tate,23,CIN,9,0,2,2,0,2,1.0,0.2,0.2,2,
Leonard Thompson,30,DET,9,6,2,16,0,13,8.0,1.8,0.2,0,
Rick Upchurch,30,DEN,9,8,2,-10,0,-3,-5.0,-1.1,0.2,4,"PB,AP-1"
Billy Waddy,28,RAM,3,0,2,-11,0,5,-5.5,-3.7,0.7,1,
Rick Walker,27,WAS,9,7,2,11,0,6,5.5,1.2,0.2,0,
Robert Alexander,24,RAM,9,0,1,3,0,3,3.0,0.3,0.1,2,
Harold Bailey,25,HOU,9,9,1,13,0,13,13.0,1.4,0.1,0,
Ron Battle,23,RAM,9,0,1,1,0,1,1.0,0.1,0.1,0,
Leon Bright,27,NYG,8,0,1,5,0,5,5.0,0.6,0.1,0,
Billy Campfield,26,PHI,6,0,1,2,0,2,2.0,0.3,0.2,1,
Todd Christensen,26,RAI,9,9,1,-6,0,-6,-6.0,-0.7,0.1,3,
Greg Coleman,28,MIN,9,0,1,15,0,15,15.0,1.7,0.1,0,
Cris Collinsworth,23,CIN,9,9,1,-11,0,-11,-11.0,-1.2,0.1,1,"PB,AP-2"
Doug Cosbie,26,DAL,9,9,1,-2,0,-2,-2.0,-0.2,0.1,0,
Larry Cowan,22,MIA,2,0,1,3,0,3,3.0,1.5,0.5,0,
Nolan Cromwell,27,RAM,9,9,1,17,1,17,17.0,1.9,0.1,0,"PB,AP-1"
Steve Dils,27,MIN,9,0,1,5,0,5,5.0,0.6,0.1,0,
Billy Joe DuPree,32,DAL,9,1,1,6,1,6,6.0,0.7,0.1,0,
Vagas Ferguson,25,NWE,2,0,1,5,0,5,5.0,2.5,0.5,0,
Clark Gaines,28,KAN,9,0,1,0,0,,0.0,0.0,0.1,0,
Nick Giaquinto,27,WAS,7,0,1,5,0,5,5.0,0.7,0.1,0,
Jimmie Giles,28,TAM,9,9,1,1,0,1,1.0,0.1,0.1,2,PB
Jeff Groth,25,NOR,9,9,1,1,0,1,1.0,0.1,0.1,1,
Duriel Harris,28,MIA,9,8,1,13,0,13,13.0,1.4,0.1,0,
Tony Hill,26,DAL,9,8,1,22,0,22,22.0,2.4,0.1,0,
Robert Holt,23,BUF,7,0,1,3,0,3,3.0,0.4,0.1,2,
Melvin Hoover,23,PHI,7,0,1,5,0,5,5.0,0.7,0.1,0,
Kevin House,25,TAM,9,9,1,-1,0,-1,-1.0,-0.1,0.1,1,
Alfred Jackson,27,ATL,9,9,1,4,0,4,4.0,0.4,0.1,0,
Paul Johns,24,SEA,9,9,1,-1,0,-1,-1.0,-0.1,0.1,2,
Butch Johnson,28,DAL,9,1,1,9,0,9,9.0,1.0,0.1,0,
Lam Jones,24,NYJ,8,6,1,2,0,2,2.0,0.3,0.1,0,
Steve Largent,28,SEA,8,8,1,8,0,8,8.0,1.0,0.1,0,
Terry LeCount,26,MIN,9,3,1,-3,0,-3,-3.0,-0.3,0.1,0,
Frank LeMaster,30,PHI,9,9,1,-1,0,-1,-1.0,-0.1,0.1,0,
Ed Luther,25,SDG,9,0,1,-13,0,-13,-13.0,-1.4,0.1,1,
Willie Miller,35,RAM,9,9,1,5,0,5,5.0,0.6,0.1,0,
Renaldo Nehemiah,23,SFO,8,3,1,-1,0,-1,-1.0,-0.1,0.1,0,
Mark Nichols,23,DET,7,3,1,3,0,3,3.0,0.4,0.1,0,
Rob Rubick,22,DET,7,0,1,1,1,1,1.0,0.1,0.1,0,
Pat Ryan,27,NYJ,9,0,1,-1,0,-1,-1.0,-0.1,0.1,0,
Art Schlichter,22,BAL,3,0,1,3,0,3,3.0,1.0,0.3,3,
Freddie Scott,30,DET,9,7,1,-6,0,-6,-6.0,-0.7,0.1,1,
Lindsay Scott,22,NOR,8,7,1,-4,0,-4,-4.0,-0.5,0.1,0,
Freddie Solomon,29,SFO,9,7,1,-4,0,-4,-4.0,-0.4,0.1,2,
John Stallworth,30,PIT,9,9,1,9,0,9,9.0,1.0,0.1,2,PB
Rohn Stark,23,BAL,9,0,1,8,0,8,8.0,0.9,0.1,1,
Les Studdard,24,KAN,9,2,1,0,0,,0.0,0.0,0.1,1,
Lynn Swann,30,PIT,9,8,1,25,0,25,25.0,2.8,0.1,0,
Aundra Thompson,29,NOR,9,2,1,2,0,2,2.0,0.2,0.1,1,
Ken Toler,23,NWE,9,0,1,4,0,4,4.0,0.4,0.1,0,
David Verser,24,CIN,9,0,1,1,0,1,1.0,0.1,0.1,0,
Steve Watson,25,DEN,9,9,1,-4,0,-4,-4.0,-0.4,0.1,1,
Rickey Watts,25,CHI,9,0,1,-1,0,-1,-1.0,-0.1,0.1,1,
Roger Wehrli,35,STL,8,1,1,18,1,18,18.0,2.3,0.1,0,
James Wright,26,DEN,9,3,1,-4,0,-4,-4.0,-0.4,0.1,0,
Johnnie Wright,24,BAL,7,0,1,3,0,3,3.0,0.4,0.1,0,
Stacey Bailey,22,ATL,5,0,0,0,0,,,0.0,0.0,1,
Mike Barber,29,RAM,9,9,0,0,0,,,0.0,0.0,0,
Jerome Barkum,32,NYJ,9,9,0,0,0,,,0.0,0.0,0,
Buster Barnett,24,BUF,9,0,0,0,0,,,0.0,0.0,0,
Brian Baschnagel,28,CHI,9,9,0,0,0,,,0.0,0.0,0,
Pat Beach,23,BAL,9,1,0,0,0,,,0.0,0.0,0,
Jerry Bell,23,TAM,9,1,0,0,0,,,0.0,0.0,0,
Theo Bell,29,TAM,9,0,0,0,0,,,0.0,0.0,0,
Matt Bouza,23,BAL,9,9,0,0,0,,,0.0,0.0,1,
Morris Bradshaw,30,NWE,8,5,0,0,0,,,0.0,0.0,1,
Mark Brammer,24,BUF,9,9,0,0,0,,,0.0,0.0,0,
Hoby Brenner,23,NOR,8,8,0,0,0,,,0.0,0.0,1,
Charlie Brown,24,WAS,9,9,0,0,0,,,0.0,0.0,1,PB
Preston Brown,24,NWE,9,4,0,0,0,,,0.0,0.0,0,
Bob Bruer,29,MIN,8,2,0,0,0,,,0.0,0.0,0,
Jerry Butler,25,BUF,7,7,0,0,0,,,0.0,0.0,0,
Harold Carmichael,33,PHI,9,8,0,0,0,,,0.0,0.0,3,
Roger Carr,30,SEA,9,0,0,0,0,,,0.0,0.0,0,
Carlos Carson,24,KAN,9,7,0,0,0,,,0.0,0.0,1,
Gerald Carter,25,TAM,9,0,0,0,0,,,0.0,0.0,0,
Jimmy Cefalo,26,MIA,9,9,0,0,0,,,0.0,0.0,1,
Dwight Clark,25,SFO,9,8,0,0,0,,,0.0,0.0,1,"PB,AP-1"
Garry Cobb,25,DET,6,6,0,0,0,,,0.0,0.0,0,
Paul Coffman,26,GNB,9,9,0,0,0,,,0.0,0.0,0,PB
Bennie Cunningham,28,PIT,9,9,0,0,0,,,0.0,0.0,0,
Lin Dawson,23,NWE,8,4,0,0,0,,,0.0,0.0,0,
Preston Dennard,27,RAM,9,9,0,0,0,,,0.0,0.0,0,
Clint Didier,23,WAS,8,0,0,0,0,,,0.0,0.0,0,
Al Dixon,28,KAN,8,6,0,0,0,,,0.0,0.0,0,
Doug Donley,23,DAL,6,0,0,0,0,,,0.0,0.0,2,
Kenny Duckett,23,NOR,7,0,0,0,0,,,0.0,0.0,0,
Bobby Duckworth,24,SDG,5,0,0,0,0,,,0.0,0.0,0,
Robin Earl,27,CHI,9,1,0,0,0,,,0.0,0.0,0,
Ron Egloff,27,DEN,9,1,0,0,0,,,0.0,0.0,0,
Phil Epps,24,GNB,9,1,0,0,0,,,0.0,0.0,1,
George Farmer,24,RAM,8,0,0,0,0,,,0.0,0.0,0,
Ricky Feacher,28,CLE,9,9,0,0,0,,,0.0,0.0,0,
Scott Fitzkee,25,SDG,9,0,0,0,0,,,0.0,0.0,0,
Russ Francis,29,SFO,9,4,0,0,0,,,0.0,0.0,2,
Danny Fulton,26,CLE,9,0,0,0,0,,,0.0,0.0,0,
Derrick Gaffney,27,NYJ,9,2,0,0,0,,,0.0,0.0,0,
Alvin Garrett,26,WAS,9,0,0,0,0,,,0.0,0.0,0,
Earnest Gray,25,NYG,9,9,0,0,0,,,0.0,0.0,0,
Mel Gray,34,STL,5,0,0,0,0,,,0.0,0.0,0,
Anthony Hancock,22,KAN,9,0,0,0,0,,,0.0,0.0,1,
Bruce Hardy,26,MIA,9,6,0,0,0,,,0.0,0.0,0,
Larry Hardy,26,NOR,9,2,0,0,0,,,0.0,0.0,1,
Jim Haslett,27,BUF,7,5,0,0,0,,,0.0,0.0,0,
Don Hasselbeck,27,NWE,9,5,0,0,0,,,0.0,0.0,0,
Bernard Henry,22,BAL,6,0,0,0,0,,,0.0,0.0,0,
David Hill,28,DET,9,8,0,0,0,,,0.0,0.0,0,
Drew Hill,26,RAM,9,0,0,0,0,,,0.0,0.0,0,
Rodney Holman,22,CIN,9,0,0,0,0,,,0.0,0.0,0,
Mike Holston,24,HOU,9,5,0,0,0,,,0.0,0.0,0,
Bill Hurley,25,NOR,9,0,0,0,0,,,0.0,0.0,0,
Alfred Jenkins,30,ATL,9,9,0,0,0,,,0.0,0.0,0,
Billy Johnson,30,ATL,9,0,0,0,0,,,0.0,0.0,1,
Charlie Joiner,35,SDG,9,9,0,0,0,,,0.0,0.0,1,
Bobby Jones,27,NYJ,9,0,0,0,0,,,0.0,0.0,0,
Cedric Jones,22,NWE,2,0,0,0,0,,,0.0,0.0,0,
Gordon Jones,25,TAM,9,7,0,0,0,,,0.0,0.0,1,
Steve Jordan,21,MIN,9,1,0,0,0,,,0.0,0.0,0,
Vyto Kab,23,PHI,9,2,0,0,0,,,0.0,0.0,0,
Barry Krauss,25,BAL,9,8,0,0,0,,,0.0,0.0,0,
Steve Kreider,24,CIN,9,0,0,0,0,,,0.0,0.0,0,
Keith Krepfle,30,ATL,4,0,0,0,0,,,0.0,0.0,0,
Greg LaFleur,24,STL,9,4,0,0,0,,,0.0,0.0,0,
Ronnie Lee,26,MIA,9,5,0,0,0,,,0.0,0.0,0,
Frank Lewis,35,BUF,8,8,0,0,0,,,0.0,0.0,0,
Gary Lewis,24,GNB,9,0,0,0,0,,,0.0,0.0,0,
Leo Lewis,26,MIN,9,0,0,0,0,,,0.0,0.0,0,
Dave Logan,28,CLE,9,9,0,0,0,,,0.0,0.0,0,
Wade Manning,27,DEN,9,0,0,0,0,,,0.0,0.0,0,
Ken Margerum,24,CHI,9,9,0,0,0,,,0.0,0.0,1,
Doug Marsh,24,STL,8,8,0,0,0,,,0.0,0.0,0,
Robbie Martin,24,DET,9,0,0,0,0,,,0.0,0.0,3,
