Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
Matt Hasselbeck,30,SEA,QB,16,16,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,PB
Todd Heap,25,BAL,TE,16,16,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,
Eric Heitmann,25,SFO,RG/C,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,
Victor Hobson,25,NYJ,LLB,16,16,0,0,0,0,0,0,0,1,43,0,1.0,80,54,26,5,0,
Vonnie Holliday,30,MIA,RDT,16,16,0,0,0,0,5,0,0,2,12,0,5.0,52,36,16,9,0,
Chris Hope,25,PIT,FS,16,16,3,60,0,55,5,1,0,1,6,0,0.0,97,70,27,1,0,
Chris Hovan,27,TAM,LDT,16,16,0,0,0,0,1,0,0,2,0,0,0.0,45,35,10,3,0,
Grady Jackson,32,GNB,LDT,16,16,0,0,0,0,4,1,0,0,0,0,1.0,55,39,16,6,0,
Bradie James,24,DAL,LILB,16,16,0,0,0,0,4,0,0,0,0,0,2.5,93,73,20,4,0,
Tory James,32,CIN,RCB,16,16,5,5,0,5,14,1,0,1,26,0,0.0,58,49,9,1,0,
Quentin Jammer,26,SDG,LCB,16,16,1,14,0,14,19,1,0,0,0,0,0.0,74,62,12,0,0,
Jon Jansen,29,WAS,RT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,AP-2
Al Johnson,26,DAL,C,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,
Chad Johnson,27,CIN,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,,,,,0,"PB,AP-1"
Derrick Johnson,23,KAN,LLB,16,16,0,0,0,0,5,2,0,1,0,0,2.0,96,80,16,7,0,
Dhani Jones,27,PHI,LLB,16,16,1,0,0,0,7,0,0,0,0,0,0.0,70,56,14,8,0,
Kevin Kaesviharn,29,CIN,FS,16,16,3,9,0,6,8,0,0,3,0,0,1.0,87,63,24,2,0,
