Player,Age,Team,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb,Awards
Bo Matthews,30,NYG,5,1,2,13,6.5,0,11,0.4,2.6,0,
Willie McClendon,24,CHI,16,0,2,4,2.0,0,4,0.1,0.3,0,
Russ Mikeska,26,ATL,16,0,2,16,8.0,0,11,0.1,1.0,0,
James Murphy,22,KAN,10,0,2,36,18.0,0,22,0.2,3.6,0,
Fred Nixon,23,GNB,8,1,2,27,13.5,0,19,0.3,3.4,2,
Jimmy Rogers,26,NOR,15,0,2,12,6.0,0,9,0.1,0.8,3,
Tim Sherwin,23,BAL,16,2,2,19,9.5,0,11,0.1,1.2,0,
Tim Smith,24,HOU,4,0,2,37,18.5,0,25,0.5,9.3,0,
Calvin Sweeney,26,PIT,14,0,2,53,26.5,0,32,0.1,3.8,1,
Willis Adams,25,CLE,7,0,1,24,24.0,0,24,0.1,3.4,0,
Steve Atkins,25,2TM,4,0,1,2,2.0,0,2,0.3,0.5,1,
Steve Atkins,25,GNB,3,0,1,2,2.0,0,2,0.3,0.7,1,
Steve Atkins,25,PHI,1,0,0,0,,0,,0.0,0.0,0,
Steve August,27,SEA,16,16,1,9,9.0,0,9,0.1,0.6,0,
Hank Bauer,27,SDG,16,0,1,4,4.0,1,4,0.1,0.3,0,
Jeff Bostic,23,WAS,16,16,1,-4,-4.0,0,-4,0.1,-0.3,0,
Dennis Boyd,26,SEA,16,0,1,3,3.0,1,3,0.1,0.2,0,
Gerald Carter,24,TAM,16,0,1,10,10.0,0,10,0.1,0.6,0,
Ron Cassidy,24,GNB,10,0,1,6,6.0,0,6,0.1,0.6,1,
Matt Cavanaugh,25,NWE,16,8,1,9,9.0,0,9,0.1,0.6,2,
Garry Cobb,24,DET,16,16,1,19,19.0,0,19,0.1,1.2,0,
Brian DeRoo,25,BAL,16,0,1,38,38.0,0,38,0.1,2.4,0,
Jimmy Hargrove,24,CIN,15,0,1,0,0.0,0,,0.1,0.0,1,
Al Harris,24,CHI,16,11,1,18,18.0,0,18,0.1,1.1,0,
Pete Holohan,22,SDG,7,0,1,14,14.0,0,14,0.1,2.0,0,
Ken Huff,28,BAL,16,16,1,-1,-1.0,0,-1,0.1,-0.1,0,
Dave Lafary,26,NOR,16,4,1,5,5.0,0,5,0.1,0.3,0,
Mark Malone,23,PIT,8,3,1,90,90.0,1,90,0.1,11.3,2,
Rick Moser,25,PIT,6,0,1,5,5.0,1,5,0.2,0.8,0,
Calvin Murray,23,PHI,7,0,1,7,7.0,0,7,0.1,1.0,0,
Robert Newhouse,31,DAL,16,0,1,21,21.0,0,21,0.1,1.3,0,
McDonald Oden,23,CLE,16,0,1,6,6.0,0,6,0.1,0.4,0,
Brian Peets,25,SFO,5,0,1,5,5.0,0,5,0.2,1.0,0,
Ray Pinney,27,PIT,16,11,1,1,1.0,1,1,0.1,0.1,0,
Danny Pittman,23,NYG,8,0,1,8,8.0,0,8,0.1,1.0,2,
Steve Raible,27,SEA,9,0,1,12,12.0,0,12,0.1,1.3,0,
Booker Russell,25,PHI,12,1,1,-5,-5.0,0,-5,0.1,-0.4,3,
Scott Stauch,22,NOR,10,0,1,7,7.0,0,7,0.1,0.7,1,
Ray Strong,25,ATL,16,0,1,9,9.0,0,9,0.1,0.6,1,
Dave Studdard,26,DEN,16,16,1,10,10.0,0,10,0.1,0.6,0,
Karl Swanke,24,GNB,4,0,1,2,2.0,1,2,0.3,0.5,0,
Richard Todd,28,NYJ,16,16,1,1,1.0,0,1,0.1,0.1,5,
Mike Williams,24,KAN,3,0,1,3,3.0,0,3,0.3,1.0,0,
Chester Willis,23,OAK,15,0,1,24,24.0,0,24,0.1,1.6,1,
Otis Wonsley,24,WAS,15,0,1,5,5.0,0,5,0.1,0.3,1,
Emanuel Zanders,30,CHI,12,12,1,7,7.0,0,7,0.1,0.6,0,
Sam Adkins,26,SEA,3,0,0,0,,0,,0.0,0.0,0,
Ken Anderson,32,CIN,16,16,0,0,,0,,0.0,0.0,5,"PB,AP-1,AP MVP-1,AP OPoY-1"
Kim Anderson,24,BAL,14,5,0,0,,0,,0.0,0.0,2,
Bob Avellini,28,CHI,9,0,0,0,,0,,0.0,0.0,0,
Steve Bartkowski,29,ATL,16,16,0,0,,0,,0.0,0.0,4,PB
Don Bass,25,CIN,6,0,0,0,,0,,0.0,0.0,0,
Guy Benjamin,26,SFO,4,0,0,0,,0,,0.0,0.0,0,
Carl Birdsong,22,STL,16,0,0,0,,0,,0.0,0.0,0,
Tom Blanchard,33,TAM,3,0,0,0,,0,,0.0,0.0,1,
Terry Bradshaw,33,PIT,14,14,0,0,,0,,0.0,0.0,7,
Scott Brunner,24,NYG,16,6,0,0,,0,,0.0,0.0,6,
Glenn Carano,26,DAL,5,1,0,0,,0,,0.0,0.0,3,
Rickey Claitt,24,WAS,13,0,0,0,,0,,0.0,0.0,0,
Craig Colquitt,27,PIT,16,0,0,0,,0,,0.0,0.0,0,
Mike Connell,25,WAS,16,0,0,0,,0,,0.0,0.0,2,
Nolan Cromwell,26,RAM,16,16,0,0,,0,,0.0,0.0,0,"PB,AP-1"
Gary Danielson,30,DET,6,4,0,0,,0,,0.0,0.0,2,
Tony Davis,28,TAM,16,0,0,0,,0,,0.0,0.0,0,
Tony Daykin,26,ATL,16,0,0,0,,0,,0.0,0.0,0,
Steve DeBerg,27,DEN,14,1,0,0,,0,,0.0,0.0,2,
Lynn Dickey,32,GNB,13,13,0,0,,0,,0.0,0.0,8,
Steve Dils,26,MIN,2,2,0,0,,0,,0.0,0.0,3,
Russell Erxleben,24,NOR,16,0,0,0,,0,,0.0,0.0,1,
Vince Evans,26,CHI,16,16,0,0,,0,,0.0,0.0,13,
Joe Ferguson,31,BUF,16,16,0,0,,0,,0.0,0.0,2,
Dan Fouts,30,SDG,16,16,0,0,,0,,0.0,0.0,9,"PB,AP MVP-6,AP OPoY-5"
Steve Fuller,24,KAN,13,3,0,0,,0,,0.0,0.0,4,
Chuck Fusina,24,TAM,4,0,0,0,,0,,0.0,0.0,0,
Alvin Garrett,25,NYG,9,0,0,0,,0,,0.0,0.0,1,
Mike Garrett,24,BAL,16,0,0,0,,0,,0.0,0.0,0,
Bob Grupp,26,KAN,9,0,0,0,,0,,0.0,0.0,0,
Pat Haden,28,RAM,13,11,0,0,,0,,0.0,0.0,5,
Jim Hart,37,STL,10,9,0,0,,0,,0.0,0.0,4,
Eric Hipple,24,DET,16,10,0,0,,0,,0.0,0.0,14,
Horace Ivory,27,SEA,6,0,0,0,,0,,0.0,0.0,1,
John James,32,ATL,16,0,0,0,,0,,0.0,0.0,0,
Ron Jaworski,30,PHI,16,16,0,0,,0,,0.0,0.0,3,
Bert Jones,30,BAL,15,15,0,0,,0,,0.0,0.0,3,
June Jones,28,ATL,4,0,0,0,,0,,0.0,0.0,0,
Jeff Kemp,22,RAM,1,0,0,0,,0,,0.0,0.0,0,
Bill Kenney,26,KAN,13,13,0,0,,0,,0.0,0.0,4,
Jeff Komlo,25,DET,3,2,0,0,,0,,0.0,0.0,2,
Tommy Kramer,26,MIN,14,14,0,0,,0,,0.0,0.0,8,
Dave Krieg,23,SEA,7,3,0,0,,0,,0.0,0.0,4,
Rod Kush,25,BUF,16,0,0,0,,0,,0.0,0.0,1,
Greg Landry,35,BAL,11,0,0,0,,0,,0.0,0.0,2,
Frank LeMaster,29,PHI,16,16,0,0,,0,,0.0,0.0,0,PB
Neil Lomax,22,STL,14,7,0,0,,0,,0.0,0.0,6,
Randy Love,25,STL,16,0,0,0,,0,,0.0,0.0,0,
Ed Luther,24,SDG,16,0,0,0,,0,,0.0,0.0,0,
Archie Manning,32,NOR,12,11,0,0,,0,,0.0,0.0,3,
Paul McDonald,23,CLE,12,0,0,0,,0,,0.0,0.0,4,
Terry Miller,25,SEA,1,0,0,0,,0,,0.0,0.0,0,
Joe Montana,25,SFO,16,16,0,0,,0,,0.0,0.0,2,"PB,AP-2,AP MVP-2,AP OPoY-3"
Mike Moroski,24,ATL,3,0,0,0,,0,,0.0,0.0,0,
Craig Morton,38,DEN,15,15,0,0,,0,,0.0,0.0,2,AP MVP-4
Tom Myers,31,NOR,16,15,0,0,,0,,0.0,0.0,1,
Dan Neal,32,CHI,16,16,0,0,,0,,0.0,0.0,2,
Timmy Newsome,23,DAL,15,0,0,0,,0,,0.0,0.0,1,
Gifford Nielsen,27,HOU,5,2,0,0,,0,,0.0,0.0,3,
Tom Orosz,22,MIA,16,0,0,0,,0,,0.0,0.0,0,
Bob Parsons,31,CHI,16,0,0,0,,0,,0.0,0.0,0,
Dan Pastorini,32,RAM,7,5,0,0,,0,,0.0,0.0,4,
Mike Phipps,34,CHI,3,0,0,0,,0,,0.0,0.0,0,
Joe Pisarcik,29,PHI,7,0,0,0,,0,,0.0,0.0,0,
Jim Plunkett,34,OAK,9,7,0,0,,0,,0.0,0.0,3,
Chuck Ramsey,29,NYJ,16,0,0,0,,0,,0.0,0.0,2,
John Reaves,31,HOU,5,2,0,0,,0,,0.0,0.0,2,
Jarvis Redwine,24,MIN,3,0,0,0,,0,,0.0,0.0,1,
Robb Riddick,24,BUF,10,0,0,0,,0,,0.0,0.0,1,
George Roberts,26,SDG,16,0,0,0,,0,,0.0,0.0,0,
Bo Robinson,25,ATL,15,0,0,0,,0,,0.0,0.0,0,
Matt Robinson,26,BUF,15,0,0,0,,0,,0.0,0.0,1,
Jeff Rutledge,24,RAM,4,0,0,0,,0,,0.0,0.0,0,
Pat Ryan,26,NYJ,15,0,0,0,,0,,0.0,0.0,0,
Turk Schonert,24,CIN,4,0,0,0,,0,,0.0,0.0,1,
John Sciarra,27,PHI,10,1,0,0,,0,,0.0,0.0,3,
Bobby Scott,32,NOR,4,1,0,0,,0,,0.0,0.0,1,
Jeff Siemon,31,MIN,16,16,0,0,,0,,0.0,0.0,1,
Phil Simms,26,NYG,10,10,0,0,,0,,0.0,0.0,7,
Brian Sipe,32,CLE,16,16,0,0,,0,,0.0,0.0,10,
Ken Stabler,36,HOU,13,12,0,0,,0,,0.0,0.0,7,
Cliff Stoudt,26,PIT,2,0,0,0,,0,,0.0,0.0,0,
Don Strock,31,MIA,16,1,0,0,,0,,0.0,0.0,0,
Larry Swider,26,TAM,13,0,0,0,,0,,0.0,0.0,0,
Joe Theismann,32,WAS,16,16,0,0,,0,,0.0,0.0,7,
Eric Torkelson,29,GNB,9,0,0,0,,0,,0.0,0.0,0,
Jeff West,28,SEA,15,0,0,0,,0,,0.0,0.0,1,
Danny White,29,DAL,16,15,0,0,,0,,0.0,0.0,14,
David Whitehurst,26,GNB,9,3,0,0,,0,,0.0,0.0,4,
Doug Williams,26,TAM,16,16,0,0,,0,,0.0,0.0,9,
Dave Wilson,22,NOR,11,4,0,0,,0,,0.0,0.0,4,
Marc Wilson,24,OAK,13,9,0,0,,0,,0.0,0.0,8,
David Woodley,23,MIA,15,15,0,0,,0,,0.0,0.0,9,
Jim Zorn,28,SEA,13,13,0,0,,0,,0.0,0.0,2,
League Average,,,,,,,,,,1.3,16.6,,
