Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Jack Thompson,25,CIN,QB,8,0,,21,49,42.9,267,1,2.0,2,4.1,21,5.4,4.02,12.7,33.4,50.3,7,61,12.50,3.68,2.43,0,0,
Bobby Scott,32,NOR,QB,4,1,0-1-0,20,46,43.5,245,1,2.2,5,10.9,31,5.3,0.87,12.3,61.3,28.2,7,72,13.21,3.26,-0.60,0,0,
Glenn Carano,26,DAL,QB,5,1,1-0-0,16,45,35.6,235,1,2.2,1,2.2,55,5.2,4.67,14.7,47.0,51.6,1,11,2.17,4.87,4.33,1,1,
Tom Owen,29,NWE,QB,2,1,0-1-0,15,36,41.7,218,1,2.8,4,11.1,28,6.1,1.61,14.5,109.0,31.7,2,19,5.26,5.24,1.03,0,0,
Greg Landry,35,BAL,QB,11,0,,14,29,48.3,195,0,0.0,1,3.4,34,6.7,5.17,13.9,17.7,56.0,5,50,14.71,4.26,2.94,0,0,
Andy Johnson,29,NWE,RB,16,0,,7,9,77.8,194,4,44.4,1,11.1,66,21.6,25.44,27.7,12.1,118.7,0,0,0.00,21.56,25.44,0,0,
Bob Avellini,28,CHI,QB,9,0,,15,32,46.9,185,1,3.1,3,9.4,72,5.8,2.19,12.3,20.6,36.6,7,52,17.95,3.41,0.46,1,1,
Guy Benjamin,26,SFO,QB,4,0,,15,26,57.7,171,1,3.8,1,3.8,27,6.6,5.62,11.4,42.8,74.4,3,30,10.34,4.86,4.00,1,1,
Mike Phipps,34,CHI,QB,3,0,,11,17,64.7,171,2,11.8,0,0.0,43,10.1,12.41,15.5,57.0,137.1,5,41,22.73,5.91,7.73,0,0,
Rich Campbell,23,GNB,QB,2,0,,15,30,50.0,168,0,0.0,4,13.3,27,5.6,-0.40,11.2,84.0,27.5,2,11,6.25,4.91,-0.72,0,0,
Turk Schonert,24,CIN,QB,4,0,,10,19,52.6,166,0,0.0,0,0.0,36,8.7,8.74,16.6,41.5,82.3,3,4,13.64,7.36,7.36,1,1,
Joe Pisarcik,29,PHI,QB,7,0,,8,15,53.3,154,2,13.3,2,13.3,44,10.3,6.93,19.3,22.0,89.3,1,8,6.25,9.13,6.00,0,0,
Tom Flick,23,WAS,QB,6,0,,13,27,48.1,143,0,0.0,2,7.4,33,5.3,1.96,11.0,23.8,33.4,2,18,6.90,4.31,1.21,0,0,
Mike Moroski,24,ATL,QB,3,0,,12,26,46.2,132,0,0.0,1,3.8,22,5.1,3.35,11.0,44.0,45.7,0,0,0.00,5.08,3.35,0,0,
Sam Adkins,26,SEA,QB,3,0,,7,13,53.8,96,1,7.7,1,7.7,31,7.4,5.46,13.7,32.0,71.3,2,14,13.33,5.47,3.80,0,0,
David Humm,29,BAL,QB,1,1,0-1-0,7,24,29.2,90,0,0.0,2,8.3,20,3.8,0.00,12.9,90.0,8.0,1,8,4.00,3.28,-0.32,0,0,
Drew Pearson,30,DAL,WR,16,15,,2,2,100.0,81,1,50.0,0,0.0,59,40.5,50.50,40.5,5.1,158.3,0,0,0.00,40.50,50.50,0,0,
Ed Luther,24,SDG,QB,16,0,,7,15,46.7,68,0,0.0,1,6.7,25,4.5,1.53,9.7,4.3,32.1,0,0,0.00,4.53,1.53,0,0,
Pat Ryan,26,NYJ,QB,15,0,,4,10,40.0,48,1,10.0,1,10.0,18,4.8,2.30,12.0,3.2,49.2,0,0,0.00,4.80,2.30,0,0,
Wade Wilson,22,MIN,QB,3,0,,6,13,46.2,48,0,0.0,2,15.4,22,3.7,-3.23,8.0,16.0,16.3,2,19,13.33,1.93,-4.07,0,0,
Cliff Parsley,27,HOU,P,16,0,,2,2,100.0,43,0,0.0,0,0.0,31,21.5,21.50,21.5,2.7,118.7,0,0,0.00,21.50,21.50,0,0,
Tom Skladany,26,DET,P,16,0,,3,3,100.0,43,0,0.0,0,0.0,19,14.3,14.33,14.3,2.7,118.7,0,0,0.00,14.33,14.33,0,0,PB
Joe Washington,28,WAS,RB,14,13,,1,2,50.0,32,0,0.0,0,0.0,32,16.0,16.00,32.0,2.3,95.8,0,0,0.00,16.00,16.00,0,0,
June Jones,28,ATL,QB,4,0,,2,3,66.7,25,0,0.0,0,0.0,14,8.3,8.33,12.5,6.3,92.4,0,0,0.00,8.33,8.33,0,0,
Jeff Kemp,22,RAM,QB,1,0,,2,6,33.3,25,0,0.0,1,16.7,19,4.2,-3.33,12.5,25.0,7.6,2,13,25.00,1.50,-4.13,0,0,
Freddie Solomon,28,SFO,WR,15,15,,1,1,100.0,25,0,0.0,0,0.0,25,25.0,25.00,25.0,1.7,118.7,0,0,0.00,25.00,25.00,0,0,
Gerry Ellis,24,GNB,FB,16,16,,1,2,50.0,23,0,0.0,0,0.0,23,11.5,11.50,23.0,1.4,91.7,0,0,0.00,11.50,11.50,0,0,
Guido Merkens,26,NOR,WR,16,11,,1,2,50.0,20,0,0.0,0,0.0,20,10.0,10.00,20.0,1.3,85.4,1,2,33.33,6.00,6.00,0,0,
Brian Baschnagel,27,CHI,WR,16,14,,1,1,100.0,18,0,0.0,0,0.0,18,18.0,18.00,18.0,1.1,118.7,0,0,0.00,18.00,18.00,0,0,
Cliff Stoudt,26,PIT,QB,2,0,,1,3,33.3,17,0,0.0,0,0.0,17,5.7,5.67,17.0,8.5,53.5,0,0,0.00,5.67,5.67,0,0,
Eddie Hill,24,MIA,RB,11,3,,1,1,100.0,14,0,0.0,0,0.0,14,14.0,14.00,14.0,1.3,118.7,0,0,0.00,14.00,14.00,0,0,
Steve Kreider,23,CIN,WR,16,1,,1,3,33.3,13,0,0.0,0,0.0,13,4.3,4.33,13.0,0.8,47.9,0,0,0.00,4.33,4.33,0,0,
Joe Cribbs,23,BUF,RB,15,15,,1,1,100.0,9,1,100.0,0,0.0,9,9.0,29.00,9.0,0.6,143.7,0,0,0.00,9.00,29.00,0,0,PB
Tom Myers,31,NOR,FS,16,15,,1,2,50.0,8,1,50.0,0,0.0,8,4.0,14.00,8.0,0.5,100.0,0,0,0.00,4.00,14.00,0,0,
