Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Jim Plunkett,36,RAI,QB,14,13,10-3-0,230,379,60.7,2935,20,5.3,18,4.7,99,7.7,6.66,12.8,209.6,82.7,42,363,9.98,6.11,5.14,3,4,
Jack Thompson,27,TAM,QB,14,13,2-11-0,249,423,58.9,2906,18,4.3,21,5.0,80,6.9,5.49,11.7,207.6,73.3,39,289,8.44,5.66,4.40,0,0,
Steve Dils,28,MIN,QB,16,12,5-7-0,239,444,53.8,2840,11,2.5,16,3.6,68,6.4,5.27,11.9,177.5,66.8,37,254,7.69,5.38,4.34,1,3,
Neil Lomax,24,STL,QB,13,13,7-5-1,209,354,59.0,2636,24,6.8,11,3.1,71,7.4,7.40,12.6,202.8,92.0,43,315,10.83,5.85,5.81,1,1,
Eric Hipple,26,DET,QB,16,16,9-7-0,204,387,52.7,2577,12,3.1,18,4.7,80,6.7,5.19,12.6,161.1,64.7,37,274,8.73,5.43,4.09,1,1,
Cliff Stoudt,28,PIT,QB,16,15,9-6-0,197,381,51.7,2553,12,3.1,21,5.5,52,6.7,4.85,13.0,159.6,60.6,51,339,11.81,5.13,3.49,2,2,
Scott Brunner,26,NYG,QB,16,12,3-9-0,190,386,49.2,2516,9,2.3,22,5.7,62,6.5,4.42,13.2,157.3,54.3,31,218,7.43,5.51,3.57,0,1,
Steve Grogan,30,NWE,QB,12,12,6-6-0,168,303,55.4,2411,15,5.0,12,4.0,76,8.0,7.17,14.4,200.9,81.4,29,195,8.73,6.67,5.95,2,2,
Mike Pagel,23,BAL,QB,15,15,7-8-0,163,328,49.7,2353,12,3.7,17,5.2,72,7.2,5.57,14.4,156.9,64.0,40,278,10.87,5.64,4.21,3,4,
Ken Anderson,34,CIN,QB,13,13,5-8-0,198,297,66.7,2333,12,4.0,13,4.4,80,7.9,6.69,11.8,179.5,85.6,25,187,7.76,6.66,5.59,0,0,
Dan Marino,22,MIA,QB,11,9,7-2-0,173,296,58.4,2210,20,6.8,6,2.0,85,7.5,7.91,12.8,200.9,96.0,10,80,3.27,6.96,7.39,1,2,"PB,AP-2,AP MVP-3,AP OPoY-3,AP ORoY-2"
Jim McMahon,24,CHI,QB,14,13,7-6-0,175,295,59.3,2184,12,4.1,13,4.4,87,7.4,6.23,12.5,156.0,77.6,42,266,12.46,5.69,4.67,1,1,
Dave Krieg,25,SEA,QB,9,8,5-3-0,147,243,60.5,2139,18,7.4,11,4.5,50,8.8,8.25,14.6,237.7,95.0,38,279,13.52,6.62,6.14,1,1,
Ken Stabler,38,NOR,QB,14,14,7-7-0,176,311,56.6,1988,9,2.9,18,5.8,48,6.4,4.37,11.3,142.0,61.4,18,159,5.47,5.56,3.64,2,4,
Ed Luther,26,SDG,QB,16,6,1-5-0,151,287,52.6,1875,7,2.4,17,5.9,46,6.5,4.36,12.4,117.2,56.6,13,120,4.33,5.85,3.77,0,2,
John Elway,23,DEN,QB,11,10,4-6-0,123,259,47.5,1663,7,2.7,14,5.4,49,6.4,4.53,13.5,151.2,54.9,28,218,9.76,5.03,3.33,1,1,
Steve DeBerg,29,DEN,QB,10,5,4-1-0,119,215,55.3,1617,9,4.2,7,3.3,54,7.5,6.89,13.6,161.7,79.9,25,201,10.42,5.90,5.34,3,4,
Oliver Luck,23,HOU,QB,7,6,2-4-0,124,217,57.1,1375,8,3.7,13,6.0,66,6.3,4.38,11.1,196.4,63.4,16,138,6.87,5.31,3.48,0,1,
Jeff Rutledge,26,NYG,QB,4,4,0-3-1,87,174,50.0,1208,3,1.7,8,4.6,54,6.9,5.22,13.9,302.0,59.3,15,110,7.94,5.81,4.22,0,0,
Jim Zorn,30,SEA,QB,16,8,4-4-0,103,205,50.2,1166,7,3.4,7,3.4,43,5.7,4.83,11.3,72.9,64.8,9,64,4.21,5.15,4.33,0,0,
Turk Schonert,26,CIN,QB,9,3,2-1-0,92,156,59.0,1159,2,1.3,5,3.2,54,7.4,6.24,12.6,128.8,73.1,15,122,8.77,6.06,4.98,1,0,
Gifford Nielsen,29,HOU,QB,7,7,0-7-0,90,175,51.4,1125,5,2.9,8,4.6,48,6.4,4.94,12.5,160.7,62.2,22,163,11.17,4.88,3.56,0,0,
Vince Evans,28,CHI,QB,9,3,1-2-0,76,145,52.4,1108,5,3.4,7,4.8,72,7.6,6.16,14.6,123.1,69.0,11,92,7.05,6.51,5.13,0,1,
Marc Wilson,26,RAI,QB,10,3,2-1-0,67,117,57.3,864,8,6.8,6,5.1,50,7.4,6.44,12.9,86.4,82.0,10,75,7.87,6.21,5.35,1,1,
Dave Wilson,24,NOR,QB,8,2,1-1-0,66,112,58.9,770,5,4.5,7,6.3,42,6.9,4.96,11.7,96.3,68.7,17,146,13.18,4.84,3.17,0,0,
Archie Manning,34,HOU,QB,3,3,0-3-0,44,88,50.0,755,2,2.3,8,9.1,47,8.6,4.94,17.2,251.7,49.2,11,83,11.11,6.79,3.56,0,0,
Gary Danielson,32,DET,QB,10,0,,59,113,52.2,720,7,6.2,4,3.5,54,6.4,6.02,12.2,72.0,78.0,8,68,6.61,5.39,5.06,0,1,
Jim Hart,39,STL,QB,5,3,1-2-0,50,91,54.9,592,4,4.4,8,8.8,39,6.5,3.43,11.8,118.4,53.0,13,99,12.50,4.74,2.05,1,1,
Mike Moroski,26,ATL,QB,16,2,1-1-0,45,70,64.3,575,2,2.9,4,5.7,50,8.2,6.21,12.8,35.9,75.6,4,41,5.41,7.22,5.32,1,0,
Tony Eason,24,NWE,QB,16,4,2-2-0,46,95,48.4,557,1,1.1,5,5.3,35,5.9,3.71,12.1,34.8,48.4,16,139,14.41,3.77,1.92,0,0,
Tommy Kramer,28,MIN,QB,3,3,2-1-0,55,82,67.1,550,3,3.7,4,4.9,49,6.7,5.24,10.0,183.3,77.8,3,27,3.53,6.15,4.74,0,0,
Jerry Golsteyn,29,TAM,QB,5,3,0-3-0,47,97,48.5,535,0,0.0,2,2.1,52,5.5,4.59,11.4,107.0,56.9,7,52,6.73,4.64,3.78,0,0,
David Woodley,25,MIA,QB,5,5,3-2-0,43,89,48.3,528,3,3.4,4,4.5,64,5.9,4.58,12.3,105.6,59.6,10,80,10.10,4.53,3.31,0,0,
Matt Kofler,24,BUF,QB,16,0,,35,61,57.4,440,4,6.6,3,4.9,28,7.2,6.31,12.6,27.5,81.3,10,85,14.08,5.00,4.23,0,0,
Don Strock,33,MIA,QB,15,2,2-0-0,34,52,65.4,403,4,7.7,1,1.9,47,7.8,8.42,11.9,26.9,106.5,3,30,5.45,6.78,7.42,0,1,
Paul McDonald,25,CLE,QB,16,2,1-1-0,32,68,47.1,341,1,1.5,4,5.9,27,5.0,2.66,10.7,21.3,42.6,6,38,8.11,4.09,1.93,1,1,
Todd Blackledge,22,KAN,QB,4,0,,20,34,58.8,259,3,8.8,0,0.0,43,7.6,9.38,13.0,64.8,112.3,4,50,10.53,5.50,7.08,0,0,
Pat Ryan,28,NYJ,QB,16,0,,21,40,52.5,259,2,5.0,2,5.0,36,6.5,5.23,12.3,16.2,68.6,1,3,2.44,6.24,5.02,0,0,
Mark Herrmann,24,BAL,QB,2,1,0-1-0,18,36,50.0,256,0,0.0,3,8.3,35,7.1,3.36,14.2,128.0,38.7,7,62,16.28,4.51,1.37,0,0,
Gary Kubiak,22,DEN,QB,4,1,1-0-0,12,22,54.5,186,1,4.5,1,4.5,78,8.5,7.32,15.5,46.5,79.0,2,20,8.33,6.92,5.88,0,0,
Joe Pisarcik,31,PHI,QB,5,0,,16,34,47.1,172,1,2.9,0,0.0,33,5.1,5.65,10.8,34.4,72.2,4,30,10.53,3.74,4.26,0,0,
Gary Hogeboom,25,DAL,QB,6,0,,11,17,64.7,161,1,5.9,1,5.9,24,9.5,8.00,14.6,26.8,90.6,0,0,0.00,9.47,8.00,0,0,
David Whitehurst,28,GNB,QB,4,0,,18,35,51.4,149,0,0.0,2,5.7,19,4.3,1.69,8.3,37.3,38.9,2,16,5.41,3.59,1.16,0,1,
Jeff Kemp,24,RAM,QB,4,0,,12,25,48.0,135,1,4.0,0,0.0,21,5.4,6.20,11.3,33.8,77.9,2,12,7.41,4.56,5.30,0,0,
Phil Simms,28,NYG,QB,2,0,,7,13,53.8,130,0,0.0,1,7.7,36,10.0,6.54,18.6,65.0,56.6,3,35,18.75,5.94,3.13,0,0,
Mark Malone,25,PIT,QB,2,0,,9,20,45.0,124,1,5.0,2,10.0,38,6.2,2.70,13.8,62.0,42.5,1,11,4.76,5.38,2.05,0,0,
Wade Wilson,24,MIN,QB,1,1,1-0-0,16,28,57.1,124,1,3.6,2,7.1,36,4.4,1.93,7.8,124.0,50.3,3,22,9.68,3.29,1.03,1,1,
Marcus Allen,23,RAI,RB,16,15,,4,7,57.1,111,3,42.9,0,0.0,43,15.9,24.43,27.8,6.9,141.4,3,26,30.00,8.50,14.50,0,0,
Guy Benjamin,28,SFO,QB,4,0,,7,12,58.3,111,1,8.3,0,0.0,73,9.3,10.92,15.9,27.8,117.0,0,0,0.00,9.25,10.92,0,0,
Walter Payton,30,CHI,RB,16,16,,3,6,50.0,95,3,50.0,2,33.3,56,15.8,10.83,31.7,5.9,95.8,0,0,0.00,15.83,10.83,0,0,PB
Terry Bradshaw,35,PIT,QB,1,1,1-0-0,5,8,62.5,77,2,25.0,0,0.0,24,9.6,14.63,15.4,77.0,133.9,0,0,0.00,9.63,14.63,0,0,
Matt Suhey,25,CHI,FB,16,13,,1,1,100.0,74,1,100.0,0,0.0,74,74.0,94.00,74.0,4.6,158.3,0,0,0.00,74.00,94.00,0,0,
Mike Kerrigan,23,NWE,QB,1,0,,6,14,42.9,72,0,0.0,1,7.1,19,5.1,1.93,12.0,72.0,29.5,0,0,0.00,5.14,1.93,0,0,
Rusty Lisch,27,STL,QB,4,0,,6,13,46.2,66,1,7.7,2,15.4,26,5.1,-0.31,11.0,16.5,47.8,3,27,18.75,2.44,-1.94,0,0,
Eddie Lee Ivery,26,GNB,RB,8,8,,2,2,100.0,50,0,0.0,0,0.0,35,25.0,25.00,25.0,6.3,118.7,0,0,0.00,25.00,25.00,0,0,
Jeff Komlo,27,TAM,QB,2,0,,4,8,50.0,49,0,0.0,1,12.5,17,6.1,0.50,12.3,24.5,29.7,3,25,27.27,2.18,-1.91,0,0,
Carlos Carson,25,KAN,WR,16,16,,1,1,100.0,48,1,100.0,0,0.0,48,48.0,68.00,48.0,3.0,158.3,0,0,0.00,48.00,68.00,0,0,PB
Mark Clayton,22,MIA,WR,14,0,,1,1,100.0,48,1,100.0,0,0.0,48,48.0,68.00,48.0,3.4,158.3,0,0,0.00,48.00,68.00,0,0,
Art Monk,26,WAS,WR,12,11,,1,1,100.0,46,0,0.0,0,0.0,46,46.0,46.00,46.0,3.8,118.7,0,0,0.00,46.00,46.00,0,0,
Tony Nathan,27,MIA,RB,16,12,,3,4,75.0,46,0,0.0,0,0.0,22,11.5,11.50,15.3,2.9,112.5,0,0,0.00,11.50,11.50,0,0,
Harold Carmichael,34,PHI,WR,15,11,,1,1,100.0,45,1,100.0,0,0.0,45,45.0,65.00,45.0,3.0,158.3,0,0,0.00,45.00,65.00,0,0,
Bruce Mathison,24,SDG,QB,1,0,,3,5,60.0,41,0,0.0,1,20.0,25,8.2,-0.80,13.7,41.0,46.7,0,0,0.00,8.20,-0.80,0,0,
Mark Reed,24,BAL,QB,1,0,,6,10,60.0,34,0,0.0,1,10.0,16,3.4,-1.10,5.7,34.0,26.7,0,0,0.00,3.40,-1.10,0,0,
Gerry Ellis,26,GNB,FB/RB,15,14,,2,5,40.0,31,1,20.0,1,20.0,20,6.2,1.20,15.5,2.1,61.2,0,0,0.00,6.20,1.20,0,0,
Floyd Hodge,24,ATL,WR,12,6,,1,2,50.0,28,0,0.0,1,50.0,28,14.0,-8.50,28.0,2.3,56.2,0,0,0.00,14.00,-8.50,0,0,
Dwight Walker,24,CLE,RB,16,0,,1,3,33.3,25,0,0.0,1,33.3,25,8.3,-6.67,25.0,1.6,25.0,0,0,0.00,8.33,-6.67,0,0,
Steve Bryant,24,HOU,WR,16,6,,1,1,100.0,24,1,100.0,0,0.0,24,24.0,44.00,24.0,1.5,158.3,0,0,0.00,24.00,44.00,0,0,
Russell Erxleben,26,NOR,P,16,0,,1,1,100.0,24,0,0.0,0,0.0,24,24.0,24.00,24.0,1.5,118.7,0,0,0.00,24.00,24.00,0,0,
Ralph Giacomarro,22,ATL,P,16,0,,1,1,100.0,23,0,0.0,0,0.0,23,23.0,23.00,23.0,1.4,118.7,0,0,0.00,23.00,23.00,0,0,
Jim Bob Taylor,24,BAL,QB,8,0,,1,2,50.0,20,0,0.0,1,50.0,20,10.0,-12.50,20.0,2.5,45.8,0,0,0.00,10.00,-12.50,0,0,
Jewerl Thomas,26,KAN,RB,10,1,,1,2,50.0,18,1,50.0,1,50.0,18,9.0,-3.50,18.0,1.8,81.2,0,0,0.00,9.00,-3.50,0,0,
Ron Springs,27,DAL,FB,16,14,,1,2,50.0,15,1,50.0,0,0.0,15,7.5,17.50,15.0,0.9,114.6,0,0,0.00,7.50,17.50,0,0,
Carl Birdsong,24,STL,P,16,0,,1,1,100.0,11,0,0.0,0,0.0,11,11.0,11.00,11.0,0.7,112.5,0,0,0.00,11.00,11.00,0,0,PB
Theotis Brown,26,KAN,FB,12,9,,1,1,100.0,11,0,0.0,0,0.0,11,11.0,11.00,11.0,0.9,112.5,0,0,0.00,11.00,11.00,0,0,
Steve Largent,29,SEA,WR,15,14,,1,1,100.0,11,0,0.0,0,0.0,11,11.0,11.00,11.0,0.7,112.5,0,0,0.00,11.00,11.00,0,0,
John James,34,HOU,P,16,0,,1,1,100.0,7,0,0.0,0,0.0,7,7.0,7.00,7.0,0.4,95.8,0,0,0.00,7.00,7.00,0,0,
Bob Holly,23,WAS,QB,5,0,,1,1,100.0,5,0,0.0,0,0.0,5,5.0,5.00,5.0,1.0,87.5,1,9,50.00,-2.00,-2.00,0,0,
Freeman McNeil,24,NYJ,RB,9,9,,1,1,100.0,5,1,100.0,0,0.0,5,5.0,25.00,5.0,0.6,127.1,0,0,0.00,5.00,25.00,0,0,
Benny Perrin,24,STL,FS,16,16,,1,1,100.0,4,0,0.0,0,0.0,4,4.0,4.00,4.0,0.3,83.3,0,0,0.00,4.00,4.00,0,0,
Joe Cribbs,25,BUF,RB,16,16,,1,2,50.0,3,0,0.0,0,0.0,3,1.5,1.50,3.0,0.2,56.2,0,0,0.00,1.50,1.50,0,0,PB
William Andrews,28,ATL,RB,16,16,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PB
Mike Black,22,DET,P,16,0,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Maury Buford,23,SDG,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Wes Chandler,27,SDG,WR,16,14,,0,0,,0,0,,0,,,,,,0.0,,1,3,100.00,-3.00,-3.00,0,0,PB
Dwight Clark,26,SFO,WR,16,13,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Tony Dorsett,29,DAL,RB,16,16,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,"PB,AP-2"
Hokie Gajan,24,NOR,FB,16,12,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Pete Holohan,24,SDG,TE,16,3,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Dave Jennings,31,NYG,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Billy Johnson,31,ATL,WR,16,1,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,"PB,AP-2"
James Jones,22,DET,FB,14,14,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Steve Kreider,25,CIN,WR,16,2,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Terry LeCount,27,MIN,WR,11,10,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Henry Marshall,29,KAN,WR,13,9,,0,0,,0,0,,0,,,,,,0.0,,1,9,100.00,-9.00,-9.00,0,0,
John Mistler,25,NYG,WR,16,8,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Dan Pastorini,34,PHI,QB,3,0,,0,5,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Drew Pearson,32,DAL,WR,14,13,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Greg Pruitt,32,RAI,RB,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PB
John Riggins,34,WAS,RB,15,15,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,"AP-1,AP MVP-4,AP OPoY-4"
Sherman Smith,29,SDG,RB,13,2,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Rohn Stark,24,BAL,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,AP-1
Rick Upchurch,31,DEN,WR,12,11,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Joe Washington,30,WAS,RB,15,1,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Gerald Willhite,24,DEN,RB,8,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
League Average,,,,,,,,,56.9,,,4.4,,4.4,,7.2,6.09,12.6,74.3,75.9,,,7.96,6.01,5.00,,,
