Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Sfty,Awards
Johnnie Johnson,27,RAM,FS,16,16,4,115,2,60,,1,4,2,0,1.0,,0,
Kenny Johnson,25,ATL,RCB,16,16,2,57,2,31,,1,1,0,0,0.0,,0,
Charlie Joiner,36,SDG,WR,16,16,0,0,0,0,,2,0,0,0,0.0,,0,
Ken Jones,31,BUF,LT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Too Tall Jones,32,DAL,LDE,16,16,1,12,0,12,,0,2,0,0,7.0,,0,"PB,AP-2"
William Judson,24,MIA,LCB,16,16,6,60,0,29,,0,0,0,0,0.0,,0,
Mel Kaufman,25,WAS,LLB,16,16,2,93,1,70,,0,1,30,1,1.5,,0,
Chris Keating,26,BUF,LILB,16,16,2,20,0,17,,0,1,0,0,0.0,,0,
Brian Kelley,32,NYG,LILB,16,16,1,17,0,17,,0,2,0,0,1.5,,0,
Bobby Kemp,24,CIN,SS,16,16,3,26,0,26,,0,1,0,0,1.0,,0,
Mike Kenn,27,ATL,LT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,"PB,AP-2"
Bill Kenney,28,KAN,QB,16,16,0,0,0,0,,7,4,0,0,0.0,,0,PB
Linden King,28,SDG,LOLB,16,16,1,19,0,19,,0,2,0,0,8.0,,0,
Reggie Kinlaw,26,RAI,NT,16,16,0,0,0,0,,0,0,0,0,1.0,,0,
Joe Klecko,30,NYJ,LDT,16,16,0,0,0,0,,0,1,0,0,6.5,,0,"PB,AP-2"
Jim Kovach,27,NOR,LILB,16,16,0,0,0,0,,0,0,0,0,3.0,,0,
Barry Krauss,26,BAL,RILB,16,16,0,0,0,0,,0,2,0,0,1.0,,0,
Pete Kugler,24,SFO,NT,16,16,0,0,0,0,,0,0,0,0,3.0,,0,
Dave Lafary,28,NOR,LT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Dave Lapham,31,CIN,LG,16,16,0,0,0,0,,0,3,0,0,0.0,,0,
Mark Lee,25,GNB,LCB,16,16,4,23,0,15,,1,1,15,0,0.0,,0,
Ronnie Lippett,23,NWE,LCB,16,16,0,0,0,0,,0,1,0,0,0.0,,0,AP DRoY-6
David Logan,27,TAM,NT,16,16,0,0,0,0,,0,1,54,1,9.5,,0,
Howie Long,23,RAI,LDE,16,16,0,0,0,0,,0,2,0,0,13.0,,0,"PB,AP-2,AP DPoY-13"
Woodrow Lowe,29,SDG,ROLB,16,16,0,0,0,0,,0,1,0,0,4.5,,0,
Marty Lyons,26,NYJ,RDT,16,16,0,0,0,0,,0,0,0,0,4.0,,0,
Dexter Manley,24,WAS,RDE,16,16,1,1,0,1,,0,0,0,0,11.0,,0,AP DPoY-13
Doug Marsh,25,STL,TE,16,16,0,0,0,0,,1,0,0,0,0.0,,0,
Doug Martin,26,MIN,LDE,16,16,0,0,0,0,,0,2,0,0,13.0,,0,
Harvey Martin,33,DAL,RDE,16,16,0,0,0,0,,0,0,0,0,2.0,,0,
Rod Martin,29,RAI,ROLB,16,16,4,81,2,40,,0,0,0,0,6.0,,0,"PB,AP-2,AP DPoY-11"
Eugene Marve,23,BUF,RILB,16,16,0,0,0,0,,0,0,0,0,2.0,,0,
Clay Matthews,27,CLE,ROLB,16,16,0,0,0,0,4,0,0,0,0,6.0,106,0,
Vernon Maxwell,22,BAL,ROLB,16,16,1,31,0,31,,0,2,0,0,11.0,,0,AP DRoY-1
Vann McElroy,23,RAI,FS,16,16,8,68,0,28,,0,3,5,0,0.0,,0,"PB,AP-2"
Randy McMillan,25,BAL,FB,16,16,0,0,0,0,,5,3,0,0,0.0,,0,
Lance Mehl,25,NYJ,RLB,16,16,7,57,1,34,,0,1,0,0,2.5,,0,AP DPoY-11
Mike Merriweather,23,PIT,LOLB,16,16,3,55,1,31,,0,2,0,0,0.5,,0,
Rich Milot,26,WAS,RLB,16,16,2,20,0,20,,0,0,0,0,1.5,,0,
Joe Montana,27,SFO,QB,16,16,0,0,0,0,,3,0,0,0,0.0,,0,"PB,AP MVP-5,AP OPoY-5"
Derland Moore,32,NOR,NT,16,16,0,0,0,0,,0,0,0,0,6.0,,0,
Stanley Morgan,28,NWE,WR,16,16,0,0,0,0,,5,2,0,0,0.0,,0,
Guy Morriss,32,PHI,C,16,16,0,0,0,0,,1,0,0,0,0.0,,0,
Kenny Neil,24,NYJ,RDE,16,16,0,0,0,0,,0,0,0,0,5.5,,0,
Bob Nelson,30,RAI,RILB,16,16,0,0,0,0,,0,1,0,0,2.0,,0,
Lee Nelson,29,STL,SS,16,16,1,8,0,8,,0,4,36,1,2.0,,0,
Hubie Oliver,26,PHI,FB,16,16,0,0,0,0,,5,2,0,0,0.0,,0,
Neal Olkewicz,26,WAS,MLB,16,16,1,14,0,14,,0,2,0,0,2.0,,0,
Mel Owens,25,RAM,LOLB,16,16,0,0,0,0,,0,2,0,0,4.0,,0,
Ervin Parker,25,BUF,ROLB,16,16,0,0,0,0,,0,0,0,0,4.0,,0,
Walter Payton,30,CHI,RB,16,16,0,0,0,0,,5,2,0,0,0.0,,0,PB
Benny Perrin,24,STL,FS,16,16,4,50,0,30,,0,2,32,1,1.0,,0,
Johnnie Poe,24,NOR,RCB,16,16,7,146,1,31,,0,2,0,0,0.0,,0,AP DPoY-13
Tom Pridemore,27,ATL,SS,16,16,4,56,0,25,,0,0,0,0,0.0,,0,
Mike Quick,24,PHI,WR,16,16,0,0,0,0,,1,0,0,0,0.0,,0,"PB,AP-1,AP OPoY-6"
Darrol Ray,25,NYJ,FS,16,16,3,77,0,42,,0,1,0,0,0.0,,0,
Avon Riley,25,HOU,LOLB,16,16,1,0,0,0,,0,3,4,0,0.5,,0,
Jerry Robinson,27,PHI,LILB,16,16,0,0,0,0,,0,2,0,0,1.0,,0,
Charles Romes,29,BUF,RCB,16,16,2,27,0,27,,0,0,0,0,0.0,,0,
Lucius Sanford,27,BUF,LOLB,16,16,2,39,0,20,,0,1,0,0,0.0,,0,
Rick Sanford,26,NWE,FS,16,16,7,24,0,16,,1,1,26,0,0.0,,0,
Bruce Scholtz,25,SEA,LOLB,16,16,1,8,0,8,,0,1,0,0,1.5,,0,
Ken Schroy,31,NYJ,SS,16,16,2,6,0,4,,0,1,24,0,2.0,,0,
Herbert Scott,30,DAL,LG,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Luis Sharpe,23,STL,LT,16,16,0,0,0,0,,0,2,0,0,0.0,,0,
Donnie Shell,31,PIT,SS,16,16,5,18,0,18,,0,1,0,0,0.0,,0,
Mike Singletary,25,CHI,MLB,16,16,1,0,0,0,,0,4,15,0,3.5,,0,PB
Jackie Slater,29,RAM,RT,16,16,0,0,0,0,,0,1,13,0,0.0,,0,"PB,AP-2"
Fred Smerlas,26,BUF,NT,16,16,0,0,0,0,,0,0,0,0,6.0,,0,"PB,AP-2"
Billy Ray Smith,22,SDG,RILB,16,16,0,0,0,0,,0,1,0,0,3.0,,0,AP DRoY-8
Tim Smith,26,HOU,WR,16,16,0,0,0,0,,1,0,0,0,0.0,,0,
Wayne Smith,26,STL,RCB,16,16,2,3,0,3,,0,1,0,0,0.0,,0,
Dave Studdard,28,DEN,LT,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Scott Studwell,29,MIN,LILB,16,16,0,0,0,0,,0,1,0,0,2.0,,0,
Karl Swanke,26,GNB,LT,16,16,0,0,0,0,,0,2,0,0,0.0,,0,
Lawrence Taylor,24,NYG,ROLB/RILB,16,16,2,10,0,10,,1,2,3,0,9.0,,0,"PB,AP-1,AP DPoY-4"
Willie Teal,26,MIN,RCB,16,16,3,26,0,12,,0,3,5,0,0.0,,0,
Joe Theismann,34,WAS,QB,16,16,0,0,0,0,,1,0,0,0,0.0,,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
R.C. Thielemann,28,ATL,LG,16,16,0,0,0,0,,0,1,0,0,0.0,,0,PB
Dennis Thurman,27,DAL,RCB,16,16,6,49,0,34,,0,2,0,1,1.0,,0,
Pat Tilley,30,STL,WR,16,16,0,0,0,0,,1,1,0,0,0.0,,0,
Richard Todd,30,NYJ,QB,16,16,0,0,0,0,,5,1,0,0,0.0,,0,
Willie Tullis,25,HOU,RCB,16,16,5,65,0,44,,0,0,0,0,0.0,,0,
Brad Van Pelt,32,NYG,LOLB,16,16,2,7,0,6,,0,0,0,0,3.0,,0,
Everson Walls,24,DAL,LCB,16,16,4,70,0,37,,0,0,0,0,0.0,,0,"PB,AP-1"
Danny Walters,23,SDG,RCB,16,16,7,55,0,33,,0,0,0,0,0.0,,0,AP DRoY-3
Curt Warner,22,SEA,RB,16,16,0,0,0,0,,6,2,0,0,0.0,,0,"PB,AP-2,AP OPoY-6,AP ORoY-3"
Bobby Watkins,23,DET,LCB,16,16,4,48,0,31,,1,3,6,0,0.0,,0,
Steve Watson,26,DEN,WR,16,16,0,0,0,0,,1,0,0,0,0.0,,0,
Frank Wattelet,25,NOR,FS,16,16,2,33,0,24,,0,3,6,0,0.0,,0,
Dave Waymer,25,NOR,LCB,16,16,0,0,0,0,,0,3,0,0,0.0,,0,
Mike Webster,31,PIT,C,16,16,0,0,0,0,,0,2,0,0,0.0,,0,"PB,AP-1"
Clayton Weishuhn,24,NWE,RILB,16,16,0,27,1,27,,0,3,0,0,2.0,,0,
Danny White,31,DAL,QB,16,16,0,0,0,0,,10,4,0,0,0.0,,0,
Ed White,36,SDG,RG,16,16,0,0,0,0,,0,1,0,0,0.0,,0,
Randy White,30,DAL,RDT,16,16,0,0,0,0,,0,1,0,0,12.5,,0,"PB,AP-1,AP MVP-5,AP DPoY-2"
Mike Whitwell,25,CLE,FS,16,16,3,67,0,28,,0,0,0,0,1.0,,0,
Jim Wilks,25,NOR,RDE,16,16,0,0,0,0,,0,1,0,0,8.0,,0,
Ben Williams,29,BUF,LDE,16,16,0,0,0,0,,0,2,0,0,10.0,,0,
Jimmy Williams,23,DET,RLB,16,16,0,0,0,0,,0,1,0,0,1.0,,0,
Joel Williams,27,PHI,ROLB,16,16,0,0,0,0,,0,1,0,0,2.5,,0,
Reggie Williams,29,CIN,ROLB,16,16,0,0,0,0,,0,4,59,1,7.5,,0,
Otis Wilson,26,CHI,LLB,16,16,1,6,0,6,,0,0,0,0,2.0,,0,
Kellen Winslow,26,SDG,TE,16,16,0,0,0,0,,3,2,0,0,0.0,,0,PB
Dirt Winston,28,NOR,RILB,16,16,3,21,0,15,,1,1,0,0,1.0,,0,
Butch Woolfolk,23,NYG,RB,16,16,0,0,0,0,,8,1,0,0,0.0,,0,
Louis Wright,30,DEN,LCB,16,16,6,50,0,34,,1,1,40,0,1.0,,0,PB
Jeff Yeates,32,ATL,LDE,16,16,0,0,0,0,,0,1,0,0,4.0,,0,
Charle Young,32,SEA,TE,16,16,0,0,0,0,,1,1,0,0,0.0,,0,
Roynell Young,26,PHI,LCB,16,16,1,0,0,0,,0,2,0,0,0.0,,0,
Jack Youngblood,33,RAM,LDE,16,16,0,0,0,0,,0,2,0,0,10.5,,1,
Marcus Allen,23,RAI,RB,16,15,0,0,0,0,,14,2,0,1,0.0,,0,
Scot Brantley,25,TAM,RILB,16,15,1,0,0,0,,0,0,0,0,2.0,,0,
Steve Busick,25,DEN,RILB,16,15,0,0,0,0,,0,0,0,0,2.0,,0,
Rubin Carter,31,DEN,NT,16,15,0,0,0,0,,0,3,0,0,1.0,,0,
Hanford Dixon,25,CLE,RCB,16,15,3,41,0,35,,0,0,0,0,1.0,,0,
Kenny Easley,24,SEA,SS,16,15,7,106,0,48,,0,3,29,0,3.0,,0,"PB,AP-1"
Nesby Glasgow,26,BAL,FS/SS,16,15,3,35,0,18,,0,0,0,0,1.0,,0,
Hugh Green,24,TAM,ROLB,16,15,2,54,2,33,,1,2,11,0,3.5,,0,"PB,AP-2"
Roy Green,26,STL,WR,16,15,0,0,0,0,,3,1,0,0,0.0,,0,"PB,AP-1"
Chris Hinton,22,BAL,LG,16,15,0,0,0,0,,0,1,0,0,0.0,,0,PB
Bob Kuechenberg,36,MIA,LG,16,15,0,0,0,0,,1,0,0,0,0.0,,0,PB
Fred McNeill,31,MIN,ROLB,16,15,0,0,0,0,,0,0,0,0,0.5,,0,
Matt Millen,25,RAI,LILB,16,15,1,14,0,14,,0,0,0,0,2.0,,0,AP DPoY-13
Nat Moore,32,MIA,WR,16,15,0,0,0,0,,1,0,0,0,0.0,,0,
Steve Parker,24,BAL,RDE,16,15,0,0,0,0,,0,3,0,0,1.5,,0,
Whitney Paul,30,NOR,ROLB,16,15,2,3,0,3,,0,0,0,0,5.5,,0,
Steve Riley,31,MIN,LT,16,15,0,0,0,0,,0,1,0,0,0.0,,0,
Shelton Robinson,23,SEA,LILB,16,15,1,18,0,18,,0,4,21,2,1.5,,0,
Cliff Stoudt,28,PIT,QB,16,15,0,0,0,0,,10,2,0,0,0.0,,0,
John Turner,27,MIN,FS,16,15,6,37,0,14,,0,2,24,0,1.0,,0,
Eric Wright,24,SFO,RCB,16,15,7,164,2,60,,0,1,0,0,0.0,,0,
Tom Beasley,29,PIT,RDE,16,14,0,0,0,0,,0,2,0,0,2.5,,0,
Byron Braggs,24,GNB,LDE,16,14,0,0,0,0,,0,2,0,0,5.5,,0,
Wes Chandler,27,SDG,WR,16,14,0,0,0,0,,3,1,0,0,0.0,,0,PB
Jeff Groth,26,NOR,WR,16,14,0,0,0,0,,3,2,0,0,0.0,,0,
Dee Hardison,27,NYG,RDE,16,14,0,0,0,0,,0,1,0,0,2.5,,0,
Billy Jackson,24,KAN,RB,16,14,0,0,0,0,,3,2,0,0,0.0,,0,
Dennis Owens,23,NWE,NT,16,14,0,0,0,0,,0,1,4,0,4.0,,0,
Mike Richardson,22,CHI,LCB,16,14,5,9,0,6,,0,2,7,0,0.0,,0,
Ron Springs,27,DAL,FB,16,14,0,0,0,0,,3,3,0,0,0.0,,0,
Dwaine Board,27,SFO,RDE,16,13,0,0,0,0,,0,5,0,1,13.0,,0,
Jim Collins,25,RAM,RILB,16,13,2,46,0,29,,0,1,0,0,1.0,,0,
Roger Craig,23,SFO,FB,16,13,0,0,0,0,,6,1,0,0,0.0,,0,
Vernon Dean,24,WAS,RCB,16,13,5,54,0,26,,0,3,0,1,0.0,,0,
David Galloway,24,STL,RDT,16,13,1,17,0,17,,0,1,0,0,12.0,,1,
Willie Gault,23,CHI,WR,16,13,0,0,0,0,,1,1,0,0,0.0,,0,
Dave Logan,29,CLE,WR,16,13,0,0,0,0,,1,2,0,0,0.0,,0,
Lawrence Pillers,31,SFO,LDE,16,13,1,16,0,16,,0,0,0,0,4.0,,0,
Lucious Smith,26,KAN,RCB,16,13,3,99,1,58,,0,1,0,0,0.0,,0,
Matt Suhey,25,CHI,FB,16,13,0,0,0,0,,5,0,0,0,0.0,,0,
Ted Watts,25,RAI,RCB,16,13,1,13,0,13,,0,1,0,0,0.0,,0,
Keith Bostic,22,HOU,SS,16,12,2,0,0,0,,0,0,0,0,3.0,,0,
Scott Brunner,26,NYG,QB,16,12,0,0,0,0,,8,3,0,0,0.0,,0,
Steve Dils,28,MIN,QB,16,12,0,0,0,0,,13,6,0,0,0.0,,0,
Hokie Gajan,24,NOR,FB,16,12,0,0,0,0,,3,1,0,0,0.0,,0,
Bob Hamm,24,HOU,LDE,16,12,0,0,0,0,,0,0,0,0,3.0,,0,
Randy Logan,32,PHI,SS,16,12,1,0,0,0,,1,1,8,0,0.0,,0,
Jeff Merrow,30,ATL,RDE,16,12,0,0,0,0,,0,1,0,0,3.0,,0,
Mark Murphy,25,GNB,FS,16,12,0,0,0,0,,0,1,0,0,0.0,,0,
Tony Nathan,27,MIA,RB,16,12,0,0,0,0,,2,0,0,0,0.0,,0,
Mark Nichols,24,DET,WR,16,12,0,0,0,0,,2,0,0,0,0.0,,0,
Jim Osborne,34,CHI,LDT,16,12,0,0,0,0,,0,1,0,0,5.0,,0,
Andrew Provence,22,ATL,LDT,16,12,0,0,0,0,,0,1,26,0,1.5,,0,
Johnie Cooks,25,BAL,LILB,16,11,1,15,0,15,,1,2,52,1,5.0,,0,
Tom Dinkel,27,CIN,LOLB,16,11,0,0,0,0,,0,2,4,0,0.5,,0,
Carl Hairston,31,PHI,RDE,16,11,0,0,0,0,,0,2,0,0,5.0,,0,
Eric Harris,28,RAM,LCB,16,11,4,100,0,45,,0,1,0,0,0.0,,0,
Dino Mangiero,25,KAN,NT,16,11,0,0,0,0,,0,1,32,0,5.0,,0,
John Rade,23,ATL,LLB,16,11,0,0,0,0,,0,2,16,1,1.5,,0,
Steve Brown,23,HOU,LCB,16,10,1,16,0,16,,2,0,0,0,0.0,,0,
Neil Elshire,25,MIN,RDE,16,10,0,0,0,0,,0,3,0,0,9.5,,0,
