Player,Age,Team,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb,Awards
Melvin Hoover,23,PHI,7,0,0,0,,0,,0.0,0.0,0,
Harlan Huckleby,25,GNB,9,0,0,0,,0,,0.0,0.0,0,
Ron Jaworski,31,PHI,9,9,0,0,,0,,0.0,0.0,9,
Bert Jones,31,RAM,4,4,0,0,,0,,0.0,0.0,0,
Bill Kenney,27,KAN,7,6,0,0,,0,,0.0,0.0,3,
Matt Kofler,23,BUF,4,0,0,0,,0,,0.0,0.0,0,
Tommy Kramer,27,MIN,9,9,0,0,,0,,0.0,0.0,3,
Dave Krieg,24,SEA,3,2,0,0,,0,,0.0,0.0,5,
Frank LeMaster,30,PHI,9,9,0,0,,0,,0.0,0.0,0,
Ed Luther,25,SDG,9,0,0,0,,0,,0.0,0.0,1,
Archie Manning,33,HOU,6,5,0,0,,0,,0.0,0.0,5,
Paul McDonald,24,CLE,9,3,0,0,,0,,0.0,0.0,3,
Jim McMahon,23,CHI,8,7,0,0,,0,,0.0,0.0,1,
Guido Merkens,27,NOR,9,1,0,0,,0,,0.0,0.0,1,
Joe Montana,26,SFO,9,9,0,0,,0,,0.0,0.0,4,
Robert Newhouse,32,DAL,9,0,0,0,,0,,0.0,0.0,0,
Gifford Nielsen,28,HOU,9,4,0,0,,0,,0.0,0.0,4,
Mike Pagel,22,BAL,9,9,0,0,,0,,0.0,0.0,9,
George Peoples,22,DAL,8,0,0,0,,0,,0.0,0.0,0,
Jim Plunkett,35,RAI,9,9,0,0,,0,,0.0,0.0,4,
Nathan Poole,26,DEN,9,0,0,0,,0,,0.0,0.0,0,
Jarvis Redwine,25,MIN,7,0,0,0,,0,,0.0,0.0,1,
Rob Rubick,22,DET,7,0,0,0,,0,,0.0,0.0,0,
Pat Ryan,27,NYJ,9,0,0,0,,0,,0.0,0.0,0,
Art Schlichter,22,BAL,3,0,0,0,,0,,0.0,0.0,3,
Turk Schonert,25,CIN,2,0,0,0,,0,,0.0,0.0,1,
Brian Sipe,33,CLE,6,6,0,0,,0,,0.0,0.0,1,
Ken Stabler,37,NOR,8,8,0,0,,0,,0.0,0.0,4,
Ray Stachowicz,23,GNB,9,0,0,0,,0,,0.0,0.0,1,
Rohn Stark,23,BAL,9,0,0,0,,0,,0.0,0.0,1,
Cliff Stoudt,27,PIT,6,0,0,0,,0,,0.0,0.0,1,
Don Strock,32,MIA,9,0,0,0,,0,,0.0,0.0,1,
Ray Strong,26,ATL,9,0,0,0,,0,,0.0,0.0,0,
Les Studdard,24,KAN,9,2,0,0,,0,,0.0,0.0,1,
Rodney Tate,23,CIN,9,0,0,0,,0,,0.0,0.0,2,
Mosi Tatupu,27,NWE,9,0,0,0,,0,,0.0,0.0,0,
Billy Taylor,26,RAI,1,0,0,0,,0,,0.0,0.0,0,
Joe Theismann,33,WAS,9,9,0,0,,0,,0.0,0.0,4,"PB,AP MVP-4"
Calvin Thomas,22,CHI,6,0,0,0,,0,,0.0,0.0,1,
Del Thompson,24,KAN,6,0,0,0,,0,,0.0,0.0,0,
Richard Todd,29,NYJ,9,9,0,0,,0,,0.0,0.0,4,
Billy Waddy,28,RAM,3,0,0,0,,0,,0.0,0.0,1,
Roger Wehrli,35,STL,8,1,0,0,,0,,0.0,0.0,0,
Danny White,30,DAL,9,9,0,0,,0,,0.0,0.0,10,"PB,AP-2,AP MVP-5,AP OPoY-4"
Arthur Whittington,27,BUF,2,0,0,0,,0,,0.0,0.0,2,
Doug Williams,27,TAM,9,9,0,0,,0,,0.0,0.0,9,
Chester Willis,24,RAI,8,0,0,0,,0,,0.0,0.0,2,
League Average,,,,,,,,,,1.4,17.4,,
