Player,Age,Team,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards
Joe Washington,27,BAL,16,11,144,502,1,17,3.5,31.4,9.0,5,
Rickey Young,27,MIN,16,16,130,351,3,14,2.7,21.9,8.1,2,
Clarence Harmon,25,WAS,16,14,128,484,4,23,3.8,30.3,8.0,4,
Gerry Ellis,23,GNB,15,13,126,545,5,22,4.3,36.3,8.4,7,
Robert Newhouse,30,DAL,16,10,118,451,6,29,3.8,28.2,7.4,3,
Mike Thomas,27,SDG,10,5,118,484,3,18,4.1,48.4,11.8,0,
Wayne Morris,26,STL,16,16,117,456,6,24,3.9,28.5,7.3,0,
Kevin Long,25,NYJ,15,7,115,355,6,18,3.1,23.7,7.7,3,
Roland Harper,27,CHI,12,12,113,404,5,13,3.6,33.7,9.4,0,
Larry Heater,22,NYG,14,5,111,360,3,11,3.2,25.7,7.9,1,
Dave Preston,25,DEN,12,10,111,385,4,19,3.5,32.1,9.3,3,
Otis Armstrong,30,DEN,9,6,106,470,4,20,4.4,52.2,11.8,1,
Leroy Harris,26,PHI,15,15,104,341,3,22,3.3,22.7,6.9,2,
John Cappelletti,28,SDG,10,8,101,364,5,46,3.6,36.4,10.1,1,
Jim Jensen,27,DEN,14,13,101,476,2,32,4.7,34.0,7.2,1,
Dan Doornink,24,SEA,15,14,100,344,3,22,3.4,22.9,6.7,2,
Mike Guman,22,RAM,16,0,100,410,4,17,4.1,25.6,6.3,4,
Rob Carpenter,25,HOU,15,1,97,359,3,46,3.7,23.9,6.5,4,
Louie Giammona,27,PHI,16,4,97,361,4,44,3.7,22.6,6.1,5,
Clarence Williams,25,SDG,13,9,97,258,3,13,2.7,19.8,7.5,3,
Arthur Whittington,25,OAK,15,2,91,299,3,42,3.3,19.9,6.1,3,
Ron Springs,24,DAL,15,6,89,326,6,20,3.7,21.7,5.9,1,
Charles White,22,CLE,14,7,86,279,5,16,3.2,19.9,6.1,1,
Archie Griffin,26,CIN,15,7,85,260,0,14,3.1,17.3,5.7,1,
Cleveland Franklin,25,BAL,13,13,83,264,2,21,3.2,20.3,6.4,2,
Tony Galbreath,26,NOR,16,4,81,308,3,26,3.8,19.3,5.1,3,
Jimmy Rogers,25,NOR,16,9,80,366,1,24,4.6,22.9,5.0,6,
Rocky Bleier,34,PIT,16,6,78,340,1,19,4.4,21.3,4.9,0,
Terry Robiskie,26,MIA,8,5,78,250,2,36,3.2,31.3,9.8,2,
Sidney Thornton,26,PIT,12,5,78,325,3,28,4.2,27.1,6.5,5,
Lenvil Elliott,29,SFO,15,3,76,341,2,20,4.5,22.7,5.1,5,
James Hadnot,23,KAN,13,5,76,244,2,11,3.2,18.8,5.8,4,
Horace Belton,25,KAN,14,4,68,273,2,14,4.0,19.5,4.9,3,
Tony Reed,25,KAN,15,7,68,180,0,24,2.6,12.0,4.5,1,
Steve Atkins,24,GNB,9,3,67,216,1,16,3.2,24.0,7.4,1,
Roosevelt Leaks,27,BUF,16,0,67,219,2,15,3.3,13.7,4.2,1,
Tim Wilson,26,HOU,16,16,66,257,1,15,3.9,16.1,4.1,2,
Jewerl Thomas,23,RAM,16,2,65,427,2,61,6.6,26.7,4.1,1,
Bo Matthews,29,NYG,15,7,64,180,0,18,2.8,12.0,4.3,2,
Greg Hawthorne,24,PIT,15,6,63,226,4,15,3.6,15.1,4.2,6,
Wayne Wilson,23,NOR,15,7,63,188,1,15,3.0,12.5,4.2,3,
Vince Evans,25,CHI,13,10,60,306,8,58,5.1,23.5,4.6,4,
Steve Fuller,23,KAN,14,13,60,274,4,38,4.6,19.6,4.3,16,
Paul Hofer,28,SFO,6,6,60,293,1,26,4.9,48.8,10.0,0,
Steve Howell,24,MIA,16,8,60,206,1,23,3.4,12.9,3.8,3,
Jeff Moore,24,SEA,14,2,60,202,0,20,3.4,14.4,4.3,4,
Tony Nathan,24,MIA,16,6,60,327,1,18,5.5,20.4,3.8,9,
Tom Newton,26,NYJ,16,4,59,299,0,23,5.1,18.7,3.7,0,
Leon Perry,23,NYG,10,4,59,272,1,17,4.6,27.2,5.9,3,
Doug Williams,25,TAM,16,16,58,370,4,27,6.4,23.1,3.6,7,
Rickey Claitt,23,WAS,15,1,57,215,1,16,3.8,14.3,3.8,3,
Rob Lytle,26,DEN,16,0,57,223,1,35,3.9,13.9,3.6,1,
Terdell Middleton,25,GNB,13,0,56,155,2,15,2.8,11.9,4.3,1,
David Woodley,22,MIA,13,11,55,214,3,17,3.9,16.5,4.2,3,AP ORoY-3
Marvin Sims,23,BAL,16,3,54,186,2,13,3.4,11.6,3.4,0,
Don Woods,29,2TM,12,5,54,239,0,23,4.4,19.9,4.5,2,
Don Woods,29,SDG,2,0,4,10,0,5,2.5,5.0,2.0,0,
Don Woods,29,SFO,10,5,50,229,0,23,4.6,22.9,5.0,2,
Lawrence McCutcheon,30,2TM,14,1,52,254,3,32,4.9,18.1,3.7,4,
Lawrence McCutcheon,30,DEN,6,0,12,52,0,12,4.3,8.7,2.0,1,
Lawrence McCutcheon,30,SEA,8,1,40,202,3,32,5.1,25.3,5.0,3,
Richard Todd,27,NYJ,16,16,49,330,5,31,6.7,20.6,3.1,10,
Gary Danielson,29,DET,16,16,48,232,2,33,4.8,14.5,3.0,11,
Arnold Morgado,28,KAN,11,0,47,120,4,11,2.6,10.9,4.3,0,
Woody Bennett,25,2TM,14,3,46,200,0,19,4.3,14.3,3.3,2,
Woody Bennett,25,NYJ,10,0,3,13,0,6,4.3,1.3,0.3,1,
Woody Bennett,25,MIA,4,3,43,187,0,19,4.3,46.8,10.8,1,
Bobby Hammond,28,WAS,15,1,45,265,0,36,5.9,17.7,3.0,0,
Bruce Harper,25,NYJ,15,1,45,126,0,22,2.8,8.4,3.0,2,
Billy Campfield,24,PHI,15,0,44,120,1,9,2.7,8.0,2.9,4,
Jim Zorn,27,SEA,16,16,44,214,1,25,4.9,13.4,2.8,12,
Willard Harrell,28,STL,16,0,42,170,3,26,4.0,10.6,2.6,3,
Horace Ivory,26,NWE,14,0,42,111,2,20,2.6,7.9,3.0,3,
James Jones,22,DAL,16,0,41,135,0,9,3.3,8.4,2.6,5,
Theotis Brown,23,STL,16,0,40,186,1,19,4.7,11.6,2.5,2,
Buddy Hardeman,26,WAS,15,1,40,132,0,13,3.3,8.8,2.7,2,
Greg Pruitt,29,CLE,16,9,40,117,0,19,2.9,7.3,2.5,1,
Rick Berns,24,TAM,16,2,39,131,0,17,3.4,8.2,2.4,2,
Johnny Davis,24,TAM,14,6,39,130,1,8,3.3,9.3,2.8,1,
Eddie Hill,23,RAM,7,1,39,120,0,19,3.1,17.1,5.6,2,
Jack Holmes,27,NOR,16,7,38,119,2,20,3.1,7.4,2.4,0,
Jon Keyworth,30,DEN,10,3,38,127,1,14,3.3,12.7,3.8,2,
Terry Bradshaw,32,PIT,15,15,36,111,2,18,3.1,7.4,2.4,13,
Clark Gaines,26,NYJ,5,5,36,174,0,15,4.8,34.8,7.2,2,
Phil Simms,25,NYG,13,13,36,190,1,20,5.3,14.6,2.8,6,
Don McCauley,31,BAL,16,0,35,133,1,12,3.8,8.3,2.2,1,
Mike Hogan,26,2TM,13,4,34,90,2,12,2.6,6.9,2.6,0,
Mike Hogan,26,NYG,6,4,22,46,1,9,2.1,7.7,3.7,0,
Mike Hogan,26,PHI,7,0,12,44,1,12,3.7,6.3,1.7,0,
Russell Davis,24,PIT,14,2,33,132,1,12,4.0,9.4,2.4,0,
Mosi Tatupu,25,NWE,16,0,33,97,3,11,2.9,6.1,2.1,0,
Perry Harrington,22,PHI,14,1,32,166,1,19,5.2,11.9,2.3,1,
Joe Montana,24,SFO,15,7,32,77,2,11,2.4,5.1,2.1,4,
Joe Ferguson,30,BUF,16,16,31,65,0,15,2.1,4.1,1.9,9,
Rick Kane,26,DET,16,0,31,125,0,22,4.0,7.8,1.9,3,
Tommy Kramer,25,MIN,15,15,31,115,1,13,3.7,7.7,2.1,2,
Ike Forte,26,WAS,12,0,30,51,1,6,1.7,4.3,2.5,1,
Steve Grogan,27,NWE,12,12,30,112,1,19,3.7,9.3,2.5,4,
Deacon Turner,25,CIN,12,1,30,130,0,24,4.3,10.8,2.5,1,
Wendell Tyler,25,RAM,4,4,30,157,0,17,5.2,39.3,7.5,1,
Joe Theismann,31,WAS,16,15,29,175,3,37,6.0,10.9,1.8,6,
Cleo Miller,28,CLE,16,0,28,139,3,50,5.0,8.7,1.8,2,
Jim Plunkett,33,OAK,13,11,28,141,2,17,5.0,10.8,2.2,9,
Ron Jaworski,29,PHI,16,16,27,95,1,19,3.5,5.9,1.7,6,"PB,AP MVP-3"
Bert Jones,29,BAL,15,15,27,175,2,19,6.5,11.7,1.8,1,
Robert Miller,27,MIN,16,0,27,98,1,27,3.6,6.1,1.7,0,
Danny White,28,DAL,16,16,27,114,1,48,4.2,7.1,1.7,8,
Dave Williams,26,CHI,16,3,26,57,0,14,2.2,3.6,1.6,2,
Steve Bartkowski,28,ATL,16,16,25,35,2,11,1.4,2.2,1.6,6,"PB,AP MVP-3"
Roland Hooks,27,BUF,16,0,25,118,1,25,4.7,7.4,1.6,3,
Timmy Newsome,22,DAL,16,1,25,79,2,23,3.2,4.9,1.6,0,
Chuck Foreman,30,NWE,16,0,23,63,1,7,2.7,3.9,1.4,0,
Dan Fouts,29,SDG,16,16,23,15,2,9,0.7,0.9,1.4,11,"PB,AP-2,AP MVP-5,AP OPoY-3"
Archie Manning,31,NOR,16,16,23,166,0,24,7.2,10.4,1.4,6,
Sherman Smith,26,SEA,3,2,23,94,0,23,4.1,31.3,7.7,0,
Matt Suhey,22,CHI,16,1,22,45,0,10,2.0,2.8,1.4,1,
Craig Morton,37,DEN,12,9,21,29,1,9,1.4,2.4,1.8,4,
Matt Robinson,25,DEN,14,7,21,47,3,22,2.2,3.4,1.5,6,
Brian Sipe,31,CLE,16,16,20,55,1,24,2.8,3.4,1.3,3,"PB,AP-1,AP MVP-1,AP OPoY-2"
Mike Strachan,27,NOR,3,2,20,41,0,10,2.1,13.7,6.7,2,
Matt Cavanaugh,24,NWE,16,4,19,97,0,22,5.1,6.1,1.2,1,
Lynn Dickey,31,GNB,16,16,19,11,1,7,0.6,0.7,1.2,13,
Eddie Hicks,25,NYG,3,1,19,50,0,9,2.6,16.7,6.3,2,
Horace King,27,DET,16,0,18,57,1,8,3.2,3.6,1.1,1,
James Mayberry,23,ATL,16,0,18,88,0,24,4.9,5.5,1.1,0,
Jack Thompson,24,CIN,14,4,18,84,1,15,4.7,6.0,1.3,5,
Ken Anderson,31,CIN,13,12,16,122,0,20,7.6,9.4,1.2,1,
Larry Brinson,26,SEA,7,0,16,57,1,22,3.6,8.1,2.3,1,
Vince Ferragamo,26,RAM,16,15,15,34,1,15,2.3,2.1,0.9,4,
Doug Paschal,22,MIN,16,0,15,53,1,10,3.5,3.3,0.9,0,
Mike Phipps,33,CHI,7,6,15,38,2,9,2.5,5.4,2.1,6,
Ken Stabler,35,HOU,16,16,15,-22,0,,-1.5,-1.4,0.9,7,
Ronnie Coleman,29,HOU,14,0,14,82,1,27,5.9,5.9,1.0,1,
Derrick Jensen,24,OAK,16,1,14,30,0,4,2.1,1.9,0.9,1,
John Skibinski,25,CHI,16,0,13,54,0,8,4.2,3.4,0.8,0,
Terry Miller,24,BUF,15,0,12,35,0,6,2.9,2.3,0.8,0,
Andy Johnson,28,NWE,16,0,11,26,0,11,2.4,1.6,0.7,0,
Hank Bauer,26,SDG,16,0,10,34,1,7,3.4,2.1,0.6,0,
Scott Brunner,23,NYG,16,3,10,18,0,12,1.8,1.1,0.6,3,
Willie McClendon,23,CHI,16,0,10,88,1,48,8.8,5.5,0.6,0,
Allan Clark,23,NWE,11,0,9,56,1,15,6.2,5.1,0.8,0,
Earl Gant,23,KAN,4,0,9,32,0,11,3.6,8.0,2.3,3,
Alvin Garrett,24,NYG,15,0,9,31,0,10,3.4,2.1,0.6,5,
Jim Hart,36,STL,15,15,9,11,0,12,1.2,0.7,0.6,4,
Al Hunter,25,SEA,9,0,9,14,0,7,1.6,1.6,1.0,1,
Mike Kruczek,27,WAS,7,1,9,5,0,5,0.6,0.7,1.3,3,
Cliff Stoudt,25,PIT,6,1,9,35,0,13,3.9,5.8,1.5,1,
Bill Kenney,25,KAN,3,3,8,8,0,4,1.0,2.7,2.7,1,
Booker Russell,24,SDG,15,0,8,41,0,10,5.1,2.7,0.5,1,
Freddie Solomon,27,SFO,16,13,8,56,0,11,7.0,3.5,0.5,5,
Gary Davis,26,TAM,15,2,7,21,0,12,3.0,1.4,0.5,1,
Phil Francis,23,SFO,5,1,7,36,0,14,5.1,7.2,1.4,0,
Greg Landry,34,BAL,16,1,7,26,1,14,3.7,1.6,0.4,0,
Lydell Mitchell,31,RAM,2,0,7,16,0,5,2.3,8.0,3.5,0,
Sam Adkins,25,SEA,4,0,6,18,0,12,3.0,4.5,1.5,0,
Anthony Anderson,24,ATL,16,0,6,5,0,8,0.8,0.3,0.4,0,
David Beverly,30,GNB,16,0,6,21,0,11,3.5,1.3,0.4,1,
Steve DeBerg,26,SFO,11,9,6,4,0,7,0.7,0.4,0.5,4,
Harlan Huckleby,23,GNB,16,0,6,11,1,9,1.8,0.7,0.4,0,
Jeff Knapple,24,DEN,2,0,6,0,0,,0.0,0.0,3.0,0,
Mike Loyd,24,STL,5,1,6,2,0,3,0.3,0.4,1.2,1,
Ray Strong,24,ATL,16,0,6,42,1,21,7.0,2.6,0.4,4,
Leonard Thompson,28,DET,16,12,6,61,0,30,10.2,3.8,0.4,1,
Tony Davis,27,TAM,15,2,5,24,0,8,4.8,1.6,0.3,0,
Nick Giaquinto,25,MIA,16,0,5,16,0,5,3.2,1.0,0.3,0,
Harold Jackson,34,NWE,16,15,5,37,0,16,7.4,2.3,0.3,0,
Scott Laidlaw,27,NYG,7,1,5,10,0,3,2.0,1.4,0.7,0,
Ira Matthews,23,OAK,16,0,5,11,0,5,2.2,0.7,0.3,7,
Nathan Poole,24,CIN,16,0,5,6,0,7,1.2,0.4,0.3,1,
Freddie Scott,28,DET,16,16,5,86,1,48,17.2,5.4,0.3,2,
Charlie Smith,30,PHI,16,16,5,33,0,16,6.6,2.1,0.3,0,
Aundra Thompson,27,GNB,15,15,5,5,0,16,1.0,0.3,0.3,2,
Rick Upchurch,28,DEN,16,14,5,49,0,21,9.8,3.1,0.3,2,
Vickey Ray Anderson,24,GNB,7,0,4,5,0,4,1.3,0.7,0.6,1,
Glenn Carano,25,DAL,3,0,4,6,0,5,1.5,2.0,1.3,0,
Billy Joe DuPree,30,DAL,16,16,4,19,0,11,4.8,1.2,0.3,1,
LaRue Harrington,23,SDG,4,0,4,-7,0,-1,-1.8,-1.8,1.0,0,
Tony Hill,24,DAL,16,13,4,27,0,15,6.8,1.7,0.3,0,
Stanley Morgan,25,NWE,16,16,4,36,0,16,9.0,2.3,0.3,0,"PB,AP-2"
Dan Pastorini,31,OAK,5,5,4,24,0,10,6.0,4.8,0.8,3,
Frank Pollard,23,PIT,16,0,4,16,0,12,4.0,1.0,0.3,1,
Sammy White,26,MIN,16,16,4,65,0,45,16.3,4.1,0.3,0,
Bobby Batton,23,NYJ,8,0,3,4,0,3,1.3,0.5,0.4,0,
Steve Dils,25,MIN,16,1,3,26,0,19,8.7,1.6,0.2,0,
Johnny Evans,24,CLE,16,0,3,-6,0,,-2.0,-0.4,0.2,0,
Bob Grupp,25,KAN,16,0,3,-14,0,,-4.7,-0.9,0.2,2,
Ray Guy,31,OAK,16,0,3,38,0,24,12.7,2.4,0.2,0,"PB,AP-2"
Pat Haden,27,RAM,4,1,3,12,0,6,4.0,3.0,0.8,1,
Isaac Hagins,26,TAM,16,14,3,24,0,26,8.0,1.5,0.2,0,
Ed Luther,23,SDG,5,0,3,5,0,9,1.7,1.0,0.6,0,
Dan Manucci,23,BUF,2,0,3,29,0,17,9.7,14.5,1.5,0,
Henry Marshall,26,KAN,16,16,3,22,0,9,7.3,1.4,0.2,0,
Paul McDonald,22,CLE,15,0,3,-2,0,,-0.7,-0.1,0.2,2,
Rick Partridge,23,SDG,16,0,3,0,0,,0.0,0.0,0.2,0,
Preston Pearson,35,DAL,11,0,3,6,0,2,2.0,0.5,0.3,0,
Joe Pisarcik,28,PHI,9,0,3,-3,0,,-1.0,-0.3,0.3,1,
Bo Robinson,24,DET,14,0,3,2,0,4,0.7,0.1,0.2,0,
John Sciarra,26,PHI,16,0,3,11,0,9,3.7,0.7,0.2,1,
Willis Adams,24,CLE,16,0,2,7,0,15,3.5,0.4,0.1,0,
Carlos Carson,22,KAN,16,1,2,41,0,37,20.5,2.6,0.1,1,
Dave Casper,28,2TM,16,15,2,8,0,6,4.0,0.5,0.1,3,PB
Dave Casper,28,OAK,6,6,0,0,0,,,0.0,0.0,1,
Dave Casper,28,HOU,10,9,2,8,0,6,4.0,0.8,0.2,2,
Greg Cater,23,BUF,16,0,2,-10,0,-1,-5.0,-0.6,0.1,0,
Tom Clements,27,KAN,1,0,2,0,0,,0.0,0.0,2.0,2,
Nolan Cromwell,25,RAM,16,16,2,0,0,,0.0,0.0,0.1,2,"PB,AP-1,AP DPoY-4"
Preston Dennard,25,RAM,16,16,2,20,0,21,10.0,1.3,0.1,0,
Zachary Dixon,24,PHI,5,0,2,8,0,5,4.0,1.6,0.4,0,
Mike Fuller,27,SDG,16,5,2,0,0,,0.0,0.0,0.1,3,
Dino Hall,25,CLE,16,0,2,26,0,19,13.0,1.6,0.1,0,
Kenny Harrison,27,WAS,9,0,2,-11,0,-3,-5.5,-1.2,0.2,0,
Billy Johnson,28,HOU,16,7,2,1,0,4,0.5,0.1,0.1,1,
Lam Jones,22,NYJ,16,13,2,5,0,7,2.5,0.3,0.1,1,
Frank LeMaster,28,PHI,16,16,2,21,0,11,10.5,1.3,0.1,0,
Jim Miller,23,SFO,16,0,2,-12,0,,-6.0,-0.8,0.1,0,
Junior Miller,23,ATL,16,14,2,-2,0,,-1.0,-0.1,0.1,2,"PB,AP-2"
Emery Moorehead,26,DEN,16,0,2,7,0,4,3.5,0.4,0.1,0,
Ozzie Newsome,24,CLE,16,16,2,13,0,9,6.5,0.8,0.1,2,
Bob Parsons,30,CHI,16,0,2,4,0,4,2.0,0.3,0.1,2,
Eddie Payton,29,MIN,16,0,2,15,0,8,7.5,0.9,0.1,3,
Drew Pearson,29,DAL,16,15,2,30,0,32,15.0,1.9,0.1,0,
Rod Phillips,28,STL,16,0,2,6,0,4,3.0,0.4,0.1,0,
Eason Ramson,24,SFO,16,3,2,-2,0,4,-1.0,-0.1,0.1,0,
Jim Walsh,24,SEA,4,0,2,4,0,2,2.0,1.0,0.5,0,
Ray Williams,22,DET,6,1,2,17,1,11,8.5,2.8,0.3,0,
Gordon Banks,22,NOR,7,0,1,-5,0,-5,-5.0,-0.7,0.1,0,
Mike Barber,27,HOU,16,16,1,1,0,1,1.0,0.1,0.1,0,
Mark Brammer,22,BUF,16,5,1,8,0,8,8.0,0.5,0.1,0,
Cliff Branch,32,OAK,16,15,1,1,0,1,1.0,0.1,0.1,0,
Jerry Butler,23,BUF,16,16,1,18,0,18,18.0,1.1,0.1,0,PB
Roger Carr,28,BAL,16,16,1,-8,0,-8,-8.0,-0.5,0.1,0,
Wes Chandler,24,NOR,16,16,1,9,0,9,9.0,0.6,0.1,2,
Boobie Clark,30,HOU,6,0,1,3,0,3,3.0,0.5,0.2,0,
Paul Coffman,24,GNB,16,16,1,3,0,3,3.0,0.2,0.1,0,
Craig Colquitt,26,PIT,16,0,1,17,0,17,17.0,1.1,0.1,1,
Jim Culbreath,28,PHI,2,0,1,3,0,3,3.0,1.5,0.5,0,
Paul Darby,24,NYJ,8,0,1,15,0,15,15.0,1.9,0.1,1,
Scott Fitzkee,23,PHI,7,0,1,15,0,15,15.0,2.1,0.1,0,
Wallace Francis,29,ATL,16,16,1,2,0,2,2.0,0.1,0.1,0,
Chuck Fusina,23,TAM,2,0,1,14,0,14,14.0,7.0,0.5,0,
Mel Gray,32,STL,16,16,1,-3,0,-3,-3.0,-0.2,0.1,0,
Bob Griese,35,MIA,5,3,1,0,0,,0.0,0.0,0.2,1,
M.L. Harris,26,CIN,12,0,1,0,0,,0.0,0.0,0.1,0,
Victor Hicks,23,RAM,16,14,1,19,0,19,19.0,1.2,0.1,0,
Calvin Hill,33,CLE,15,0,1,11,0,11,11.0,0.7,0.1,0,
Drew Hill,24,RAM,16,0,1,4,0,4,4.0,0.3,0.1,2,
Kevin House,23,TAM,14,1,1,32,0,32,32.0,2.3,0.1,1,
Mike Hubach,22,NWE,16,0,1,0,0,,0.0,0.0,0.1,0,
David Humm,28,BUF,16,0,1,5,0,5,5.0,0.3,0.1,1,
John James,31,ATL,16,0,1,13,0,13,13.0,0.8,0.1,0,
John Jefferson,24,SDG,16,16,1,16,0,16,16.0,1.0,0.1,0,"PB,AP-1,AP OPoY-4"
Ron Jessie,32,BUF,16,3,1,-9,0,-9,-9.0,-0.6,0.1,0,
Gordon Jones,23,TAM,16,14,1,-10,0,-10,-10.0,-0.6,0.1,1,
Keith Krepfle,28,PHI,13,11,1,2,0,2,2.0,0.2,0.1,0,
Steve Largent,26,SEA,16,16,1,2,0,2,2.0,0.1,0.1,1,
Bob Lee,34,RAM,1,0,1,-1,0,-1,-1.0,-1.0,1.0,0,
Mike Levenseller,24,CIN,8,0,1,6,0,6,6.0,0.8,0.1,0,
Randy Love,24,STL,16,0,1,3,0,3,3.0,0.2,0.1,3,
Rich Mauti,26,NOR,9,0,1,2,0,2,2.0,0.2,0.1,0,
Pat McInally,27,CIN,16,6,1,0,0,,0.0,0.0,0.1,2,
Willie Miller,33,RAM,16,1,1,-2,0,-2,-2.0,-0.1,0.1,1,
Cleo Montgomery,24,CIN,14,0,1,12,0,12,12.0,0.9,0.1,3,
Nat Moore,29,MIA,16,16,1,3,0,3,3.0,0.2,0.1,1,
Gifford Nielsen,26,HOU,16,0,1,0,0,,0.0,0.0,0.1,1,
Ricky Patton,26,SFO,9,0,1,1,0,1,1.0,0.1,0.1,1,
Danny Pittman,22,NYG,11,6,1,-7,0,-7,-7.0,-0.6,0.1,1,
Chuck Ramsey,28,NYJ,16,0,1,-15,0,-15,-15.0,-0.9,0.1,0,
Ahmad Rashad,31,MIN,16,16,1,8,0,8,8.0,0.5,0.1,0,PB
Mike Renfro,25,HOU,16,16,1,12,0,12,12.0,0.8,0.1,0,
Joe Senser,24,MIN,16,0,1,-1,0,-1,-1.0,-0.1,0.1,0,
Barty Smith,28,GNB,1,0,1,3,0,3,3.0,3.0,1.0,0,
Jim Smith,25,PIT,12,10,1,-1,0,-1,-1.0,-0.1,0.1,1,
Don Strock,30,MIA,16,2,1,-3,0,-3,-3.0,-0.2,0.1,1,
Lynn Swann,28,PIT,13,11,1,-4,0,-4,-4.0,-0.3,0.1,0,
Don Testerman,28,MIA,5,0,1,5,0,5,5.0,1.0,0.2,0,
Jesse Thompson,24,DET,11,2,1,-4,0,-4,-4.0,-0.4,0.1,1,
Billy Waddy,26,RAM,15,15,1,-1,0,-1,-1.0,-0.1,0.1,1,
Rick Walker,25,WAS,15,4,1,-8,0,-8,-8.0,-0.5,0.1,1,
Rickey Watts,23,CHI,15,2,1,-16,0,-16,-16.0,-1.1,0.1,1,
Marc Wilson,23,OAK,2,0,1,3,0,3,3.0,1.5,0.5,0,
Walt Arnold,22,RAM,16,0,0,0,0,,,0.0,0.0,0,
Elmer Bailey,23,MIA,14,0,0,0,0,,,0.0,0.0,0,
Jerome Barkum,30,NYJ,16,11,0,0,0,,,0.0,0.0,0,
Brian Baschnagel,26,CHI,16,15,0,0,0,,,0.0,0.0,0,
Don Bass,24,CIN,14,12,0,0,0,,,0.0,0.0,0,
Mark Bell,23,STL,11,0,0,0,0,,,0.0,0.0,1,
Mark Bell,23,SEA,16,0,0,0,0,,,0.0,0.0,0,
Theo Bell,27,PIT,14,9,0,0,0,,,0.0,0.0,1,
Morris Bradshaw,28,OAK,16,0,0,0,0,,,0.0,0.0,0,
Larry Brunson,31,DEN,13,0,0,0,0,,,0.0,0.0,0,
Randy Burke,25,BAL,10,0,0,0,0,,,0.0,0.0,0,
Ken Burrough,32,HOU,2,0,0,0,0,,,0.0,0.0,0,
Ray Butler,24,BAL,16,16,0,0,0,,,0.0,0.0,0,
Ken Callicutt,25,DET,13,0,0,0,0,,,0.0,0.0,5,
Harold Carmichael,31,PHI,16,16,0,0,0,,,0.0,0.0,1,PB
Ron Cassidy,23,GNB,15,1,0,0,0,,,0.0,0.0,1,
