Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Peyton Manning,33,IND,QB,16,16,0,0,0,0,0,0,2,0,-4,0,0.0,0,0,0,,,0,"PB,AP-1,AP MVP-1,AP OPoY-3"
Vince Manuwai,29,JAX,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Richard Marshall,25,CAR,RCB,16,16,4,47,0,28,9,0,0,2,0,0,0.0,88,75,13,0,0,0,
Todd McClure,32,ATL,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Bryant McFadden,28,ARI,LCB,16,16,0,0,0,0,15,0,0,1,7,0,0.0,69,64,5,1,1,0,
Rocky McIntosh,27,WAS,RLB,16,16,2,27,0,18,4,2,1,0,0,0,0.0,94,64,30,4,5,0,
Bryant McKinnie,30,MIN,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,,,0,PB
Brandon Meriweather,25,NWE,SS,16,16,5,149,1,56,9,2,0,0,0,0,0.0,84,54,30,3,0,0,PB
Quintin Mikell,29,PHI,SS,16,16,2,16,0,16,14,0,0,2,0,0,0.0,90,69,21,2,2,0,PB
Heath Miller,27,PIT,TE,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,PB
Kirk Morrison,27,OAK,MLB,16,16,0,0,0,0,1,3,1,1,8,0,2.0,133,109,24,10,2,0,
Randy Moss,32,NWE,WR,16,16,1,0,0,0,1,0,2,1,0,0,0.0,0,0,0,0,0,0,
Santana Moss,30,WAS,WR,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
Terence Newman,31,DAL,LCB,16,16,3,36,1,27,18,3,1,0,0,0,0.0,57,52,5,2,0,0,PB
Rudy Niswanger,27,KAN,C,16,16,0,0,0,0,0,0,1,0,-21,0,0.0,0,0,0,,,0,
Shaun O'Hara,32,NYG,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,PB
Amobi Okoye,22,HOU,RDT,16,16,0,0,0,0,3,0,0,0,0,0,1.5,38,26,12,6,6,0,
Brian Orakpo,23,WAS,LLB,16,16,0,0,0,0,2,1,0,0,0,0,11.0,50,37,13,13,15,0,"PB,AP DRoY-4"
Terrell Owens,36,BUF,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Carson Palmer,30,CIN,QB,16,16,0,0,0,0,0,0,6,2,-12,0,0.0,0,0,0,0,0,0,
Mike Patterson,26,PHI,LDT,16,16,0,0,0,0,0,0,0,0,0,0,1.5,55,42,13,4,3,0,
Donald Penn,26,TAM,LT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
Mike Peterson,33,ATL,RLB,16,16,1,39,0,39,7,2,0,0,0,0,1.0,109,82,27,7,2,0,
Shaun Phillips,28,SDG,LOLB,16,16,0,0,0,0,4,7,0,0,0,0,7.0,59,47,12,9,11,0,
Casey Rabach,32,WAS,C,16,16,0,0,0,0,0,0,1,0,-5,0,0.0,0,0,0,0,0,0,
Dominic Raiola,31,DET,C,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
Jay Ratliff,28,DAL,NT,16,16,0,0,0,0,0,2,0,4,0,0,6.0,40,29,11,11,8,0,"PB,AP-1"
Darrelle Revis,24,NYJ,LCB,16,16,6,121,1,67,31,0,0,0,0,0,0.0,54,47,7,0,0,0,"PB,AP-1,AP DPoY-2"
Philip Rivers,28,SDG,QB,16,16,0,0,0,0,0,0,6,1,0,0,0.0,0,0,0,,,0,"PB,AP MVP-3,AP OPoY-4"
Dunta Robinson,27,HOU,RCB,16,16,0,0,0,0,9,1,0,0,0,0,0.0,65,55,10,6,0,0,
Aaron Rodgers,26,GNB,QB,16,16,0,0,0,0,0,0,10,4,-8,0,0.0,0,0,0,0,0,0,PB
Dominique Rodgers-Cromartie,23,ARI,RCB,16,16,6,77,1,49,25,3,0,0,0,0,0.0,50,48,2,1,0,0,PB
Tony Romo,29,DAL,QB,16,16,0,0,0,0,0,0,6,2,-5,0,0.0,0,0,0,0,0,0,PB
Michael Roos,27,TEN,LT,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,AP-2
Barrett Ruud,26,TAM,MLB,16,16,1,23,0,21,7,1,0,0,0,0,0.0,143,107,36,3,0,0,
DeMeco Ryans,25,HOU,MLB,16,16,0,0,0,0,2,1,0,1,29,0,1.0,123,93,30,14,5,0,PB
Asante Samuel,28,PHI,LCB,16,16,9,117,0,37,16,1,0,1,0,0,0.0,40,39,1,1,0,0,"PB,AP-2"
Matt Schaub,28,HOU,QB,16,16,0,0,0,0,0,0,3,1,-2,0,0.0,0,0,0,0,0,0,PB
Aaron Schobel,32,BUF,RDE,16,16,1,26,1,26,4,3,0,1,0,0,10.0,56,34,22,17,17,0,
Bart Scott,29,NYJ,LILB,16,16,0,0,0,0,1,0,0,0,0,0,1.0,92,67,25,12,11,0,
Richard Seymour,30,OAK,LDE,16,16,0,0,0,0,3,1,0,0,0,0,4.0,47,30,17,8,12,0,
Ryan Sims,29,TAM,LDT,16,16,0,0,0,0,1,0,0,1,0,0,1.0,33,25,8,3,5,0,
Josh Sitton,23,GNB,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Daryl Smith,27,JAX,LLB,16,16,1,10,0,10,6,3,0,2,0,0,1.5,107,84,23,6,5,0,
Justin Smith,30,SFO,RDE,16,16,0,0,0,0,1,2,0,2,0,0,6.0,55,41,14,11,15,0,PB
Sean Smith,22,MIA,RCB,16,16,0,0,0,0,12,0,0,1,0,0,0.0,39,32,7,0,0,0,
Will Smith,28,NOR,RDE,16,16,1,0,0,0,3,3,0,0,0,0,13.0,49,37,12,14,26,0,
Chris Snee,27,NYG,RG,16,16,0,0,0,0,0,0,0,1,-1,0,0.0,0,0,0,0,0,0,PB
Isaac Sopoaga,28,SFO,LDE,16,16,0,0,0,0,1,0,0,0,0,0,1.0,29,19,10,1,3,0,
Anthony Spencer,25,DAL,LOLB,16,16,1,-3,0,-3,8,2,0,2,0,0,6.0,67,50,17,13,23,0,
Shawntae Spencer,27,SFO,RCB,16,16,2,2,0,2,10,0,0,0,0,0,0.0,53,49,4,1,0,0,
Randy Starks,26,MIA,RDE,16,16,0,0,0,0,0,0,0,1,0,0,7.0,56,42,14,10,17,0,
John Sullivan,24,MIN,C,16,16,0,0,0,0,0,0,1,0,-4,0,0.0,0,0,0,0,0,0,
Ike Taylor,29,PIT,LCB,16,16,1,20,0,20,13,0,0,1,1,0,1.0,62,53,9,1,1,0,
Terrell Thomas,24,NYG,RCB,16,16,5,87,1,33,13,1,0,0,0,0,1.0,85,70,15,6,1,0,
Jeremy Trueblood,26,TAM,RT,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
Max Unger,23,SEA,RG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
Kyle Vanden Bosch,31,TEN,RDE,16,16,0,0,0,0,1,2,0,0,0,0,3.0,45,33,12,7,14,0,PB
Hines Ward,33,PIT,WR,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,,,0,
Gerard Warren,31,OAK,RDT,16,16,0,0,0,0,1,0,0,0,0,0,2.0,35,25,10,4,5,0,
Roddy White,28,ATL,WR,16,16,0,0,0,0,0,1,1,1,0,0,0.0,0,0,0,0,0,0,PB
Andrew Whitworth,28,CIN,LT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
Chris Williams,24,CHI,RT/LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,,,0,
D.J. Williams,27,DEN,RILB,16,16,0,0,0,0,7,3,0,2,8,0,3.5,122,100,22,13,5,0,
Kevin Williams,29,MIN,RDT,16,16,0,0,0,0,7,1,0,1,0,0,6.0,30,22,8,11,14,0,"PB,AP-1"
Madieu Williams,28,MIN,FS,16,16,0,0,0,0,4,0,0,1,0,0,0.0,74,61,13,2,2,0,
Mario Williams,24,HOU,RDE,16,16,0,0,0,0,3,2,0,1,0,0,9.0,43,38,5,13,21,0,PB
Patrick Willis,24,SFO,RILB,16,16,3,33,1,23,8,3,0,0,0,0,4.0,152,114,38,13,11,0,"PB,AP-1"
Adrian Wilson,30,ARI,SS,16,16,5,56,0,41,13,1,0,2,11,0,2.0,75,62,13,11,8,0,"PB,AP-1"
LaMarr Woodley,25,PIT,LOLB,16,16,0,0,0,0,6,1,0,1,77,1,13.5,62,51,11,20,26,0,"PB,AP-2"
Charles Woodson,33,GNB,LCB,16,16,9,179,3,45,18,4,0,1,0,0,2.0,74,66,8,9,3,0,"PB,AP-1,AP DPoY-1"
Damien Woody,32,NYJ,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Eric Wright,24,CLE,LCB,16,16,4,74,0,47,14,0,0,0,0,0,0.0,65,57,8,2,0,0,
Jeremy Zuttah,23,TAM,LG,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
John Abraham,31,ATL,LDE,16,15,0,0,0,0,1,1,0,0,0,0,5.5,35,30,5,6,14,0,
Akin Ayodele,30,MIA,RILB,16,15,0,0,0,0,0,1,1,2,2,0,0.0,71,61,10,3,2,0,
Yeremiah Bell,31,MIA,FS,16,15,3,48,0,29,8,0,0,0,0,0,1.5,114,92,22,3,3,0,PB
Earl Bennett,22,CHI,WR,16,15,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
David Bowens,32,CLE,LILB/ROLB,16,15,1,15,0,15,5,1,0,1,1,0,5.5,71,47,24,5,12,0,
Calais Campbell,23,ARI,LDE,16,15,0,0,0,0,5,1,0,0,0,0,7.0,47,36,11,8,14,0,
Colin Cole,29,SEA,RDT,16,15,0,0,0,0,2,0,0,1,2,0,0.0,48,29,19,1,0,0,
Phillip Daniels,36,WAS,LDE,16,15,0,0,0,0,2,0,0,0,0,0,1.0,35,24,11,4,3,0,
Michael Griffin,24,TEN,FS,16,15,1,3,0,3,7,2,0,2,0,0,1.0,77,57,20,3,2,0,
Thomas Howard,26,OAK,RLB,16,15,0,0,0,0,6,1,0,1,0,0,2.0,79,72,7,11,3,0,
Mike Jenkins,24,DAL,RCB,16,15,5,0,0,0,19,0,0,0,0,0,0.0,49,45,4,1,0,0,PB
Chad Johnson,31,CIN,WR,16,15,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,PB
Jeff King,26,CAR,TE,16,15,0,0,0,0,0,0,1,1,0,0,0.0,1,1,0,0,0,0,
Josh Morgan,24,SFO,WR,16,15,0,0,0,0,0,0,0,1,0,0,0.0,3,3,0,0,0,0,
Greg Olsen,24,CHI,TE,16,15,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
Kyle Orton,27,DEN,QB,16,15,0,0,0,0,0,0,4,1,-2,0,0.0,0,0,0,0,0,0,
Adrian Peterson,24,MIN,RB,16,15,0,0,0,0,0,0,7,0,-12,0,0.0,0,0,0,,,0,"PB,AP-1"
Sabby Piscitelli,26,TAM,SS,16,15,2,7,0,4,5,1,0,1,72,0,0.0,80,66,14,1,0,0,
Ray Rice,22,BAL,RB,16,15,0,0,0,0,0,0,3,1,2,0,0.0,0,0,0,0,0,0,"PB,AP-2"
Nick Roach,24,CHI,RLB,16,15,0,0,0,0,3,3,0,1,0,0,2.0,75,54,21,8,3,0,
Bryan Robinson,35,ARI,NT,16,15,0,0,0,0,3,0,0,1,0,0,1.0,28,17,11,2,1,0,
Carlos Rogers,28,WAS,LCB,16,15,0,0,0,0,12,0,0,2,18,0,0.0,39,36,3,1,0,0,
Clifton Ryan,25,STL,RDT,16,15,0,0,0,0,1,0,0,0,0,0,1.0,42,35,7,9,2,0,
Antonio Smith,28,HOU,LDE,16,15,0,0,0,0,1,2,0,2,2,0,4.5,34,26,8,6,19,0,
Jason Taylor,35,MIA,LOLB,16,15,1,0,0,0,5,3,0,1,48,1,7.0,42,33,9,9,10,0,
Justin Tuck,26,NYG,LDE,16,15,0,0,0,0,8,5,0,1,0,0,6.0,59,45,14,10,13,0,
DeMarcus Ware,27,DAL,ROLB,16,15,0,0,0,0,6,5,0,0,0,0,11.0,57,45,12,9,24,0,"PB,AP-1"
Nate Washington,26,TEN,WR,16,15,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
Cadillac Williams,27,TAM,RB,16,15,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,AP CPoY-2
Keith Brooking,34,DAL,RILB,16,14,0,0,0,0,7,0,0,0,0,0,3.0,106,75,31,7,9,0,
Marques Colston,26,NOR,WR,16,14,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
Alge Crumpler,32,TEN,TE,16,14,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Elvis Dumervil,25,DEN,ROLB,16,14,0,0,0,0,3,4,0,1,0,0,17.0,49,42,7,14,21,0,"PB,AP-1,AP DPoY-3"
Ron Edwards,30,KAN,NT,16,14,0,0,0,0,3,0,0,1,0,0,0.0,29,24,5,3,3,0,
William Gay,24,PIT,RCB,16,14,0,0,0,0,10,1,0,0,0,0,1.0,78,70,8,4,2,0,
Adam Goldberg,29,STL,RT,16,14,0,0,0,0,0,0,0,1,5,0,0.0,1,1,0,0,0,0,
Daniel Graham,31,DEN,TE,16,14,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
Kelly Gregg,33,BAL,NT,16,14,0,0,0,0,0,0,0,0,0,0,3.0,63,46,17,7,5,0,
Clark Haggans,32,ARI,ROLB,16,14,0,0,0,0,1,2,0,0,0,0,5.0,74,57,17,5,10,0,
A.J. Hawk,25,GNB,LILB,16,14,2,42,0,29,2,1,0,0,0,0,1.0,88,66,22,9,2,0,
Tyson Jackson,23,KAN,LDE,16,14,0,0,0,0,2,0,0,0,0,0,0.0,37,26,11,1,2,0,
Le'Ron McClain,25,BAL,FB,16,14,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,"PB,AP-2"
