Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Shayne Graham,CIN,32,K,16,0,,,11,10,10,8,3,3,4,2,28,23,53,82.1%,29,28,96.6%,69,4308,8,11.6%,62.4
Jason Hanson,DET,39,K,16,0,,,5,5,9,8,10,7,4,1,28,21,50,75.0%,25,25,100.0%,63,3926,4,6.3%,62.3
John Kasay,CAR,40,K,16,0,,,7,7,10,9,6,5,4,1,27,22,50,81.5%,32,31,96.9%,,,,,
Olindo Mare,SEA,36,K,16,0,,,9,9,11,10,6,5,,,26,24,47,92.3%,28,28,100.0%,69,4661,22,31.9%,67.6
Shaun Suisham,2TM,28,K,14,0,,,10,9,7,5,6,6,1,,24,20,48,83.3%,26,25,96.2%,52,3058,5,9.6%,58.8
Josh Brown,STL,30,K,16,0,,,5,5,5,4,7,4,7,6,24,19,55,79.2%,16,16,100.0%,52,3379,8,15.4%,65.0
Billy Cundiff,2TM,29,K,12,0,1,1,9,9,8,5,3,3,2,,23,18,46,78.3%,23,23,100.0%,54,3379,3,5.6%,62.6
Joe Nedney,SFO,36,K,14,0,,,4,4,8,7,6,4,3,2,21,17,51,81.0%,33,33,100.0%,63,4127,5,7.9%,65.5
Jason Elam,ATL,39,K,11,0,,,4,4,8,4,5,3,2,1,19,12,50,63.2%,33,32,97.0%,,,,,
Phil Dawson,CLE,34,K,11,0,,,7,7,5,5,6,5,1,,19,17,49,89.5%,19,18,94.7%,49,2871,4,8.2%,58.6
Connor Barth,TAM,23,K,9,0,,,2,2,6,4,7,5,4,3,19,14,54,73.7%,12,12,100.0%,36,2309,6,16.7%,64.1
John Carney,NOR,45,K,11,0,,,6,6,8,5,3,2,,,17,13,46,76.5%,52,50,96.2%,,,,,
Neil Rackers,ARI,33,K,14,0,,,4,4,6,6,7,6,,,17,16,48,94.1%,38,37,97.4%,65,4118,14,21.5%,63.4
Stephen Hauschka,BAL,24,K,9,0,,,1,1,7,5,5,3,,,13,9,44,69.2%,28,27,96.4%,46,2969,3,6.5%,64.5
Matt Stover,IND,41,K,10,0,,,2,2,6,5,2,2,1,,11,9,43,81.8%,33,33,100.0%,,,,,
Garrett Hartley,NOR,23,K,5,0,1,1,3,3,6,5,,,1,,11,9,38,81.8%,11,10,90.9%,3,183,1,33.3%,61.0
Matt Bryant,ATL,34,K,5,0,,,2,2,4,4,2,,2,1,10,7,51,70.0%,10,10,100.0%,,,,,
Adam Vinatieri,IND,37,K,6,0,1,1,3,3,2,1,2,2,1,,9,7,48,77.8%,18,17,94.4%,,,,,
Mike Nugent,2TM,27,K,6,0,1,1,1,1,2,1,4,1,,,8,4,48,50.0%,14,14,100.0%,23,1359,1,4.3%,59.1
Graham Gano,WAS,22,K,4,0,,,2,2,,,2,2,,,4,4,46,100.0%,7,6,85.7%,15,986,3,20.0%,65.7
Ricky Schmitt,SFO,24,K,1,0,,,1,,2,2,,,,,3,2,39,66.7%,2,2,100.0%,5,325,1,20.0%,65.0
Shane Andrus,3TM,29,K,5,0,,,,,,,1,,,,1,,,0.0%,10,10,100.0%,17,1041,2,11.8%,61.2
Thomas Morstead,NOR,23,P,16,0,,,,,,,,,,,,,,,,,,101,6733,27,26.7%,66.7
Pat McAfee,IND,22,P,16,0,,,,,,,,,,,,,,,,,,80,5468,21,26.3%,68.4
Michael Koenen,ATL,27,P,16,0,,,,,,,,,,,,,,,,,,73,4874,28,38.4%,66.8
Rhys Lloyd,CAR,27,K,16,0,,,,,,,,,,,,,,,,,,72,4768,21,29.2%,66.2
Kroy Biermann,ATL,24,LB,16,2,,,,,,,,,,,,,,,,,,3,179,,,59.7
Brandon Fields,MIA,25,P,16,0,,,,,,,,,,,,,,,,,,3,27,,,9.0
Jeremy Kapinos,GNB,25,P,16,0,,,,,,,,,,,,,,,,,,3,183,,,61.0
Dustin Colquitt,KAN,27,P,16,0,,,,,,,,,,,,,,,,,,1,64,,,64.0
Ben Graham,ARI,36,P,16,0,,,,,,,,,,,,,,,,,,1,56,,,56.0
Nick Harris,DET,31,P,16,0,,,,,,,,,,,,,,,,,,1,54,,,54.0
Dirk Johnson,TAM,34,P,11,0,,,,,,,,,,,,,,,,,,1,30,,,30.0
Donnie Jones,STL,29,P,16,0,,,,,,,,,,,,,,,,,,1,63,,,63.0
Shane Lechler*+,OAK,33,P,16,0,,,,,,,,,,,,,,,,,,1,75,,,75.0
Brian Moorman,BUF,33,P,16,0,,,,,,,,,,,,,,,,,,1,68,,,68.0
Glenn Pakulak,WAS,29,P,2,0,,,,,,,,,,,,,,,,,,1,67,,,67.0
Adam Podlesh,JAX,26,P,16,0,,,,,,,,,,,,,,,,,,1,47,,,47.0
