Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Cam Little,JAX,21,K,14,0,,,7,7,6,6,7,6,4,3,24,22,59,91.7%,21,21,100.0%,61,3893,53,86.9%,63.8
Jake Bates,DET,25,K,14,0,,,3,3,8,8,6,5,6,5,23,21,58,91.3%,55,54,98.2%,90,5765,72,80.0%,64.1
Eddy Piñeiro,CAR,29,K,14,0,,,6,6,8,7,8,6,1,1,23,20,53,87.0%,24,23,95.8%,56,3480,23,41.1%,62.1
Evan McPherson,CIN,25,K,12,0,,,6,6,4,4,5,3,7,3,22,16,56,72.7%,38,37,97.4%,70,4353,54,77.1%,62.2
Nick Folk,TEN,40,K,14,0,,,5,5,2,2,9,8,6,6,22,21,56,95.5%,25,25,100.0%,58,3666,37,63.8%,63.2
Cairo Santos,CHI,33,K,14,0,,,4,4,3,3,7,4,8,7,22,18,54,81.8%,21,20,95.2%,62,3861,35,56.5%,62.3
Harrison Butker,KAN,29,K,10,0,1,1,7,6,6,6,3,3,4,2,21,18,53,85.7%,25,24,96.0%,49,3143,39,79.6%,64.1
Will Reichard,MIN,23,K,10,0,,,3,3,6,5,5,4,6,5,20,17,58,85.0%,32,32,100.0%,59,3825,52,88.1%,64.8
Greg Joseph,2TM,30,,7,0,,,4,4,5,5,8,5,2,1,19,15,52,78.9%,8,8,100.0%,32,2076,23,71.9%,64.9
Brayden Narveson,GNB,25,K,6,0,,,4,4,4,3,9,5,,,17,12,47,70.6%,16,16,100.0%,33,2118,17,51.5%,64.2
Brandon McManus,GNB,33,K,8,0,,,4,4,7,7,3,2,1,1,15,14,51,93.3%,23,23,100.0%,43,2717,21,48.8%,63.2
Greg Zuerlein,NYJ,37,K,8,0,,,4,4,6,4,4,1,1,,15,9,40,60.0%,14,13,92.9%,33,2119,28,84.8%,64.2
Anders Carlson,2TM,26,,6,0,,,2,2,2,2,6,5,3,3,13,12,58,92.3%,14,12,85.7%,34,2123,13,38.2%,62.4
John Parker Romo,MIN,27,K,4,0,,,3,3,3,3,5,4,1,1,12,11,55,91.7%,8,7,87.5%,23,1488,19,82.6%,64.7
Matthew Wright,2TM,28,,3,0,,,2,2,5,5,3,3,2,1,12,11,50,91.7%,5,5,100.0%,14,881,2,14.3%,62.9
Graham Gano,NYG,37,K,7,0,,,1,1,1,,5,4,1,1,8,6,50,75.0%,7,7,100.0%,21,1349,13,61.9%,64.2
Matt Prater,ARI,40,K,4,0,,,1,1,1,1,3,3,1,1,6,6,57,100.0%,10,10,100.0%,20,1248,17,85.0%,62.4
Zane Gonzalez,WAS,29,K,3,0,,,,,,,4,3,1,,5,3,48,60.0%,10,10,100.0%,17,1010,3,17.6%,59.4
Cade York,2TM,23,,3,0,,,2,2,1,1,1,,1,,5,3,37,60.0%,10,9,90.0%,17,1043,13,76.5%,61.4
Spencer Shrader,3TM,25,,4,0,,,2,2,1,1,2,2,,,5,5,45,100.0%,9,9,100.0%,18,1170,17,94.4%,65.0
Jude McAtamney,NYG,24,K,1,0,,,,,1,1,,,,,1,1,31,100.0%,1,1,100.0%,5,325,4,80.0%,65.0
Mitch Wishnowsky,SFO,32,P,9,0,,,1,1,,,,,,,1,1,26,100.0%,,,,3,77,,,25.7
Riley Patterson,2TM,25,,2,0,,,,,,,,,,,,,,,4,4,100.0%,6,385,2,33.3%,64.2
Jamie Gillan,NYG,27,P,10,0,,,,,,,,,,,,,,,1,,0.0%,3,155,2,66.7%,51.7
Braden Mann,PHI,27,P,14,0,,,,,,,,,,,,,,,,,,76,4942,56,73.7%,65.0
Ethan Evans,LAR,23,P,13,0,,,,,,,,,,,,,,,,,,64,4107,56,87.5%,64.2
Bradley Pinion,ATL,30,P,14,0,,,,,,,,,,,,,,,,,,54,3486,39,72.2%,64.6
Trenton Gill,TAM,25,P,8,0,,,,,,,,,,,,,,,,,,46,2936,38,82.6%,63.8
Jake Camarda,TAM,25,P,4,0,,,,,,,,,,,,,,,,,,24,1549,18,75.0%,64.5
Jack Browning,TAM,23,P,2,0,,,,,,,,,,,,,,,,,,14,887,5,35.7%,63.4
Justin Reid,KAN,27,S,14,14,,,,,,,,,,,,,,,,,,9,556,1,11.1%,61.8
Johnny Hekker,CAR,34,P,14,0,,,,,,,,,,,,,,,,,,4,184,,,46.0
Jordan Stout,BAL,26,P,14,0,,,,,,,,,,,,,,,,,,2,130,2,100.0%,65.0
Jake Bailey,MIA,27,P,14,0,,,,,,,,,,,,,,,,,,1,,,,
Logan Cooke,JAX,29,P,14,0,,,,,,,,,,,,,,,,,,1,22,,,22.0
Matthew Hayball,NOR,27,P,14,0,,,,,,,,,,,,,,,,,,1,3,,,3.0
Rigoberto Sanchez,IND,30,P,14,0,,,,,,,,,,,,,,,,,,1,10,,,10.0
Daniel Whelan,GNB,25,P,14,0,,,,,,,,,,,,,,,,,,1,12,,,12.0
Ryan Wright,MIN,24,P,14,0,,,,,,,,,,,,,,,,,,1,13,,,13.0
