Player,Age,Team,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards
Mel Carver,24,TAM,16,9,114,348,0,16,3.1,21.8,7.1,6,
Tony Galbreath,29,MIN,13,7,113,474,4,52,4.2,36.5,8.7,4,
Walter Abercrombie,24,PIT,15,13,112,446,4,50,4.0,29.7,7.5,2,
Frank Hawkins,24,RAI,16,2,110,526,6,32,4.8,32.9,6.9,2,
Mosi Tatupu,28,NWE,16,1,106,578,4,55,5.5,36.1,6.6,1,
Boyce Green,23,CLE,13,2,104,497,3,29,4.8,38.2,8.0,4,
Michael Williams,22,PHI,15,9,103,385,0,32,3.7,25.7,6.9,1,
Gerald Riggs,23,ATL,14,0,100,437,8,40,4.4,31.2,7.1,7,
James Owens,28,TAM,12,5,96,266,5,15,2.8,22.2,8.0,0,
Mark van Eeghen,31,NWE,15,11,95,358,2,11,3.8,23.9,6.3,1,
Michael Haddix,22,PHI,14,8,91,220,2,11,2.4,15.7,6.5,4,
Eddie Lee Ivery,26,GNB,8,8,86,340,2,21,4.0,42.5,10.8,1,
David Overstreet,25,MIA,14,0,85,392,1,44,4.6,28.0,6.1,2,
David Hughes,24,SEA,16,6,83,313,1,26,3.8,19.6,5.2,2,
Kenny King,26,RAI,15,15,82,294,1,16,3.6,19.6,5.5,1,
Hokie Gajan,24,NOR,16,12,81,415,4,58,5.1,25.9,5.1,3,
Nathan Poole,27,DEN,16,10,81,246,4,19,3.0,15.4,5.1,1,
Cliff Stoudt,28,PIT,16,15,77,479,4,23,6.2,29.9,4.8,10,
Wayne Morris,29,STL,15,11,75,257,2,17,3.4,17.1,5.0,2,
Barry Redden,23,RAM,15,0,75,372,2,40,5.0,24.8,5.0,2,
Robert Weathers,23,NWE,15,4,73,418,1,77,5.7,27.9,4.9,4,
Jessie Clark,23,GNB,16,0,71,328,0,42,4.6,20.5,4.4,2,
Stump Mitchell,24,STL,15,1,68,373,3,46,5.5,24.9,4.5,5,
Larry Moriarty,25,HOU,16,8,65,321,3,80,4.9,20.1,4.1,1,
Bill Ring,27,SFO,16,5,64,254,2,25,4.0,15.9,4.0,1,
Joe Montana,27,SFO,16,16,61,284,2,18,4.7,17.8,3.8,3,"PB,AP MVP-5,AP OPoY-5"
Booker Moore,24,BUF,15,11,60,275,0,21,4.6,18.3,4.0,1,
Roosevelt Leaks,30,BUF,12,4,58,157,1,12,2.7,13.1,4.8,0,
Dexter Bussey,31,DET,15,3,57,249,0,26,4.4,16.6,3.8,1,
Alvin Moore,24,BAL,15,0,57,205,1,13,3.6,13.7,3.8,0,
Dave Preston,28,DEN,14,3,57,222,1,28,3.9,15.9,4.1,0,
Stanley Wilson,22,CIN,10,2,56,267,1,18,4.8,26.7,5.6,4,
Donnie Craft,24,HOU,15,2,55,147,0,8,2.7,9.8,3.7,0,
Jim McMahon,24,CHI,14,13,55,307,2,32,5.6,21.9,3.9,4,
Mike Meade,23,GNB,16,6,55,201,1,15,3.7,12.6,3.4,2,
Mike Pagel,23,BAL,15,15,54,441,0,33,8.2,29.4,3.6,4,
Bruce Harper,28,NYJ,9,2,51,354,1,78,6.9,39.3,5.7,1,
Harlan Huckleby,26,GNB,16,2,50,182,4,20,3.6,11.4,3.1,4,
Woody Bennett,28,MIA,16,2,49,197,2,25,4.0,12.3,3.1,1,
Timmy Newsome,25,DAL,16,0,44,185,2,20,4.2,11.6,2.8,0,
Jewerl Thomas,26,KAN,10,1,44,115,0,11,2.6,11.5,4.4,4,
Gerald Willhite,24,DEN,8,0,43,188,3,24,4.4,23.5,5.4,0,
Eric Hipple,26,DET,16,16,41,171,3,27,4.2,10.7,2.6,12,
Dan Doornink,27,SEA,16,0,40,99,2,9,2.5,6.2,2.5,1,
Vince Thompson,26,DET,10,2,40,138,1,10,3.5,13.8,4.0,1,
Larry Kinnebrew,24,CIN,16,0,39,156,3,17,4.0,9.8,2.4,3,
Rickey Young,30,MIN,16,4,39,90,2,9,2.3,5.6,2.4,0,
Joe Theismann,34,WAS,16,16,37,234,1,22,6.3,14.6,2.3,1,"PB,AP-1,AP MVP-1,AP OPoY-1"
Randy Love,27,STL,16,1,35,103,2,16,2.9,6.4,2.2,4,
Joe Morris,23,NYG,15,0,35,145,0,16,4.1,9.7,2.3,2,
Richard Todd,30,NYJ,16,16,35,101,0,17,2.9,6.3,2.2,5,
Rick Parros,25,DEN,6,5,30,96,1,13,3.2,16.0,5.0,3,
Jim Zorn,30,SEA,16,8,30,71,1,18,2.4,4.4,1.9,4,
Wilbert Montgomery,29,PHI,5,1,29,139,0,32,4.8,27.8,5.8,1,
Turk Schonert,26,CIN,9,3,29,117,2,15,4.0,13.0,3.2,6,
Scott Dierking,28,NYJ,16,1,28,113,3,31,4.0,7.1,1.8,0,
John Elway,23,DEN,11,10,28,146,1,23,5.2,13.3,2.5,6,
Dan Marino,22,MIA,11,9,28,45,2,15,1.6,4.1,2.5,5,"PB,AP-2,AP MVP-3,AP OPoY-3,AP ORoY-2"
Newton Williams,24,BAL,16,0,28,77,0,13,2.8,4.8,1.8,0,
Cullen Bryant,32,SEA,10,3,27,87,0,9,3.2,8.7,2.7,0,
Neil Lomax,24,STL,13,13,27,127,2,35,4.7,9.8,2.1,9,
Scott Brunner,26,NYG,16,12,26,64,0,12,2.5,4.0,1.6,8,
Jim Plunkett,36,RAI,14,13,26,78,0,20,3.0,5.6,1.9,7,
Greg Pruitt,32,RAI,16,0,26,154,2,18,5.9,9.6,1.6,10,PB
Jimmy Rogers,28,NOR,16,0,26,80,0,13,3.1,5.0,1.6,2,
Brian Sipe,34,CLE,15,14,26,56,0,9,2.2,3.7,1.7,6,
Jack Thompson,27,TAM,14,13,26,27,0,10,1.0,1.9,1.9,10,
Ron Jaworski,32,PHI,16,16,25,129,1,29,5.2,8.1,1.6,11,
Rodney Tate,24,CIN,12,8,25,77,0,13,3.1,6.4,2.1,3,
Otis Wonsley,26,WAS,16,0,25,88,0,9,3.5,5.5,1.6,0,
Sherman Smith,29,SDG,13,2,24,91,0,20,3.8,7.0,1.8,2,
Steve Grogan,30,NWE,12,12,23,108,2,17,4.7,9.0,1.9,4,
Perry Harrington,25,PHI,15,1,23,98,1,35,4.3,6.5,1.5,1,
Bill Kenney,28,KAN,16,16,23,59,3,11,2.6,3.7,1.4,7,PB
Ken Anderson,34,CIN,13,13,22,147,1,29,6.7,11.3,1.7,4,
Vince Evans,28,CHI,9,3,22,142,1,27,6.5,15.8,2.4,4,
Vince Ferragamo,29,RAM,16,16,22,17,0,8,0.8,1.1,1.4,8,
Lynn Dickey,34,GNB,16,16,21,12,3,4,0.6,0.8,1.3,9,"AP MVP-5,AP OPoY-6"
Lawrence Ricks,22,KAN,12,0,21,28,0,10,1.3,2.3,1.8,1,
Joe Ferguson,33,BUF,16,16,20,88,0,19,4.4,5.5,1.3,3,
Lynn Cain,28,ATL,16,0,19,63,1,10,3.3,3.9,1.2,1,
Tony Eason,24,NWE,16,4,19,39,0,12,2.1,2.4,1.2,5,
Dwight Walker,24,CLE,16,0,19,100,0,15,5.3,6.3,1.2,1,
David Woodley,25,MIA,5,5,19,78,0,15,4.1,15.6,3.8,4,
Mike Augustyniak,27,NYJ,8,2,18,50,2,6,2.8,6.3,2.3,0,
Danny White,31,DAL,16,16,18,31,4,22,1.7,1.9,1.1,10,
Oliver Luck,23,HOU,7,6,17,55,0,17,3.2,7.9,2.4,5,
John Tuggle,22,NYG,16,5,17,49,1,7,2.9,3.1,1.1,0,
Steve Bartkowski,31,ATL,14,14,16,38,1,10,2.4,2.7,1.1,7,
Steve Dils,28,MIN,16,12,16,28,0,8,1.8,1.8,1.0,13,
Stan Edwards,23,HOU,14,1,16,40,0,9,2.5,2.9,1.1,0,
Reggie Evans,24,WAS,15,0,16,11,4,5,0.7,0.7,1.1,0,
Dennis Gentry,24,CHI,15,0,16,65,0,17,4.1,4.3,1.1,1,
Johnny Hector,23,NYJ,10,1,16,85,0,42,5.3,8.5,1.6,2,
Dave Krieg,25,SEA,9,8,16,55,2,10,3.4,6.1,1.8,10,
Marion Barber Jr.,24,NYJ,14,5,15,77,1,13,5.1,5.5,1.1,0,
Billy Johnson,31,ATL,16,1,15,83,0,36,5.5,5.2,0.9,4,"PB,AP-2"
Jeff Moore,27,SFO,15,0,15,43,1,14,2.9,2.9,1.0,0,
Ken Thomas,23,KAN,14,0,15,55,0,28,3.7,3.9,1.1,2,
Nick Giaquinto,28,WAS,16,0,14,53,1,11,3.8,3.3,0.9,0,
Johnny Davis,27,CLE,16,3,13,42,0,16,3.2,2.6,0.8,0,
Steve DeBerg,29,DEN,10,5,13,28,1,11,2.2,2.8,1.3,5,
Michael Morton,23,TAM,16,0,13,28,0,5,2.2,1.8,0.8,5,
Marc Wilson,26,RAI,10,3,13,122,0,23,9.4,12.2,1.3,4,
Dan Fouts,32,SDG,10,10,12,-5,1,3,-0.4,-0.5,1.2,5,PB
Earnest Jackson,24,SDG,12,0,11,39,0,6,3.5,3.3,0.9,1,
Carl Monroe,23,SFO,5,0,10,23,0,5,2.3,4.6,2.0,0,
Jarvis Redwine,26,MIN,16,1,10,48,0,21,4.8,3.0,0.6,1,
James Lofton,27,GNB,16,16,9,36,0,13,4.0,2.3,0.6,0,"PB,AP-2"
Ed Luther,26,SDG,16,6,9,-14,0,8,-1.6,-0.9,0.6,6,
Robert Newhouse,33,DAL,16,0,9,34,0,8,3.8,2.1,0.6,3,
Ken Stabler,38,NOR,14,14,9,-14,0,,-1.6,-1.0,0.6,4,
Zachary Dixon,27,2TM,15,0,9,32,0,7,3.6,2.1,0.6,1,
Zachary Dixon,27,BAL,2,0,5,14,0,7,2.8,7.0,2.5,0,
Zachary Dixon,27,SEA,13,0,4,18,0,6,4.5,1.4,0.3,1,
Tommy Kramer,28,MIN,3,3,8,3,0,8,0.4,1.0,2.7,2,
Jesse Myles,23,DEN,16,0,8,52,0,16,6.5,3.3,0.5,0,
Gifford Nielsen,29,HOU,7,7,8,43,0,20,5.4,6.1,1.1,6,
Calvin Thomas,23,CHI,13,0,8,25,0,9,3.1,1.9,0.6,0,
Tim Wilson,29,NOR,6,0,8,21,0,7,2.6,3.5,1.3,0,
Robert Alexander,25,RAM,15,0,7,28,0,15,4.0,1.9,0.5,2,
Adger Armstrong,26,TAM,11,5,7,30,0,7,4.3,2.7,0.6,0,
Earl Ferrell,25,STL,16,0,7,53,1,21,7.6,3.3,0.4,2,
Mike Guman,25,RAM,16,13,7,42,0,11,6.0,2.6,0.4,0,
Jeff Rutledge,26,NYG,4,4,7,27,0,14,3.9,6.8,1.8,6,
Rick Berns,27,RAI,16,0,6,22,0,13,3.7,1.4,0.4,0,
Gary Danielson,32,DET,10,0,6,8,0,8,1.3,0.8,0.6,2,
Gary Hogeboom,25,DAL,6,0,6,-10,0,-1,-1.7,-1.7,1.0,0,
Anthony Hutchison,22,CHI,16,0,6,13,1,5,2.2,0.8,0.4,1,
Don Strock,33,MIA,15,2,6,-16,0,,-2.7,-1.1,0.4,0,
Rick Upchurch,31,DEN,12,11,6,19,0,9,3.2,1.6,0.5,0,
Major Everett,23,PHI,16,0,5,7,0,7,1.4,0.4,0.3,0,
Jerry Golsteyn,29,TAM,5,3,5,3,0,2,0.6,0.6,1.0,3,
Jim Hart,39,STL,5,3,5,12,0,13,2.4,2.4,1.0,5,
Greg Hawthorne,27,PIT,10,4,5,47,0,20,9.4,4.7,0.5,0,
Kenny Lewis,26,NYJ,7,0,5,25,0,7,5.0,3.6,0.7,0,
Emery Moorehead,29,CHI,16,15,5,6,0,5,1.2,0.4,0.3,0,
Herkie Walls,22,HOU,16,3,5,44,0,14,8.8,2.8,0.3,0,
Chester Willis,25,RAI,13,0,5,0,0,,0.0,0.0,0.4,1,
Dave Wilson,24,NOR,8,2,5,3,1,5,0.6,0.4,0.6,5,
Cliff Austin,23,NOR,11,0,4,16,0,5,4.0,1.5,0.4,0,
Charlie Brown,25,WAS,15,13,4,53,0,17,13.3,3.5,0.3,0,PB
Willie Gault,23,CHI,16,13,4,31,0,22,7.8,1.9,0.3,1,
Roy Green,26,STL,16,15,4,49,0,25,12.3,3.1,0.3,3,"PB,AP-1"
James Hadnot,26,KAN,5,0,4,10,0,7,2.5,2.0,0.8,0,
Willard Harrell,31,STL,14,0,4,13,0,8,3.3,0.9,0.3,1,
Bob Holly,23,WAS,5,0,4,13,0,13,3.3,2.6,0.8,2,
Lam Jones,25,NYJ,14,6,4,10,0,9,2.5,0.7,0.3,2,
Rick Kane,29,DET,14,0,4,19,0,9,4.8,1.4,0.3,0,
Matt Kofler,24,BUF,16,0,4,25,0,11,6.3,1.6,0.3,0,
Gary Kubiak,22,DEN,4,1,4,17,1,8,4.3,4.3,1.0,0,
Gary Lewis,25,GNB,16,2,4,16,1,11,4.0,1.0,0.3,0,
Robb Riddick,26,BUF,16,0,4,18,0,12,4.5,1.1,0.3,7,
Pat Ryan,28,NYJ,16,0,4,23,0,25,5.8,1.4,0.3,2,
Leonard Thompson,31,DET,13,12,4,72,1,40,18.0,5.5,0.3,2,
Curtis Brown,29,HOU,2,0,3,0,1,,0.0,0.0,1.5,0,
Dwight Clark,26,SFO,16,13,3,18,0,9,6.0,1.1,0.2,0,
Henry Ellard,22,RAM,12,0,3,7,0,12,2.3,0.6,0.3,2,
Harry Holt,26,CLE,15,11,3,8,0,4,2.7,0.5,0.2,1,
Jeff Kemp,24,RAM,4,0,3,-2,0,,-0.7,-0.5,0.8,2,
Horace King,30,DET,16,1,3,6,0,4,2.0,0.4,0.2,0,
Eric Lane,24,SEA,16,0,3,1,0,7,0.3,0.1,0.2,2,
Paul McDonald,25,CLE,16,2,3,17,0,10,5.7,1.1,0.2,1,
Art Monk,26,WAS,12,11,3,-19,0,2,-6.3,-1.6,0.3,0,
Joe Pisarcik,31,PHI,5,0,3,-1,0,,-0.3,-0.2,0.6,1,
Bo Robinson,27,ATL,12,9,3,9,0,7,3.0,0.8,0.3,1,
Steve Watson,26,DEN,16,16,3,17,0,10,5.7,1.1,0.2,1,
Van Williams,24,BUF,16,1,3,11,0,5,3.7,0.7,0.2,2,
Wade Wilson,24,MIN,1,1,3,-3,0,2,-1.0,-3.0,3.0,1,
Archie Manning,34,2TM,5,3,3,12,0,11,4.0,2.4,0.6,2,
Archie Manning,34,HOU,3,3,2,13,0,11,6.5,4.3,0.7,2,
Archie Manning,34,MIN,2,0,1,-1,0,-1,-1.0,-0.5,0.5,0,
Stacey Bailey,23,ATL,14,12,2,-5,0,,-2.5,-0.4,0.1,1,
Brian Baschnagel,29,CHI,16,4,2,2,0,2,1.0,0.1,0.1,1,
Mike Black,22,DET,16,0,2,-10,0,,-5.0,-0.6,0.1,1,
Billy Campfield,27,NYG,4,0,2,21,0,13,10.5,5.3,0.5,1,
Carlos Carson,25,KAN,16,16,2,20,0,18,10.0,1.3,0.1,2,PB
Wes Chandler,27,SDG,16,14,2,25,0,23,12.5,1.6,0.1,3,PB
Mark Clayton,22,MIA,14,0,2,9,0,9,4.5,0.6,0.1,3,
Cris Collinsworth,24,CIN,14,14,2,2,0,8,1.0,0.1,0.1,2,"PB,AP-2"
Kenny Duckett,24,NOR,14,1,2,-16,0,2,-8.0,-1.1,0.1,1,
Russell Erxleben,26,NOR,16,0,2,-9,0,1,-4.5,-0.6,0.1,0,
Alvin Garrett,27,WAS,15,6,2,0,0,,0.0,0.0,0.1,0,
Ralph Giacomarro,22,ATL,16,0,2,13,0,13,6.5,0.8,0.1,1,
Otis Grant,22,RAM,16,3,2,-10,0,1,-5.0,-0.6,0.1,1,
Ray Guy,34,RAI,16,0,2,-13,0,-3,-6.5,-0.8,0.1,0,
Tim Harris,22,PIT,14,0,2,15,0,10,7.5,1.1,0.1,2,
Jeff Hayes,24,WAS,16,0,2,63,0,48,31.5,3.9,0.1,0,
Eddie Hill,26,MIA,16,0,2,12,0,10,6.0,0.8,0.1,0,
Tony Hunter,23,BUF,13,3,2,28,0,24,14.0,2.2,0.2,1,
Paul Johns,25,SEA,11,9,2,12,0,26,6.0,1.1,0.2,1,
Jeff Komlo,27,TAM,2,0,2,11,0,11,5.5,5.5,1.0,2,
Terry LeCount,27,MIN,11,10,2,42,0,40,21.0,3.8,0.2,1,
Rusty Lisch,27,STL,4,0,2,9,0,5,4.5,2.3,0.5,1,
Mike Martin,23,CIN,10,0,2,21,0,15,10.5,2.1,0.2,2,
Terdell Middleton,28,TAM,7,0,2,4,0,2,2.0,0.6,0.3,0,
Cleo Montgomery,27,RAI,14,0,2,7,0,5,3.5,0.5,0.1,1,
Mike Moroski,26,ATL,16,2,2,12,0,7,6.0,0.8,0.1,2,
Henry Odom,24,PIT,16,0,2,7,0,4,3.5,0.4,0.1,2,
Tom Orosz,24,SFO,16,0,2,39,0,23,19.5,2.4,0.1,1,
Drew Pearson,32,DAL,14,13,2,13,0,10,6.5,0.9,0.1,1,
Mark Reed,24,BAL,1,0,2,27,0,18,13.5,27.0,2.0,0,
Tim Smith,26,HOU,16,16,2,16,0,9,8.0,1.0,0.1,1,
David Verser,25,CIN,13,0,2,31,0,29,15.5,2.4,0.2,0,
Rick Walker,28,WAS,16,16,2,10,0,11,5.0,0.6,0.1,0,
David Whitehurst,28,GNB,4,0,2,-4,0,,-2.0,-1.0,0.5,2,
Willis Adams,27,CLE,16,5,1,2,0,2,2.0,0.1,0.1,1,
Gary Allen,23,HOU,1,0,1,5,0,5,5.0,5.0,1.0,0,
Malcolm Barnwell,25,RAI,16,16,1,12,0,12,12.0,0.8,0.1,0,
Rocky Belk,23,CLE,10,0,1,-5,0,-5,-5.0,-0.5,0.1,0,
Guy Benjamin,28,SFO,4,0,1,1,0,1,1.0,0.3,0.3,1,
Todd Blackledge,22,KAN,4,0,1,0,0,,0.0,0.0,0.3,1,
Terry Bradshaw,35,PIT,1,1,1,3,0,3,3.0,3.0,1.0,0,
Cliff Branch,35,RAI,12,12,1,20,0,20,20.0,1.7,0.1,0,
Leon Bright,28,NYG,7,0,1,2,0,2,2.0,0.3,0.1,2,
John Cappelletti,31,SDG,1,0,1,5,0,5,5.0,5.0,1.0,0,
Gerald Carter,26,TAM,16,9,1,0,0,,0.0,0.0,0.1,3,
Matt Cavanaugh,27,SFO,5,0,1,8,0,8,8.0,1.6,0.2,0,
Jeff Christensen,23,CIN,1,0,1,-2,0,-2,-2.0,-2.0,1.0,0,
Greg Coleman,29,MIN,16,0,1,-9,0,-9,-9.0,-0.6,0.1,0,
Nolan Cromwell,28,RAM,16,16,1,0,0,,0.0,0.0,0.1,0,PB
Ron Crosby,28,NYJ,16,1,1,5,0,5,5.0,0.3,0.1,0,
Chris Dressel,22,HOU,16,14,1,3,0,3,3.0,0.2,0.1,0,
Floyd Eddings,25,NYG,9,6,1,3,0,3,3.0,0.3,0.1,0,
George Farmer,25,RAM,16,16,1,-9,0,-9,-9.0,-0.6,0.1,0,
Byron Franklin,25,BUF,15,5,1,3,0,3,3.0,0.2,0.1,0,
Eugene Goodlow,25,NOR,16,7,1,3,0,3,3.0,0.2,0.1,0,
Jeff Groth,26,NOR,16,14,1,15,0,15,15.0,0.9,0.1,3,
Dino Hall,28,CLE,16,0,1,2,0,2,2.0,0.1,0.1,0,
Bruce Hardy,27,MIA,15,8,1,2,0,2,2.0,0.1,0.1,0,
Duriel Harris,29,MIA,12,3,1,0,0,,0.0,0.0,0.1,0,
Mark Herrmann,24,BAL,2,1,1,0,0,,0.0,0.0,0.5,2,
Tony Hill,27,DAL,12,9,1,2,0,2,2.0,0.2,0.1,1,
Kevin House,26,TAM,16,16,1,-4,0,-4,-4.0,-0.3,0.1,0,
David Humm,31,RAI,6,0,1,-1,0,-1,-1.0,-0.2,0.2,0,
John James,34,HOU,16,0,1,0,0,,0.0,0.0,0.1,0,
Derrick Jensen,27,RAI,16,0,1,5,0,5,5.0,0.3,0.1,1,
Butch Johnson,29,DAL,16,5,1,0,0,,0.0,0.0,0.1,0,
Bobby Jones,28,CLE,15,11,1,19,0,19,19.0,1.3,0.1,0,
Mike Jones,23,MIN,16,0,1,9,0,9,9.0,0.6,0.1,0,
Mike Kerrigan,23,NWE,1,0,1,14,0,14,14.0,14.0,1.0,0,
Barry Krauss,26,BAL,16,16,1,-1,0,-1,-1.0,-0.1,0.1,0,
Steve Kreider,25,CIN,16,2,1,2,0,2,2.0,0.1,0.1,0,
Leo Lewis,27,MIN,14,4,1,2,0,2,2.0,0.1,0.1,0,
Ken Margerum,25,CHI,15,9,1,7,0,7,7.0,0.5,0.1,1,
Bruce Mathison,24,SDG,1,0,1,0,0,,0.0,0.0,1.0,1,
Guido Merkens,28,NOR,16,0,1,16,0,16,16.0,1.0,0.1,0,
Junior Miller,26,ATL,15,6,1,2,0,2,2.0,0.1,0.1,1,
Mike Miller,24,NYG,13,0,1,2,0,2,2.0,0.2,0.1,0,
Stanley Morgan,28,NWE,16,16,1,13,0,13,13.0,0.8,0.1,5,
Mark Nichols,24,DET,16,12,1,13,0,13,13.0,0.8,0.1,2,
Bob Parsons,33,CHI,14,0,1,27,0,27,27.0,1.9,0.1,0,
Dan Pastorini,34,PHI,3,0,1,0,0,,0.0,0.0,0.3,1,
Benny Perrin,24,STL,16,16,1,0,0,,0.0,0.0,0.1,0,
Luke Prestridge,27,DEN,16,0,1,7,0,7,7.0,0.4,0.1,0,
Eason Ramson,27,SFO,16,4,1,3,0,3,3.0,0.2,0.1,2,
Mike Renfro,28,HOU,9,7,1,3,0,3,3.0,0.3,0.1,1,
Max Runager,27,PHI,12,0,1,6,0,6,6.0,0.5,0.1,0,
Willie Scott,24,KAN,16,16,1,1,0,1,1.0,0.1,0.1,0,
Luis Sharpe,23,STL,16,16,1,11,0,11,11.0,0.7,0.1,0,
Eric Sievers,26,SDG,16,8,1,-7,0,-7,-7.0,-0.4,0.1,0,
Freddie Solomon,30,SFO,13,11,1,3,0,3,3.0,0.2,0.1,1,
Rohn Stark,24,BAL,16,0,1,8,0,8,8.0,0.5,0.1,0,AP-1
Calvin Sweeney,28,PIT,16,16,1,-2,0,-2,-2.0,-0.1,0.1,0,
Clarence Weathers,21,NWE,16,0,1,28,0,28,28.0,1.8,0.1,2,
Sammy White,29,MIN,11,10,1,7,0,7,7.0,0.6,0.1,0,
Richard Williams,23,ATL,14,0,1,5,0,5,5.0,0.4,0.1,1,
James Wright,27,DEN,6,6,1,-11,0,-11,-11.0,-1.8,0.2,2,
Dave Ahrens,25,STL,16,5,0,0,0,,,0.0,0.0,0,
Walt Arnold,25,HOU,13,0,0,0,0,,,0.0,0.0,0,
Mike Barber,30,RAM,16,16,0,0,0,,,0.0,0.0,1,
Jerome Barkum,33,NYJ,15,13,0,0,0,,,0.0,0.0,2,
Buster Barnett,25,BUF,15,1,0,0,0,,,0.0,0.0,0,
Pat Beach,24,BAL,16,2,0,0,0,,,0.0,0.0,0,
Ed Beckman,28,KAN,15,7,0,0,0,,,0.0,0.0,1,
Jerry Bell,24,TAM,16,6,0,0,0,,,0.0,0.0,2,
Theo Bell,30,TAM,16,4,0,0,0,,,0.0,0.0,0,
Matt Bouza,24,BAL,11,11,0,0,0,,,0.0,0.0,1,
Mark Brammer,25,BUF,12,12,0,0,0,,,0.0,0.0,0,
Hoby Brenner,24,NOR,16,16,0,0,0,,,0.0,0.0,0,
Bob Bruer,30,MIN,16,9,0,0,0,,,0.0,0.0,0,
Steve Bryant,24,HOU,16,6,0,0,0,,,0.0,0.0,0,
Jerry Butler,26,BUF,9,9,0,0,0,,,0.0,0.0,1,
Ray Butler,27,BAL,11,7,0,0,0,,,0.0,0.0,0,
