Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Brock Purdy,25,SFO,QB,13,13,6-7-0,247,380,65.0,3174,15,3.9,9,2.4,145,47.8,76,8.4,8.08,12.9,244.2,94.3,65.3,26,124,6.40,7.51,7.25,1,1,
Kyler Murray,27,ARI,QB,14,14,7-7-0,294,426,69.0,3086,15,3.5,8,1.9,150,51.9,60,7.2,7.10,10.5,220.4,93.7,68.4,23,156,5.12,6.53,6.39,3,3,
Jayden Daniels,24,WAS,QB,14,14,9-5-0,277,393,70.5,3045,17,4.3,6,1.5,143,48.8,86,7.7,7.93,11.0,217.5,101.2,67.9,37,186,8.60,6.65,6.81,2,2,
Jordan Love,26,GNB,QB,12,12,8-4-0,226,355,63.7,2953,23,6.5,11,3.1,128,48.9,70,8.3,8.22,13.1,246.1,98.5,66.4,11,77,3.01,7.86,7.76,2,2,
Caleb Williams,23,CHI,QB,14,14,4-10-0,288,465,61.9,2937,17,3.7,5,1.1,139,40.9,47,6.3,6.56,10.2,209.8,87.7,48.2,58,402,11.09,4.85,5.07,1,0,
Jalen Hurts,26,PHI,QB,14,14,12-2-0,247,357,69.2,2892,18,5.0,5,1.4,138,46.8,67,8.1,8.48,11.7,206.6,104.5,65.5,38,271,9.62,6.64,6.98,3,4,
Tua Tagovailoa,26,MIA,QB,10,10,5-5-0,269,365,73.7,2652,18,4.9,7,1.9,148,51.8,80,7.3,7.39,9.9,265.2,102.2,61.3,21,154,5.44,6.47,6.59,2,2,
Derek Carr,33,NOR,QB,10,10,5-5-0,189,279,67.7,2145,15,5.4,5,1.8,93,45.3,71,7.7,7.96,11.3,214.5,101.0,64.2,8,48,2.79,7.31,7.57,0,1,
Jameis Winston,30,CLE,QB,12,7,2-5-0,181,296,61.1,2121,13,4.4,12,4.1,103,44.1,89,7.2,6.22,11.7,176.8,80.6,57.3,24,130,7.50,6.22,5.35,2,2,
Daniel Jones,27,NYG,QB,10,10,2-8-0,216,341,63.3,2070,8,2.3,7,2.1,106,43.0,43,6.1,5.62,9.6,207.0,79.4,48.0,29,172,7.84,5.13,4.71,0,0,
Trevor Lawrence,25,JAX,QB,10,10,2-8-0,172,284,60.6,2045,11,3.9,7,2.5,97,45.4,85,7.2,6.87,11.9,204.5,85.2,59.5,18,140,5.96,6.31,5.99,0,1,
Gardner Minshew II,28,LVR,QB,10,9,2-7-0,203,306,66.3,2013,9,2.9,10,3.3,106,44.2,57,6.6,5.70,9.9,201.3,81.0,37.8,29,164,8.66,5.52,4.71,1,1,
Dak Prescott,31,DAL,QB,8,8,3-5-0,185,286,64.7,1978,11,3.8,8,2.8,87,45.3,65,6.9,6.43,10.7,247.3,86.0,46.2,21,112,6.84,6.08,5.62,1,1,
Will Levis,25,TEN,QB,11,11,2-9-0,181,284,63.7,1916,12,4.2,12,4.2,80,36.4,98,6.7,5.69,10.6,174.2,79.8,30.2,40,225,12.35,5.22,4.29,1,1,
Russell Wilson,36,PIT,QB,8,8,6-2-0,152,235,64.7,1912,13,5.5,3,1.3,81,45.3,46,8.1,8.67,12.6,239.0,103.0,55.4,21,128,8.20,6.97,7.46,1,1,
Drake Maye,22,NWE,QB,10,9,2-7-0,191,279,68.5,1898,12,4.3,9,3.2,95,46.4,40,6.8,6.21,9.9,189.8,88.4,58.7,27,182,8.82,5.61,5.07,0,0,
Bryce Young,23,CAR,QB,11,9,2-7-0,177,296,59.8,1791,8,2.7,9,3.0,83,37.5,83,6.1,5.22,10.1,162.8,73.5,43.8,21,139,6.62,5.21,4.44,1,2,
Anthony Richardson,22,IND,QB,10,10,5-5-0,119,253,47.0,1683,7,2.8,11,4.3,67,35.3,69,6.7,5.25,14.1,168.3,60.1,46.2,13,107,4.89,5.92,4.59,2,3,
Cooper Rush,31,DAL,QB,10,6,3-3-0,146,245,59.6,1405,10,4.1,3,1.2,73,41.4,64,5.7,6.00,9.6,140.5,84.1,36.4,11,82,4.30,5.17,5.42,0,0,
Joe Flacco,39,IND,QB,6,4,1-3-0,113,170,66.5,1167,9,5.3,5,2.9,60,43.7,65,6.9,6.60,10.3,194.5,91.5,54.6,13,101,7.10,5.83,5.58,1,1,
Deshaun Watson,29,CLE,QB,7,7,1-6-0,137,216,63.4,1148,5,2.3,3,1.4,49,33.3,35,5.3,5.15,8.4,164.0,79.0,23.0,33,191,13.25,3.84,3.70,0,0,
Justin Fields,25,PIT,QB,10,6,4-2-0,106,161,65.8,1106,5,3.1,1,0.6,45,42.9,55,6.9,7.21,10.4,110.6,93.3,52.8,16,124,9.04,5.55,5.86,0,1,
Mac Jones,26,JAX,QB,7,4,1-3-0,111,169,65.7,1026,4,2.4,7,4.1,49,43.3,56,6.1,4.68,9.2,146.6,72.7,34.2,9,69,5.06,5.38,4.06,1,1,
Mason Rudolph,29,TEN,QB,5,3,1-2-0,97,154,63.0,1015,6,3.9,5,3.2,53,48.8,47,6.6,5.91,10.5,203.0,81.5,53.5,6,38,3.75,6.11,5.45,0,1,
Andy Dalton,37,CAR,QB,6,5,1-4-0,106,160,66.3,989,7,4.4,6,3.8,50,40.7,39,6.2,5.37,9.3,164.8,82.0,55.1,7,37,4.19,5.70,4.92,0,0,
Aidan O'Connell,26,LVR,QB,6,4,0-4-0,86,136,63.2,899,4,2.9,3,2.2,41,48.3,58,6.6,6.21,10.5,149.8,82.9,40.6,7,60,4.90,5.87,5.48,0,0,
Jacoby Brissett,32,NWE,QB,7,5,1-4-0,94,159,59.1,828,2,1.3,1,0.6,41,36.2,50,5.2,5.18,8.8,118.3,74.6,43.4,18,119,10.17,4.01,3.98,1,1,
Spencer Rattler,24,NOR,QB,4,3,0-3-0,69,120,57.5,706,2,1.7,2,1.7,31,32.1,41,5.9,5.47,10.2,176.5,73.1,41.3,14,73,10.45,4.72,4.35,0,0,
Desmond Ridder,25,LVR,QB,5,1,0-1-0,51,83,61.4,447,2,2.4,2,2.4,23,41.9,28,5.4,4.78,8.8,89.4,73.7,29.0,10,64,10.75,4.12,3.58,0,0,
Drew Lock,28,NYG,QB,5,2,0-2-0,46,90,51.1,414,0,0.0,2,2.2,20,32.3,23,4.6,3.60,9.0,82.8,54.6,45.4,9,67,9.09,3.51,2.60,0,0,
Malik Willis,25,GNB,QB,5,2,2-0-0,29,39,74.4,380,3,7.7,0,0.0,15,36.4,51,9.7,11.28,13.1,76.0,130.3,88.8,5,16,11.36,8.27,9.64,0,1,
Tyler Huntley,26,MIA,QB,3,3,1-2-0,39,66,59.1,377,1,1.5,1,1.5,19,34.2,25,5.7,5.33,9.7,125.7,73.9,23.1,7,45,9.59,4.55,4.21,1,1,
Tim Boyle,30,2TM,QB,3,0,,27,50,54.0,276,1,2.0,1,2.0,11,38.5,30,5.5,5.02,10.2,92.0,68.4,,2,11,3.85,5.10,4.62,0,0,
Tim Boyle,30,MIA,QB,2,0,,15,26,57.7,153,0,0.0,0,0.0,7,40.7,30,5.9,5.88,10.2,76.5,74.7,,1,9,3.70,5.33,5.33,0,0,
Tim Boyle,30,NYG,QB,1,0,,12,24,50.0,123,1,4.2,1,4.2,4,36.0,25,5.1,4.08,10.3,123.0,61.6,,1,2,4.00,4.84,3.84,0,0,
Tommy DeVito,26,NYG,QB,3,2,0-2-0,31,44,70.5,257,0,0.0,0,0.0,15,46.0,23,5.8,5.84,8.3,85.7,85.1,26.1,6,31,12.00,4.52,4.52,0,0,
Jake Haener,25,NOR,QB,8,1,0-1-0,18,39,46.2,226,1,2.6,1,2.6,10,31.1,36,5.8,5.15,12.6,28.3,62.6,13.7,6,55,13.33,3.80,3.24,0,0,
Marcus Mariota,31,WAS,QB,2,0,,19,26,73.1,203,2,7.7,0,0.0,12,48.1,25,7.8,9.35,10.7,101.5,121.2,58.9,1,4,3.70,7.37,8.85,0,0,
Brandon Allen,32,SFO,QB,3,1,0-1-0,17,30,56.7,199,1,3.3,2,6.7,8,37.5,31,6.6,4.30,11.7,66.3,60.3,34.7,2,2,6.25,6.16,3.97,0,0,
Skylar Thompson,27,MIA,QB,3,1,0-1-0,21,33,63.6,187,0,0.0,0,0.0,8,38.5,22,5.7,5.67,8.9,62.3,78.7,3.8,6,44,15.38,3.67,3.67,0,0,
Dorian Thompson-Robinson,25,CLE,QB,4,0,,15,34,44.1,100,0,0.0,3,8.8,4,25.7,16,2.9,-1.03,6.7,25.0,14.6,16.5,1,3,2.86,2.77,-1.09,0,0,
Davis Mills,26,HOU,QB,2,0,,7,13,53.8,79,0,0.0,0,0.0,4,28.6,25,6.1,6.08,11.3,39.5,72.3,89.3,1,7,7.14,5.14,5.14,0,0,
Hendon Hooker,26,DET,QB,3,0,,6,9,66.7,62,0,0.0,0,0.0,3,40.0,21,6.9,6.89,10.3,20.7,86.3,42.0,1,9,10.00,5.30,5.30,0,0,
Nick Mullens,29,MIN,QB,4,0,,2,2,100.0,38,0,0.0,0,0.0,2,100.0,24,19.0,19.00,19.0,9.5,118.7,97.7,0,0,0.00,19.00,19.00,0,0,
Michael Penix,24,ATL,QB,2,0,,3,5,60.0,38,0,0.0,0,0.0,3,50.0,20,7.6,7.60,12.7,19.0,83.7,94.9,1,0,16.67,6.33,6.33,0,0,
Tyrod Taylor,35,NYJ,QB,1,0,,6,8,75.0,36,1,12.5,0,0.0,3,75.0,9,4.5,7.00,6.0,36.0,122.9,95.8,0,0,0.00,4.50,7.00,0,0,
Jaxon Smith-Njigba,22,SEA,WR,14,13,,1,1,100.0,35,0,0.0,0,0.0,1,100.0,35,35.0,35.00,35.0,2.5,118.7,100.0,0,0,0.00,35.00,35.00,0,0,
AJ Cole III,29,LVR,P,14,0,,1,1,100.0,34,0,0.0,0,0.0,1,100.0,34,34.0,34.00,34.0,2.4,118.7,,0,0,0.00,34.00,34.00,0,0,
Courtland Sutton,29,DEN,WR,15,11,,2,2,100.0,30,1,50.0,0,0.0,2,100.0,28,15.0,25.00,15.0,2.0,158.3,100.0,0,0,0.00,15.00,25.00,0,0,
Taylor Heinicke,31,LAC,QB,3,0,,3,3,100.0,28,0,0.0,0,0.0,1,33.3,18,9.3,9.33,9.3,9.3,105.6,6.4,3,28,50.00,0.00,0.00,0,0,
Sam Howell,24,SEA,QB,2,0,,5,14,35.7,24,0,0.0,1,7.1,1,16.7,12,1.7,-1.50,4.8,12.0,14.6,3.3,4,21,22.22,0.17,-2.33,0,0,
Adonai Mitchell,22,IND,WR,14,7,,1,1,100.0,24,0,0.0,0,0.0,1,100.0,24,24.0,24.00,24.0,1.7,118.7,70.5,0,0,0.00,24.00,24.00,0,0,
Justin Jefferson,25,MIN,WR,14,14,,1,1,100.0,22,0,0.0,0,0.0,1,100.0,22,22.0,22.00,22.0,1.6,118.7,26.7,0,0,0.00,22.00,22.00,0,0,
Taysom Hill,34,NOR,TE,8,8,,2,4,50.0,21,0,0.0,1,25.0,1,25.0,18,5.3,-6.00,10.5,2.6,26.0,92.2,0,0,0.00,5.25,-6.00,0,0,
Trey Lance,24,DAL,QB,2,0,,4,6,66.7,21,0,0.0,1,16.7,1,25.0,10,3.5,-4.00,5.3,10.5,32.6,4.9,2,7,25.00,1.75,-3.88,0,0,
Cedrick Wilson Jr.,29,NOR,WR,12,1,,1,1,100.0,21,1,100.0,0,0.0,1,100.0,21,21.0,41.00,21.0,1.8,158.3,100.0,0,0,0.00,21.00,41.00,0,0,
Carson Wentz,32,KAN,QB,2,0,,2,2,100.0,20,0,0.0,0,0.0,1,100.0,12,10.0,10.00,10.0,10.0,108.3,36.3,0,0,0.00,10.00,10.00,0,0,
Kyle Allen,28,PIT,QB,1,0,,1,1,100.0,19,0,0.0,0,0.0,1,100.0,19,19.0,19.00,19.0,19.0,118.7,99.4,0,0,0.00,19.00,19.00,0,0,
Jack Fox,28,DET,P,14,0,,1,1,100.0,17,0,0.0,0,0.0,1,100.0,17,17.0,17.00,17.0,1.2,118.7,,0,0,0.00,17.00,17.00,0,0,
Stefon Diggs,31,HOU,WR,8,8,,1,1,100.0,13,0,0.0,0,0.0,1,100.0,13,13.0,13.00,13.0,1.6,118.7,14.9,0,0,0.00,13.00,13.00,0,0,
Tyson Bagent,24,CHI,QB,4,0,,2,2,100.0,11,0,0.0,0,0.0,1,50.0,6,5.5,5.50,5.5,2.8,89.6,52.4,0,0,0.00,5.50,5.50,0,0,
Mitchell Trubisky,30,BUF,QB,7,0,,3,4,75.0,9,0,0.0,0,0.0,0,,4,2.3,2.25,3.0,1.3,77.1,3.0,0,0,0.00,2.25,2.25,0,0,
Clayton Tune,25,ARI,QB,5,0,,2,2,100.0,8,0,0.0,0,0.0,0,50.0,7,4.0,4.00,4.0,1.6,83.3,0.3,0,0,0.00,4.00,4.00,0,0,
Amon-Ra St. Brown,25,DET,WR,14,14,,1,1,100.0,7,1,100.0,0,0.0,1,100.0,7,7.0,27.00,7.0,0.5,135.4,99.5,0,0,0.00,7.00,27.00,0,0,
Kenny Pickett,26,PHI,QB,3,0,,1,3,33.3,5,0,0.0,0,0.0,0,25.0,5,1.7,1.67,5.0,1.7,42.4,11.6,1,8,25.00,-0.75,-0.75,0,0,
Kyle Trask,26,TAM,QB,3,0,,1,1,100.0,5,0,0.0,0,0.0,0,100.0,5,5.0,5.00,5.0,1.7,87.5,90.0,0,0,0.00,5.00,5.00,0,0,
Bryan Anger,36,DAL,P,14,0,,1,2,50.0,4,0,0.0,0,0.0,0,,4,2.0,2.00,4.0,0.3,56.2,,0,0,0.00,2.00,2.00,0,0,
Riley Dixon,31,DEN,P,15,0,,1,1,100.0,3,0,0.0,0,0.0,0,,3,3.0,3.00,3.0,0.2,79.2,,0,0,0.00,3.00,3.00,0,0,
David Montgomery,27,DET,RB,14,14,,1,1,100.0,3,1,100.0,0,0.0,1,100.0,3,3.0,23.00,3.0,0.2,118.7,100.0,0,0,0.00,3.00,23.00,0,0,
JK Scott,29,LAC,P,15,0,,1,1,100.0,3,0,0.0,0,0.0,0,,3,3.0,3.00,3.0,0.2,79.2,,0,0,0.00,3.00,3.00,0,0,
Josh Johnson,38,BAL,QB,4,0,,1,1,100.0,1,0,0.0,0,0.0,0,,1,1.0,1.00,1.0,0.3,79.2,1.5,1,5,50.00,-2.00,-2.00,0,0,
Tutu Atwell,25,LAR,WR,14,4,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,1.7,0,0,0.00,0.00,0.00,0,0,
Kendrick Bourne,29,NWE,WR,9,6,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,3.6,0,0,0.00,0.00,0.00,0,0,
Tyler Boyd,30,TEN,WR,14,8,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,4.2,0,0,0.00,0.00,0.00,0,0,
Ty Chandler,26,MIN,RB,14,0,,0,0,,0,0,,0,,0,,,,,,0.0,,1.3,1,1,100.00,-1.00,-1.00,0,0,
Johnny Hekker,34,CAR,P,14,0,,0,2,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,,0,0,0.00,0.00,0.00,0,0,
Miles Killebrew,31,PIT,S,14,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,,0,0,0.00,0.00,0.00,0,0,
Jakobi Meyers,28,LVR,WR,12,12,,0,0,,0,0,,0,,0,,,,,,0.0,,0.0,1,10,100.00,-10.00,-10.00,0,0,
Joe Mixon,28,HOU,RB,11,11,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.9,0,0,0.00,0.00,0.00,0,0,
Darnell Mooney,27,ATL,WR,14,14,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,4.0,0,0,0.00,0.00,0.00,0,0,
D.J. Moore,27,CHI,WR,14,14,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,,0,0,0.00,0.00,0.00,0,0,
Malik Nabers,21,NYG,WR,12,11,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,2.6,0,0,0.00,0.00,0.00,0,0,
Deebo Samuel,28,SFO,WR,13,13,,0,0,,0,0,,0,,0,,,,,,0.0,,,1,4,100.00,-4.00,-4.00,0,0,
Penei Sewell,24,DET,T,14,14,,0,0,,0,0,,0,,0,,,,,,0.0,,1.9,1,1,100.00,-1.00,-1.00,0,0,
League Average,,,,,,,,,65.3,,,4.4,,2.2,,45.5,,7.2,7.05,11.0,115.1,91.9,,,,7.05,6.19,6.09,,,
